Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PIRAMYDRET,EQ,02-Jan-2006,154.35,153.00,164.40,152.15,159.15,159.05,159.65,2652403,4234.65,-,225727,8.51
PIRAMYDRET,EQ,03-Jan-2006,159.05,160.35,167.80,158.35,163.65,163.80,164.26,2374098,3899.71,-,241162,10.16
PIRAMYDRET,EQ,04-Jan-2006,163.80,167.90,167.90,157.40,158.75,158.60,162.15,467602,758.20,-,126997,27.16
PIRAMYDRET,EQ,05-Jan-2006,158.60,155.10,171.95,153.50,166.60,166.30,165.94,2727686,4526.22,-,296045,10.85
PIRAMYDRET,EQ,06-Jan-2006,166.30,164.00,169.70,158.75,160.00,160.45,164.27,652582,1071.98,-,187986,28.81
PIRAMYDRET,EQ,09-Jan-2006,160.45,165.00,190.50,161.50,183.60,187.15,179.60,5316297,9548.22,-,536463,10.09
PIRAMYDRET,EQ,10-Jan-2006,187.15,186.80,188.90,177.30,178.95,178.65,183.86,1626326,2990.10,-,303905,18.69
PIRAMYDRET,EQ,12-Jan-2006,178.65,178.00,214.40,175.60,207.00,207.60,202.57,5455201,11050.59,-,459789,8.43
PIRAMYDRET,EQ,13-Jan-2006,207.60,208.05,244.90,208.05,232.00,231.80,233.90,7033633,16451.57,-,402889,5.73
PIRAMYDRET,EQ,16-Jan-2006,231.80,233.80,254.30,232.15,240.00,237.60,242.74,4081975,9908.66,-,380132,9.31
PIRAMYDRET,EQ,17-Jan-2006,237.60,242.00,247.90,215.30,224.75,221.45,230.64,3736975,8618.78,-,389914,10.43
PIRAMYDRET,EQ,18-Jan-2006,221.45,225.00,235.95,216.00,228.00,227.40,226.56,4815636,10910.20,-,210219,4.37
PIRAMYDRET,EQ,19-Jan-2006,227.40,230.00,235.60,227.00,229.50,230.20,231.30,1815287,4198.82,-,173104,9.54
PIRAMYDRET,EQ,20-Jan-2006,230.20,231.90,235.90,223.55,225.30,225.50,229.53,1506262,3457.34,-,130095,8.64
PIRAMYDRET,EQ,23-Jan-2006,225.50,225.50,235.00,220.00,228.50,227.85,229.92,1226482,2819.92,-,115124,9.39
