Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUMMITSEC,BE,28-Jan-2011,92.80,116.00,199.55,116.00,186.00,192.25,178.65,40506,72.37,-,-,-
SUMMITSEC,BE,31-Jan-2011,192.25,182.65,182.65,182.65,182.65,182.65,182.65,451,0.82,-,-,-
SUMMITSEC,BE,01-Feb-2011,182.65,173.55,173.55,173.55,173.55,173.55,173.55,65,0.11,-,-,-
SUMMITSEC,BE,02-Feb-2011,173.55,164.90,164.90,164.90,164.90,164.90,164.90,551,0.91,-,-,-
SUMMITSEC,BE,03-Feb-2011,164.90,156.65,156.95,156.65,156.65,156.65,156.65,14218,22.27,-,-,-
SUMMITSEC,BE,04-Feb-2011,156.65,148.85,148.85,148.85,148.85,148.85,148.85,448,0.67,-,-,-
SUMMITSEC,BE,07-Feb-2011,148.85,141.45,141.45,141.45,141.45,141.45,141.45,135,0.19,-,-,-
SUMMITSEC,BE,08-Feb-2011,141.45,134.40,134.40,134.40,134.40,134.40,134.40,888,1.19,-,-,-
SUMMITSEC,BE,09-Feb-2011,134.40,127.70,127.70,127.70,127.70,127.70,127.70,29,0.04,-,-,-
SUMMITSEC,BE,10-Feb-2011,127.70,121.35,121.35,121.35,121.35,121.35,121.35,77,0.09,-,-,-
SUMMITSEC,EQ,11-Feb-2011,121.35,109.25,120.00,109.25,109.50,109.90,113.30,17677,20.03,-,14051,79.49
SUMMITSEC,EQ,14-Feb-2011,109.90,109.00,117.80,102.00,109.00,108.90,109.04,9244,10.08,-,8070,87.30
SUMMITSEC,EQ,15-Feb-2011,108.90,109.10,112.00,109.10,111.50,110.60,110.57,6860,7.58,-,5970,87.03
SUMMITSEC,EQ,16-Feb-2011,110.60,106.00,112.70,106.00,110.00,110.35,110.04,9821,10.81,-,9633,98.09
SUMMITSEC,EQ,17-Feb-2011,110.35,110.00,121.40,108.00,121.40,121.40,117.04,5282,6.18,-,4201,79.53
SUMMITSEC,EQ,18-Feb-2011,121.40,129.40,133.55,122.05,122.65,125.35,130.37,27434,35.77,-,15640,57.01
SUMMITSEC,EQ,21-Feb-2011,125.35,121.00,126.30,120.40,124.00,123.60,123.42,2377,2.93,-,1514,63.69
SUMMITSEC,EQ,22-Feb-2011,123.60,125.00,130.00,117.35,123.85,124.50,126.40,5261,6.65,-,3153,59.93
SUMMITSEC,EQ,23-Feb-2011,124.50,125.00,128.40,116.00,121.45,121.05,121.44,5015,6.09,-,3571,71.21
SUMMITSEC,EQ,24-Feb-2011,121.05,121.85,121.85,112.50,112.50,113.10,113.90,4522,5.15,-,3980,88.01
SUMMITSEC,EQ,25-Feb-2011,113.10,119.95,119.95,108.00,108.50,110.30,109.39,1954,2.14,-,1345,68.83
SUMMITSEC,EQ,28-Feb-2011,110.30,114.50,119.00,100.00,102.20,104.30,106.22,6313,6.71,-,5001,79.22
SUMMITSEC,EQ,01-Mar-2011,104.30,100.80,112.95,100.00,104.55,106.30,105.20,10715,11.27,-,7603,70.96
SUMMITSEC,EQ,03-Mar-2011,106.30,105.00,109.85,101.05,104.30,105.10,105.41,4454,4.70,-,3230,72.52
SUMMITSEC,EQ,04-Mar-2011,105.10,100.35,107.10,100.35,102.80,104.80,105.31,2375,2.50,-,1809,76.17
SUMMITSEC,EQ,07-Mar-2011,104.80,100.00,103.40,96.20,96.20,98.60,100.28,7126,7.15,-,6747,94.68
SUMMITSEC,EQ,08-Mar-2011,98.60,97.05,100.95,94.00,98.65,97.75,98.62,4686,4.62,-,3432,73.24
SUMMITSEC,EQ,09-Mar-2011,97.75,97.00,102.00,96.00,98.35,99.35,98.50,2265,2.23,-,1025,45.25
SUMMITSEC,EQ,10-Mar-2011,99.35,95.10,101.40,95.05,99.00,98.25,98.74,1025,1.01,-,711,69.37
SUMMITSEC,EQ,11-Mar-2011,98.25,93.85,99.90,93.85,97.00,95.65,95.82,11556,11.07,-,11237,97.24
SUMMITSEC,EQ,14-Mar-2011,95.65,95.20,99.00,90.15,95.80,94.75,95.14,9999,9.51,-,7843,78.44
SUMMITSEC,EQ,15-Mar-2011,94.75,91.35,97.00,91.35,97.00,94.80,94.03,1514,1.42,-,930,61.43
SUMMITSEC,EQ,16-Mar-2011,94.80,93.30,97.50,93.30,93.50,93.85,94.13,770,0.72,-,674,87.53
SUMMITSEC,EQ,17-Mar-2011,93.85,93.50,96.40,92.05,92.05,92.65,93.80,1240,1.16,-,754,60.81
SUMMITSEC,EQ,18-Mar-2011,92.65,95.95,96.00,92.75,95.00,94.00,94.13,1613,1.52,-,1082,67.08
SUMMITSEC,EQ,21-Mar-2011,94.00,91.10,97.90,91.10,92.55,92.95,93.14,5883,5.48,-,5498,93.46
SUMMITSEC,EQ,22-Mar-2011,92.95,93.00,108.00,91.80,100.00,101.10,102.55,28303,29.03,-,8872,31.35
SUMMITSEC,EQ,23-Mar-2011,101.10,101.00,104.90,99.00,103.15,103.90,102.87,5702,5.87,-,5015,87.95
SUMMITSEC,EQ,24-Mar-2011,103.90,101.10,103.90,101.00,101.05,101.15,101.85,1398,1.42,-,990,70.82
SUMMITSEC,EQ,25-Mar-2011,101.15,100.10,102.00,100.10,100.75,101.40,101.01,2461,2.49,-,1853,75.29
SUMMITSEC,EQ,28-Mar-2011,101.40,97.00,103.45,97.00,98.10,98.05,98.36,6307,6.20,-,4251,67.40
SUMMITSEC,EQ,29-Mar-2011,98.05,95.60,102.80,95.60,100.00,99.85,100.63,5721,5.76,-,4877,85.25
SUMMITSEC,EQ,30-Mar-2011,99.85,98.50,104.00,98.10,100.00,100.30,101.59,1086,1.10,-,932,85.82
SUMMITSEC,EQ,31-Mar-2011,100.30,100.00,109.75,100.00,101.00,102.05,103.42,13108,13.56,-,11037,84.20
SUMMITSEC,EQ,01-Apr-2011,102.05,98.05,108.50,98.05,107.00,107.65,103.28,5416,5.59,-,4280,79.03
SUMMITSEC,EQ,04-Apr-2011,107.65,105.00,119.00,105.00,118.45,118.30,116.22,7864,9.14,-,4753,60.44
SUMMITSEC,EQ,05-Apr-2011,118.30,126.95,126.95,118.00,119.00,118.95,119.19,963,1.15,-,699,72.59
SUMMITSEC,EQ,06-Apr-2011,118.95,126.00,126.00,113.50,115.15,115.30,117.89,4775,5.63,-,3827,80.15
SUMMITSEC,EQ,07-Apr-2011,115.30,122.85,122.85,110.00,118.00,117.40,117.12,2303,2.70,-,2023,87.84
SUMMITSEC,EQ,08-Apr-2011,117.40,119.00,121.30,116.00,116.00,116.70,118.80,3700,4.40,-,2286,61.78
SUMMITSEC,EQ,11-Apr-2011,116.70,111.20,118.00,111.20,112.15,113.95,115.05,976,1.12,-,820,84.02
SUMMITSEC,EQ,13-Apr-2011,113.95,109.00,128.95,109.00,124.00,125.00,120.85,7311,8.84,-,4617,63.15
SUMMITSEC,EQ,15-Apr-2011,125.00,111.10,125.00,111.10,119.50,120.50,122.01,2805,3.42,-,2386,85.06
SUMMITSEC,EQ,18-Apr-2011,120.50,122.00,124.90,120.05,123.00,122.60,122.77,3192,3.92,-,2324,72.81
SUMMITSEC,EQ,19-Apr-2011,122.60,121.00,121.00,117.55,118.50,118.50,119.07,1045,1.24,-,773,73.97
SUMMITSEC,EQ,20-Apr-2011,118.50,114.35,119.20,114.35,116.55,116.75,117.25,1492,1.75,-,938,62.87
SUMMITSEC,EQ,21-Apr-2011,116.75,115.10,128.90,115.05,115.05,115.20,116.49,499,0.58,-,411,82.36
SUMMITSEC,EQ,25-Apr-2011,115.20,113.60,117.70,113.60,114.00,114.10,114.70,1511,1.73,-,1013,67.04
SUMMITSEC,EQ,26-Apr-2011,114.10,114.10,114.10,108.00,110.00,110.30,111.00,6229,6.91,-,4896,78.60
SUMMITSEC,EQ,27-Apr-2011,110.30,106.10,111.90,105.00,105.10,106.20,108.17,2609,2.82,-,1997,76.54
SUMMITSEC,EQ,28-Apr-2011,106.20,105.10,107.70,102.45,104.50,104.50,105.24,1189,1.25,-,994,83.60
SUMMITSEC,EQ,29-Apr-2011,104.50,106.00,106.00,102.55,103.05,103.80,103.71,1566,1.62,-,1270,81.10
SUMMITSEC,EQ,02-May-2011,103.80,99.00,105.00,97.00,99.50,100.05,100.84,2843,2.87,-,2191,77.07
SUMMITSEC,EQ,03-May-2011,100.05,96.20,104.60,96.20,98.00,98.40,99.41,1492,1.48,-,1098,73.59
SUMMITSEC,EQ,04-May-2011,98.40,94.00,102.00,94.00,100.80,100.00,98.82,758,0.75,-,575,75.86
SUMMITSEC,EQ,05-May-2011,100.00,96.55,101.95,96.55,98.45,98.50,100.13,1066,1.07,-,752,70.54
SUMMITSEC,EQ,06-May-2011,98.50,97.35,98.50,96.25,97.00,97.90,97.53,3588,3.50,-,2516,70.12
SUMMITSEC,EQ,06-May-2011,98.50,97.35,98.50,96.25,97.00,97.90,97.53,3588,3.50,-,2516,70.12
SUMMITSEC,EQ,09-May-2011,97.90,94.40,100.00,94.40,95.60,95.70,97.04,285,0.28,-,173,60.70
SUMMITSEC,EQ,10-May-2011,95.70,95.10,102.95,95.10,96.50,96.50,98.36,479,0.47,-,342,71.40
SUMMITSEC,EQ,11-May-2011,96.50,96.55,100.00,94.00,96.00,96.00,96.79,2389,2.31,-,1952,81.71
SUMMITSEC,EQ,12-May-2011,96.00,94.05,98.95,94.05,94.70,94.85,94.70,1670,1.58,-,1214,72.69
SUMMITSEC,EQ,13-May-2011,94.85,94.80,98.00,94.75,95.10,95.15,96.12,1980,1.90,-,847,42.78
SUMMITSEC,EQ,16-May-2011,95.15,94.00,97.95,91.15,92.00,92.20,92.61,2979,2.76,-,2412,80.97
SUMMITSEC,EQ,17-May-2011,92.20,88.10,98.90,88.10,92.95,92.95,93.19,928,0.86,-,344,37.07
SUMMITSEC,EQ,18-May-2011,92.95,89.00,93.85,89.00,92.00,91.95,91.40,1468,1.34,-,742,50.54
SUMMITSEC,EQ,19-May-2011,91.95,91.60,91.95,90.25,91.85,91.70,91.49,542,0.50,-,441,81.37
SUMMITSEC,EQ,20-May-2011,91.70,91.00,93.00,90.50,90.90,90.90,91.77,3287,3.02,-,2208,67.17
SUMMITSEC,EQ,23-May-2011,90.90,88.05,91.90,88.05,88.15,90.00,89.28,687,0.61,-,497,72.34
SUMMITSEC,EQ,24-May-2011,90.00,88.00,90.00,87.65,90.00,89.25,88.18,2675,2.36,-,1520,56.82
SUMMITSEC,EQ,25-May-2011,89.25,87.65,89.70,87.00,87.30,87.25,88.10,830,0.73,-,664,80.00
SUMMITSEC,EQ,26-May-2011,87.25,86.05,89.90,84.25,88.90,88.60,87.56,1457,1.28,-,1077,73.92
SUMMITSEC,EQ,27-May-2011,88.60,90.00,91.00,87.00,87.00,87.50,88.78,1310,1.16,-,1124,85.80
SUMMITSEC,EQ,30-May-2011,87.50,84.30,91.00,84.15,87.00,86.85,88.16,1309,1.15,-,721,55.08
SUMMITSEC,EQ,31-May-2011,86.85,83.10,90.90,83.10,88.50,88.35,87.76,1726,1.51,-,1003,58.11
SUMMITSEC,EQ,01-Jun-2011,88.35,88.00,89.80,87.65,87.65,88.85,88.73,2262,2.01,67,1791,79.18
SUMMITSEC,EQ,02-Jun-2011,88.85,85.00,89.80,85.00,88.00,87.90,86.53,1342,1.16,42,1117,83.23
SUMMITSEC,EQ,03-Jun-2011,87.90,86.40,88.60,86.35,88.10,87.65,88.28,1448,1.28,46,1311,90.54
SUMMITSEC,EQ,06-Jun-2011,87.65,86.70,87.90,86.55,87.00,86.80,86.98,786,0.68,25,676,86.01
SUMMITSEC,EQ,07-Jun-2011,86.80,85.00,87.00,85.00,86.00,86.40,86.24,492,0.42,37,429,87.20
SUMMITSEC,EQ,08-Jun-2011,86.40,86.30,88.00,85.55,87.70,87.00,86.59,1639,1.42,38,1320,80.54
SUMMITSEC,EQ,09-Jun-2011,87.00,86.05,87.00,86.00,86.00,86.20,86.32,3955,3.41,42,2095,52.97
SUMMITSEC,EQ,10-Jun-2011,86.20,85.00,87.00,82.00,85.50,85.50,85.00,2035,1.73,52,1085,53.32
SUMMITSEC,EQ,13-Jun-2011,85.50,83.25,87.65,83.25,85.05,85.40,85.15,1987,1.69,81,1025,51.59
SUMMITSEC,EQ,14-Jun-2011,85.40,83.65,89.90,83.65,87.10,87.60,86.84,2606,2.26,63,2346,90.02
SUMMITSEC,EQ,15-Jun-2011,87.60,84.40,90.00,84.40,88.00,89.00,87.68,415,0.36,32,210,50.60
SUMMITSEC,EQ,16-Jun-2011,89.00,86.10,88.00,84.50,86.70,86.90,87.06,1324,1.15,38,1092,82.48
SUMMITSEC,EQ,17-Jun-2011,86.90,83.80,87.95,83.80,85.60,85.90,86.28,1043,0.90,38,1028,98.56
SUMMITSEC,EQ,20-Jun-2011,85.90,87.20,87.20,82.00,82.05,82.00,83.03,1230,1.02,72,845,68.70
SUMMITSEC,EQ,21-Jun-2011,82.00,81.00,88.85,81.00,82.05,83.30,83.08,3864,3.21,80,2570,66.51
