Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNDARAM,EQ,02-Jun-2010,49.15,50.80,52.45,48.00,50.05,50.50,50.70,201837,102.33,-,70669,35.01
SUNDARAM,EQ,03-Jun-2010,50.50,50.25,52.25,50.00,52.00,51.80,51.24,65870,33.75,-,47184,71.63
SUNDARAM,EQ,04-Jun-2010,51.80,52.50,52.50,50.65,51.55,51.50,51.60,96912,50.01,-,79195,81.72
SUNDARAM,EQ,07-Jun-2010,51.50,49.50,51.50,49.50,50.05,50.20,50.40,30785,15.52,-,15896,51.64
SUNDARAM,EQ,08-Jun-2010,50.20,51.75,51.75,48.75,48.75,49.30,50.30,18925,9.52,-,13374,70.67
SUNDARAM,EQ,09-Jun-2010,49.30,50.00,50.00,47.75,47.80,48.05,48.49,294419,142.78,-,278309,94.53
SUNDARAM,EQ,10-Jun-2010,48.05,42.95,50.50,39.00,50.40,49.80,48.33,15400,7.44,-,6159,39.99
SUNDARAM,EQ,11-Jun-2010,49.80,51.20,51.50,50.10,50.70,50.80,50.86,16547,8.42,-,11856,71.65
SUNDARAM,EQ,14-Jun-2010,50.80,50.50,51.00,47.75,48.55,49.00,49.31,9543,4.71,-,3773,39.54
SUNDARAM,EQ,15-Jun-2010,49.00,50.10,50.70,48.30,50.00,49.65,49.87,8873,4.43,-,2169,24.44
SUNDARAM,EQ,16-Jun-2010,49.65,50.50,50.50,48.90,49.50,49.10,49.65,4786,2.38,-,4146,86.63
SUNDARAM,EQ,17-Jun-2010,49.10,48.75,49.60,48.30,49.10,49.15,48.89,3812,1.86,-,2900,76.08
SUNDARAM,EQ,18-Jun-2010,49.15,48.70,49.30,47.75,48.05,48.15,48.59,8473,4.12,-,4850,57.24
SUNDARAM,EQ,21-Jun-2010,48.15,49.80,49.80,48.00,48.05,48.20,48.64,30250,14.71,-,13225,43.72
SUNDARAM,EQ,22-Jun-2010,48.20,49.00,49.30,48.50,49.10,48.70,48.75,25285,12.33,-,3988,15.77
SUNDARAM,EQ,23-Jun-2010,48.70,50.00,51.90,47.55,48.50,48.25,48.77,46825,22.84,-,11059,23.62
SUNDARAM,EQ,24-Jun-2010,48.25,48.50,49.70,48.35,49.70,49.15,48.85,85835,41.93,-,56874,66.26
SUNDARAM,EQ,25-Jun-2010,49.15,50.00,50.00,48.75,49.00,49.00,49.16,42376,20.83,-,14272,33.68
SUNDARAM,EQ,28-Jun-2010,49.00,49.95,50.00,48.50,49.05,49.30,49.14,20851,10.25,-,15712,75.35
SUNDARAM,EQ,29-Jun-2010,49.30,49.80,50.30,49.00,49.50,49.00,49.16,61316,30.15,-,59438,96.94
SUNDARAM,EQ,30-Jun-2010,49.00,49.00,49.90,49.00,49.00,49.05,49.12,6803,3.34,-,6397,94.03
SUNDARAM,EQ,01-Jul-2010,49.05,49.00,49.30,48.90,49.20,48.95,48.99,2735,1.34,-,2691,98.39
SUNDARAM,EQ,02-Jul-2010,48.95,49.00,49.50,48.90,49.00,49.00,49.04,2286,1.12,-,2201,96.28
SUNDARAM,EQ,05-Jul-2010,49.00,48.30,49.30,48.20,49.00,49.00,48.71,4306,2.10,-,2800,65.03
SUNDARAM,EQ,06-Jul-2010,49.00,49.35,49.35,48.70,49.00,48.85,48.89,5711,2.79,-,5245,91.84
SUNDARAM,EQ,07-Jul-2010,48.85,48.75,49.20,48.25,48.60,48.60,48.67,65269,31.77,-,40832,62.56
SUNDARAM,EQ,08-Jul-2010,48.60,45.35,53.95,45.35,48.35,48.15,49.39,33203,16.40,-,14619,44.03
SUNDARAM,EQ,09-Jul-2010,48.15,51.00,51.00,48.30,48.55,48.90,49.40,43442,21.46,-,22852,52.60
SUNDARAM,EQ,12-Jul-2010,48.90,49.50,50.00,48.15,48.95,48.90,48.89,12428,6.08,-,9833,79.12
SUNDARAM,EQ,13-Jul-2010,48.90,49.95,49.95,48.50,48.70,48.90,48.87,7678,3.75,-,4560,59.39
SUNDARAM,EQ,14-Jul-2010,48.90,48.40,49.35,48.40,48.95,48.70,48.81,17599,8.59,-,11308,64.25
SUNDARAM,EQ,15-Jul-2010,48.70,48.50,49.00,48.10,48.50,48.50,48.48,6725,3.26,-,4198,62.42
SUNDARAM,EQ,16-Jul-2010,48.50,48.20,49.20,48.10,48.30,48.45,48.43,21189,10.26,-,13302,62.78
SUNDARAM,EQ,19-Jul-2010,48.45,49.25,49.25,48.30,48.85,48.60,48.48,6948,3.37,-,5929,85.33
SUNDARAM,EQ,20-Jul-2010,48.60,48.10,49.45,48.10,48.30,48.45,48.85,28660,14.00,-,9510,33.18
SUNDARAM,EQ,21-Jul-2010,48.45,48.90,49.75,48.40,48.40,48.65,49.03,29417,14.42,-,20300,69.01
SUNDARAM,EQ,22-Jul-2010,48.65,48.55,49.25,48.30,48.60,48.95,48.86,66374,32.43,-,47630,71.76
SUNDARAM,EQ,23-Jul-2010,48.95,49.40,50.00,47.65,48.25,48.35,49.00,176701,86.58,-,120946,68.45
SUNDARAM,EQ,26-Jul-2010,48.35,48.50,49.00,47.50,47.50,47.60,48.11,26671,12.83,-,22047,82.66
SUNDARAM,EQ,27-Jul-2010,47.60,48.00,48.00,45.50,46.75,46.50,46.90,34109,16.00,-,21099,61.86
SUNDARAM,EQ,28-Jul-2010,46.50,47.75,47.95,46.00,46.50,46.05,46.23,96304,44.52,-,53862,55.93
SUNDARAM,EQ,29-Jul-2010,46.05,47.20,48.25,46.30,46.35,46.35,47.41,19984,9.47,-,14609,73.10
SUNDARAM,EQ,30-Jul-2010,46.35,47.45,49.80,45.75,45.75,46.00,46.14,30788,14.20,-,22057,71.64
SUNDARAM,EQ,02-Aug-2010,46.00,47.00,48.25,46.30,46.55,47.00,47.22,36222,17.10,-,27383,75.60
SUNDARAM,EQ,03-Aug-2010,47.00,46.90,47.65,45.65,46.00,46.10,46.39,23710,11.00,-,20720,87.39
SUNDARAM,EQ,04-Aug-2010,46.10,46.75,46.75,45.00,46.00,46.10,45.73,37788,17.28,-,19686,52.10
