Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SURYAROSNI,EQ,02-Jan-2006,64.05,64.75,72.80,64.10,71.60,71.85,70.11,730017,511.81,-,273358,37.45
SURYAROSNI,EQ,03-Jan-2006,71.85,72.85,74.30,70.25,71.30,71.15,72.38,489234,354.11,-,197394,40.35
SURYAROSNI,EQ,04-Jan-2006,71.15,72.15,73.60,70.50,72.00,72.15,72.02,253496,182.58,-,119200,47.02
SURYAROSNI,EQ,05-Jan-2006,72.15,73.10,77.75,73.10,74.90,74.60,75.71,650933,492.82,-,206928,31.79
SURYAROSNI,EQ,06-Jan-2006,74.60,74.50,76.80,73.15,74.90,75.10,75.37,215308,162.28,-,101999,47.37
SURYAROSNI,EQ,09-Jan-2006,75.10,75.00,78.90,74.65,76.55,76.90,77.10,288102,222.14,-,117915,40.93
SURYAROSNI,EQ,10-Jan-2006,76.90,77.00,78.50,74.00,74.00,74.20,76.10,137017,104.28,-,55748,40.69
SURYAROSNI,EQ,12-Jan-2006,74.20,73.65,75.00,71.20,72.90,73.00,73.25,131125,96.04,-,64584,49.25
SURYAROSNI,EQ,13-Jan-2006,73.00,74.35,75.80,72.60,72.95,73.00,73.68,60160,44.32,-,31577,52.49
SURYAROSNI,EQ,16-Jan-2006,73.00,73.50,75.70,72.10,72.20,72.30,73.63,79488,58.53,-,29125,36.64
SURYAROSNI,EQ,17-Jan-2006,72.30,73.45,73.70,67.60,68.15,68.25,70.93,89259,63.31,-,47224,52.91
SURYAROSNI,EQ,18-Jan-2006,68.25,69.00,75.00,68.15,74.20,73.70,72.38,281966,204.07,-,144876,51.38
SURYAROSNI,EQ,19-Jan-2006,73.70,77.50,79.45,76.75,77.70,77.45,77.71,742013,576.65,-,310975,41.91
SURYAROSNI,EQ,20-Jan-2006,77.45,78.30,81.60,76.50,76.70,77.50,79.02,528698,417.77,-,174970,33.09
SURYAROSNI,EQ,23-Jan-2006,77.50,77.10,79.25,76.20,77.55,77.25,77.58,140005,108.61,-,58124,41.52
SURYAROSNI,EQ,24-Jan-2006,77.25,78.00,78.85,76.20,77.05,77.25,77.38,127671,98.80,-,55670,43.60
SURYAROSNI,EQ,25-Jan-2006,77.25,78.10,82.55,77.15,79.50,79.15,80.21,595737,477.85,-,176208,29.58
SURYAROSNI,EQ,27-Jan-2006,79.15,80.70,81.00,76.75,76.80,77.35,78.73,216965,170.81,-,100361,46.26
SURYAROSNI,EQ,30-Jan-2006,77.35,75.10,78.30,72.20,73.60,73.60,74.32,109158,81.13,-,55324,50.68
SURYAROSNI,EQ,31-Jan-2006,73.60,75.20,75.40,72.25,72.55,72.65,73.82,108077,79.78,-,62277,57.62
SURYAROSNI,EQ,01-Feb-2006,72.65,74.00,74.50,69.05,69.50,69.40,71.44,83577,59.71,-,53466,63.97
SURYAROSNI,EQ,02-Feb-2006,69.40,70.00,70.85,66.40,67.20,67.25,67.98,68922,46.85,-,39723,57.63
