Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATACHEM,EQ,02-Jan-2006,235.00,236.00,251.40,236.00,251.00,249.55,245.59,2592336,6366.64,-,729267,28.13
TATACHEM,EQ,03-Jan-2006,249.55,250.00,253.40,245.00,249.90,249.10,249.78,1958965,4893.10,-,383280,19.57
TATACHEM,EQ,04-Jan-2006,249.10,250.00,252.00,246.75,248.40,248.55,248.62,673599,1674.71,-,220478,32.73
TATACHEM,EQ,05-Jan-2006,248.55,249.00,250.00,244.10,247.20,247.05,247.43,555349,1374.09,-,153623,27.66
TATACHEM,EQ,06-Jan-2006,247.05,247.85,253.30,246.15,248.90,249.00,249.93,897175,2242.28,-,188914,21.06
TATACHEM,EQ,09-Jan-2006,249.00,248.00,257.90,248.00,251.75,251.65,253.62,1071118,2716.52,-,362104,33.81
TATACHEM,EQ,10-Jan-2006,251.65,250.00,251.90,246.50,248.00,247.20,249.51,702566,1752.96,-,266481,37.93
TATACHEM,EQ,12-Jan-2006,247.20,248.00,248.50,244.05,245.00,245.45,246.08,495249,1218.70,-,156151,31.53
TATACHEM,EQ,13-Jan-2006,245.45,246.05,251.90,243.25,244.00,244.30,247.59,744629,1843.65,-,344120,46.21
TATACHEM,EQ,16-Jan-2006,244.30,245.00,246.00,240.50,242.75,242.65,242.81,517027,1255.40,-,253466,49.02
TATACHEM,EQ,17-Jan-2006,242.65,243.10,247.30,237.30,238.80,238.85,242.03,514066,1244.20,-,165064,32.11
TATACHEM,EQ,18-Jan-2006,238.85,239.00,241.40,227.00,240.50,240.55,237.82,691620,1644.80,-,225746,32.64
TATACHEM,EQ,19-Jan-2006,240.55,240.55,247.95,240.55,247.00,246.20,243.16,522974,1271.66,-,253624,48.50
TATACHEM,EQ,20-Jan-2006,246.20,247.50,249.80,243.00,243.60,244.45,245.74,501484,1232.33,-,245975,49.05
