Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAMETALI,EQ,02-Jan-2006,127.60,105.40,132.90,105.40,129.50,129.40,129.86,146940,190.81,-,75146,51.14
TATAMETALI,EQ,03-Jan-2006,129.40,130.45,131.35,129.10,131.00,130.85,130.36,94811,123.60,-,53303,56.22
TATAMETALI,EQ,04-Jan-2006,130.85,131.45,131.95,128.30,129.25,129.05,129.68,83865,108.76,-,57131,68.12
TATAMETALI,EQ,05-Jan-2006,129.05,129.00,129.50,125.70,126.00,126.15,127.70,62551,79.88,-,38621,61.74
TATAMETALI,EQ,06-Jan-2006,126.15,127.00,129.40,127.00,128.15,128.00,128.09,104159,133.42,-,66220,63.58
TATAMETALI,EQ,09-Jan-2006,128.00,129.85,130.50,127.00,127.70,127.55,129.02,74783,96.48,-,49025,65.56
TATAMETALI,EQ,10-Jan-2006,127.55,127.95,128.75,124.55,125.00,124.85,125.85,60216,75.78,-,43577,72.37
TATAMETALI,EQ,12-Jan-2006,124.85,122.00,127.00,116.50,124.50,123.90,123.41,145083,179.04,-,75475,52.02
TATAMETALI,EQ,13-Jan-2006,123.90,125.00,127.90,123.90,123.90,124.05,124.53,31354,39.05,-,18580,59.26
TATAMETALI,EQ,16-Jan-2006,124.05,124.50,124.50,121.50,123.50,123.05,123.01,33432,41.12,-,25381,75.92
TATAMETALI,EQ,17-Jan-2006,123.05,125.00,125.30,122.50,123.50,123.05,123.18,52888,65.15,-,46022,87.02
TATAMETALI,EQ,18-Jan-2006,123.05,120.60,123.35,120.60,122.65,122.80,122.64,29699,36.42,-,23457,78.98
TATAMETALI,EQ,19-Jan-2006,122.80,122.55,124.30,120.25,123.15,122.95,122.91,20538,25.24,-,11288,54.96
TATAMETALI,EQ,20-Jan-2006,122.95,123.00,126.65,122.00,124.65,124.40,124.61,60934,75.93,-,20680,33.94
TATAMETALI,EQ,23-Jan-2006,124.40,124.20,125.95,122.15,122.65,122.80,123.64,28228,34.90,-,18827,66.70
