Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TIMKEN,EQ,06-Feb-2007,139.50,145.00,170.90,145.00,170.90,166.90,161.23,106999,172.52,-,24238,22.65
TIMKEN,EQ,07-Feb-2007,166.90,168.90,169.00,155.15,156.00,158.10,162.85,40164,65.41,-,21422,53.34
TIMKEN,EQ,08-Feb-2007,158.10,161.50,161.50,150.00,152.00,153.15,154.26,5361,8.27,-,2937,54.78
TIMKEN,EQ,09-Feb-2007,153.15,162.00,162.00,146.00,147.00,147.35,150.53,3010,4.53,-,2190,72.76
TIMKEN,EQ,12-Feb-2007,147.35,147.00,147.00,140.00,144.70,143.15,142.78,5823,8.31,-,4478,76.90
TIMKEN,EQ,13-Feb-2007,143.15,144.25,146.00,136.20,142.90,141.50,142.96,3990,5.70,-,3076,77.09
TIMKEN,EQ,14-Feb-2007,141.50,124.00,139.00,124.00,132.25,136.65,137.40,4674,6.42,-,3936,84.21
TIMKEN,EQ,15-Feb-2007,136.65,142.25,142.25,135.60,138.00,138.85,139.97,5991,8.39,-,5093,85.01
TIMKEN,EQ,19-Feb-2007,138.85,133.65,141.80,133.00,133.00,133.90,135.67,5549,7.53,-,5300,95.51
TIMKEN,EQ,20-Feb-2007,133.90,133.55,134.00,132.00,132.00,132.00,132.90,2308,3.07,-,2108,91.33
TIMKEN,EQ,21-Feb-2007,132.00,136.00,137.00,130.50,134.40,134.10,134.61,3506,4.72,-,2136,60.92
TIMKEN,EQ,22-Feb-2007,134.10,135.00,135.00,129.10,130.05,130.50,131.83,4135,5.45,-,3709,89.70
TIMKEN,EQ,23-Feb-2007,130.50,130.05,131.90,128.80,131.40,130.55,130.23,4692,6.11,-,3583,76.36
TIMKEN,EQ,26-Feb-2007,130.55,136.95,137.00,130.05,130.55,130.65,133.19,1789,2.38,-,1006,56.23
TIMKEN,EQ,27-Feb-2007,130.65,132.00,133.50,128.20,130.00,130.00,130.46,5155,6.73,-,4755,92.24
TIMKEN,EQ,28-Feb-2007,130.00,122.00,132.90,122.00,128.75,128.75,128.92,1345,1.73,-,1075,79.93
