Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TRENT,EQ,02-Jan-2006,906.05,910.00,918.90,902.40,902.50,907.00,910.50,2208,20.10,-,1347,61.01
TRENT,EQ,03-Jan-2006,907.00,881.00,945.00,881.00,915.45,916.90,916.43,3528,32.33,-,2044,57.94
TRENT,W1,03-Jan-2006,351.00,380.00,395.00,380.00,395.00,380.05,380.06,251,0.95,-,251,100.00
TRENT,EQ,04-Jan-2006,916.90,867.00,931.00,867.00,925.10,926.60,920.58,16717,153.89,-,14921,89.26
TRENT,W1,04-Jan-2006,380.05,385.00,385.00,385.00,385.00,385.00,385.00,29,0.11,-,29,100.00
TRENT,EQ,05-Jan-2006,926.60,925.00,940.00,925.00,927.00,929.50,933.01,5224,48.74,-,3598,68.87
TRENT,W1,05-Jan-2006,385.00,435.05,435.05,386.10,386.10,386.10,410.58,2,0.01,-,2,100.00
TRENT,EQ,06-Jan-2006,929.50,925.55,934.95,924.00,930.00,931.15,926.15,5333,49.39,-,4581,85.90
TRENT,W1,06-Jan-2006,386.10,397.95,398.00,397.95,398.00,397.95,397.97,3,0.01,-,1,33.33
TRENT,EQ,09-Jan-2006,931.15,925.00,932.00,901.50,927.00,928.10,927.80,5766,53.50,-,5134,89.04
TRENT,N1,09-Jan-2006,445.05,449.50,449.55,449.50,449.55,449.55,449.50,100,0.45,-,99,99.00
TRENT,W1,09-Jan-2006,397.95,450.00,450.00,395.00,395.00,395.00,422.50,2,0.01,-,1,50.00
TRENT,EQ,10-Jan-2006,928.10,925.00,981.00,925.00,966.00,966.70,960.62,15106,145.11,-,7826,51.81
TRENT,W1,10-Jan-2006,395.00,450.00,450.00,400.00,400.00,400.00,402.38,21,0.08,-,20,95.24
TRENT,EQ,12-Jan-2006,966.70,935.00,990.00,935.00,965.00,959.30,971.39,8076,78.45,-,4363,54.02
TRENT,W1,12-Jan-2006,400.00,440.00,450.00,440.00,440.00,440.00,443.33,3,0.01,-,2,66.67
TRENT,EQ,13-Jan-2006,959.30,965.00,975.00,950.00,953.50,954.15,960.53,5200,49.95,-,3554,68.35
TRENT,W1,13-Jan-2006,440.00,445.00,445.00,445.00,445.00,445.00,445.00,1,0.00,-,0,0.00
TRENT,EQ,16-Jan-2006,954.15,950.00,964.10,940.00,940.00,941.95,947.80,2896,27.45,-,1572,54.28
TRENT,N1,16-Jan-2006,449.55,445.10,450.00,445.00,450.00,450.00,449.92,508,2.29,-,504,99.21
TRENT,EQ,17-Jan-2006,941.95,945.00,945.00,930.00,935.00,933.00,933.91,7860,73.41,-,7266,92.44
TRENT,EQ,18-Jan-2006,933.00,906.05,975.00,906.05,970.00,967.80,945.89,17426,164.83,-,8724,50.06
TRENT,EQ,19-Jan-2006,967.80,942.20,975.00,942.20,948.00,952.85,955.96,7969,76.18,-,3429,43.03
TRENT,N1,19-Jan-2006,450.00,409.00,440.00,409.00,440.00,440.00,424.50,10,0.04,-,5,50.00
TRENT,W1,19-Jan-2006,445.00,402.90,402.90,402.90,402.90,402.90,402.90,92,0.37,-,92,100.00
TRENT,EQ,20-Jan-2006,952.85,973.00,975.00,955.50,964.90,963.15,963.58,3686,35.52,-,2539,68.88
TRENT,N1,20-Jan-2006,440.00,440.00,440.00,440.00,440.00,440.00,440.00,62,0.27,-,62,100.00
TRENT,W1,20-Jan-2006,402.90,399.90,399.90,351.00,351.00,351.00,393.68,55,0.22,-,55,100.00
TRENT,EQ,23-Jan-2006,963.15,960.00,971.50,951.00,960.00,960.95,961.66,4922,47.33,-,2879,58.49
TRENT,EQ,24-Jan-2006,960.95,950.00,1014.70,950.00,997.95,1002.45,987.90,20918,206.65,-,14383,68.76
TRENT,N1,24-Jan-2006,440.00,450.00,450.00,445.00,445.00,445.00,447.53,594,2.66,-,594,100.00
TRENT,W1,24-Jan-2006,351.00,404.90,404.90,404.90,404.90,404.90,404.90,400,1.62,-,400,100.00
TRENT,EQ,25-Jan-2006,1002.45,1008.00,1048.00,970.00,970.00,977.60,1003.17,9665,96.96,-,6022,62.31
TRENT,EQ,27-Jan-2006,977.60,981.05,983.00,950.00,955.10,956.60,964.85,36297,350.21,-,33162,91.36
TRENT,EQ,30-Jan-2006,956.60,985.35,985.35,930.50,930.50,935.75,957.78,14391,137.83,-,10494,72.92
TRENT,N1,30-Jan-2006,445.00,445.00,445.00,445.00,445.00,445.00,445.00,190,0.85,-,190,100.00
TRENT,W1,30-Jan-2006,404.90,375.00,375.00,375.00,375.00,375.00,375.00,20,0.08,-,20,100.00
TRENT,EQ,31-Jan-2006,935.75,970.00,970.00,910.00,910.10,915.30,922.72,9617,88.74,-,7621,79.25
TRENT,N1,31-Jan-2006,445.00,445.00,445.00,445.00,445.00,445.00,445.00,50,0.22,-,50,100.00
TRENT,EQ,01-Feb-2006,915.30,930.00,930.00,910.05,917.95,915.35,919.91,2948,27.12,-,2273,77.10
TRENT,EQ,02-Feb-2006,915.35,930.00,930.10,890.00,903.85,900.85,901.42,13878,125.10,-,11439,82.43
