Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TTKHLTCARE,EQ,02-Dec-2015,1014.50,1035.00,1044.00,964.00,1000.00,990.65,989.61,1309,12.95,132,416,31.78
TTKHLTCARE,EQ,03-Dec-2015,990.65,975.00,975.00,938.00,970.50,970.50,957.36,143,1.37,21,80,55.94
TTKHLTCARE,EQ,04-Dec-2015,970.50,951.10,970.50,951.10,970.50,970.10,958.22,16,0.15,3,16,100.00
TTKHLTCARE,EQ,07-Dec-2015,970.10,950.00,986.95,938.00,986.95,983.60,945.54,148,1.40,17,123,83.11
TTKHLTCARE,EQ,08-Dec-2015,983.60,936.00,951.00,935.00,950.00,950.00,942.86,55,0.52,15,32,58.18
TTKHLTCARE,EQ,09-Dec-2015,950.00,944.00,950.00,930.00,930.00,930.00,943.80,76,0.72,8,64,84.21
TTKHLTCARE,EQ,10-Dec-2015,930.00,889.00,947.95,889.00,947.95,947.95,918.48,2,0.02,2,1,50.00
TTKHLTCARE,EQ,11-Dec-2015,947.95,979.00,979.00,901.00,929.00,929.00,943.76,41,0.39,13,28,68.29
TTKHLTCARE,EQ,14-Dec-2015,929.00,929.00,960.00,901.00,930.00,930.75,922.47,173,1.60,14,78,45.09
TTKHLTCARE,EQ,15-Dec-2015,930.75,920.00,960.00,920.00,960.00,959.95,948.14,125,1.19,10,125,100.00
TTKHLTCARE,EQ,16-Dec-2015,959.95,962.00,991.00,960.00,965.10,965.10,978.21,261,2.55,15,230,88.12
TTKHLTCARE,EQ,17-Dec-2015,965.10,965.10,997.95,925.05,960.00,975.50,967.85,110,1.06,22,78,70.91
TTKHLTCARE,EQ,18-Dec-2015,975.50,989.00,990.00,940.00,987.00,959.65,976.33,337,3.29,29,265,78.64
TTKHLTCARE,EQ,21-Dec-2015,959.65,998.00,1124.00,973.00,1065.70,1076.30,1058.33,40462,428.22,1109,29175,72.10
TTKHLTCARE,EQ,22-Dec-2015,1076.30,1080.00,1080.00,1035.00,1040.20,1040.65,1043.99,2521,26.32,123,2035,80.72
TTKHLTCARE,EQ,23-Dec-2015,1040.65,1020.00,1055.00,1002.00,1040.05,1040.40,1041.27,972,10.12,96,784,80.66
TTKHLTCARE,EQ,24-Dec-2015,1040.40,1049.00,1055.00,1035.00,1045.00,1051.85,1045.61,448,4.68,28,441,98.44
TTKHLTCARE,EQ,28-Dec-2015,1051.85,1050.00,1059.80,1024.95,1050.10,1055.05,1042.01,1587,16.54,96,1487,93.70
TTKHLTCARE,EQ,29-Dec-2015,1055.05,1054.95,1068.95,1030.00,1045.00,1046.45,1034.87,1921,19.88,35,1807,94.07
TTKHLTCARE,EQ,30-Dec-2015,1046.45,1011.00,1070.00,1011.00,1050.00,1048.55,1047.84,302,3.16,42,196,64.90
TTKHLTCARE,EQ,31-Dec-2015,1048.55,1060.00,1060.00,1040.00,1059.00,1049.45,1053.10,271,2.85,20,271,100.00
TTKHLTCARE,EQ,01-Jan-2016,1049.45,1026.00,1059.95,1025.00,1045.80,1045.80,1033.08,231,2.39,33,204,88.31
TTKHLTCARE,EQ,04-Jan-2016,1045.80,1027.00,1055.00,1015.50,1055.00,1050.05,1047.78,1358,14.23,58,1339,98.60
TTKHLTCARE,EQ,05-Jan-2016,1050.05,1060.00,1069.00,1026.00,1050.00,1050.00,1040.01,61165,636.12,33,61121,99.93
TTKHLTCARE,EQ,06-Jan-2016,1050.00,1048.95,1050.00,1001.00,1024.90,1018.35,1030.16,386,3.98,73,168,43.52
TTKHLTCARE,EQ,07-Jan-2016,1018.35,1002.00,1045.05,1001.00,1001.00,1007.65,1017.69,416,4.23,58,333,80.05
TTKHLTCARE,EQ,08-Jan-2016,1007.65,1000.00,1007.80,981.00,990.00,990.55,990.04,446,4.42,71,381,85.43
TTKHLTCARE,EQ,11-Jan-2016,990.55,975.00,976.60,900.00,942.10,948.70,942.78,1773,16.72,184,866,48.84
TTKHLTCARE,EQ,12-Jan-2016,948.70,980.00,998.00,920.00,955.00,946.70,953.81,978,9.33,99,725,74.13
TTKHLTCARE,EQ,13-Jan-2016,946.70,921.20,985.00,921.20,935.00,956.70,939.87,943,8.86,105,624,66.17
TTKHLTCARE,EQ,14-Jan-2016,956.70,920.05,949.00,891.00,949.00,944.80,923.84,174,1.61,54,91,52.30
TTKHLTCARE,EQ,15-Jan-2016,944.80,960.00,960.00,925.00,950.00,949.00,948.96,1510,14.33,77,1406,93.11
TTKHLTCARE,EQ,18-Jan-2016,949.00,920.00,922.00,901.20,910.00,912.30,913.07,122,1.11,26,82,67.21
TTKHLTCARE,EQ,19-Jan-2016,912.30,870.00,950.00,870.00,905.00,911.85,904.03,292,2.64,60,229,78.42
TTKHLTCARE,EQ,20-Jan-2016,911.85,905.00,905.55,856.50,880.00,886.45,886.75,687,6.09,104,547,79.62
TTKHLTCARE,EQ,21-Jan-2016,886.45,896.20,948.60,871.00,900.10,914.15,890.02,396,3.52,90,272,68.69
TTKHLTCARE,EQ,22-Jan-2016,914.15,892.05,915.00,891.00,894.10,907.65,903.73,169,1.53,21,132,78.11
TTKHLTCARE,EQ,25-Jan-2016,907.65,907.00,909.00,891.00,891.00,897.75,905.73,272,2.46,31,220,80.88
TTKHLTCARE,EQ,27-Jan-2016,897.75,897.80,903.00,890.00,900.00,894.35,898.23,354,3.18,29,329,92.94
TTKHLTCARE,EQ,28-Jan-2016,894.35,890.10,927.55,890.00,921.40,921.45,908.29,27,0.25,19,16,59.26
TTKHLTCARE,EQ,29-Jan-2016,921.45,900.05,949.00,888.00,915.00,906.60,905.85,332,3.01,71,260,78.31
TTKHLTCARE,EQ,01-Feb-2016,906.60,949.00,1029.00,849.00,925.00,926.95,920.67,940,8.65,130,210,22.34
TTKHLTCARE,EQ,02-Feb-2016,926.95,945.00,969.90,900.00,900.00,910.00,924.06,161,1.49,47,125,77.64
TTKHLTCARE,EQ,03-Feb-2016,910.00,917.50,1020.00,890.00,943.00,938.20,965.08,14065,135.74,1898,2418,17.19
TTKHLTCARE,EQ,04-Feb-2016,938.20,939.25,940.00,913.00,930.00,926.90,926.39,1923,17.81,157,1392,72.39
TTKHLTCARE,EQ,05-Feb-2016,926.90,929.00,930.00,903.00,930.00,916.45,915.49,559,5.12,72,340,60.82
TTKHLTCARE,EQ,08-Feb-2016,916.45,904.15,940.00,903.00,920.00,917.20,919.49,294,2.70,49,208,70.75
TTKHLTCARE,EQ,09-Feb-2016,917.20,914.45,925.00,893.00,924.90,897.90,898.44,800,7.19,89,638,79.75
TTKHLTCARE,EQ,10-Feb-2016,897.90,895.00,910.00,883.40,900.00,890.85,894.84,6467,57.87,66,352,5.44
TTKHLTCARE,EQ,11-Feb-2016,890.85,888.00,919.80,875.00,875.00,875.00,883.14,712,6.29,57,687,96.49
TTKHLTCARE,EQ,12-Feb-2016,875.00,875.05,940.00,830.00,938.00,889.35,874.96,1217,10.65,102,1034,84.96
TTKHLTCARE,EQ,15-Feb-2016,889.35,940.00,940.00,872.10,925.00,925.00,920.46,434,3.99,50,350,80.65
TTKHLTCARE,EQ,16-Feb-2016,925.00,905.05,912.70,805.50,868.00,849.55,863.05,551,4.76,111,303,54.99
TTKHLTCARE,EQ,17-Feb-2016,849.55,868.05,889.90,846.05,880.00,878.75,862.10,349,3.01,49,276,79.08
TTKHLTCARE,EQ,18-Feb-2016,878.75,880.00,899.50,880.00,890.00,891.80,889.30,471,4.19,59,434,92.14
TTKHLTCARE,EQ,19-Feb-2016,891.80,914.00,914.00,875.10,899.50,893.25,891.03,185,1.65,25,165,89.19
TTKHLTCARE,EQ,22-Feb-2016,893.25,930.00,930.00,880.00,895.00,891.90,888.52,268,2.38,28,223,83.21
TTKHLTCARE,EQ,23-Feb-2016,891.90,905.00,905.00,880.00,890.00,890.00,889.60,199,1.77,20,157,78.89
TTKHLTCARE,EQ,24-Feb-2016,890.00,890.00,890.00,851.20,860.00,862.15,865.61,506,4.38,46,431,85.18
TTKHLTCARE,EQ,25-Feb-2016,862.15,857.40,879.95,855.00,865.00,861.85,862.99,26,0.22,13,21,80.77
TTKHLTCARE,EQ,26-Feb-2016,861.85,894.00,894.00,833.00,862.00,861.90,877.07,85,0.75,20,45,52.94
TTKHLTCARE,EQ,29-Feb-2016,861.90,861.90,873.00,861.90,870.00,872.05,868.57,160,1.39,22,123,76.88
TTKHLTCARE,EQ,01-Mar-2016,872.05,861.10,924.95,861.10,899.75,895.15,911.04,544,4.96,32,505,92.83
TTKHLTCARE,EQ,02-Mar-2016,895.15,899.00,936.00,885.25,910.00,907.55,910.87,371,3.38,56,314,84.64
TTKHLTCARE,EQ,03-Mar-2016,907.55,907.00,919.00,878.10,878.10,897.45,902.10,324,2.92,20,319,98.46
TTKHLTCARE,EQ,04-Mar-2016,897.45,914.80,914.80,885.00,900.00,898.20,889.86,515,4.58,67,395,76.70
TTKHLTCARE,EQ,08-Mar-2016,898.20,897.85,933.00,897.85,930.00,924.40,912.57,273,2.49,28,263,96.34
TTKHLTCARE,EQ,09-Mar-2016,924.40,979.90,1007.00,905.10,905.10,905.10,932.52,172,1.60,23,155,90.12
TTKHLTCARE,EQ,10-Mar-2016,905.10,929.00,929.00,910.00,927.00,917.70,918.98,44,0.40,12,41,93.18
TTKHLTCARE,EQ,11-Mar-2016,917.70,910.00,910.00,905.00,905.00,905.00,906.00,50,0.45,13,50,100.00
TTKHLTCARE,EQ,14-Mar-2016,905.00,905.00,942.90,905.00,940.00,938.80,920.93,1528,14.07,89,1273,83.31
TTKHLTCARE,EQ,15-Mar-2016,938.80,915.00,940.00,915.00,940.00,934.60,933.18,137,1.28,5,127,92.70
TTKHLTCARE,EQ,16-Mar-2016,934.60,941.00,950.00,930.00,940.00,940.05,942.67,325,3.06,40,322,99.08
TTKHLTCARE,EQ,17-Mar-2016,940.05,974.00,974.00,915.00,915.00,915.05,935.59,304,2.84,48,294,96.71
TTKHLTCARE,EQ,18-Mar-2016,915.05,915.10,955.00,912.00,950.00,937.65,932.71,962,8.97,45,586,60.91
TTKHLTCARE,EQ,21-Mar-2016,937.65,958.50,959.00,940.00,959.00,952.00,950.98,564,5.36,32,489,86.70
TTKHLTCARE,EQ,22-Mar-2016,952.00,921.00,950.00,921.00,944.00,946.60,941.94,562,5.29,26,479,85.23
TTKHLTCARE,EQ,23-Mar-2016,946.60,944.00,959.80,921.30,959.80,950.05,941.35,263,2.48,33,226,85.93
TTKHLTCARE,EQ,28-Mar-2016,950.05,950.00,950.00,921.15,925.00,928.05,929.73,12,0.11,10,5,41.67
TTKHLTCARE,EQ,29-Mar-2016,928.05,950.00,965.00,916.00,925.00,922.85,926.98,530,4.91,61,396,74.72
TTKHLTCARE,EQ,30-Mar-2016,922.85,941.95,950.05,941.95,950.00,950.00,948.75,203,1.93,20,201,99.01
TTKHLTCARE,EQ,31-Mar-2016,950.00,950.05,950.05,920.75,938.70,938.70,928.61,200,1.86,32,185,92.50
TTKHLTCARE,EQ,01-Apr-2016,938.70,922.15,1000.00,922.15,971.15,980.35,974.65,807,7.87,80,707,87.61
TTKHLTCARE,EQ,04-Apr-2016,980.35,1039.00,1039.00,940.05,975.00,984.30,981.88,1019,10.01,73,950,93.23
TTKHLTCARE,EQ,05-Apr-2016,984.30,966.05,975.00,964.00,975.00,968.65,967.98,851,8.24,54,820,96.36
TTKHLTCARE,EQ,06-Apr-2016,968.65,970.10,970.10,941.00,960.00,955.90,954.16,2433,23.21,126,2226,91.49
TTKHLTCARE,EQ,07-Apr-2016,955.90,951.35,970.00,950.00,970.00,955.05,953.14,1352,12.89,101,1245,92.09
TTKHLTCARE,EQ,08-Apr-2016,955.05,951.15,969.90,936.00,960.00,960.00,949.92,972,9.23,105,705,72.53
TTKHLTCARE,EQ,11-Apr-2016,960.00,1000.00,1000.00,931.05,942.00,945.35,950.06,610,5.80,57,530,86.89
TTKHLTCARE,EQ,12-Apr-2016,945.35,950.00,973.95,930.00,950.00,949.05,945.13,669,6.32,42,484,72.35
TTKHLTCARE,EQ,13-Apr-2016,949.05,973.00,974.80,934.10,950.00,949.50,951.03,630,5.99,66,531,84.29
TTKHLTCARE,EQ,18-Apr-2016,949.50,888.00,986.00,888.00,975.00,976.70,962.24,762,7.33,65,665,87.27
TTKHLTCARE,EQ,20-Apr-2016,976.70,974.80,974.80,950.00,960.00,960.00,960.30,511,4.91,32,485,94.91
