Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TVSSRICHAK,EQ,13-Feb-2007,112.00,119.00,123.00,105.00,107.00,107.65,118.41,40229,47.63,-,3409,8.47
TVSSRICHAK,EQ,14-Feb-2007,107.65,107.75,118.45,106.00,118.45,116.20,112.23,2864,3.21,-,1017,35.51
TVSSRICHAK,EQ,15-Feb-2007,116.20,112.20,118.00,112.20,116.00,116.00,116.14,1718,2.00,-,1347,78.41
TVSSRICHAK,EQ,19-Feb-2007,116.00,110.00,117.00,110.00,112.05,112.10,112.66,459,0.52,-,344,74.95
TVSSRICHAK,EQ,20-Feb-2007,112.10,110.50,114.80,110.50,113.70,113.70,112.53,574,0.65,-,325,56.62
TVSSRICHAK,EQ,21-Feb-2007,113.70,106.25,115.80,106.25,110.70,110.70,113.11,442,0.50,-,385,87.10
TVSSRICHAK,EQ,22-Feb-2007,110.70,114.00,114.00,108.00,108.00,108.00,108.55,275,0.30,-,275,100.00
TVSSRICHAK,EQ,23-Feb-2007,108.00,112.50,112.50,102.00,110.00,109.40,106.94,4012,4.29,-,2889,72.01
TVSSRICHAK,EQ,26-Feb-2007,109.40,104.00,109.25,104.00,107.45,107.45,107.26,1461,1.57,-,1391,95.21
TVSSRICHAK,EQ,27-Feb-2007,107.45,102.20,104.80,102.20,104.80,104.80,103.50,100,0.10,-,100,100.00
TVSSRICHAK,EQ,28-Feb-2007,104.80,100.00,107.05,98.10,98.10,98.10,101.47,276,0.28,-,270,97.83
TVSSRICHAK,EQ,01-Mar-2007,98.10,94.00,96.00,94.00,96.00,96.00,95.00,20,0.02,-,10,50.00
TVSSRICHAK,EQ,02-Mar-2007,96.00,99.70,100.00,97.25,97.25,97.25,99.89,3175,3.17,-,3175,100.00
TVSSRICHAK,EQ,05-Mar-2007,97.25,95.25,95.25,90.10,90.10,90.10,92.62,5160,4.78,-,5060,98.06
TVSSRICHAK,EQ,06-Mar-2007,90.10,90.00,90.00,84.55,85.55,87.70,87.16,635,0.55,-,359,56.54
TVSSRICHAK,EQ,07-Mar-2007,87.70,86.75,86.75,85.00,85.00,85.00,86.29,1595,1.38,-,1595,100.00
TVSSRICHAK,EQ,08-Mar-2007,85.00,88.90,88.90,78.35,78.35,78.35,81.05,447,0.36,-,442,98.88
TVSSRICHAK,EQ,09-Mar-2007,78.35,81.00,86.00,81.00,85.70,85.70,82.56,1195,0.99,-,1126,94.23
TVSSRICHAK,EQ,12-Mar-2007,85.70,94.00,94.00,85.00,86.60,86.60,87.50,2068,1.81,-,64,3.09
TVSSRICHAK,EQ,13-Mar-2007,86.60,89.45,89.45,86.40,86.95,87.25,87.63,1268,1.11,-,984,77.60
