Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
UNIENTER,BE,02-Jan-2006,40.10,40.00,41.00,40.00,40.25,40.70,40.62,13229,5.37,-,-,-
UNIENTER,BE,03-Jan-2006,40.70,41.00,41.50,40.15,41.00,40.90,40.96,10976,4.50,-,-,-
UNIENTER,BE,04-Jan-2006,40.90,40.65,41.00,40.50,41.00,40.95,40.75,31765,12.94,-,-,-
UNIENTER,BE,05-Jan-2006,40.95,41.00,41.00,40.00,40.05,40.25,40.58,34361,13.94,-,-,-
UNIENTER,BE,06-Jan-2006,40.25,40.00,40.50,40.00,40.35,40.20,40.02,10288,4.12,-,-,-
UNIENTER,BE,09-Jan-2006,40.20,40.05,40.70,40.00,40.70,40.35,40.14,20119,8.08,-,-,-
UNIENTER,BE,10-Jan-2006,40.35,40.00,40.70,40.00,40.05,40.05,40.08,9900,3.97,-,-,-
UNIENTER,BE,12-Jan-2006,40.05,40.00,40.70,40.00,40.00,40.00,40.07,17894,7.17,-,-,-
UNIENTER,BE,13-Jan-2006,40.00,40.50,40.70,40.00,40.10,40.10,40.10,11755,4.71,-,-,-
UNIENTER,BE,16-Jan-2006,40.10,40.00,40.30,40.00,40.00,40.00,40.05,4300,1.72,-,-,-
UNIENTER,BE,17-Jan-2006,40.00,40.00,40.65,40.00,40.05,40.00,40.07,7737,3.10,-,-,-
UNIENTER,BE,18-Jan-2006,40.00,40.05,40.60,38.00,40.00,40.00,39.93,85905,34.30,-,-,-
UNIENTER,BE,19-Jan-2006,40.00,40.20,40.50,40.00,40.00,40.00,40.06,6190,2.48,-,-,-
UNIENTER,BE,20-Jan-2006,40.00,40.05,40.50,40.00,40.50,40.35,40.04,6000,2.40,-,-,-
UNIENTER,BE,23-Jan-2006,40.35,40.45,42.40,40.00,42.40,42.40,40.97,17020,6.97,-,-,-
UNIENTER,BE,24-Jan-2006,42.40,42.50,44.55,42.50,44.55,44.55,44.45,23060,10.25,-,-,-
UNIENTER,BE,25-Jan-2006,44.55,46.75,46.80,42.35,45.50,45.40,46.43,42170,19.58,-,-,-
UNIENTER,BE,27-Jan-2006,45.40,46.50,46.90,44.00,46.00,46.20,46.00,35701,16.42,-,-,-
UNIENTER,BE,30-Jan-2006,46.20,46.00,46.90,45.50,46.00,46.00,45.97,38233,17.58,-,-,-
UNIENTER,BE,31-Jan-2006,46.00,45.50,46.00,44.00,46.00,46.00,45.53,31863,14.51,-,-,-
UNIENTER,BE,01-Feb-2006,46.00,45.50,46.50,44.60,45.50,45.50,45.65,56860,25.96,-,-,-
UNIENTER,BE,02-Feb-2006,45.50,45.00,46.25,45.00,46.00,45.80,45.21,10817,4.89,-,-,-
UNIENTER,BE,03-Feb-2006,45.80,46.00,46.50,44.00,44.00,44.05,44.75,9550,4.27,-,-,-
UNIENTER,BE,06-Feb-2006,44.05,43.15,44.50,42.00,42.85,42.30,44.09,15987,7.05,-,-,-
UNIENTER,BE,07-Feb-2006,42.30,40.30,41.95,40.20,40.90,40.85,40.38,10906,4.40,-,-,-
UNIENTER,BE,08-Feb-2006,40.85,40.10,40.90,39.00,39.00,39.00,39.52,8850,3.50,-,-,-
UNIENTER,BE,10-Feb-2006,39.00,39.00,39.50,37.80,38.15,38.55,38.42,5693,2.19,-,-,-
UNIENTER,BE,13-Feb-2006,38.55,40.00,40.00,37.65,38.60,38.55,38.64,2870,1.11,-,-,-
UNIENTER,BE,14-Feb-2006,38.55,39.00,39.00,37.50,38.00,37.85,37.94,6985,2.65,-,-,-
UNIENTER,BE,15-Feb-2006,37.85,38.05,38.05,37.00,37.50,37.20,37.38,9934,3.71,-,-,-
UNIENTER,BE,16-Feb-2006,37.20,38.00,38.00,35.50,36.50,36.50,36.36,11597,4.22,-,-,-
UNIENTER,BE,17-Feb-2006,36.50,36.50,36.50,34.70,34.70,34.80,35.00,20473,7.17,-,-,-
UNIENTER,BE,20-Feb-2006,34.80,34.00,35.00,33.10,34.50,34.50,34.25,6655,2.28,-,-,-
UNIENTER,BE,21-Feb-2006,34.50,35.60,35.95,35.25,35.35,35.80,35.74,2230,0.80,-,-,-
UNIENTER,BE,22-Feb-2006,35.80,35.95,37.50,35.95,37.50,37.35,37.00,7496,2.77,-,-,-
UNIENTER,BE,23-Feb-2006,37.35,37.00,37.00,35.60,35.60,35.65,36.21,5701,2.06,-,-,-
UNIENTER,BE,24-Feb-2006,35.65,35.60,36.00,35.00,35.10,35.30,35.21,5765,2.03,-,-,-
UNIENTER,BE,27-Feb-2006,35.30,34.70,35.00,34.50,34.50,34.50,34.64,3409,1.18,-,-,-
UNIENTER,BE,28-Feb-2006,34.50,34.10,35.00,34.10,35.00,34.80,34.69,700,0.24,-,-,-
UNIENTER,BE,01-Mar-2006,34.80,34.00,35.15,34.00,34.05,34.20,34.43,2832,0.98,-,-,-
UNIENTER,BE,02-Mar-2006,34.20,33.75,34.95,33.00,34.50,34.40,34.37,2535,0.87,-,-,-
UNIENTER,BE,03-Mar-2006,34.40,34.50,34.50,33.00,33.75,33.55,33.69,5059,1.70,-,-,-
UNIENTER,BE,06-Mar-2006,33.55,35.00,35.15,33.30,33.30,33.30,33.84,7466,2.53,-,-,-
UNIENTER,BE,07-Mar-2006,33.30,32.80,33.45,32.75,33.45,33.30,33.19,2700,0.90,-,-,-
UNIENTER,BE,08-Mar-2006,33.30,32.80,34.15,32.50,33.25,33.25,33.35,6685,2.23,-,-,-
UNIENTER,BE,09-Mar-2006,33.25,32.70,32.95,32.20,32.50,32.50,32.50,2342,0.76,-,-,-
UNIENTER,BE,10-Mar-2006,32.50,32.05,33.90,30.90,32.00,32.05,32.18,5785,1.86,-,-,-
UNIENTER,BE,13-Mar-2006,32.05,32.00,32.80,32.00,32.50,32.15,32.25,4725,1.52,-,-,-
UNIENTER,BE,14-Mar-2006,32.15,32.75,33.15,31.75,31.80,32.15,32.21,4682,1.51,-,-,-
UNIENTER,BE,16-Mar-2006,32.15,31.80,32.75,31.10,31.10,31.45,31.67,3760,1.19,-,-,-
UNIENTER,BE,17-Mar-2006,31.45,30.50,32.00,30.40,30.50,30.50,30.71,3418,1.05,-,-,-
UNIENTER,BE,20-Mar-2006,30.50,31.00,31.00,29.60,30.00,29.80,30.14,2002,0.60,-,-,-
UNIENTER,BE,21-Mar-2006,29.80,29.50,29.80,29.05,29.05,29.25,29.50,5516,1.63,-,-,-
UNIENTER,BE,22-Mar-2006,29.25,28.05,29.25,27.95,28.50,28.70,28.64,11138,3.19,-,-,-
UNIENTER,BE,23-Mar-2006,28.70,29.00,29.00,28.25,28.55,28.60,28.71,21349,6.13,-,-,-
UNIENTER,BE,24-Mar-2006,28.60,28.75,30.05,28.75,30.05,30.05,29.17,8451,2.47,-,-,-
UNIENTER,BE,27-Mar-2006,30.05,30.50,31.50,30.30,30.30,30.30,30.89,12265,3.79,-,-,-
UNIENTER,BE,28-Mar-2006,30.30,30.20,30.20,29.25,29.25,29.60,29.65,930,0.28,-,-,-
UNIENTER,BE,29-Mar-2006,29.60,29.25,30.30,29.20,30.30,30.25,29.42,4157,1.22,-,-,-
UNIENTER,BE,30-Mar-2006,30.25,29.25,31.40,29.05,30.60,30.90,29.97,6042,1.81,-,-,-
UNIENTER,BE,31-Mar-2006,30.90,30.30,31.00,30.05,31.00,30.85,30.36,4653,1.41,-,-,-
UNIENTER,BE,03-Apr-2006,30.85,30.85,32.40,30.85,31.60,31.75,31.85,3154,1.00,-,-,-
UNIENTER,BE,04-Apr-2006,31.75,31.75,32.25,31.15,31.30,31.35,31.76,1749,0.56,-,-,-
UNIENTER,BE,05-Apr-2006,31.35,32.00,32.90,31.35,32.70,32.70,31.83,2766,0.88,-,-,-
UNIENTER,BE,07-Apr-2006,32.70,32.50,32.75,31.90,31.90,31.90,32.00,3658,1.17,-,-,-
UNIENTER,BE,10-Apr-2006,31.90,33.30,33.30,30.55,30.55,30.55,32.88,1060,0.35,-,-,-
UNIENTER,BE,12-Apr-2006,30.55,30.55,30.90,30.55,30.90,30.90,30.68,1065,0.33,-,-,-
UNIENTER,BE,13-Apr-2006,30.90,30.65,31.00,29.50,31.00,30.75,30.29,4504,1.36,-,-,-
UNIENTER,BE,17-Apr-2006,30.75,30.05,31.50,29.95,31.50,31.35,30.46,926,0.28,-,-,-
UNIENTER,BE,18-Apr-2006,31.35,30.10,31.85,30.10,31.05,31.05,30.60,3678,1.13,-,-,-
UNIENTER,BE,19-Apr-2006,31.05,30.55,31.75,30.50,30.70,30.70,30.72,1330,0.41,-,-,-
UNIENTER,BE,20-Apr-2006,30.70,30.00,31.50,30.00,31.00,31.15,30.77,3550,1.09,-,-,-
UNIENTER,BE,21-Apr-2006,31.15,30.40,32.00,30.40,31.75,31.75,30.98,3150,0.98,-,-,-
UNIENTER,BE,24-Apr-2006,31.75,32.45,32.60,30.50,32.60,32.40,31.91,22418,7.15,-,-,-
UNIENTER,BE,25-Apr-2006,32.40,33.90,33.95,33.00,33.40,33.20,33.61,4200,1.41,-,-,-
UNIENTER,BE,26-Apr-2006,33.20,33.90,34.70,33.05,34.00,34.00,34.07,6630,2.26,-,-,-
UNIENTER,BE,27-Apr-2006,34.00,33.05,34.25,33.05,34.00,34.00,33.84,2865,0.97,-,-,-
UNIENTER,BE,28-Apr-2006,34.00,34.70,34.70,32.35,33.40,33.40,32.73,1686,0.55,-,-,-
UNIENTER,BE,29-Apr-2006,33.40,34.70,35.00,33.00,34.50,34.25,34.34,3289,1.13,-,-,-
UNIENTER,BE,02-May-2006,34.25,34.75,35.75,34.75,35.00,35.30,35.32,3334,1.18,-,-,-
UNIENTER,BE,03-May-2006,35.30,36.00,36.65,34.15,35.40,35.40,35.14,2846,1.00,-,-,-
UNIENTER,BE,04-May-2006,35.40,35.40,35.40,34.00,35.10,34.90,34.63,4186,1.45,-,-,-
UNIENTER,BE,05-May-2006,34.90,34.25,36.65,34.25,36.65,36.60,36.38,10972,3.99,-,-,-
UNIENTER,BE,08-May-2006,36.60,38.20,38.30,36.10,38.20,38.15,37.98,9901,3.76,-,-,-
UNIENTER,BE,09-May-2006,38.15,37.80,38.00,36.65,37.40,37.40,37.59,9959,3.74,-,-,-
UNIENTER,BE,10-May-2006,37.40,36.30,38.50,36.00,38.25,37.45,36.77,8947,3.29,-,-,-
UNIENTER,BE,11-May-2006,37.45,37.05,37.90,36.05,37.90,37.90,37.39,11914,4.45,-,-,-
UNIENTER,BE,12-May-2006,37.90,38.00,38.00,36.10,36.50,36.50,36.75,366,0.13,-,-,-
UNIENTER,BE,15-May-2006,36.50,36.10,36.10,34.70,34.70,34.70,35.23,1497,0.53,-,-,-
UNIENTER,BE,16-May-2006,34.70,33.05,34.50,33.00,34.50,34.50,33.40,984,0.33,-,-,-
UNIENTER,BE,17-May-2006,34.50,35.50,35.50,33.00,35.00,35.00,33.82,1501,0.51,-,-,-
UNIENTER,BE,18-May-2006,35.00,33.95,36.70,33.50,33.80,33.80,34.51,1071,0.37,-,-,-
UNIENTER,BE,19-May-2006,33.80,35.00,35.00,32.15,32.15,32.15,32.15,1047,0.34,-,-,-
UNIENTER,BE,23-May-2006,32.15,30.55,31.00,30.55,31.00,30.70,30.63,3800,1.16,-,-,-
UNIENTER,BE,24-May-2006,30.70,29.60,31.45,29.20,29.20,29.20,29.55,6056,1.79,-,-,-
UNIENTER,BE,25-May-2006,29.20,29.00,29.00,28.10,29.00,28.20,28.48,510,0.15,-,-,-
UNIENTER,BE,26-May-2006,28.20,28.00,29.10,28.00,29.10,29.10,28.21,839,0.24,-,-,-
UNIENTER,BE,29-May-2006,29.10,30.60,30.60,30.05,30.05,30.05,30.16,3822,1.15,-,-,-
UNIENTER,BE,30-May-2006,30.05,30.50,30.55,29.20,30.00,30.00,30.47,960,0.29,-,-,-
UNIENTER,BE,31-May-2006,30.00,28.50,29.35,28.50,29.00,28.65,28.80,3445,0.99,-,-,-
UNIENTER,BE,01-Jun-2006,28.65,29.00,30.10,27.25,27.25,27.25,28.69,1600,0.46,-,-,-
UNIENTER,BE,02-Jun-2006,27.25,28.00,28.00,25.90,26.25,26.25,26.80,2800,0.75,-,-,-
UNIENTER,BE,05-Jun-2006,26.25,27.00,27.00,25.90,25.90,25.90,26.41,260,0.07,-,-,-
UNIENTER,BE,06-Jun-2006,25.90,25.50,25.50,24.65,24.65,24.65,24.70,5911,1.46,-,-,-
UNIENTER,BE,07-Jun-2006,24.65,24.90,24.90,23.45,23.45,23.45,23.99,1090,0.26,-,-,-
UNIENTER,BE,08-Jun-2006,23.45,23.45,23.45,22.30,22.30,22.30,22.41,2414,0.54,-,-,-
UNIENTER,BE,09-Jun-2006,22.30,22.10,23.30,22.05,22.80,23.00,22.68,7727,1.75,-,-,-
UNIENTER,EQ,12-Jun-2006,23.00,23.00,23.45,22.65,23.45,23.45,23.13,400,0.09,-,400,100.00
UNIENTER,EQ,13-Jun-2006,23.45,23.00,23.00,22.35,22.35,22.35,22.80,350,0.08,-,350,100.00
UNIENTER,EQ,14-Jun-2006,22.35,22.25,22.25,21.25,21.25,21.25,21.62,7084,1.53,-,6784,95.77
