Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VASCONEQ,EQ,15-Feb-2010,165.00,156.00,171.95,145.10,146.45,148.05,152.55,9470462,14447.29,-,1386361,14.64
VASCONEQ,EQ,16-Feb-2010,148.05,148.70,156.90,139.10,147.00,144.70,147.58,5804039,8565.51,-,539980,9.30
VASCONEQ,EQ,17-Feb-2010,144.70,148.00,149.00,141.75,144.00,143.60,144.72,770181,1114.60,-,135256,17.56
VASCONEQ,EQ,18-Feb-2010,143.60,143.05,146.60,141.60,142.00,142.45,143.66,336902,483.99,-,91072,27.03
VASCONEQ,EQ,19-Feb-2010,142.45,142.50,142.50,130.35,131.30,132.25,136.76,290900,397.83,-,71923,24.72
VASCONEQ,EQ,22-Feb-2010,132.25,134.00,136.40,124.55,124.80,125.80,130.38,244408,318.66,-,74676,30.55
VASCONEQ,EQ,23-Feb-2010,125.80,126.00,134.50,120.25,126.05,126.00,128.15,664218,851.20,-,92973,14.00
VASCONEQ,EQ,24-Feb-2010,126.00,124.00,128.75,121.85,122.60,123.75,125.40,342186,429.11,-,120600,35.24
VASCONEQ,EQ,25-Feb-2010,123.75,124.15,129.75,124.00,124.65,125.70,126.45,385501,487.48,-,190923,49.53
VASCONEQ,EQ,26-Feb-2010,125.70,126.45,126.45,121.15,122.25,121.95,123.20,112712,138.86,-,26543,23.55
VASCONEQ,EQ,02-Mar-2010,121.95,123.50,125.00,120.90,121.10,121.85,122.85,66496,81.69,-,20198,30.37
VASCONEQ,EQ,03-Mar-2010,121.85,122.95,133.30,121.60,128.00,127.40,127.24,416929,530.50,-,124948,29.97
VASCONEQ,EQ,04-Mar-2010,127.40,128.00,135.95,127.15,132.70,133.70,132.60,307738,408.08,-,59503,19.34
VASCONEQ,EQ,05-Mar-2010,133.70,135.00,135.00,127.60,127.85,128.20,130.76,152397,199.27,-,51733,33.95
VASCONEQ,EQ,08-Mar-2010,128.20,129.90,132.00,127.70,128.00,128.30,129.39,87821,113.63,-,32246,36.72
VASCONEQ,EQ,09-Mar-2010,128.30,129.40,142.05,126.00,138.35,139.15,135.99,667240,907.37,-,122645,18.38
VASCONEQ,EQ,10-Mar-2010,139.15,139.00,148.00,138.00,140.40,141.45,144.00,566664,816.01,-,86251,15.22
VASCONEQ,EQ,11-Mar-2010,141.45,140.50,141.95,136.10,137.50,137.50,138.46,147642,204.42,-,65468,44.34
VASCONEQ,EQ,12-Mar-2010,137.50,137.95,143.50,136.25,139.00,138.60,139.86,192482,269.20,-,76877,39.94
VASCONEQ,EQ,15-Mar-2010,138.60,138.15,142.05,136.40,142.05,140.50,139.99,138004,193.19,-,39098,28.33
VASCONEQ,EQ,16-Mar-2010,140.50,140.80,143.95,140.05,141.75,141.40,141.38,105529,149.20,-,71212,67.48
VASCONEQ,EQ,17-Mar-2010,141.40,143.00,143.75,141.45,142.50,142.45,142.26,158004,224.78,-,134906,85.38
VASCONEQ,EQ,18-Mar-2010,142.45,140.50,144.00,137.55,142.25,141.65,141.97,115709,164.27,-,59814,51.69
VASCONEQ,EQ,19-Mar-2010,141.65,142.95,147.15,140.20,140.20,142.30,143.67,299651,430.52,-,207156,69.13
VASCONEQ,EQ,22-Mar-2010,142.30,140.00,145.75,136.70,138.75,139.00,141.86,205387,291.35,-,102532,49.92
VASCONEQ,EQ,23-Mar-2010,139.00,143.00,145.00,139.50,141.00,140.75,142.26,116921,166.33,-,78889,67.47
VASCONEQ,EQ,25-Mar-2010,140.75,139.50,144.75,139.50,141.10,141.10,142.33,165204,235.13,-,93436,56.56
VASCONEQ,EQ,26-Mar-2010,141.10,141.10,154.25,141.10,147.80,147.80,149.37,991148,1480.45,-,153942,15.53
VASCONEQ,EQ,29-Mar-2010,147.80,149.00,155.00,143.10,150.00,150.00,150.26,399773,600.71,-,94403,23.61
VASCONEQ,EQ,30-Mar-2010,150.00,150.45,156.10,148.75,152.80,151.60,153.43,189473,290.71,-,52682,27.80
