Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VIJAYABANK,EQ,02-Jan-2006,60.90,61.00,61.70,60.85,60.95,61.05,61.15,609485,372.68,-,337646,55.40
VIJAYABANK,EQ,03-Jan-2006,61.05,61.00,63.95,60.90,63.60,63.40,62.83,2440918,1533.74,-,1229871,50.39
VIJAYABANK,EQ,04-Jan-2006,63.40,63.75,64.50,62.35,64.25,64.20,63.83,1690593,1079.08,-,813959,48.15
VIJAYABANK,EQ,05-Jan-2006,64.20,65.00,68.80,64.40,68.60,68.30,66.73,5602695,3738.72,-,3068224,54.76
VIJAYABANK,EQ,06-Jan-2006,68.30,69.00,71.45,68.35,68.85,69.15,69.86,4719680,3297.27,-,2037004,43.16
VIJAYABANK,EQ,09-Jan-2006,69.15,69.45,70.00,67.00,67.30,67.25,67.79,1020727,691.94,-,518429,50.79
VIJAYABANK,EQ,10-Jan-2006,67.25,67.35,70.00,66.80,67.70,67.85,68.54,1940343,1329.99,-,745271,38.41
VIJAYABANK,EQ,12-Jan-2006,67.85,67.00,68.00,65.05,66.10,66.15,66.18,3933911,2603.42,-,3309887,84.14
VIJAYABANK,EQ,13-Jan-2006,66.15,67.00,67.05,64.50,64.70,64.95,65.86,697017,459.03,-,332654,47.73
VIJAYABANK,EQ,16-Jan-2006,64.95,64.10,64.50,62.70,63.00,63.05,63.44,638867,405.31,-,181141,28.35
VIJAYABANK,EQ,17-Jan-2006,63.05,63.25,63.85,60.05,60.50,60.70,62.03,862627,535.12,-,474017,54.95
VIJAYABANK,EQ,18-Jan-2006,60.70,61.00,61.00,59.45,60.90,60.30,60.16,1128620,679.00,-,508087,45.02
VIJAYABANK,EQ,19-Jan-2006,60.30,60.70,63.50,60.70,63.25,63.10,62.67,639578,400.84,-,227978,35.65
VIJAYABANK,EQ,20-Jan-2006,63.10,63.00,64.70,62.85,63.55,63.45,63.58,676963,430.40,-,213853,31.59
VIJAYABANK,EQ,23-Jan-2006,63.45,63.45,63.45,60.25,63.15,62.90,62.79,537206,337.29,-,255459,47.55
VIJAYABANK,EQ,24-Jan-2006,62.90,63.00,65.00,62.25,63.05,63.30,63.96,863175,552.11,-,359174,41.61
VIJAYABANK,EQ,25-Jan-2006,63.30,63.00,63.50,60.50,60.70,60.85,61.71,621143,383.28,-,339497,54.66
VIJAYABANK,EQ,27-Jan-2006,60.85,61.85,63.25,61.85,63.00,62.95,62.84,997591,626.92,-,652570,65.41
VIJAYABANK,EQ,30-Jan-2006,62.95,63.40,63.75,61.25,61.35,61.55,61.85,331187,204.83,-,179855,54.31
VIJAYABANK,EQ,31-Jan-2006,61.55,62.00,62.25,61.05,61.55,61.40,61.43,260171,159.82,-,154847,59.52
VIJAYABANK,EQ,01-Feb-2006,61.40,62.25,62.25,60.00,60.05,60.10,60.69,269318,163.46,-,137375,51.01
VIJAYABANK,EQ,02-Feb-2006,60.10,61.00,61.00,57.70,58.40,58.40,58.89,512290,301.69,-,271377,52.97
VIJAYABANK,EQ,03-Feb-2006,58.40,59.20,59.60,58.45,59.25,58.70,58.97,297732,175.58,-,132552,44.52
VIJAYABANK,EQ,06-Feb-2006,58.70,59.65,59.65,59.00,59.40,59.10,59.23,192058,113.76,-,93310,48.58
VIJAYABANK,EQ,07-Feb-2006,59.10,59.90,60.10,59.25,59.35,59.40,59.67,246032,146.80,-,95380,38.77
VIJAYABANK,EQ,08-Feb-2006,59.40,59.90,60.40,59.00,59.50,59.35,59.45,284708,169.25,-,92451,32.47
VIJAYABANK,EQ,10-Feb-2006,59.35,59.10,61.80,58.75,61.60,61.20,60.05,1740872,1045.47,-,910576,52.31
VIJAYABANK,EQ,13-Feb-2006,61.20,61.95,63.35,61.85,62.35,62.15,62.62,1028546,644.10,-,488407,47.49
VIJAYABANK,EQ,14-Feb-2006,62.15,62.55,63.00,60.00,60.35,60.20,61.09,459291,280.59,-,236514,51.50
VIJAYABANK,EQ,15-Feb-2006,60.20,61.20,61.20,58.75,58.80,59.00,59.51,621671,369.94,-,336944,54.20
VIJAYABANK,EQ,16-Feb-2006,59.00,58.30,60.20,58.30,59.15,59.10,59.43,339487,201.76,-,110945,32.68
VIJAYABANK,EQ,17-Feb-2006,59.10,59.75,59.75,58.10,58.15,58.35,58.87,322178,189.67,-,179766,55.80
VIJAYABANK,EQ,20-Feb-2006,58.35,58.40,59.00,57.20,57.90,57.90,57.71,281846,162.67,-,143665,50.97
VIJAYABANK,EQ,21-Feb-2006,57.90,58.00,58.90,57.80,58.10,58.05,58.18,427772,248.86,-,196718,45.99
VIJAYABANK,EQ,22-Feb-2006,58.05,57.70,58.00,56.00,57.10,57.05,57.29,461764,264.56,-,227669,49.30
VIJAYABANK,EQ,23-Feb-2006,57.05,57.95,57.95,56.00,56.65,56.35,56.51,493365,278.81,-,313662,63.58
VIJAYABANK,EQ,24-Feb-2006,56.35,57.00,58.75,56.20,58.00,57.95,57.88,693841,401.59,-,439888,63.40
VIJAYABANK,EQ,27-Feb-2006,57.95,59.00,59.00,57.65,58.05,58.15,58.20,278756,162.23,-,116120,41.66
VIJAYABANK,EQ,28-Feb-2006,58.15,58.40,58.90,56.25,57.05,57.20,57.90,634714,367.51,-,286768,45.18
VIJAYABANK,EQ,01-Mar-2006,57.20,57.45,57.50,56.75,57.50,57.30,57.16,166892,95.40,-,88622,53.10
VIJAYABANK,EQ,02-Mar-2006,57.30,57.80,58.65,57.10,58.20,58.30,58.11,471492,273.98,-,238331,50.55
VIJAYABANK,EQ,03-Mar-2006,58.30,58.00,59.90,57.55,58.50,58.45,58.80,700133,411.66,-,182137,26.01
VIJAYABANK,EQ,06-Mar-2006,58.45,59.00,59.00,58.00,58.25,58.20,58.38,279698,163.28,-,149286,53.37
