Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VIKASGLOB,EQ,12-Dec-2011,154.20,156.55,165.00,156.55,165.00,163.00,161.42,9055,14.62,185,4326,47.77
VIKASGLOB,EQ,13-Dec-2011,163.00,165.00,170.00,162.25,170.00,168.05,164.49,6713,11.04,86,1300,19.37
VIKASGLOB,EQ,14-Dec-2011,168.05,168.50,173.90,167.95,173.25,172.05,172.38,46787,80.65,83,21079,45.05
VIKASGLOB,EQ,15-Dec-2011,172.05,174.00,176.80,170.00,173.00,173.05,172.32,10502,18.10,62,333,3.17
VIKASGLOB,EQ,16-Dec-2011,173.05,174.80,174.90,169.00,169.00,170.80,172.58,10522,18.16,51,5297,50.34
VIKASGLOB,EQ,19-Dec-2011,170.80,169.90,174.00,161.25,163.95,164.75,168.29,13929,23.44,44,9893,71.02
VIKASGLOB,EQ,20-Dec-2011,164.75,164.00,164.00,150.35,157.00,159.15,161.24,80697,130.11,117,80444,99.69
VIKASGLOB,EQ,21-Dec-2011,159.15,153.10,162.00,153.00,157.00,159.15,159.53,36284,57.88,87,30873,85.09
VIKASGLOB,EQ,22-Dec-2011,159.15,161.95,161.95,156.00,158.25,157.50,158.50,116934,185.34,259,97103,83.04
VIKASGLOB,BE,23-Dec-2011,157.50,157.05,159.00,150.00,150.00,150.00,154.50,20076,31.02,28,-,-
VIKASGLOB,BE,26-Dec-2011,150.00,146.00,157.25,142.50,157.25,157.25,154.72,97497,150.85,44,-,-
VIKASGLOB,BE,27-Dec-2011,157.25,153.20,158.95,153.05,153.05,153.05,158.26,51910,82.15,12,-,-
VIKASGLOB,BE,28-Dec-2011,153.05,155.00,157.50,155.00,157.50,155.00,155.42,1009,1.57,15,-,-
VIKASGLOB,BE,29-Dec-2011,155.00,156.50,156.50,150.00,150.00,150.00,150.00,118028,177.04,21,-,-
VIKASGLOB,BE,30-Dec-2011,150.00,151.00,153.85,144.05,153.85,151.00,152.13,10981,16.70,96,-,-
VIKASGLOB,BE,02-Jan-2012,151.00,148.00,153.90,146.00,153.90,149.45,149.62,270,0.40,14,-,-
VIKASGLOB,BE,03-Jan-2012,149.45,150.00,156.80,150.00,150.05,152.05,155.46,122854,190.99,44,-,-
VIKASGLOB,BE,04-Jan-2012,152.05,152.10,154.50,150.00,154.50,154.50,154.10,43886,67.63,31,-,-
VIKASGLOB,BE,05-Jan-2012,154.50,153.70,154.00,149.00,154.00,150.10,153.57,17046,26.18,17,-,-
VIKASGLOB,BE,06-Jan-2012,150.10,150.05,157.00,150.05,156.00,156.20,155.92,58032,90.48,59,-,-
VIKASGLOB,BE,09-Jan-2012,156.20,158.00,159.75,151.10,159.75,158.95,158.97,60016,95.40,67,-,-
VIKASGLOB,BE,10-Jan-2012,158.95,155.05,160.00,155.00,160.00,156.40,157.91,9520,15.03,20,-,-
VIKASGLOB,BE,11-Jan-2012,156.40,154.00,158.00,154.00,158.00,158.00,157.62,6625,10.44,8,-,-
VIKASGLOB,BE,12-Jan-2012,158.00,157.80,160.00,157.80,160.00,160.00,159.27,3,0.00,3,-,-
VIKASGLOB,BE,13-Jan-2012,160.00,155.00,163.00,155.00,163.00,163.00,161.81,10005,16.19,9,-,-
VIKASGLOB,BE,16-Jan-2012,163.00,158.50,158.50,155.00,158.00,158.00,157.93,10646,16.81,18,-,-
VIKASGLOB,BE,17-Jan-2012,158.00,157.00,159.00,153.00,153.00,158.50,157.87,41268,65.15,49,-,-
VIKASGLOB,BE,18-Jan-2012,158.50,157.50,158.00,154.00,156.50,156.50,155.92,31550,49.19,47,-,-
VIKASGLOB,BE,19-Jan-2012,156.50,155.00,158.00,155.00,157.00,157.00,156.56,26350,41.25,75,-,-
VIKASGLOB,BE,20-Jan-2012,157.00,155.00,155.00,152.00,155.00,155.00,154.91,3200,4.96,16,-,-
VIKASGLOB,BE,23-Jan-2012,155.00,161.00,161.00,156.00,158.00,157.50,157.12,22001,34.57,22,-,-
