Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VIMALOIL,EQ,21-May-2013,102.50,105.05,105.05,101.50,101.50,101.60,103.16,3324,3.43,80,600,18.05
VIMALOIL,EQ,22-May-2013,101.60,101.00,105.80,101.00,101.55,101.55,102.22,2930,3.00,56,317,10.82
VIMALOIL,EQ,23-May-2013,101.55,102.25,104.40,101.55,104.40,101.75,102.03,2900,2.96,14,200,6.90
VIMALOIL,EQ,24-May-2013,101.75,102.00,119.75,101.00,108.40,108.40,102.07,2723,2.78,70,216,7.93
VIMALOIL,EQ,27-May-2013,108.40,102.00,102.00,100.00,100.00,100.00,100.82,175,0.18,3,175,100.00
VIMALOIL,EQ,28-May-2013,100.00,101.00,103.90,99.00,99.00,99.00,100.43,2597,2.61,31,90,3.47
VIMALOIL,EQ,29-May-2013,99.00,101.00,103.90,99.20,99.20,99.20,100.50,2714,2.73,46,214,7.89
VIMALOIL,EQ,30-May-2013,99.20,99.50,103.85,99.50,99.55,99.55,101.21,6500,6.58,39,0,0.00
VIMALOIL,EQ,31-May-2013,99.55,100.95,103.25,85.60,100.00,99.55,101.09,8328,8.42,28,310,3.72
VIMALOIL,EQ,03-Jun-2013,99.55,119.30,119.30,98.00,98.10,98.10,100.45,12710,12.77,40,200,1.57
VIMALOIL,EQ,04-Jun-2013,98.10,98.00,103.15,98.00,100.00,99.50,100.79,6811,6.86,43,340,4.99
VIMALOIL,EQ,05-Jun-2013,99.50,100.00,103.00,96.00,96.00,96.00,99.55,3057,3.04,41,359,11.74
VIMALOIL,EQ,06-Jun-2013,96.00,94.00,101.95,77.00,95.05,95.05,95.46,3113,2.97,57,950,30.52
VIMALOIL,EQ,07-Jun-2013,95.05,96.25,102.70,95.00,97.00,97.00,96.49,2719,2.62,67,210,7.72
VIMALOIL,EQ,10-Jun-2013,97.00,97.25,100.10,95.00,95.05,95.05,97.40,2798,2.73,16,100,3.57
VIMALOIL,EQ,11-Jun-2013,95.05,95.35,102.65,94.00,94.00,96.10,95.70,2790,2.67,27,46,1.65
VIMALOIL,EQ,12-Jun-2013,96.10,95.25,100.55,94.00,94.00,94.15,95.27,2986,2.84,30,262,8.77
VIMALOIL,EQ,13-Jun-2013,94.15,95.25,101.25,90.00,95.00,94.75,95.20,2669,2.54,27,105,3.93
VIMALOIL,EQ,14-Jun-2013,94.75,95.55,98.00,94.60,94.60,94.90,95.60,3600,3.44,19,4,0.11
VIMALOIL,EQ,17-Jun-2013,94.90,95.95,97.45,94.00,95.00,94.20,95.24,2527,2.41,16,10,0.40
VIMALOIL,EQ,18-Jun-2013,94.20,94.95,101.20,94.95,100.95,100.95,95.31,3005,2.86,14,2,0.07
VIMALOIL,EQ,19-Jun-2013,100.95,95.75,98.05,94.00,97.80,97.80,96.32,3983,3.84,33,38,0.95
VIMALOIL,EQ,20-Jun-2013,97.80,98.00,101.85,93.90,95.00,95.00,97.30,2545,2.48,28,16,0.63
VIMALOIL,EQ,21-Jun-2013,95.00,96.00,97.25,93.70,93.70,93.90,95.86,2901,2.78,22,401,13.82
VIMALOIL,EQ,24-Jun-2013,93.90,96.45,98.00,77.20,98.00,94.60,95.62,18701,17.88,264,340,1.82
VIMALOIL,EQ,25-Jun-2013,94.60,96.00,98.00,94.00,94.00,94.00,96.39,2631,2.54,10,31,1.18
VIMALOIL,EQ,26-Jun-2013,94.00,77.00,98.00,77.00,93.00,92.95,91.52,4500,4.12,60,1029,22.87
