Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WINSOME,EQ,25-Aug-2011,35.00,35.00,35.00,33.25,33.25,33.25,34.79,120,0.04,3,110,91.67
WINSOME,EQ,26-Aug-2011,33.25,31.95,31.95,31.60,31.60,31.60,31.69,20,0.01,4,10,50.00
WINSOME,EQ,29-Aug-2011,31.60,30.05,33.20,30.05,33.20,30.70,30.72,3875,1.19,20,3825,98.71
WINSOME,EQ,30-Aug-2011,30.70,32.25,32.25,29.20,29.95,29.95,29.81,851,0.25,28,692,81.32
WINSOME,EQ,02-Sep-2011,29.95,30.95,30.95,29.90,30.20,30.15,30.08,5101,1.53,44,5062,99.24
WINSOME,EQ,05-Sep-2011,30.15,28.65,30.15,28.65,28.65,28.65,28.66,1540,0.44,17,1505,97.73
WINSOME,EQ,06-Sep-2011,28.65,29.95,29.95,27.25,27.25,27.25,27.60,771,0.21,8,420,54.47
WINSOME,EQ,07-Sep-2011,27.25,27.25,28.00,25.90,27.25,27.35,26.55,12559,3.33,112,8908,70.93
WINSOME,EQ,08-Sep-2011,27.35,26.00,28.75,26.00,28.75,28.45,28.32,2631,0.75,27,2407,91.49
WINSOME,EQ,09-Sep-2011,28.45,29.00,29.90,27.15,28.90,28.90,29.00,4347,1.26,46,3162,72.74
WINSOME,EQ,12-Sep-2011,28.90,27.50,28.20,27.45,27.45,27.45,27.57,1046,0.29,14,749,71.61
WINSOME,EQ,13-Sep-2011,27.45,26.10,27.90,26.10,27.50,27.20,26.77,5503,1.47,55,3513,63.84
WINSOME,EQ,14-Sep-2011,27.20,26.10,27.65,25.85,26.85,25.95,25.99,2683,0.70,19,2114,78.79
WINSOME,EQ,15-Sep-2011,25.95,25.05,27.25,25.05,27.25,27.25,26.98,3019,0.81,26,2114,70.02
WINSOME,EQ,16-Sep-2011,27.25,26.15,27.90,26.15,27.90,27.75,27.02,321,0.09,9,294,91.59
WINSOME,EQ,19-Sep-2011,27.75,26.60,27.85,26.55,27.85,27.85,27.16,1100,0.30,6,500,45.45
WINSOME,EQ,20-Sep-2011,27.85,28.00,28.00,26.55,26.55,27.60,27.58,534,0.15,23,409,76.59
WINSOME,EQ,21-Sep-2011,27.60,28.00,28.00,26.25,27.45,27.35,26.99,3899,1.05,33,2691,69.02
WINSOME,EQ,22-Sep-2011,27.35,27.35,27.35,26.40,26.40,26.40,26.78,201,0.05,5,201,100.00
WINSOME,EQ,23-Sep-2011,26.40,25.55,26.50,25.55,26.50,26.50,26.24,780,0.20,8,680,87.18
WINSOME,EQ,26-Sep-2011,26.50,25.30,27.80,25.20,25.65,26.00,26.01,5904,1.54,52,3452,58.47
WINSOME,EQ,27-Sep-2011,26.00,27.00,27.30,26.35,26.40,26.45,27.09,2001,0.54,12,1401,70.01
WINSOME,EQ,28-Sep-2011,26.45,26.00,26.00,26.00,26.00,26.00,26.00,211,0.05,3,211,100.00
WINSOME,EQ,29-Sep-2011,26.00,27.00,27.00,24.80,26.20,24.95,26.36,12979,3.42,14,12840,98.93
WINSOME,EQ,30-Sep-2011,24.95,24.95,26.15,24.35,26.15,26.00,25.89,4751,1.23,23,4370,91.98
WINSOME,EQ,03-Oct-2011,26.00,24.70,26.45,24.70,24.95,25.00,25.65,6582,1.69,12,6392,97.11
WINSOME,EQ,04-Oct-2011,25.00,24.00,24.95,24.00,24.55,24.60,24.43,5859,1.43,11,5650,96.43
WINSOME,EQ,05-Oct-2011,24.60,25.50,25.50,23.50,24.75,23.85,24.19,4852,1.17,35,2980,61.42
WINSOME,EQ,07-Oct-2011,23.85,22.85,25.00,22.80,24.50,24.95,24.73,12320,3.05,32,11420,92.69
WINSOME,EQ,10-Oct-2011,24.95,25.00,26.00,24.00,24.10,24.10,24.84,139,0.03,6,88,63.31
WINSOME,EQ,11-Oct-2011,24.10,23.55,25.25,23.55,25.00,25.00,24.96,5861,1.46,10,5701,97.27
WINSOME,EQ,12-Oct-2011,25.00,24.05,24.25,24.00,24.00,24.15,24.16,4200,1.01,6,3100,73.81
WINSOME,EQ,13-Oct-2011,24.15,25.40,25.40,25.40,25.40,25.40,25.40,900,0.23,3,0,0.00
WINSOME,EQ,14-Oct-2011,25.40,24.20,25.90,24.20,24.20,24.20,24.22,99,0.02,3,98,98.99
WINSOME,EQ,17-Oct-2011,24.20,24.90,24.90,23.05,23.05,23.05,24.85,1025,0.25,2,25,2.44
WINSOME,EQ,18-Oct-2011,23.05,24.10,24.10,23.00,24.10,23.90,23.90,1310,0.31,9,1245,95.04
WINSOME,EQ,19-Oct-2011,23.90,24.90,25.10,23.05,25.10,24.80,24.27,2090,0.51,18,1050,50.24
WINSOME,EQ,20-Oct-2011,24.80,25.00,25.00,23.60,24.60,23.85,23.69,1419,0.34,12,1417,99.86
WINSOME,EQ,21-Oct-2011,23.85,22.70,23.70,22.70,23.00,23.05,23.00,2070,0.48,7,2070,100.00
WINSOME,EQ,24-Oct-2011,23.05,22.00,22.90,21.90,22.25,22.45,22.04,18133,4.00,36,13450,74.17
WINSOME,EQ,24-Oct-2011,23.05,22.00,22.90,21.90,22.25,22.45,22.04,18133,4.00,36,13450,74.17
WINSOME,EQ,25-Oct-2011,22.45,22.65,22.80,21.50,22.80,22.80,22.70,38118,8.65,27,37918,99.48
WINSOME,EQ,26-Oct-2011,22.80,23.95,23.95,21.70,23.95,22.25,22.27,202,0.04,4,202,100.00
WINSOME,EQ,28-Oct-2011,22.25,21.70,22.00,21.30,21.30,21.30,21.91,1405,0.31,8,1405,100.00
WINSOME,EQ,31-Oct-2011,21.30,20.50,20.50,20.25,20.25,20.25,20.42,7856,1.60,25,7856,100.00
WINSOME,EQ,01-Nov-2011,20.25,20.25,20.60,19.25,20.60,20.15,19.55,29893,5.85,43,26263,87.86
WINSOME,EQ,02-Nov-2011,20.15,19.20,20.20,19.20,20.20,20.20,19.70,40,0.01,3,20,50.00
WINSOME,EQ,03-Nov-2011,20.20,20.60,20.60,19.30,19.30,19.30,19.95,60,0.01,2,30,50.00
WINSOME,EQ,04-Nov-2011,19.30,18.60,20.25,18.60,19.80,19.70,19.70,43184,8.51,28,43084,99.77
WINSOME,EQ,08-Nov-2011,19.70,20.45,20.45,20.45,20.45,20.45,20.45,100,0.02,1,100,100.00
WINSOME,EQ,11-Nov-2011,20.45,20.00,20.00,20.00,20.00,20.00,20.00,100,0.02,1,100,100.00
WINSOME,EQ,21-Nov-2011,20.00,18.00,18.40,16.70,18.20,18.20,18.09,4421,0.80,23,656,14.84
WINSOME,EQ,22-Nov-2011,18.20,19.10,19.10,18.25,19.10,19.10,18.98,13063,2.48,28,10775,82.48
WINSOME,EQ,23-Nov-2011,19.10,19.00,19.30,19.00,19.30,19.30,19.20,380,0.07,7,150,39.47
WINSOME,EQ,24-Nov-2011,19.30,18.50,19.25,18.50,19.00,19.00,18.82,700,0.13,5,600,85.71
WINSOME,EQ,25-Nov-2011,19.00,19.00,19.00,18.50,18.95,18.95,18.74,1805,0.34,13,925,51.25
WINSOME,EQ,28-Nov-2011,18.95,19.90,19.90,19.70,19.90,19.90,19.89,988,0.20,6,987,99.90
WINSOME,EQ,29-Nov-2011,19.90,19.90,19.90,18.90,19.50,19.35,19.47,404,0.08,7,204,50.50
WINSOME,EQ,30-Nov-2011,19.35,20.20,20.20,20.20,20.20,20.20,20.20,2,0.00,2,1,50.00
WINSOME,EQ,01-Dec-2011,20.20,21.10,21.10,19.20,20.00,20.00,20.27,1890,0.38,13,1460,77.25
WINSOME,EQ,02-Dec-2011,20.00,20.50,20.50,20.00,20.00,20.00,20.00,12651,2.53,6,12651,100.00
WINSOME,EQ,05-Dec-2011,20.00,20.90,20.90,20.90,20.90,20.90,20.90,260,0.05,2,260,100.00
WINSOME,EQ,07-Dec-2011,20.90,19.85,20.00,19.85,20.00,20.00,20.00,22512,4.50,5,22512,100.00
WINSOME,EQ,14-Dec-2011,20.00,19.00,19.70,19.00,19.50,19.15,19.22,4022,0.77,38,3251,80.83
WINSOME,EQ,15-Dec-2011,19.15,18.50,19.70,18.30,19.70,19.25,18.99,3041,0.58,14,1941,63.83
WINSOME,EQ,16-Dec-2011,19.25,18.55,19.65,18.55,19.00,19.25,18.90,800,0.15,7,600,75.00
WINSOME,EQ,19-Dec-2011,19.25,18.50,19.30,18.50,19.25,19.15,18.95,1626,0.31,8,1125,69.19
