Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
XPROINDIA,EQ,02-Jan-2006,43.80,44.80,45.85,44.40,45.30,45.45,45.17,19500,8.81,-,12227,62.70
XPROINDIA,EQ,03-Jan-2006,45.45,46.00,46.70,45.35,45.95,45.95,46.02,68908,31.71,-,41751,60.59
XPROINDIA,EQ,04-Jan-2006,45.95,46.90,49.90,45.70,47.70,47.30,47.93,126855,60.81,-,40567,31.98
XPROINDIA,EQ,05-Jan-2006,47.30,48.40,48.40,45.20,45.35,45.45,46.33,42073,19.49,-,22415,53.28
XPROINDIA,EQ,06-Jan-2006,45.45,46.20,46.25,45.30,45.60,45.80,45.81,16013,7.33,-,7380,46.09
XPROINDIA,EQ,09-Jan-2006,45.80,46.20,46.30,45.40,45.50,45.65,45.87,9397,4.31,-,8016,85.30
XPROINDIA,EQ,10-Jan-2006,45.65,47.60,51.00,45.05,46.00,45.55,45.82,8442,3.87,-,4885,57.87
XPROINDIA,EQ,12-Jan-2006,45.55,45.75,46.00,44.55,44.95,44.95,45.32,7002,3.17,-,5567,79.51
XPROINDIA,EQ,13-Jan-2006,44.95,45.00,45.50,44.50,44.50,44.65,44.99,8922,4.01,-,5378,60.28
XPROINDIA,EQ,16-Jan-2006,44.65,44.50,45.40,43.80,43.85,44.00,44.26,8562,3.79,-,7213,84.24
XPROINDIA,EQ,17-Jan-2006,44.00,50.50,50.50,43.10,43.10,43.40,44.03,11982,5.28,-,10404,86.83
XPROINDIA,EQ,18-Jan-2006,43.40,43.10,43.65,43.00,43.20,43.20,43.20,9577,4.14,-,7369,76.94
XPROINDIA,EQ,19-Jan-2006,43.20,50.00,50.00,40.30,44.10,44.20,44.25,36018,15.94,-,20245,56.21
XPROINDIA,EQ,20-Jan-2006,44.20,49.95,49.95,44.00,44.25,44.15,44.45,10000,4.45,-,5890,58.90
