Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
YESBANK,EQ,02-Jan-2006,68.40,69.00,69.50,68.20,68.40,68.35,68.84,80274,55.26,-,51553,64.22
YESBANK,EQ,03-Jan-2006,68.35,68.60,71.20,68.50,69.50,69.50,69.86,342338,239.16,-,150455,43.95
YESBANK,EQ,04-Jan-2006,69.50,69.95,70.00,68.50,69.00,68.95,69.04,154266,106.51,-,116821,75.73
YESBANK,EQ,05-Jan-2006,68.95,69.90,73.40,68.75,71.80,71.60,71.72,1751117,1255.90,-,693145,39.58
YESBANK,EQ,06-Jan-2006,71.60,71.50,72.65,69.75,71.55,71.45,71.35,673639,480.63,-,384973,57.15
YESBANK,EQ,09-Jan-2006,71.45,72.00,72.45,68.50,69.00,69.15,70.13,1005161,704.91,-,387876,38.59
YESBANK,EQ,10-Jan-2006,69.15,69.50,71.35,68.00,68.25,68.15,69.28,1094396,758.23,-,663769,60.65
YESBANK,EQ,12-Jan-2006,68.15,68.75,70.10,68.00,70.00,69.65,69.44,505375,350.92,-,346804,68.62
YESBANK,EQ,13-Jan-2006,69.65,70.25,74.95,70.00,73.65,74.20,73.11,1935787,1415.29,-,1133150,58.54
YESBANK,EQ,16-Jan-2006,74.20,74.90,76.60,73.15,73.85,73.80,74.92,1247640,934.67,-,535691,42.94
YESBANK,EQ,17-Jan-2006,73.80,74.00,74.35,72.00,73.10,73.05,72.96,377435,275.37,-,215514,57.10
YESBANK,EQ,18-Jan-2006,73.05,72.50,73.00,71.10,72.00,71.85,71.82,196611,141.20,-,88179,44.85
YESBANK,EQ,19-Jan-2006,71.85,72.00,74.00,72.00,72.00,72.30,72.66,201151,146.16,-,104260,51.83
YESBANK,EQ,20-Jan-2006,72.30,72.50,73.20,71.35,71.50,71.65,71.85,237810,170.87,-,185307,77.92
YESBANK,EQ,23-Jan-2006,71.65,71.00,73.50,70.10,73.10,73.00,72.58,326697,237.13,-,238304,72.94
YESBANK,EQ,24-Jan-2006,73.00,73.50,75.60,73.40,75.00,75.25,74.98,661739,496.14,-,526068,79.50
YESBANK,EQ,25-Jan-2006,75.25,75.25,84.30,75.00,82.75,82.05,80.55,2438011,1963.90,-,1067744,43.80
YESBANK,EQ,27-Jan-2006,82.05,83.00,85.45,81.55,82.00,82.00,83.04,1216017,1009.72,-,498827,41.02
YESBANK,EQ,30-Jan-2006,82.00,82.00,83.00,77.05,78.40,78.75,79.10,629633,498.05,-,374994,59.56
