Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ZENTEC,EQ,30-Mar-2015,48.90,49.00,57.30,49.00,55.50,55.00,54.47,59509,32.41,590,26227,44.07
ZENTEC,EQ,31-Mar-2015,55.00,56.70,58.50,55.00,56.95,55.95,56.26,137591,77.41,311,83267,60.52
ZENTEC,EQ,01-Apr-2015,55.95,57.40,57.40,54.15,56.20,55.70,55.76,148767,82.95,223,121961,81.98
ZENTEC,EQ,06-Apr-2015,55.70,57.25,66.80,56.50,62.75,63.70,63.61,308258,196.08,1953,140776,45.67
ZENTEC,EQ,07-Apr-2015,63.70,63.95,72.00,63.00,69.00,69.45,67.56,281312,190.04,2256,111048,39.48
ZENTEC,EQ,08-Apr-2015,69.45,70.20,73.00,64.40,70.00,70.05,67.77,608437,412.33,4447,241352,39.67
ZENTEC,EQ,09-Apr-2015,70.05,72.45,81.45,72.45,79.50,79.70,78.12,1390034,1085.91,8303,581040,41.80
ZENTEC,EQ,10-Apr-2015,79.70,80.60,82.80,77.60,78.95,79.20,79.60,432915,344.62,3966,146324,33.80
ZENTEC,EQ,13-Apr-2015,79.20,79.65,79.65,74.35,76.65,77.25,77.01,206972,159.39,1772,91364,44.14
ZENTEC,EQ,15-Apr-2015,77.25,77.00,79.70,75.95,77.00,77.30,77.54,178758,138.60,1512,64366,36.01
ZENTEC,EQ,16-Apr-2015,77.30,78.50,79.45,73.10,73.75,74.25,75.46,122946,92.77,1231,56723,46.14
ZENTEC,EQ,17-Apr-2015,74.25,75.00,76.85,72.60,74.00,73.80,74.61,101631,75.82,1049,37787,37.18
ZENTEC,EQ,20-Apr-2015,73.80,74.90,75.00,68.25,69.00,69.00,70.90,82563,58.53,660,54340,65.82
ZENTEC,EQ,21-Apr-2015,69.00,67.10,72.80,67.10,68.75,68.75,70.06,84727,59.36,946,35822,42.28
ZENTEC,EQ,22-Apr-2015,68.75,69.20,70.95,66.10,68.50,68.40,68.11,112900,76.89,878,83683,74.12
ZENTEC,EQ,23-Apr-2015,68.40,68.50,71.95,67.00,67.00,67.30,69.59,121348,84.45,1056,47188,38.89
ZENTEC,EQ,24-Apr-2015,67.30,68.65,68.65,60.60,63.60,61.90,63.35,113839,72.11,1214,60718,53.34
ZENTEC,EQ,27-Apr-2015,61.90,62.40,63.45,55.75,55.75,55.75,57.28,68078,39.00,504,53821,79.06
ZENTEC,EQ,28-Apr-2015,55.75,53.95,53.95,53.00,53.00,53.00,53.07,211703,112.36,777,140831,66.52
ZENTEC,EQ,29-Apr-2015,53.00,50.50,55.65,50.45,55.65,55.65,55.01,193482,106.43,864,93250,48.20
ZENTEC,EQ,30-Apr-2015,55.65,56.70,58.40,55.40,58.40,58.40,57.44,140155,80.51,951,101207,72.21
ZENTEC,EQ,04-May-2015,58.40,61.25,61.30,59.50,61.30,61.30,61.13,139961,85.55,1020,51698,36.94
ZENTEC,EQ,05-May-2015,61.30,63.40,64.35,62.30,64.35,64.35,63.79,143267,91.39,620,94508,65.97
ZENTEC,EQ,06-May-2015,64.35,65.00,67.00,61.15,61.15,61.15,62.75,178130,111.78,929,110972,62.30
ZENTEC,EQ,07-May-2015,61.15,62.50,62.50,58.10,58.10,58.10,59.03,48515,28.64,309,29698,61.21
ZENTEC,EQ,08-May-2015,58.10,59.05,61.00,56.10,57.55,58.85,59.69,107900,64.40,823,64777,60.03
ZENTEC,EQ,11-May-2015,58.85,60.00,60.90,57.60,58.25,58.70,59.47,77032,45.81,736,53543,69.51
ZENTEC,EQ,12-May-2015,58.70,59.00,59.85,55.90,56.60,56.25,56.82,37780,21.47,372,22468,59.47
ZENTEC,EQ,13-May-2015,56.25,58.80,58.80,55.10,57.60,57.40,57.24,48717,27.88,922,33775,69.33
ZENTEC,EQ,14-May-2015,57.40,56.05,58.80,56.00,56.50,56.90,57.15,52919,30.24,283,39101,73.89
ZENTEC,EQ,15-May-2015,56.90,56.10,57.55,54.10,54.90,55.70,55.36,141919,78.57,946,98994,69.75
ZENTEC,EQ,18-May-2015,55.70,56.50,58.45,55.65,58.45,58.45,57.34,64287,36.86,496,38563,59.99
ZENTEC,EQ,19-May-2015,58.45,60.70,60.80,56.25,57.95,57.30,58.64,74942,43.94,753,39914,53.26
ZENTEC,EQ,20-May-2015,57.30,57.00,58.95,56.55,57.80,57.35,57.52,47296,27.20,299,32309,68.31
ZENTEC,EQ,21-May-2015,57.35,56.40,58.20,55.10,57.65,57.75,56.84,30524,17.35,334,11433,37.46
ZENTEC,EQ,22-May-2015,57.75,58.10,58.85,57.15,57.80,57.75,57.95,36635,21.23,242,18383,50.18
ZENTEC,EQ,25-May-2015,57.75,60.60,60.60,60.50,60.60,60.60,60.60,75138,45.53,131,58621,78.02
ZENTEC,EQ,26-May-2015,60.60,63.60,63.60,63.60,63.60,63.60,63.60,13214,8.40,47,13214,100.00
ZENTEC,EQ,27-May-2015,63.60,66.75,66.75,60.50,66.75,66.75,66.18,523287,346.33,2507,215245,41.13
ZENTEC,EQ,28-May-2015,66.75,70.05,70.05,68.55,70.05,70.05,69.94,185134,129.48,737,113082,61.08
ZENTEC,EQ,29-May-2015,70.05,73.55,73.55,73.55,73.55,73.55,73.55,19375,14.25,61,19363,99.94
ZENTEC,EQ,01-Jun-2015,73.55,77.20,77.20,77.20,77.20,77.20,77.20,19852,15.33,62,19852,100.00
ZENTEC,EQ,02-Jun-2015,77.20,81.05,81.05,74.25,76.95,76.35,80.26,1435235,1151.89,7025,503755,35.10
ZENTEC,EQ,03-Jun-2015,76.35,76.00,76.05,72.55,72.55,72.55,73.43,80361,59.01,570,54462,67.77
ZENTEC,EQ,04-Jun-2015,72.55,69.55,76.15,69.00,76.15,76.15,73.69,265781,195.86,2340,111995,42.14
ZENTEC,EQ,05-Jun-2015,76.15,77.30,79.00,75.20,76.35,76.75,77.63,229032,177.80,1851,126268,55.13
ZENTEC,EQ,08-Jun-2015,76.75,76.05,80.00,75.55,76.00,76.05,78.02,89698,69.99,848,59834,66.71
ZENTEC,BE,09-Jun-2015,76.05,78.00,79.00,72.50,76.50,77.10,77.33,54918,42.47,220,-,-
ZENTEC,BE,10-Jun-2015,77.10,74.10,78.90,74.10,75.00,75.25,76.45,48072,36.75,238,-,-
ZENTEC,BE,11-Jun-2015,75.25,73.50,77.50,71.50,72.95,71.95,72.97,24973,18.22,153,-,-
ZENTEC,BE,12-Jun-2015,71.95,71.00,72.90,69.90,70.00,70.50,71.19,35864,25.53,148,-,-
ZENTEC,BE,15-Jun-2015,70.50,70.00,74.00,68.05,74.00,74.00,73.06,24552,17.94,161,-,-
ZENTEC,BE,16-Jun-2015,74.00,77.70,77.70,76.00,77.70,77.70,77.42,157204,121.70,416,-,-
ZENTEC,BE,17-Jun-2015,77.70,80.70,81.55,74.55,81.00,80.80,80.21,249569,200.18,650,-,-
ZENTEC,BE,18-Jun-2015,80.80,82.00,82.50,78.05,79.25,79.80,80.81,57511,46.47,232,-,-
ZENTEC,BE,19-Jun-2015,79.80,78.10,81.00,77.00,77.15,77.70,79.63,25012,19.92,205,-,-
ZENTEC,BE,22-Jun-2015,77.70,75.10,81.55,75.10,81.00,81.15,80.62,132612,106.92,519,-,-
ZENTEC,BE,23-Jun-2015,81.15,82.85,82.85,78.50,79.20,79.40,79.50,20316,16.15,175,-,-
ZENTEC,BE,24-Jun-2015,79.40,79.00,83.00,79.00,80.15,81.15,81.47,94557,77.03,377,-,-
ZENTEC,BE,25-Jun-2015,81.15,80.00,81.50,78.35,80.45,79.45,79.49,25915,20.60,87,-,-
ZENTEC,BE,26-Jun-2015,79.45,78.00,80.90,75.55,78.60,78.60,78.98,29644,23.41,97,-,-
ZENTEC,BE,29-Jun-2015,78.60,77.00,77.40,75.00,76.00,76.80,76.07,23624,17.97,130,-,-
ZENTEC,BE,30-Jun-2015,76.80,75.15,77.90,75.15,75.45,76.25,76.36,11521,8.80,72,-,-
ZENTEC,BE,01-Jul-2015,76.25,73.00,80.05,73.00,80.05,80.05,79.29,74466,59.04,200,-,-
ZENTEC,BE,02-Jul-2015,80.05,84.05,84.05,80.20,81.00,81.95,82.33,58222,47.94,231,-,-
ZENTEC,BE,03-Jul-2015,81.95,85.00,85.50,82.00,82.50,82.20,83.86,59154,49.61,265,-,-
ZENTEC,BE,06-Jul-2015,82.20,82.20,82.20,79.05,80.60,80.90,81.17,43858,35.60,156,-,-
ZENTEC,EQ,07-Jul-2015,80.90,82.00,84.85,81.00,82.70,82.15,83.53,101054,84.41,595,37966,37.57
ZENTEC,EQ,08-Jul-2015,82.15,80.15,81.00,78.30,78.85,79.10,79.65,47411,37.76,289,34000,71.71
ZENTEC,EQ,09-Jul-2015,79.10,79.10,83.05,79.10,83.05,83.05,82.80,220206,182.33,1143,92113,41.83
ZENTEC,EQ,10-Jul-2015,83.05,83.00,85.90,80.20,81.00,81.25,82.29,64930,53.43,343,55153,84.94
ZENTEC,EQ,13-Jul-2015,81.25,82.00,82.85,79.50,81.00,81.00,81.11,66385,53.84,234,48425,72.95
ZENTEC,EQ,14-Jul-2015,81.00,81.05,85.05,80.55,84.75,84.65,84.55,332139,280.82,1131,188413,56.73
ZENTEC,EQ,15-Jul-2015,84.65,82.20,88.85,82.20,88.30,88.30,88.18,359221,316.74,1463,179000,49.83
ZENTEC,EQ,16-Jul-2015,88.30,89.80,92.70,88.50,92.70,92.70,91.91,345833,317.85,2000,175411,50.72
ZENTEC,EQ,17-Jul-2015,92.70,94.90,97.30,94.05,97.30,97.30,96.78,255975,247.74,886,137716,53.80
ZENTEC,EQ,20-Jul-2015,97.30,98.90,101.00,92.50,94.00,94.55,96.12,281938,270.99,1928,152221,53.99
ZENTEC,EQ,21-Jul-2015,94.55,90.75,99.25,90.75,93.00,93.10,97.69,264219,258.11,1795,108132,40.93
ZENTEC,EQ,22-Jul-2015,93.10,91.00,97.75,91.00,97.75,97.65,97.15,329897,320.50,1726,183565,55.64
ZENTEC,EQ,23-Jul-2015,97.65,98.85,101.25,95.00,96.00,96.75,97.90,155703,152.43,1449,81215,52.16
ZENTEC,EQ,24-Jul-2015,96.75,96.00,100.85,94.85,97.75,96.70,97.41,131527,128.12,997,82088,62.41
ZENTEC,EQ,27-Jul-2015,96.70,92.10,98.80,92.10,94.00,94.00,94.82,72134,68.40,627,47916,66.43
ZENTEC,EQ,28-Jul-2015,94.00,94.10,96.25,89.30,90.00,89.95,92.34,157140,145.10,764,114766,73.03
ZENTEC,EQ,29-Jul-2015,89.95,90.50,94.40,86.20,94.40,94.40,92.78,219915,204.03,1716,92686,42.15
ZENTEC,EQ,30-Jul-2015,94.40,97.25,97.25,92.35,92.50,92.95,94.03,120841,113.63,1034,58188,48.15
ZENTEC,EQ,31-Jul-2015,92.95,92.10,97.55,92.10,95.00,95.40,96.49,181720,175.34,1098,98601,54.26
ZENTEC,EQ,03-Aug-2015,95.40,95.80,98.60,92.50,94.50,94.60,96.10,84013,80.73,688,41273,49.13
ZENTEC,EQ,04-Aug-2015,94.60,93.00,96.70,93.00,93.55,94.30,94.30,55615,52.44,352,36009,64.75
ZENTEC,EQ,05-Aug-2015,94.30,95.10,99.00,95.00,99.00,99.00,98.46,104331,102.73,481,92526,88.69
ZENTEC,EQ,06-Aug-2015,99.00,100.00,103.00,96.20,100.00,101.65,100.32,283434,284.34,2418,161359,56.93
ZENTEC,EQ,07-Aug-2015,101.65,101.35,101.35,96.90,98.50,97.65,98.65,160300,158.13,1272,81857,51.06
ZENTEC,EQ,10-Aug-2015,97.65,98.95,100.90,95.60,96.05,96.95,98.51,64171,63.22,610,47706,74.34
ZENTEC,EQ,11-Aug-2015,96.95,97.00,97.00,92.10,95.40,94.00,94.53,103320,97.66,738,86976,84.18
ZENTEC,EQ,12-Aug-2015,94.00,94.45,94.45,84.60,87.00,86.00,87.48,266749,233.35,912,176097,66.02
ZENTEC,EQ,13-Aug-2015,86.00,88.40,90.20,80.80,81.25,82.70,85.73,110071,94.37,1011,61994,56.32
ZENTEC,EQ,14-Aug-2015,82.70,84.95,90.00,82.15,85.00,85.35,86.48,182274,157.63,1294,66885,36.69
ZENTEC,EQ,17-Aug-2015,85.35,87.45,91.40,84.30,87.50,87.20,87.79,160492,140.90,1400,70988,44.23
ZENTEC,EQ,18-Aug-2015,87.20,87.95,91.50,87.00,89.60,89.40,89.60,112627,100.92,942,42649,37.87
ZENTEC,EQ,19-Aug-2015,89.40,90.65,93.00,89.05,91.75,92.20,91.26,127671,116.51,1103,68592,53.73
ZENTEC,EQ,20-Aug-2015,92.20,92.85,93.75,88.00,89.00,88.50,90.88,109434,99.45,1041,69628,63.63
ZENTEC,EQ,21-Aug-2015,88.50,89.00,89.00,82.85,86.35,85.70,85.10,90844,77.31,642,52908,58.24
ZENTEC,EQ,24-Aug-2015,85.70,86.80,86.80,77.15,77.15,77.15,79.21,111245,88.12,783,83251,74.84
