Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KALECONSUL,BE,02-Jan-2006,89.35,87.00,90.25,87.00,90.00,89.95,89.89,24587,22.10,-,-,-
KALECONSUL,BE,03-Jan-2006,89.95,90.25,94.45,88.00,93.70,93.20,93.16,92271,85.96,-,-,-
KALECONSUL,BE,04-Jan-2006,93.20,93.75,97.90,91.00,97.90,97.90,96.66,47358,45.78,-,-,-
KALECONSUL,BE,05-Jan-2006,97.90,102.80,102.80,99.60,102.10,102.30,102.58,107444,110.22,-,-,-
KALECONSUL,BE,06-Jan-2006,102.30,103.00,103.00,97.20,97.95,99.25,99.47,39672,39.46,-,-,-
KALECONSUL,BE,09-Jan-2006,99.25,99.90,101.90,98.00,99.70,99.10,99.99,23223,23.22,-,-,-
KALECONSUL,BE,10-Jan-2006,99.10,99.00,100.00,96.25,96.40,97.00,97.96,9856,9.65,-,-,-
KALECONSUL,BE,12-Jan-2006,97.00,99.95,101.85,95.00,101.85,101.85,99.64,56765,56.56,-,-,-
KALECONSUL,BE,13-Jan-2006,101.85,103.70,104.00,101.10,102.00,102.00,102.37,29439,30.14,-,-,-
KALECONSUL,BE,16-Jan-2006,102.00,102.00,102.10,96.90,99.80,97.90,98.26,30760,30.22,-,-,-
KALECONSUL,BE,17-Jan-2006,97.90,96.05,100.00,96.00,97.00,96.45,97.47,14711,14.34,-,-,-
KALECONSUL,BE,18-Jan-2006,96.45,95.00,98.00,94.00,97.85,97.15,95.91,11535,11.06,-,-,-
KALECONSUL,BE,19-Jan-2006,97.15,97.85,101.00,96.10,98.55,99.90,99.00,40835,40.43,-,-,-
KALECONSUL,BE,20-Jan-2006,99.90,101.00,102.70,98.75,100.00,100.95,101.06,49501,50.03,-,-,-
KALECONSUL,BE,23-Jan-2006,100.95,102.20,103.10,98.50,101.30,101.80,101.82,40686,41.43,-,-,-
KALECONSUL,BE,24-Jan-2006,101.80,102.10,103.50,101.00,102.00,101.75,102.43,38446,39.38,-,-,-
KALECONSUL,BE,25-Jan-2006,101.75,103.25,103.90,97.00,97.20,97.25,100.59,26070,26.22,-,-,-
KALECONSUL,BE,27-Jan-2006,97.25,98.00,98.85,95.00,96.00,96.00,97.21,13878,13.49,-,-,-
KALECONSUL,BE,30-Jan-2006,96.00,98.00,100.60,92.65,93.70,94.90,95.12,34428,32.75,-,-,-
KALECONSUL,BE,31-Jan-2006,94.90,97.50,97.50,92.00,93.40,92.70,93.59,9871,9.24,-,-,-
KALECONSUL,BE,01-Feb-2006,92.70,92.05,92.50,90.00,90.00,90.75,91.19,21630,19.72,-,-,-
KALECONSUL,BE,02-Feb-2006,90.75,90.50,92.50,88.10,92.00,92.00,91.50,21010,19.22,-,-,-
KALECONSUL,BE,03-Feb-2006,92.00,95.00,96.60,93.70,96.60,96.60,96.33,22444,21.62,-,-,-
KALECONSUL,BE,06-Feb-2006,96.60,101.35,101.45,96.50,99.10,99.75,99.63,32101,31.98,-,-,-
KALECONSUL,BE,07-Feb-2006,99.75,98.20,101.70,96.60,98.00,97.80,99.23,31212,30.97,-,-,-
KALECONSUL,BE,08-Feb-2006,97.80,99.00,100.40,96.05,100.40,99.10,99.15,21664,21.48,-,-,-
KALECONSUL,BE,10-Feb-2006,99.10,101.90,102.00,95.00,100.90,100.50,100.06,31834,31.85,-,-,-
KALECONSUL,BE,13-Feb-2006,100.50,100.50,102.00,98.55,99.05,99.30,100.16,22733,22.77,-,-,-
KALECONSUL,BE,14-Feb-2006,99.30,99.25,101.00,98.65,99.00,99.05,99.30,13006,12.91,-,-,-
KALECONSUL,BE,15-Feb-2006,99.05,101.90,101.90,96.10,97.25,97.85,98.00,11674,11.44,-,-,-
KALECONSUL,BE,16-Feb-2006,97.85,98.90,100.00,96.00,97.50,96.30,97.93,11384,11.15,-,-,-
KALECONSUL,BE,17-Feb-2006,96.30,98.00,100.00,94.20,94.20,94.45,95.91,15909,15.26,-,-,-
KALECONSUL,BE,20-Feb-2006,94.45,94.00,97.30,91.20,92.00,92.40,93.77,16264,15.25,-,-,-
KALECONSUL,BE,21-Feb-2006,92.40,94.00,97.05,93.00,94.40,96.20,95.10,19181,18.24,-,-,-
KALECONSUL,BE,22-Feb-2006,96.20,96.00,97.00,93.00,94.00,93.80,94.60,10642,10.07,-,-,-
KALECONSUL,BE,23-Feb-2006,93.80,95.00,98.50,93.05,93.05,95.25,95.99,19443,18.66,-,-,-
KALECONSUL,BE,24-Feb-2006,95.25,92.35,96.00,92.35,93.05,93.25,93.34,4613,4.31,-,-,-
KALECONSUL,BE,27-Feb-2006,93.25,92.00,96.00,91.75,92.95,92.50,93.14,7478,6.97,-,-,-
KALECONSUL,BE,28-Feb-2006,92.50,91.55,94.70,91.00,93.30,92.35,92.82,9482,8.80,-,-,-
KALECONSUL,BE,01-Mar-2006,92.35,92.15,94.90,91.00,93.50,93.40,93.44,13539,12.65,-,-,-
KALECONSUL,BE,02-Mar-2006,93.40,93.50,97.50,93.05,96.45,96.30,96.01,23219,22.29,-,-,-
KALECONSUL,BE,03-Mar-2006,96.30,95.50,97.95,95.50,96.45,96.10,96.08,11035,10.60,-,-,-
KALECONSUL,BE,06-Mar-2006,96.10,95.95,97.00,94.60,96.75,96.45,96.18,19519,18.77,-,-,-
KALECONSUL,BE,07-Mar-2006,96.45,96.75,96.75,93.10,96.00,96.00,95.92,31498,30.21,-,-,-
KALECONSUL,BE,08-Mar-2006,96.00,94.55,97.00,91.20,91.20,91.90,93.81,15709,14.74,-,-,-
