Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ADORWELD,EQ,02-Jan-2006,388.75,390.40,396.75,390.00,393.00,391.90,391.87,19590,76.77,-,12339,62.99
ADORWELD,EQ,03-Jan-2006,391.90,393.00,404.00,393.00,396.00,396.60,398.15,34641,137.92,-,15720,45.38
ADORWELD,EQ,04-Jan-2006,396.60,402.00,402.00,395.00,396.00,396.70,398.04,16533,65.81,-,8872,53.66
ADORWELD,EQ,05-Jan-2006,396.70,398.00,399.80,392.10,399.50,397.00,396.26,15069,59.71,-,7908,52.48
ADORWELD,EQ,06-Jan-2006,397.00,401.00,401.00,391.00,391.00,393.30,394.25,10484,41.33,-,5604,53.45
ADORWELD,EQ,09-Jan-2006,393.30,393.30,413.00,393.10,413.00,413.00,408.84,339451,1387.82,-,322836,95.11
ADORWELD,EQ,10-Jan-2006,413.00,422.00,427.95,402.00,402.00,406.10,419.01,88380,370.32,-,28030,31.72
ADORWELD,EQ,12-Jan-2006,406.10,407.85,407.85,395.00,395.00,396.95,399.70,21267,85.00,-,9693,45.58
ADORWELD,EQ,13-Jan-2006,396.95,398.00,408.00,391.15,394.00,394.20,398.89,18634,74.33,-,8067,43.29
ADORWELD,EQ,16-Jan-2006,394.20,394.00,401.90,390.00,390.05,390.60,393.31,17381,68.36,-,9826,56.53
ADORWELD,EQ,17-Jan-2006,390.60,387.00,407.00,387.00,393.10,394.85,399.81,38753,154.94,-,14853,38.33
ADORWELD,EQ,18-Jan-2006,394.85,388.25,398.50,388.25,393.10,392.85,393.21,16829,66.17,-,8081,48.02
ADORWELD,EQ,19-Jan-2006,392.85,396.00,412.50,396.00,410.00,409.85,407.47,31016,126.38,-,14035,45.25
ADORWELD,EQ,20-Jan-2006,409.85,419.00,419.00,390.10,396.50,399.25,409.05,108132,442.32,-,41353,38.24
ADORWELD,EQ,23-Jan-2006,399.25,399.25,399.60,388.10,392.50,392.55,392.85,23454,92.14,-,11589,49.41
ADORWELD,EQ,24-Jan-2006,392.55,395.10,397.50,390.00,392.00,390.60,392.52,14973,58.77,-,9611,64.19
ADORWELD,EQ,25-Jan-2006,390.60,393.00,408.00,390.00,399.85,396.30,399.99,39235,156.94,-,16445,41.91
ADORWELD,EQ,27-Jan-2006,396.30,401.50,403.50,392.00,392.00,393.60,398.03,16822,66.96,-,10816,64.30
ADORWELD,EQ,30-Jan-2006,393.60,395.00,396.00,385.20,385.25,386.25,390.19,14242,55.57,-,8966,62.95
ADORWELD,EQ,31-Jan-2006,386.25,392.45,392.45,375.20,377.95,378.00,382.10,15408,58.87,-,10365,67.27
ADORWELD,EQ,01-Feb-2006,378.00,378.00,384.00,373.00,374.00,373.90,378.54,20728,78.46,-,9663,46.62
ADORWELD,EQ,02-Feb-2006,373.90,377.00,378.90,365.15,370.00,368.35,370.45,14017,51.93,-,7898,56.35
ADORWELD,EQ,03-Feb-2006,368.35,369.25,374.70,355.10,357.05,360.70,364.56,12240,44.62,-,8603,70.29
ADORWELD,EQ,06-Feb-2006,360.70,363.95,375.00,363.95,373.50,373.05,368.65,15371,56.66,-,9962,64.81
ADORWELD,EQ,07-Feb-2006,373.05,367.50,389.25,367.50,382.50,383.05,383.76,21902,84.05,-,14520,66.30
ADORWELD,EQ,08-Feb-2006,383.05,371.00,385.00,365.00,372.25,371.95,373.77,12885,48.16,-,8521,66.13
ADORWELD,EQ,10-Feb-2006,371.95,378.95,378.95,370.10,375.00,372.00,373.09,15006,55.99,-,12347,82.28
ADORWELD,EQ,13-Feb-2006,372.00,380.90,380.95,374.00,376.40,377.80,375.77,10726,40.30,-,7941,74.04
ADORWELD,EQ,14-Feb-2006,377.80,381.00,396.00,380.10,380.10,381.55,387.26,38841,150.41,-,19728,50.79
ADORWELD,EQ,15-Feb-2006,381.55,388.00,388.00,376.00,380.50,379.20,381.31,8811,33.60,-,4792,54.39
ADORWELD,EQ,16-Feb-2006,379.20,380.05,394.80,376.00,393.05,392.90,390.06,38885,151.68,-,26886,69.14
ADORWELD,EQ,17-Feb-2006,392.90,399.95,414.00,382.00,396.75,394.00,398.36,56857,226.50,-,21026,36.98
ADORWELD,EQ,20-Feb-2006,394.00,390.00,396.00,380.60,396.00,393.25,389.99,17855,69.63,-,10232,57.31
ADORWELD,EQ,21-Feb-2006,393.25,391.50,394.00,380.20,382.95,383.40,386.37,12263,47.38,-,7879,64.25
ADORWELD,EQ,22-Feb-2006,383.40,387.00,389.90,378.10,384.00,380.40,382.69,15224,58.26,-,11012,72.33
ADORWELD,EQ,23-Feb-2006,380.40,385.00,389.40,376.05,377.80,378.75,381.53,9210,35.14,-,3139,34.08
ADORWELD,EQ,24-Feb-2006,378.75,384.40,384.40,370.20,371.00,373.55,377.37,11268,42.52,-,5957,52.87
ADORWELD,EQ,27-Feb-2006,373.55,353.30,376.75,299.95,371.70,368.80,370.62,11448,42.43,-,7186,62.77
ADORWELD,EQ,28-Feb-2006,368.80,374.50,399.00,363.10,396.00,385.80,381.00,22696,86.47,-,16972,74.78
ADORWELD,EQ,01-Mar-2006,385.80,387.00,392.00,383.00,386.50,389.30,386.67,20818,80.50,-,12681,60.91
ADORWELD,EQ,02-Mar-2006,389.30,391.50,391.50,378.00,378.00,380.40,383.36,11930,45.74,-,4689,39.30
ADORWELD,EQ,03-Mar-2006,380.40,384.00,390.00,377.00,390.00,384.90,383.04,10337,39.59,-,7127,68.95
ADORWELD,EQ,06-Mar-2006,384.90,394.00,394.00,380.00,389.00,389.20,387.98,9698,37.63,-,8387,86.48
ADORWELD,EQ,07-Mar-2006,389.20,390.00,397.45,384.10,393.25,394.25,391.86,16749,65.63,-,12828,76.59
ADORWELD,EQ,08-Mar-2006,394.25,396.00,430.95,395.00,426.50,423.15,417.61,155444,649.15,-,61475,39.55
ADORWELD,EQ,09-Mar-2006,423.15,430.00,445.00,410.10,413.00,415.75,429.24,133098,571.31,-,27951,21.00
ADORWELD,EQ,10-Mar-2006,415.75,419.70,428.00,405.20,428.00,418.50,416.54,38490,160.32,-,19957,51.85
ADORWELD,EQ,13-Mar-2006,418.50,428.80,434.85,422.00,425.60,428.95,428.80,40890,175.34,-,23143,56.60
ADORWELD,EQ,14-Mar-2006,428.95,430.00,434.90,419.00,423.00,425.00,428.97,39407,169.04,-,19443,49.34
ADORWELD,EQ,16-Mar-2006,425.00,420.15,447.25,420.15,439.00,439.50,437.01,62798,274.44,-,32959,52.48
ADORWELD,EQ,17-Mar-2006,439.50,442.00,444.00,429.00,434.00,431.65,435.12,17904,77.90,-,9378,52.38
ADORWELD,EQ,20-Mar-2006,431.65,433.00,439.00,421.55,424.95,423.15,430.89,10725,46.21,-,5532,51.58
ADORWELD,EQ,21-Mar-2006,423.15,427.00,429.00,405.20,420.00,417.80,421.07,17225,72.53,-,10555,61.28
ADORWELD,EQ,22-Mar-2006,417.80,400.55,419.80,360.00,396.15,401.35,406.20,12412,50.42,-,7072,56.98
ADORWELD,EQ,23-Mar-2006,401.35,407.90,416.95,395.50,397.00,400.60,404.43,9463,38.27,-,5040,53.26
ADORWELD,EQ,24-Mar-2006,400.60,404.95,407.00,395.00,395.00,397.30,397.95,11455,45.59,-,4543,39.66
ADORWELD,EQ,27-Mar-2006,397.30,404.80,406.00,396.70,400.10,400.80,401.05,9084,36.43,-,4724,52.00
ADORWELD,EQ,28-Mar-2006,400.80,398.00,404.00,390.00,390.00,392.35,397.53,13172,52.36,-,8872,67.35
ADORWELD,EQ,29-Mar-2006,392.35,395.00,416.90,395.00,414.00,413.55,410.29,19030,78.08,-,10042,52.77
ADORWELD,EQ,30-Mar-2006,413.55,413.50,421.00,403.05,404.50,404.65,412.54,16395,67.64,-,8824,53.82
ADORWELD,EQ,31-Mar-2006,404.65,406.50,409.95,396.30,396.55,399.65,401.87,9768,39.25,-,7683,78.65
ADORWELD,EQ,03-Apr-2006,399.65,407.00,407.00,400.00,400.05,401.40,403.19,6457,26.03,-,4276,66.22
ADORWELD,EQ,04-Apr-2006,401.40,390.00,410.00,385.00,400.00,402.50,401.91,7332,29.47,-,4350,59.33
ADORWELD,EQ,05-Apr-2006,402.50,406.95,438.00,403.00,424.50,424.65,423.26,34499,146.02,-,17787,51.56
ADORWELD,EQ,07-Apr-2006,424.65,434.00,445.00,392.80,403.00,408.85,428.34,39585,169.56,-,18338,46.33
ADORWELD,EQ,10-Apr-2006,408.85,415.00,458.00,415.00,433.00,433.75,439.65,88505,389.12,-,33914,38.32
ADORWELD,EQ,12-Apr-2006,433.75,433.75,451.80,418.10,421.00,424.10,437.92,63290,277.16,-,32484,51.33
ADORWELD,EQ,13-Apr-2006,424.10,420.00,422.50,401.00,405.00,409.30,411.78,17774,73.19,-,8475,47.68
ADORWELD,EQ,17-Apr-2006,409.30,409.30,482.35,409.30,473.25,475.90,461.39,127573,588.61,-,37663,29.52
ADORWELD,EQ,18-Apr-2006,475.90,479.80,498.00,460.00,461.70,466.20,478.63,145302,695.46,-,31080,21.39
ADORWELD,EQ,19-Apr-2006,466.20,468.85,483.95,448.10,473.95,474.25,472.93,78057,369.15,-,16092,20.62
ADORWELD,EQ,20-Apr-2006,474.25,478.85,478.85,464.00,470.00,468.10,470.17,17853,83.94,-,6666,37.34
ADORWELD,EQ,21-Apr-2006,468.10,474.70,474.70,440.10,455.00,461.85,465.52,14567,67.81,-,8533,58.58
ADORWELD,EQ,24-Apr-2006,461.85,468.00,492.30,446.20,475.50,479.70,475.38,28032,133.26,-,13393,47.78
ADORWELD,EQ,25-Apr-2006,479.70,484.90,495.00,470.00,475.00,473.70,483.60,37659,182.12,-,20482,54.39
ADORWELD,EQ,26-Apr-2006,473.70,469.00,489.00,469.00,485.00,484.75,482.82,15306,73.90,-,10381,67.82
ADORWELD,EQ,27-Apr-2006,484.75,492.00,514.00,489.00,498.00,499.85,500.67,38622,193.37,-,15538,40.23
ADORWELD,EQ,28-Apr-2006,499.85,500.00,522.00,476.00,480.60,485.60,498.52,45143,225.05,-,20883,46.26
ADORWELD,EQ,29-Apr-2006,485.60,504.00,510.00,481.10,484.00,489.35,498.97,14327,71.49,-,8945,62.43
ADORWELD,EQ,02-May-2006,489.35,501.00,501.00,480.30,484.75,485.15,489.46,17475,85.53,-,13638,78.04
ADORWELD,EQ,03-May-2006,485.15,480.00,490.00,467.00,467.05,471.20,474.15,19152,90.81,-,13176,68.80
ADORWELD,EQ,04-May-2006,471.20,478.00,478.00,460.00,465.00,467.30,468.56,14967,70.13,-,10241,68.42
ADORWELD,EQ,05-May-2006,467.30,464.00,473.85,435.20,455.50,455.20,458.87,12670,58.14,-,8291,65.44
ADORWELD,EQ,08-May-2006,455.20,475.00,475.00,461.15,469.00,469.10,468.38,9275,43.44,-,5533,59.65
ADORWELD,EQ,09-May-2006,469.10,467.00,484.90,467.00,480.20,482.20,475.31,9942,47.25,-,7429,74.72
ADORWELD,EQ,10-May-2006,482.20,493.00,494.00,473.00,473.30,474.65,479.15,8757,41.96,-,6503,74.26
ADORWELD,EQ,11-May-2006,474.65,475.00,482.00,475.00,481.00,479.60,479.42,8589,41.18,-,7550,87.90
ADORWELD,EQ,12-May-2006,479.60,462.20,480.00,462.20,474.00,473.20,475.75,14020,66.70,-,13159,93.86
ADORWELD,EQ,15-May-2006,473.20,470.00,474.00,450.00,461.00,459.60,461.60,17508,80.82,-,16480,94.13
ADORWELD,EQ,16-May-2006,459.60,475.00,475.00,413.70,460.00,451.75,440.41,11611,51.14,-,8250,71.05
ADORWELD,EQ,17-May-2006,451.75,460.00,472.50,460.00,472.50,467.70,467.52,5195,24.29,-,4968,95.63
ADORWELD,EQ,18-May-2006,467.70,445.00,454.80,420.95,420.95,420.95,433.51,10920,47.34,-,9226,84.49
ADORWELD,EQ,19-May-2006,420.95,420.95,455.00,390.00,409.00,403.85,404.08,16505,66.69,-,13459,81.54
ADORWELD,EQ,22-May-2006,403.85,400.00,405.00,363.50,365.00,369.40,369.25,7339,27.10,-,6277,85.53
ADORWELD,EQ,23-May-2006,369.40,374.75,386.70,361.10,385.00,376.65,375.47,5375,20.18,-,3161,58.81
ADORWELD,EQ,24-May-2006,376.65,405.00,408.90,381.00,408.00,402.75,399.11,18199,72.63,-,15821,86.93
ADORWELD,EQ,25-May-2006,402.75,390.00,413.00,385.00,413.00,410.05,399.92,3130,12.52,-,2442,78.02
ADORWELD,EQ,26-May-2006,410.05,405.00,429.00,405.00,424.00,423.40,420.43,9419,39.60,-,6520,69.22
ADORWELD,EQ,29-May-2006,423.40,425.00,435.00,420.85,435.00,433.65,430.35,4630,19.93,-,4052,87.52
ADORWELD,EQ,30-May-2006,433.65,431.85,434.00,425.00,425.00,429.60,429.84,19132,82.24,-,18330,95.81
ADORWELD,EQ,31-May-2006,429.60,400.10,426.90,387.15,390.00,389.95,392.51,10339,40.58,-,8997,87.02
ADORWELD,EQ,01-Jun-2006,389.95,397.80,404.00,371.20,400.00,399.60,385.49,35235,135.83,-,30193,85.69
ADORWELD,EQ,02-Jun-2006,399.60,390.00,403.90,365.00,400.00,400.00,392.84,30228,118.75,-,24700,81.71
ADORWELD,EQ,05-Jun-2006,400.00,385.00,402.00,370.00,380.00,378.30,389.86,8902,34.71,-,7036,79.04
ADORWELD,EQ,06-Jun-2006,378.30,370.00,375.00,340.50,340.50,342.25,355.81,14826,52.75,-,10743,72.46
ADORWELD,EQ,07-Jun-2006,342.25,339.00,342.95,325.15,325.15,325.15,332.33,4502,14.96,-,3323,73.81
ADORWELD,EQ,08-Jun-2006,325.15,302.80,305.95,299.40,299.40,299.65,299.66,12507,37.48,-,11411,91.24
ADORWELD,EQ,09-Jun-2006,299.65,299.00,314.00,285.00,314.00,312.05,302.15,11341,34.27,-,8719,76.88
ADORWELD,EQ,12-Jun-2006,312.05,314.00,323.00,301.00,315.00,312.85,311.87,2740,8.55,-,1818,66.35
ADORWELD,EQ,13-Jun-2006,312.85,300.00,306.95,298.10,300.00,299.80,299.26,11268,33.72,-,10763,95.52
ADORWELD,EQ,14-Jun-2006,299.80,302.00,306.00,284.90,284.90,284.90,293.02,1737,5.09,-,1394,80.25
ADORWELD,EQ,15-Jun-2006,284.90,285.00,299.00,272.00,299.00,298.90,282.00,7870,22.19,-,5316,67.55
ADORWELD,EQ,16-Jun-2006,298.90,303.00,313.85,303.00,313.85,313.85,313.71,1700,5.33,-,1650,97.06
ADORWELD,EQ,19-Jun-2006,313.85,329.00,329.55,303.00,329.55,329.55,326.68,2747,8.97,-,2220,80.82
ADORWELD,EQ,20-Jun-2006,329.55,346.00,346.00,326.00,336.00,338.55,339.82,4821,16.38,-,2938,60.94
ADORWELD,EQ,21-Jun-2006,338.55,322.30,355.50,322.30,355.45,355.00,348.39,4212,14.67,-,2244,53.28
ADORWELD,EQ,22-Jun-2006,355.00,372.00,372.00,350.00,363.00,360.35,358.28,11190,40.09,-,6596,58.95
ADORWELD,EQ,23-Jun-2006,360.35,350.10,369.70,350.00,365.05,365.80,363.50,5733,20.84,-,4023,70.17
ADORWELD,EQ,25-Jun-2006,365.80,363.00,372.95,363.00,370.00,368.65,369.07,411,1.52,-,227,55.23
ADORWELD,EQ,26-Jun-2006,368.65,384.70,384.70,355.95,372.35,363.50,366.01,13571,49.67,-,9697,71.45
ADORWELD,EQ,27-Jun-2006,363.50,370.00,372.75,362.00,370.00,369.30,368.38,5592,20.60,-,4796,85.77
ADORWELD,EQ,28-Jun-2006,369.30,370.00,370.00,360.00,366.00,365.75,367.05,3979,14.61,-,3184,80.02
ADORWELD,EQ,29-Jun-2006,365.75,373.95,375.00,367.00,369.20,371.20,370.23,1715,6.35,-,1482,86.41
ADORWELD,EQ,30-Jun-2006,371.20,360.10,386.00,360.10,381.90,382.00,375.87,4632,17.41,-,3110,67.14
ADORWELD,EQ,03-Jul-2006,382.00,388.00,388.00,375.00,385.00,384.35,380.76,5186,19.75,-,4062,78.33
ADORWELD,EQ,04-Jul-2006,384.35,387.00,391.90,382.00,382.00,384.70,385.68,1860,7.17,-,708,38.06
ADORWELD,EQ,05-Jul-2006,384.70,377.00,403.90,377.00,401.00,400.65,392.60,4858,19.07,-,4011,82.56
ADORWELD,EQ,06-Jul-2006,400.65,386.05,399.00,386.00,392.75,391.85,391.07,3011,11.78,-,2442,81.10
ADORWELD,EQ,07-Jul-2006,391.85,392.00,395.45,382.30,384.05,385.70,388.92,6498,25.27,-,5601,86.20
ADORWELD,EQ,10-Jul-2006,385.70,382.00,392.65,382.00,386.50,388.30,388.79,5297,20.59,-,3415,64.47
ADORWELD,EQ,11-Jul-2006,388.30,389.00,389.00,384.00,387.85,386.25,386.04,8943,34.52,-,8050,90.01
ADORWELD,EQ,12-Jul-2006,386.25,380.00,385.85,380.00,385.00,384.80,382.00,3270,12.49,-,2739,83.76
ADORWELD,EQ,13-Jul-2006,384.80,370.25,385.00,370.25,384.00,384.15,383.45,4865,18.65,-,4333,89.06
ADORWELD,EQ,14-Jul-2006,384.15,366.00,382.00,366.00,374.40,373.30,375.64,2754,10.35,-,1916,69.57
ADORWELD,EQ,17-Jul-2006,373.30,370.00,379.00,368.00,375.75,369.30,369.83,5208,19.26,-,4623,88.77
ADORWELD,EQ,18-Jul-2006,369.30,365.00,365.00,355.00,355.00,359.85,359.79,2147,7.72,-,1780,82.91
ADORWELD,EQ,19-Jul-2006,359.85,373.40,373.40,350.00,352.00,354.75,355.83,9253,32.92,-,7630,82.46
ADORWELD,EQ,20-Jul-2006,354.75,360.00,365.00,357.10,360.00,359.90,360.11,3173,11.43,-,2880,90.77
ADORWELD,EQ,21-Jul-2006,359.90,353.05,355.00,347.00,350.50,350.10,351.39,3626,12.74,-,3321,91.59
ADORWELD,EQ,24-Jul-2006,350.10,348.00,354.85,347.00,354.00,350.40,349.27,4838,16.90,-,4371,90.35
ADORWELD,EQ,25-Jul-2006,350.40,360.00,360.00,345.00,350.00,348.90,351.74,14403,50.66,-,13920,96.65
ADORWELD,EQ,26-Jul-2006,348.90,345.00,354.45,345.00,350.00,350.00,349.88,10381,36.32,-,9029,86.98
ADORWELD,EQ,27-Jul-2006,350.00,350.00,355.00,347.20,350.00,349.80,351.33,9110,32.01,-,8840,97.04
ADORWELD,EQ,28-Jul-2006,349.80,355.00,357.00,332.40,332.40,332.40,343.52,6576,22.59,-,5510,83.79
ADORWELD,EQ,31-Jul-2006,332.40,320.00,321.00,315.80,315.80,315.80,317.65,6444,20.47,-,6444,100.00
ADORWELD,EQ,01-Aug-2006,315.80,316.00,316.00,300.05,300.05,300.05,300.12,11415,34.26,-,11400,99.87
ADORWELD,EQ,02-Aug-2006,300.05,285.50,315.05,285.10,312.00,309.50,300.63,25934,77.97,-,12488,48.15
ADORWELD,EQ,03-Aug-2006,309.50,315.90,322.00,315.00,315.00,317.75,319.34,17534,55.99,-,13908,79.32
ADORWELD,EQ,04-Aug-2006,317.75,317.75,322.00,306.00,311.00,311.20,312.81,7488,23.42,-,5683,75.89
ADORWELD,EQ,07-Aug-2006,311.20,318.00,323.90,306.10,311.00,309.45,312.12,10326,32.23,-,8710,84.35
ADORWELD,EQ,08-Aug-2006,309.45,319.50,319.50,309.25,309.50,309.95,310.06,6092,18.89,-,5494,90.18
ADORWELD,EQ,09-Aug-2006,309.95,309.00,315.00,306.00,315.00,314.35,312.04,12811,39.97,-,9569,74.69
ADORWELD,EQ,10-Aug-2006,314.35,317.15,326.90,315.00,321.00,320.05,320.89,6418,20.59,-,4382,68.28
ADORWELD,EQ,11-Aug-2006,320.05,338.65,338.65,323.00,328.50,330.70,330.43,8243,27.24,-,4067,49.34
ADORWELD,EQ,14-Aug-2006,330.70,348.00,348.00,331.50,332.10,333.40,337.55,4692,15.84,-,2899,61.79
ADORWELD,EQ,16-Aug-2006,333.40,345.00,347.70,335.00,343.00,339.95,340.35,10232,34.83,-,6640,64.89
ADORWELD,EQ,17-Aug-2006,339.95,348.80,348.80,330.00,337.00,337.60,337.25,14289,48.19,-,11525,80.66
ADORWELD,EQ,18-Aug-2006,337.60,342.00,342.00,331.00,337.80,336.45,335.39,6194,20.77,-,5109,82.48
ADORWELD,EQ,21-Aug-2006,336.45,337.75,344.95,337.75,340.00,339.00,339.12,3482,11.81,-,2873,82.51
ADORWELD,EQ,22-Aug-2006,339.00,336.50,354.00,336.50,340.00,340.10,342.80,13268,45.48,-,8136,61.32
ADORWELD,EQ,23-Aug-2006,340.10,341.00,344.70,340.00,341.50,340.10,341.01,4178,14.25,-,3625,86.76
ADORWELD,EQ,24-Aug-2006,340.10,344.95,344.95,333.00,340.10,341.00,340.20,5000,17.01,-,4733,94.66
