Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AEGISCHEM,EQ,02-Jan-2006,293.70,296.00,296.00,286.10,287.60,287.40,291.13,66215,192.77,-,30424,45.95
AEGISCHEM,EQ,03-Jan-2006,287.40,290.00,301.75,288.10,291.00,292.85,296.74,163272,484.50,-,36850,22.57
AEGISCHEM,EQ,04-Jan-2006,292.85,295.00,297.90,285.00,289.50,289.75,292.06,122043,356.43,-,35420,29.02
AEGISCHEM,EQ,05-Jan-2006,289.75,292.00,293.00,288.00,289.00,288.85,289.62,25830,74.81,-,11431,44.25
AEGISCHEM,EQ,06-Jan-2006,288.85,289.10,294.50,286.50,287.00,287.00,290.08,36701,106.46,-,12477,34.00
AEGISCHEM,EQ,09-Jan-2006,287.00,295.00,295.00,285.05,285.25,286.20,287.76,25146,72.36,-,14824,58.95
AEGISCHEM,EQ,10-Jan-2006,286.20,286.20,289.90,283.00,288.00,284.95,285.15,36293,103.49,-,17543,48.34
AEGISCHEM,EQ,12-Jan-2006,284.95,286.00,288.00,282.05,283.80,283.85,285.34,31320,89.37,-,16445,52.51
AEGISCHEM,EQ,13-Jan-2006,283.85,284.00,286.00,280.00,280.70,281.10,283.40,15079,42.73,-,9923,65.81
AEGISCHEM,EQ,16-Jan-2006,281.10,284.90,291.80,276.00,281.40,283.00,284.67,48290,137.47,-,18931,39.20
AEGISCHEM,EQ,17-Jan-2006,283.00,289.00,290.95,268.90,274.10,272.25,282.82,51792,146.48,-,21137,40.81
AEGISCHEM,EQ,18-Jan-2006,272.25,279.80,279.80,258.65,265.50,262.50,265.57,42184,112.03,-,20371,48.29
AEGISCHEM,EQ,19-Jan-2006,262.50,268.00,275.65,266.00,275.65,275.45,273.89,70478,193.03,-,25929,36.79
