Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AGRITECH,BE,28-Jan-2014,10.30,37.00,37.00,35.15,35.15,35.15,35.15,2071,0.73,7,-,-
AGRITECH,BE,29-Jan-2014,35.15,33.40,33.40,33.40,33.40,33.40,33.40,800,0.27,3,-,-
AGRITECH,BE,31-Jan-2014,33.40,31.75,31.75,31.75,31.75,31.75,31.75,46,0.01,1,-,-
AGRITECH,BE,03-Feb-2014,31.75,30.20,30.20,30.20,30.20,30.20,30.20,1,0.00,1,-,-
AGRITECH,BE,06-Feb-2014,30.20,28.70,28.70,28.70,28.70,28.70,28.70,360,0.10,3,-,-
AGRITECH,BE,13-Feb-2014,28.70,27.30,27.30,27.30,27.30,27.30,27.30,50,0.01,2,-,-
AGRITECH,BE,19-Feb-2014,27.30,25.95,25.95,25.95,25.95,25.95,25.95,1,0.00,1,-,-
AGRITECH,BE,20-Feb-2014,25.95,24.70,24.70,24.70,24.70,24.70,24.70,1,0.00,1,-,-
AGRITECH,BE,21-Feb-2014,24.70,23.50,23.50,23.50,23.50,23.50,23.50,2,0.00,2,-,-
AGRITECH,BE,24-Feb-2014,23.50,22.50,22.50,22.35,22.35,22.35,22.49,525,0.12,2,-,-
AGRITECH,BE,25-Feb-2014,22.35,21.25,21.25,21.25,21.25,21.25,21.25,31,0.01,2,-,-
AGRITECH,BE,26-Feb-2014,21.25,20.20,20.20,20.20,20.20,20.20,20.20,40,0.01,1,-,-
AGRITECH,BE,28-Feb-2014,20.20,19.20,19.20,19.20,19.20,19.20,19.20,94,0.02,1,-,-
AGRITECH,BE,03-Mar-2014,19.20,18.25,18.25,18.25,18.25,18.25,18.25,561,0.10,9,-,-
AGRITECH,BE,05-Mar-2014,18.25,17.35,17.35,17.35,17.35,17.35,17.35,275,0.05,2,-,-
AGRITECH,BE,06-Mar-2014,17.35,16.50,16.50,16.50,16.50,16.50,16.50,50,0.01,1,-,-
AGRITECH,BE,10-Mar-2014,16.50,15.70,15.70,15.70,15.70,15.70,15.70,354,0.06,3,-,-
AGRITECH,BE,11-Mar-2014,15.70,14.95,14.95,14.95,14.95,14.95,14.95,1031,0.15,2,-,-
AGRITECH,BE,12-Mar-2014,14.95,14.25,14.25,14.25,14.25,14.25,14.25,131,0.02,2,-,-
AGRITECH,BE,13-Mar-2014,14.25,13.55,13.55,13.55,13.55,13.55,13.55,31,0.00,1,-,-
AGRITECH,BE,14-Mar-2014,13.55,12.90,12.90,12.90,12.90,12.90,12.90,33,0.00,2,-,-
AGRITECH,BE,18-Mar-2014,12.90,12.30,12.30,12.30,12.30,12.30,12.30,43,0.01,3,-,-
AGRITECH,BE,19-Mar-2014,12.30,11.70,11.70,11.70,11.70,11.70,11.70,239,0.03,4,-,-
AGRITECH,BE,20-Mar-2014,11.70,11.15,11.15,11.15,11.15,11.15,11.15,293,0.03,6,-,-
AGRITECH,BE,21-Mar-2014,11.15,10.60,10.60,10.60,10.60,10.60,10.60,33,0.00,2,-,-
AGRITECH,BE,24-Mar-2014,10.60,10.10,10.10,10.10,10.10,10.10,10.10,584,0.06,6,-,-
AGRITECH,BE,25-Mar-2014,10.10,9.60,9.60,9.60,9.60,9.60,9.60,376,0.04,3,-,-
AGRITECH,BE,26-Mar-2014,9.60,9.15,9.15,9.15,9.15,9.15,9.15,52,0.00,3,-,-
AGRITECH,BE,27-Mar-2014,9.15,8.70,8.70,8.70,8.70,8.70,8.70,426,0.04,4,-,-
AGRITECH,BE,28-Mar-2014,8.70,8.30,8.30,8.30,8.30,8.30,8.30,1012,0.08,3,-,-
AGRITECH,BE,31-Mar-2014,8.30,7.90,7.90,7.90,7.90,7.90,7.90,794,0.06,7,-,-
AGRITECH,BE,01-Apr-2014,7.90,7.85,7.85,7.55,7.55,7.55,7.60,2438,0.19,34,-,-
AGRITECH,BE,02-Apr-2014,7.55,7.20,7.90,7.20,7.60,7.35,7.49,4887,0.37,64,-,-
AGRITECH,BE,03-Apr-2014,7.35,7.00,7.65,7.00,7.05,7.45,7.36,5291,0.39,58,-,-
AGRITECH,BE,04-Apr-2014,7.45,7.55,7.55,7.10,7.10,7.10,7.17,2491,0.18,25,-,-
AGRITECH,BE,07-Apr-2014,7.10,7.10,7.10,6.75,7.05,6.80,6.89,2840,0.20,26,-,-
AGRITECH,BE,09-Apr-2014,6.80,6.80,6.80,6.50,6.50,6.50,6.50,4096,0.27,31,-,-
AGRITECH,BE,10-Apr-2014,6.50,6.50,6.80,6.50,6.80,6.80,6.61,2411,0.16,20,-,-
AGRITECH,BE,11-Apr-2014,6.80,7.10,7.10,7.10,7.10,7.10,7.10,2657,0.19,17,-,-
AGRITECH,BE,15-Apr-2014,7.10,7.20,7.35,6.80,7.00,6.95,7.17,6786,0.49,40,-,-
