Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AIFL,EQ,02-Dec-2015,281.80,285.00,290.00,275.95,278.60,280.10,280.72,61219,171.85,645,13512,22.07
AIFL,EQ,03-Dec-2015,280.10,282.95,284.00,275.00,279.45,275.35,280.44,26838,75.27,238,3991,14.87
AIFL,EQ,04-Dec-2015,275.35,267.00,278.85,267.00,270.00,269.90,273.34,27785,75.95,206,5436,19.56
AIFL,EQ,07-Dec-2015,269.90,278.00,278.00,256.50,262.30,263.20,267.96,28403,76.11,231,4892,17.22
AIFL,EQ,08-Dec-2015,263.20,267.00,268.10,258.00,258.00,260.40,264.36,23901,63.18,145,2864,11.98
AIFL,EQ,09-Dec-2015,260.40,269.25,270.00,250.00,250.00,251.20,256.83,37763,96.99,230,10237,27.11
AIFL,EQ,10-Dec-2015,251.20,254.00,256.00,251.00,252.00,253.50,254.14,23423,59.53,150,2118,9.04
AIFL,EQ,11-Dec-2015,253.50,255.00,256.95,247.60,248.05,248.00,253.85,23149,58.76,89,2872,12.41
AIFL,EQ,14-Dec-2015,248.00,250.00,263.80,249.60,254.15,256.70,256.09,29618,75.85,160,7840,26.47
AIFL,EQ,15-Dec-2015,256.70,258.00,258.00,252.00,252.10,252.55,255.52,25454,65.04,75,4172,16.39
AIFL,EQ,16-Dec-2015,252.55,255.50,257.00,248.50,248.50,250.80,254.30,28000,71.21,121,4621,16.50
AIFL,EQ,17-Dec-2015,250.80,257.50,257.50,248.30,250.00,250.00,250.97,44416,111.47,274,13617,30.66
AIFL,EQ,18-Dec-2015,250.00,258.00,258.00,251.05,252.00,252.55,252.66,106991,270.33,164,45152,42.20
AIFL,EQ,21-Dec-2015,252.55,255.00,256.80,251.00,254.50,254.80,254.10,29439,74.80,191,6591,22.39
AIFL,EQ,22-Dec-2015,254.80,254.00,259.70,252.50,258.95,256.65,254.76,26262,66.91,167,3034,11.55
AIFL,EQ,23-Dec-2015,256.65,262.75,271.40,257.05,270.00,268.65,265.56,45098,119.76,309,14674,32.54
AIFL,EQ,24-Dec-2015,268.65,281.90,289.90,274.00,276.00,279.45,282.46,109575,309.51,1805,47370,43.23
AIFL,EQ,28-Dec-2015,279.45,282.20,294.90,282.00,293.00,289.90,286.03,46971,134.35,769,21218,45.17
AIFL,EQ,29-Dec-2015,289.90,296.85,311.00,292.95,300.00,301.15,302.36,99811,301.79,1802,40985,41.06
AIFL,EQ,30-Dec-2015,301.15,304.00,304.00,288.05,291.00,290.95,297.52,48103,143.12,718,17165,35.68
AIFL,EQ,31-Dec-2015,290.95,291.00,308.00,288.50,291.95,293.05,296.80,55806,165.63,908,21434,38.41
AIFL,EQ,01-Jan-2016,293.05,293.00,301.95,288.10,290.00,292.25,295.31,44102,130.24,706,17116,38.81
AIFL,EQ,04-Jan-2016,292.25,290.50,297.70,282.00,284.00,285.85,290.30,91494,265.60,592,38674,42.27
AIFL,EQ,05-Jan-2016,285.85,289.70,299.80,286.50,290.00,295.00,293.28,66742,195.74,473,22421,33.59
AIFL,EQ,06-Jan-2016,295.00,298.50,327.00,290.00,302.35,302.40,310.25,154800,480.27,3729,44751,28.91
AIFL,EQ,07-Jan-2016,302.40,294.50,317.90,286.25,303.80,306.15,300.24,103783,311.60,2981,40917,39.43
AIFL,EQ,08-Jan-2016,306.15,311.80,318.00,296.60,303.00,302.90,310.17,67755,210.16,1375,27167,40.10
AIFL,EQ,11-Jan-2016,302.90,302.70,315.00,298.25,313.40,311.45,308.66,61857,190.93,1331,15538,25.12
AIFL,EQ,12-Jan-2016,311.45,313.40,323.50,297.00,299.00,299.50,311.09,139979,435.47,2013,73930,52.82
AIFL,EQ,13-Jan-2016,299.50,303.95,307.65,275.00,290.10,292.75,293.31,99921,293.08,1700,40818,40.85
AIFL,EQ,14-Jan-2016,292.75,288.00,302.00,265.00,287.60,288.20,292.68,68271,199.82,1475,20018,29.32
AIFL,EQ,15-Jan-2016,288.20,292.50,294.40,267.10,279.90,273.00,284.05,64104,182.09,1111,23295,36.34
AIFL,EQ,18-Jan-2016,273.00,270.00,278.85,248.00,250.05,253.60,263.03,67868,178.51,1358,25679,37.84
AIFL,EQ,19-Jan-2016,253.60,255.00,273.00,251.25,267.10,268.35,265.26,59906,158.90,1212,18667,31.16
AIFL,EQ,20-Jan-2016,268.35,273.00,276.40,258.20,270.00,269.85,266.50,66746,177.88,1539,28580,42.82
AIFL,EQ,21-Jan-2016,269.85,279.00,281.00,267.10,278.00,275.50,273.29,79698,217.80,666,28368,35.59
AIFL,EQ,22-Jan-2016,275.50,275.00,283.00,272.50,280.00,279.10,279.64,47984,134.18,789,17386,36.23
AIFL,EQ,25-Jan-2016,279.10,286.85,286.85,276.20,278.00,278.85,280.63,31319,87.89,353,6621,21.14
AIFL,EQ,27-Jan-2016,278.85,284.50,284.50,275.65,280.00,279.30,279.51,34266,95.78,533,8099,23.64
AIFL,EQ,28-Jan-2016,279.30,280.00,280.00,268.25,270.00,271.15,273.64,45387,124.20,624,16952,37.35
AIFL,EQ,29-Jan-2016,271.15,275.00,276.00,269.00,274.00,272.70,273.00,32498,88.72,379,9126,28.08
AIFL,EQ,01-Feb-2016,272.70,284.95,285.00,268.00,272.90,272.15,273.62,25349,69.36,251,3831,15.11
AIFL,EQ,02-Feb-2016,272.15,268.20,276.20,264.35,266.00,268.85,272.53,28693,78.20,257,7762,27.05
AIFL,EQ,03-Feb-2016,268.85,270.00,270.00,253.00,264.25,262.20,259.10,36172,93.72,576,11697,32.34
AIFL,EQ,04-Feb-2016,262.20,265.80,270.50,258.00,259.60,259.15,267.59,38980,104.31,424,8405,21.56
AIFL,EQ,05-Feb-2016,259.15,262.40,271.50,258.60,270.00,269.30,267.31,40105,107.21,559,11250,28.05
AIFL,EQ,08-Feb-2016,269.30,267.10,272.25,263.00,266.30,265.95,269.94,28519,76.98,396,6084,21.33
AIFL,EQ,09-Feb-2016,265.95,260.90,274.50,260.90,265.10,265.15,265.79,52804,140.35,480,30234,57.26
AIFL,EQ,10-Feb-2016,265.15,262.45,270.90,258.00,264.45,268.60,262.74,35910,94.35,558,9735,27.11
AIFL,EQ,11-Feb-2016,268.60,278.25,278.25,215.65,250.00,253.60,252.83,101433,256.45,2516,50356,49.64
