Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMBIKCO,EQ,29-Jan-2008,129.20,141.00,149.20,139.80,146.00,142.65,145.31,29111,42.30,-,2680,9.21
AMBIKCO,EQ,30-Jan-2008,142.65,135.05,138.50,131.25,133.00,133.00,134.85,610,0.82,-,402,65.90
AMBIKCO,EQ,31-Jan-2008,133.00,126.00,133.00,126.00,132.00,132.00,131.55,241,0.32,-,241,100.00
AMBIKCO,EQ,01-Feb-2008,132.00,130.00,138.00,127.00,127.30,127.30,133.36,119,0.16,-,113,94.96
AMBIKCO,EQ,04-Feb-2008,127.30,127.40,138.00,127.00,135.20,135.20,134.91,2404,3.24,-,1026,42.68
AMBIKCO,EQ,05-Feb-2008,135.20,130.25,139.90,130.00,130.00,133.45,134.21,1689,2.27,-,1377,81.53
AMBIKCO,EQ,06-Feb-2008,133.45,130.00,139.45,130.00,138.90,138.90,138.12,20,0.03,-,14,70.00
AMBIKCO,EQ,07-Feb-2008,138.90,132.00,138.90,130.70,130.70,130.70,132.55,136,0.18,-,76,55.88
AMBIKCO,EQ,08-Feb-2008,130.70,121.00,147.50,121.00,124.00,124.00,124.62,55,0.07,-,51,92.73
AMBIKCO,EQ,11-Feb-2008,124.00,123.00,125.00,115.60,115.60,115.60,122.16,812,0.99,-,810,99.75
AMBIKCO,EQ,12-Feb-2008,115.60,117.00,120.00,115.60,120.00,119.85,118.28,564,0.67,-,367,65.07
AMBIKCO,EQ,13-Feb-2008,119.85,118.00,118.00,101.55,115.00,115.00,114.89,1050,1.21,-,647,61.62
AMBIKCO,EQ,14-Feb-2008,115.00,115.00,127.30,115.00,117.20,117.20,116.69,837,0.98,-,833,99.52
AMBIKCO,EQ,15-Feb-2008,117.20,115.05,127.40,115.05,118.15,121.65,120.32,456,0.55,-,327,71.71
AMBIKCO,EQ,18-Feb-2008,121.65,120.00,134.90,120.00,121.55,121.55,130.90,267,0.35,-,205,76.78
AMBIKCO,EQ,19-Feb-2008,121.55,120.00,129.80,120.00,124.00,124.00,124.44,4,0.00,-,1,25.00
AMBIKCO,EQ,20-Feb-2008,124.00,119.00,127.00,119.00,127.00,127.00,120.55,101,0.12,-,100,99.01
AMBIKCO,EQ,21-Feb-2008,127.00,121.00,125.00,121.00,125.00,125.00,124.91,301,0.38,-,300,99.67
AMBIKCO,EQ,22-Feb-2008,125.00,119.50,126.50,116.30,116.30,116.30,124.50,209,0.26,-,207,99.04
AMBIKCO,EQ,25-Feb-2008,116.30,115.10,124.75,115.10,119.00,119.00,115.60,481,0.56,-,475,98.75
AMBIKCO,EQ,26-Feb-2008,119.00,119.40,126.50,117.00,124.90,124.90,121.80,223,0.27,-,211,94.62
AMBIKCO,EQ,27-Feb-2008,124.90,119.00,129.90,119.00,120.05,121.00,121.84,275,0.34,-,243,88.36
AMBIKCO,EQ,28-Feb-2008,121.00,124.00,124.05,121.05,121.50,121.50,123.46,586,0.72,-,476,81.23
AMBIKCO,EQ,29-Feb-2008,121.50,121.50,122.05,121.50,122.00,122.00,121.89,128,0.16,-,128,100.00
AMBIKCO,EQ,03-Mar-2008,122.00,106.15,120.10,106.15,117.50,117.50,119.44,252,0.30,-,225,89.29
AMBIKCO,EQ,04-Mar-2008,117.50,116.10,120.90,115.25,120.90,120.90,117.45,1521,1.79,-,1466,96.38
AMBIKCO,EQ,05-Mar-2008,120.90,117.55,117.55,113.40,115.00,114.20,114.77,2647,3.04,-,2221,83.91
AMBIKCO,EQ,07-Mar-2008,114.20,111.20,114.45,107.75,109.00,111.00,109.31,1656,1.81,-,1255,75.79
AMBIKCO,EQ,10-Mar-2008,111.00,105.05,114.00,105.00,106.10,106.10,106.18,396,0.42,-,382,96.46
AMBIKCO,EQ,11-Mar-2008,106.10,105.90,108.90,105.00,107.15,107.15,106.05,618,0.66,-,427,69.09
AMBIKCO,EQ,12-Mar-2008,107.15,108.00,117.00,106.20,106.20,108.10,111.76,2536,2.83,-,2355,92.86
AMBIKCO,EQ,13-Mar-2008,108.10,108.00,108.00,104.00,104.00,104.50,105.87,1250,1.32,-,1240,99.20
AMBIKCO,EQ,14-Mar-2008,104.50,95.00,108.80,90.25,108.80,108.80,98.94,1611,1.59,-,1060,65.80
AMBIKCO,EQ,17-Mar-2008,108.80,105.90,105.90,94.00,100.25,100.25,99.19,1100,1.09,-,642,58.36
AMBIKCO,EQ,18-Mar-2008,100.25,96.50,109.80,96.50,103.30,108.10,105.42,638,0.67,-,462,72.41
AMBIKCO,EQ,19-Mar-2008,108.10,100.05,103.90,98.70,100.00,100.25,100.51,5390,5.42,-,5193,96.35
AMBIKCO,EQ,24-Mar-2008,100.25,97.00,109.90,97.00,99.00,101.15,105.34,2867,3.02,-,2166,75.55
AMBIKCO,EQ,25-Mar-2008,101.15,111.50,111.50,96.30,99.90,99.90,100.31,2658,2.67,-,2470,92.93
AMBIKCO,EQ,26-Mar-2008,99.90,101.00,102.00,101.00,101.00,101.00,101.17,150,0.15,-,125,83.33
AMBIKCO,EQ,27-Mar-2008,101.00,100.00,100.00,98.10,98.10,98.10,98.16,1550,1.52,-,1550,100.00
AMBIKCO,EQ,28-Mar-2008,98.10,102.50,102.50,98.10,98.10,99.40,99.78,85,0.08,-,85,100.00
AMBIKCO,EQ,31-Mar-2008,99.40,102.00,102.00,93.20,101.70,100.10,97.29,1295,1.26,-,1083,83.63
AMBIKCO,EQ,01-Apr-2008,100.10,101.00,101.00,99.35,99.55,99.55,99.66,534,0.53,-,484,90.64
AMBIKCO,EQ,02-Apr-2008,99.55,107.90,107.90,100.10,100.10,100.10,104.00,600,0.62,-,0,0.00
AMBIKCO,EQ,03-Apr-2008,100.10,97.05,101.00,97.05,101.00,101.00,100.02,43,0.04,-,18,41.86
AMBIKCO,EQ,04-Apr-2008,101.00,108.80,108.80,108.00,108.00,108.00,108.40,40,0.04,-,40,100.00
AMBIKCO,EQ,08-Apr-2008,108.00,102.45,102.45,102.45,102.45,102.45,102.45,70,0.07,-,70,100.00
AMBIKCO,EQ,09-Apr-2008,102.45,102.15,105.90,102.15,105.90,105.90,103.48,162,0.17,-,116,71.60
AMBIKCO,EQ,10-Apr-2008,105.90,101.65,104.80,101.60,103.00,103.00,104.09,589,0.61,-,579,98.30
AMBIKCO,EQ,11-Apr-2008,103.00,102.00,106.70,101.05,106.70,106.15,102.74,729,0.75,-,604,82.85
AMBIKCO,EQ,15-Apr-2008,106.15,112.50,112.90,106.00,106.00,106.00,108.39,120,0.13,-,115,95.83
AMBIKCO,EQ,16-Apr-2008,106.00,113.00,113.65,109.00,111.90,111.90,112.92,3858,4.36,-,3388,87.82
AMBIKCO,EQ,17-Apr-2008,111.90,110.50,117.90,110.50,114.00,114.00,115.58,1232,1.42,-,1032,83.77
AMBIKCO,EQ,21-Apr-2008,114.00,113.50,119.75,113.50,119.75,119.75,116.63,20,0.02,-,20,100.00
AMBIKCO,EQ,22-Apr-2008,119.75,119.60,119.60,114.00,115.50,115.50,115.75,739,0.86,-,700,94.72
AMBIKCO,EQ,23-Apr-2008,115.50,115.40,115.40,115.40,115.40,115.40,115.40,100,0.12,-,100,100.00
AMBIKCO,EQ,24-Apr-2008,115.40,116.00,116.00,115.70,115.85,115.85,115.85,300,0.35,-,200,66.67
AMBIKCO,EQ,25-Apr-2008,115.85,115.70,120.00,115.00,119.70,119.70,116.22,130,0.15,-,111,85.38
AMBIKCO,EQ,28-Apr-2008,119.70,118.45,130.00,116.00,116.10,121.65,122.53,5839,7.15,-,5580,95.56
AMBIKCO,EQ,29-Apr-2008,121.65,126.00,126.00,113.20,115.20,115.20,118.71,446,0.53,-,237,53.14
AMBIKCO,EQ,30-Apr-2008,115.20,118.95,118.95,115.00,115.00,115.00,115.33,109,0.13,-,109,100.00
AMBIKCO,EQ,02-May-2008,115.00,115.00,115.00,115.00,115.00,115.00,115.00,40,0.05,-,40,100.00
AMBIKCO,EQ,05-May-2008,115.00,111.35,114.90,111.35,111.50,111.60,111.55,343,0.38,-,268,78.13
AMBIKCO,EQ,06-May-2008,111.60,111.60,111.60,111.60,111.60,111.60,111.60,300,0.33,-,300,100.00
AMBIKCO,EQ,07-May-2008,111.60,119.90,119.90,110.20,110.85,111.05,111.34,410,0.46,-,310,75.61
AMBIKCO,EQ,08-May-2008,111.05,109.35,120.00,109.35,120.00,118.00,115.44,692,0.80,-,685,98.99
AMBIKCO,EQ,09-May-2008,118.00,119.95,125.00,117.65,124.00,121.70,120.89,2257,2.73,-,1900,84.18
AMBIKCO,EQ,12-May-2008,121.70,101.20,119.80,101.20,116.55,117.65,116.85,2166,2.53,-,1430,66.02
AMBIKCO,EQ,14-May-2008,117.65,112.05,120.00,110.10,115.00,115.55,116.19,1213,1.41,-,1010,83.26
AMBIKCO,EQ,16-May-2008,115.55,119.90,120.70,115.50,119.90,119.90,119.02,2300,2.74,-,750,32.61
AMBIKCO,EQ,20-May-2008,119.90,115.00,119.85,115.00,116.15,116.15,117.62,182,0.21,-,80,43.96
AMBIKCO,EQ,21-May-2008,116.15,117.00,124.00,117.00,124.00,124.00,120.50,200,0.24,-,0,0.00
AMBIKCO,EQ,22-May-2008,124.00,111.00,129.00,111.00,117.05,117.05,119.79,430,0.52,-,30,6.98
AMBIKCO,EQ,23-May-2008,117.05,116.50,126.00,116.00,116.00,116.90,119.88,291,0.35,-,90,30.93
AMBIKCO,EQ,26-May-2008,116.90,115.00,115.00,114.05,114.05,114.15,114.38,360,0.41,-,360,100.00
AMBIKCO,EQ,27-May-2008,114.15,110.05,120.00,110.05,114.00,114.00,113.00,218,0.25,-,125,57.34
AMBIKCO,EQ,28-May-2008,114.00,111.30,113.10,111.25,113.10,113.10,112.13,500,0.56,-,200,40.00
AMBIKCO,EQ,29-May-2008,113.10,112.05,117.00,112.05,113.00,113.00,112.98,114,0.13,-,111,97.37
AMBIKCO,EQ,30-May-2008,113.00,112.05,117.30,111.15,114.00,112.40,112.33,2060,2.31,-,1825,88.59
AMBIKCO,EQ,02-Jun-2008,112.40,111.80,111.80,111.00,111.05,111.05,111.28,150,0.17,-,150,100.00
AMBIKCO,EQ,03-Jun-2008,111.05,110.00,116.40,110.00,116.40,116.40,111.30,120,0.13,-,100,83.33
AMBIKCO,EQ,05-Jun-2008,116.40,109.85,113.00,105.25,113.00,113.00,109.46,306,0.33,-,201,65.69
AMBIKCO,EQ,06-Jun-2008,113.00,102.05,117.85,102.05,116.70,117.25,114.00,611,0.70,-,566,92.64
AMBIKCO,EQ,10-Jun-2008,117.25,113.95,113.95,101.05,101.50,104.30,104.08,302,0.31,-,211,69.87
AMBIKCO,EQ,11-Jun-2008,104.30,105.25,114.00,105.00,112.85,112.85,108.73,630,0.68,-,136,21.59
AMBIKCO,EQ,12-Jun-2008,112.85,105.00,111.00,105.00,105.00,105.00,107.00,30,0.03,-,20,66.67
AMBIKCO,EQ,13-Jun-2008,105.00,106.00,106.00,103.00,105.00,105.00,105.24,231,0.24,-,206,89.18
AMBIKCO,EQ,17-Jun-2008,105.00,108.00,108.00,108.00,108.00,108.00,108.00,130,0.14,-,130,100.00
AMBIKCO,EQ,18-Jun-2008,108.00,104.75,106.05,104.75,106.00,106.00,105.03,255,0.27,-,200,78.43
AMBIKCO,EQ,19-Jun-2008,106.00,106.00,106.00,104.10,104.10,104.10,105.98,96,0.10,-,96,100.00
AMBIKCO,EQ,20-Jun-2008,104.10,102.50,102.50,101.15,101.15,101.15,101.82,1330,1.35,-,50,3.76
AMBIKCO,EQ,23-Jun-2008,101.15,103.00,103.00,98.50,98.55,98.55,102.25,343,0.35,-,309,90.09
AMBIKCO,EQ,24-Jun-2008,98.55,110.90,111.00,95.65,101.90,100.60,101.56,1076,1.09,-,669,62.17
AMBIKCO,EQ,25-Jun-2008,100.60,96.10,99.80,95.00,95.00,96.20,96.41,547,0.53,-,289,52.83
AMBIKCO,EQ,26-Jun-2008,96.20,107.85,107.85,99.00,100.80,100.80,101.69,98,0.10,-,72,73.47
AMBIKCO,EQ,27-Jun-2008,100.80,91.55,99.95,91.55,99.70,97.15,97.21,650,0.63,-,255,39.23
AMBIKCO,EQ,01-Jul-2008,97.15,85.25,90.20,85.25,89.85,89.80,89.53,1288,1.15,-,1136,88.20
AMBIKCO,EQ,02-Jul-2008,89.80,107.50,107.50,83.65,86.40,86.40,104.51,121,0.13,-,115,95.04
AMBIKCO,EQ,03-Jul-2008,86.40,94.75,95.00,94.75,95.00,95.00,94.88,2,0.00,-,1,50.00
AMBIKCO,EQ,04-Jul-2008,95.00,91.00,91.05,91.00,91.05,91.05,91.02,114,0.10,-,114,100.00
AMBIKCO,EQ,08-Jul-2008,91.05,92.00,95.70,92.00,95.70,95.70,93.44,41,0.04,-,41,100.00
AMBIKCO,EQ,09-Jul-2008,95.70,98.00,98.00,90.15,97.55,97.55,93.02,585,0.54,-,460,78.63
AMBIKCO,EQ,10-Jul-2008,97.55,78.05,104.00,78.05,93.35,93.35,91.20,1737,1.58,-,516,29.71
AMBIKCO,EQ,11-Jul-2008,93.35,89.00,99.00,89.00,98.95,98.95,96.50,1034,1.00,-,814,78.72
AMBIKCO,EQ,14-Jul-2008,98.95,91.05,91.05,91.05,91.05,91.05,91.05,50,0.05,-,50,100.00
AMBIKCO,EQ,15-Jul-2008,91.05,90.50,94.00,84.50,84.50,87.60,90.05,689,0.62,-,464,67.34
AMBIKCO,EQ,16-Jul-2008,87.60,96.00,98.00,88.00,98.00,95.70,93.79,503,0.47,-,502,99.80
AMBIKCO,EQ,17-Jul-2008,95.70,91.00,97.85,91.00,97.85,97.85,96.65,510,0.49,-,510,100.00
AMBIKCO,EQ,18-Jul-2008,97.85,97.10,97.10,97.10,97.10,97.10,97.10,100,0.10,-,100,100.00
AMBIKCO,EQ,21-Jul-2008,97.10,81.20,97.80,81.20,97.80,97.80,89.50,200,0.18,-,100,50.00
AMBIKCO,EQ,23-Jul-2008,97.80,99.40,99.40,99.40,99.40,99.40,99.40,200,0.20,-,200,100.00
AMBIKCO,EQ,28-Jul-2008,99.40,99.25,103.75,92.00,98.05,98.05,99.06,1002,0.99,-,788,78.64
AMBIKCO,EQ,30-Jul-2008,98.05,93.15,93.50,93.15,93.20,93.30,93.24,50,0.05,-,25,50.00
AMBIKCO,EQ,31-Jul-2008,93.30,99.40,102.50,99.00,102.00,102.30,100.19,170,0.17,-,145,85.29
AMBIKCO,EQ,01-Aug-2008,102.30,107.90,107.90,98.00,104.00,104.00,103.49,110,0.11,-,101,91.82
AMBIKCO,EQ,04-Aug-2008,104.00,104.50,104.50,101.00,102.90,102.90,103.28,18,0.02,-,9,50.00
AMBIKCO,EQ,06-Aug-2008,102.90,100.10,106.95,100.00,102.00,102.00,100.62,425,0.43,-,405,95.29
AMBIKCO,EQ,07-Aug-2008,102.00,102.80,102.80,100.00,100.00,100.00,100.24,120,0.12,-,110,91.67
AMBIKCO,EQ,08-Aug-2008,100.00,96.00,105.90,96.00,98.55,98.55,99.80,182,0.18,-,100,54.95
AMBIKCO,EQ,12-Aug-2008,98.55,102.45,102.50,102.45,102.50,102.45,102.48,200,0.20,-,200,100.00
AMBIKCO,EQ,13-Aug-2008,102.45,99.05,99.05,96.00,96.00,96.45,96.44,1390,1.34,-,1390,100.00
AMBIKCO,EQ,14-Aug-2008,96.45,101.00,103.60,96.20,103.60,103.60,100.27,3,0.00,-,1,33.33
AMBIKCO,EQ,18-Aug-2008,103.60,95.50,95.90,95.50,95.90,95.90,95.70,201,0.19,-,201,100.00
AMBIKCO,EQ,19-Aug-2008,95.90,100.60,100.60,100.60,100.60,100.60,100.60,1,0.00,-,0,0.00
AMBIKCO,EQ,20-Aug-2008,100.60,94.50,99.30,94.00,99.30,99.30,96.79,2300,2.23,-,300,13.04
AMBIKCO,EQ,21-Aug-2008,99.30,105.70,105.70,105.70,105.70,105.70,105.70,1,0.00,-,0,0.00
AMBIKCO,EQ,22-Aug-2008,105.70,92.00,94.90,91.35,91.45,91.80,91.78,728,0.67,-,613,84.20
AMBIKCO,EQ,25-Aug-2008,91.80,96.00,96.00,90.20,90.20,90.75,92.79,617,0.57,-,615,99.68
AMBIKCO,EQ,26-Aug-2008,90.75,91.00,91.00,90.00,90.00,90.00,90.50,21,0.02,-,21,100.00
AMBIKCO,EQ,29-Aug-2008,90.00,90.35,90.35,90.35,90.35,90.35,90.35,20,0.02,-,20,100.00
AMBIKCO,EQ,01-Sep-2008,90.35,90.15,90.15,90.10,90.10,90.10,90.13,10,0.01,-,10,100.00
AMBIKCO,EQ,02-Sep-2008,90.10,90.10,99.75,86.00,90.05,91.50,90.75,294,0.27,-,113,38.44
AMBIKCO,EQ,04-Sep-2008,91.50,99.80,99.80,99.80,99.80,99.80,99.80,1,0.00,-,1,100.00
AMBIKCO,EQ,05-Sep-2008,99.80,99.00,99.00,88.50,88.50,90.00,90.91,1300,1.18,-,1041,80.08
AMBIKCO,EQ,08-Sep-2008,90.00,104.80,104.80,87.00,88.05,88.05,90.49,231,0.21,-,171,74.03
AMBIKCO,EQ,09-Sep-2008,88.05,88.10,101.45,88.00,95.00,98.90,93.35,1275,1.19,-,1142,89.57
AMBIKCO,EQ,10-Sep-2008,98.90,97.00,99.00,92.60,94.90,94.90,96.53,754,0.73,-,729,96.68
AMBIKCO,EQ,11-Sep-2008,94.90,92.05,98.00,92.00,96.75,94.20,95.02,579,0.55,-,250,43.18
AMBIKCO,EQ,12-Sep-2008,94.20,92.05,94.00,92.05,92.50,92.60,93.19,507,0.47,-,470,92.70
