Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMTEKAUTO,EQ,02-Jan-2006,297.80,299.45,300.00,295.10,296.05,297.05,297.77,73904,220.07,-,36568,49.48
AMTEKAUTO,EQ,03-Jan-2006,297.05,298.00,299.95,296.00,297.85,298.35,298.43,134872,402.49,-,74449,55.20
AMTEKAUTO,EQ,04-Jan-2006,298.35,300.00,306.40,296.00,301.05,302.90,301.18,329473,992.30,-,246584,74.84
AMTEKAUTO,EQ,05-Jan-2006,302.90,302.90,307.90,294.00,296.00,295.80,300.30,105907,318.04,-,51811,48.92
AMTEKAUTO,EQ,06-Jan-2006,295.80,296.00,298.00,292.00,295.00,294.85,295.28,97809,288.81,-,68129,69.66
AMTEKAUTO,EQ,09-Jan-2006,294.85,292.05,308.00,288.00,300.00,302.35,296.93,320746,952.41,-,209426,65.29
AMTEKAUTO,EQ,10-Jan-2006,302.35,304.70,304.70,289.30,291.00,291.20,296.74,72802,216.04,-,47363,65.06
AMTEKAUTO,EQ,12-Jan-2006,291.20,291.00,299.00,289.00,292.50,294.35,294.62,100687,296.64,-,66680,66.23
AMTEKAUTO,EQ,13-Jan-2006,294.35,295.50,299.00,287.50,287.50,288.40,292.49,105157,307.57,-,70277,66.83
AMTEKAUTO,EQ,16-Jan-2006,288.40,290.00,290.80,283.00,283.95,283.80,286.51,49679,142.34,-,27917,56.19
AMTEKAUTO,EQ,17-Jan-2006,283.80,286.70,292.95,280.15,286.00,283.35,288.35,122288,352.62,-,97981,80.12
AMTEKAUTO,EQ,18-Jan-2006,283.35,285.10,288.00,275.00,279.00,279.95,279.80,114582,320.60,-,92303,80.56
AMTEKAUTO,EQ,19-Jan-2006,279.95,283.70,289.00,280.20,286.00,285.10,282.70,522205,1476.27,-,423012,81.00
AMTEKAUTO,EQ,20-Jan-2006,285.10,289.40,297.00,285.50,297.00,294.80,292.45,235015,687.30,-,126377,53.77
AMTEKAUTO,EQ,23-Jan-2006,294.80,294.00,295.00,285.10,286.50,286.45,291.26,102337,298.07,-,75318,73.60
AMTEKAUTO,EQ,24-Jan-2006,286.45,289.05,297.00,285.60,287.90,289.70,291.53,159811,465.90,-,106282,66.50
AMTEKAUTO,EQ,25-Jan-2006,289.70,291.25,298.00,286.00,291.00,289.75,288.72,221391,639.20,-,186812,84.38
AMTEKAUTO,EQ,27-Jan-2006,289.75,289.75,290.35,261.10,287.00,289.10,287.12,322200,925.10,-,277699,86.19
AMTEKAUTO,EQ,30-Jan-2006,289.10,287.00,295.50,287.00,289.95,288.15,292.24,75197,219.75,-,48242,64.15
AMTEKAUTO,EQ,31-Jan-2006,288.15,292.95,293.65,281.00,282.00,282.90,288.68,93471,269.83,-,69148,73.98
AMTEKAUTO,EQ,01-Feb-2006,282.90,285.95,294.00,283.50,288.00,287.70,289.27,251169,726.55,-,154389,61.47
AMTEKAUTO,EQ,02-Feb-2006,287.70,288.90,318.70,288.90,317.30,310.10,305.10,1500036,4576.63,-,1278789,85.25
AMTEKAUTO,EQ,03-Feb-2006,310.10,319.85,320.00,304.35,316.00,317.05,314.59,577528,1816.82,-,419529,72.64
AMTEKAUTO,EQ,06-Feb-2006,317.05,319.95,319.95,306.10,306.20,308.15,312.50,98303,307.19,-,63493,64.59
AMTEKAUTO,EQ,07-Feb-2006,308.15,301.00,309.90,301.00,302.15,303.70,305.84,76633,234.38,-,49001,63.94
AMTEKAUTO,EQ,08-Feb-2006,303.70,303.75,303.75,284.50,289.95,289.35,290.35,267042,775.36,-,215289,80.62
AMTEKAUTO,EQ,10-Feb-2006,289.35,289.35,296.50,286.00,294.75,295.00,293.68,52545,154.31,-,26881,51.16
AMTEKAUTO,EQ,13-Feb-2006,295.00,297.50,304.60,294.00,302.65,301.65,300.89,121945,366.92,-,99437,81.54
AMTEKAUTO,EQ,14-Feb-2006,301.65,303.00,316.90,301.50,310.00,308.30,310.41,403477,1252.44,-,315597,78.22
AMTEKAUTO,EQ,15-Feb-2006,308.30,310.00,315.00,304.00,304.00,305.10,308.68,156646,483.54,-,109008,69.59
AMTEKAUTO,EQ,16-Feb-2006,305.10,305.10,308.00,297.00,302.00,303.00,304.25,130842,398.09,-,104877,80.16
AMTEKAUTO,EQ,17-Feb-2006,303.00,296.10,306.00,293.20,298.00,296.60,298.68,63887,190.82,-,46500,72.78
AMTEKAUTO,EQ,20-Feb-2006,296.60,298.90,302.40,293.00,300.00,300.55,297.96,36455,108.62,-,20083,55.09
AMTEKAUTO,EQ,21-Feb-2006,300.55,303.90,306.00,299.10,302.65,303.15,303.64,49887,151.48,-,40313,80.81
AMTEKAUTO,EQ,22-Feb-2006,303.15,303.10,303.50,298.35,302.00,301.15,300.48,184116,553.24,-,154598,83.97
AMTEKAUTO,EQ,23-Feb-2006,301.15,300.25,306.00,300.25,302.80,302.00,303.69,48991,148.78,-,37065,75.66
AMTEKAUTO,EQ,24-Feb-2006,302.00,304.00,316.90,301.00,313.00,313.05,308.61,204852,632.18,-,140924,68.79
