Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMTL,BE,07-Aug-2012,51.95,24.00,24.00,22.80,22.80,22.80,23.01,4786,1.10,21,-,-
AMTL,BE,08-Aug-2012,22.80,22.75,22.75,21.70,21.70,21.70,21.75,8786,1.91,26,-,-
AMTL,BE,09-Aug-2012,21.70,22.00,22.00,20.65,20.65,20.65,21.29,1149,0.24,10,-,-
AMTL,BE,10-Aug-2012,20.65,19.95,19.95,19.65,19.65,19.65,19.65,535,0.11,8,-,-
AMTL,BE,13-Aug-2012,19.65,18.70,19.00,18.70,19.00,19.00,18.70,846,0.16,11,-,-
AMTL,BE,14-Aug-2012,19.00,19.10,19.10,18.05,18.05,18.05,18.17,2611,0.47,16,-,-
AMTL,BE,16-Aug-2012,18.05,17.15,18.50,17.15,17.20,17.20,17.41,4144,0.72,18,-,-
AMTL,BE,17-Aug-2012,17.20,17.00,18.05,16.80,16.80,16.80,17.55,2414,0.42,11,-,-
AMTL,BE,21-Aug-2012,16.80,17.60,17.60,16.00,16.20,16.20,16.31,13704,2.24,34,-,-
AMTL,BE,22-Aug-2012,16.20,16.00,16.95,15.85,16.50,16.50,16.00,4740,0.76,16,-,-
AMTL,EQ,23-Aug-2012,16.50,17.35,19.80,17.25,19.80,19.70,19.10,29931,5.72,173,16146,53.94
AMTL,EQ,24-Aug-2012,19.70,20.00,20.00,18.60,19.40,19.40,19.31,3014,0.58,36,2458,81.55
AMTL,EQ,27-Aug-2012,19.40,19.00,19.00,16.35,17.00,17.15,17.29,16860,2.92,71,12100,71.77
AMTL,EQ,28-Aug-2012,17.15,16.00,19.00,16.00,17.05,17.50,16.88,6843,1.16,64,5507,80.48
AMTL,EQ,29-Aug-2012,17.50,14.00,17.80,14.00,16.65,16.70,16.52,2595,0.43,23,2070,79.77
AMTL,EQ,30-Aug-2012,16.70,15.25,18.85,15.25,18.80,16.65,16.31,3031,0.49,27,1803,59.49
AMTL,EQ,31-Aug-2012,16.65,15.55,18.70,15.50,16.50,16.50,16.62,751,0.12,11,451,60.05
AMTL,EQ,03-Sep-2012,16.50,16.05,19.80,16.05,19.80,19.25,18.85,10921,2.06,34,10820,99.08
AMTL,EQ,04-Sep-2012,19.25,20.00,20.50,19.00,19.90,19.00,19.48,7674,1.50,30,7461,97.22
AMTL,EQ,05-Sep-2012,19.00,19.95,19.95,18.50,18.50,18.50,18.96,3164,0.60,14,2964,93.68
AMTL,EQ,06-Sep-2012,18.50,19.00,19.00,18.50,18.85,18.85,18.51,2443,0.45,12,2443,100.00
AMTL,EQ,07-Sep-2012,18.85,18.25,20.00,18.25,18.70,18.25,18.64,3436,0.64,22,2774,80.73
AMTL,EQ,08-Sep-2012,18.25,18.25,18.25,18.25,18.25,18.25,18.25,749,0.14,4,749,100.00
AMTL,EQ,10-Sep-2012,18.25,18.50,19.00,17.35,18.00,18.00,18.04,24555,4.43,67,22295,90.80
AMTL,EQ,11-Sep-2012,18.00,18.00,18.00,17.05,17.95,17.60,17.30,393,0.07,14,384,97.71
AMTL,EQ,12-Sep-2012,17.60,16.95,17.65,16.95,17.65,17.65,16.99,577,0.10,5,552,95.67
AMTL,EQ,13-Sep-2012,17.65,17.35,17.35,17.05,17.05,17.05,17.23,705,0.12,14,610,86.52
AMTL,EQ,14-Sep-2012,17.05,17.35,17.35,16.75,16.75,16.75,16.97,6640,1.13,21,6455,97.21
AMTL,EQ,17-Sep-2012,16.75,17.05,18.40,16.80,17.00,17.05,17.41,2230,0.39,10,1630,73.09
AMTL,EQ,18-Sep-2012,17.05,17.00,18.80,17.00,18.00,18.05,18.15,18739,3.40,54,18521,98.84
AMTL,EQ,20-Sep-2012,18.05,18.50,20.00,18.50,19.00,19.00,19.01,23782,4.52,56,21205,89.16
AMTL,EQ,21-Sep-2012,19.00,19.95,19.95,18.30,19.00,19.00,19.00,20136,3.83,43,18924,93.98
AMTL,EQ,24-Sep-2012,19.00,19.30,19.30,18.35,18.75,18.75,18.92,3853,0.73,25,3402,88.29
AMTL,EQ,25-Sep-2012,18.75,18.75,18.95,17.45,18.95,18.50,18.38,1731,0.32,18,1025,59.21
AMTL,EQ,26-Sep-2012,18.50,19.45,19.45,18.00,18.50,18.35,18.31,550,0.10,4,550,100.00
AMTL,EQ,27-Sep-2012,18.35,18.00,18.20,17.10,17.90,17.90,17.54,2878,0.50,33,2227,77.38
AMTL,EQ,28-Sep-2012,17.90,18.30,18.30,18.00,18.00,18.05,18.15,493,0.09,11,423,85.80
AMTL,EQ,01-Oct-2012,18.05,17.60,18.15,17.55,17.55,17.60,17.65,1036,0.18,12,936,90.35
AMTL,EQ,03-Oct-2012,17.60,17.75,17.75,17.35,17.35,17.35,17.61,1682,0.30,10,1552,92.27
AMTL,EQ,04-Oct-2012,17.35,17.50,18.50,17.25,18.50,18.30,17.74,3458,0.61,39,2800,80.97
AMTL,EQ,05-Oct-2012,18.30,19.70,19.70,17.55,17.55,17.60,18.23,2079,0.38,29,2064,99.28
AMTL,EQ,08-Oct-2012,17.60,17.25,18.90,17.25,18.75,18.25,18.32,11795,2.16,93,9350,79.27
AMTL,EQ,09-Oct-2012,18.25,20.80,20.95,17.85,20.40,20.10,19.43,37353,7.26,144,29409,78.73
AMTL,EQ,10-Oct-2012,20.10,20.00,21.00,18.10,18.90,18.65,19.17,15310,2.93,84,14401,94.06
AMTL,EQ,11-Oct-2012,18.65,18.90,19.40,18.50,18.60,19.05,18.96,9174,1.74,50,7674,83.65
AMTL,EQ,12-Oct-2012,19.05,20.05,20.05,19.00,19.35,19.05,19.39,623,0.12,12,311,49.92
AMTL,EQ,15-Oct-2012,19.05,19.50,20.50,18.70,20.00,20.10,20.06,21021,4.22,41,19871,94.53
AMTL,EQ,16-Oct-2012,20.10,22.90,22.90,20.00,21.95,21.75,21.45,21899,4.70,92,16126,73.64
AMTL,EQ,17-Oct-2012,21.75,22.85,22.85,21.10,21.80,21.65,21.64,8460,1.83,30,7160,84.63
AMTL,EQ,18-Oct-2012,21.65,21.00,21.10,20.40,21.00,21.00,20.95,11750,2.46,34,11250,95.74
AMTL,EQ,19-Oct-2012,21.00,20.60,21.00,20.55,20.75,20.75,20.77,2685,0.56,11,1985,73.93
AMTL,EQ,22-Oct-2012,20.75,19.50,20.50,19.50,19.90,20.20,20.16,6025,1.21,16,5854,97.16
AMTL,EQ,23-Oct-2012,20.20,19.55,20.00,19.55,19.95,19.95,19.83,2435,0.48,11,2135,87.68
AMTL,EQ,25-Oct-2012,19.95,22.05,22.05,19.20,20.35,20.25,19.76,826,0.16,21,810,98.06
AMTL,EQ,26-Oct-2012,20.25,19.30,20.75,19.30,19.80,19.80,19.79,1067,0.21,7,1067,100.00
AMTL,BE,29-Oct-2012,19.80,20.00,20.00,19.65,20.00,20.00,19.99,3870,0.77,5,-,-
AMTL,BE,30-Oct-2012,20.00,20.90,20.90,19.30,19.30,19.30,19.31,548,0.11,4,-,-
AMTL,BE,31-Oct-2012,19.30,19.30,19.30,19.05,19.05,19.10,19.14,3506,0.67,31,-,-
AMTL,BE,01-Nov-2012,19.10,18.80,20.05,18.80,20.05,20.05,19.59,3051,0.60,12,-,-
AMTL,BE,02-Nov-2012,20.05,20.00,20.00,20.00,20.00,20.00,20.00,100,0.02,1,-,-
AMTL,BE,05-Nov-2012,20.00,20.00,20.00,19.10,19.10,19.10,19.79,130,0.03,2,-,-
AMTL,BE,06-Nov-2012,19.10,18.60,18.60,18.60,18.60,18.60,18.60,35,0.01,1,-,-
AMTL,BE,07-Nov-2012,18.60,19.00,19.10,19.00,19.10,19.10,19.10,1050,0.20,2,-,-
AMTL,BE,08-Nov-2012,19.10,18.60,19.00,18.15,18.15,18.15,18.71,10135,1.90,7,-,-
AMTL,BE,09-Nov-2012,18.15,19.00,19.00,19.00,19.00,19.00,19.00,5008,0.95,7,-,-
AMTL,BE,12-Nov-2012,19.00,18.60,18.60,18.60,18.60,18.60,18.60,11,0.00,1,-,-
AMTL,BE,13-Nov-2012,18.60,18.55,19.40,18.55,19.00,19.00,18.67,2148,0.40,5,-,-
AMTL,BE,16-Nov-2012,19.00,18.70,19.85,18.70,18.70,18.70,18.70,251,0.05,4,-,-
AMTL,BE,19-Nov-2012,18.70,19.00,19.00,18.50,18.50,18.55,18.89,6600,1.25,9,-,-
AMTL,BE,21-Nov-2012,18.55,19.05,19.20,19.05,19.20,19.20,19.15,900,0.17,3,-,-
AMTL,BE,22-Nov-2012,19.20,19.05,19.50,19.05,19.50,19.50,19.16,400,0.08,3,-,-
AMTL,BE,23-Nov-2012,19.50,19.55,19.55,19.00,19.35,19.30,19.33,6181,1.19,13,-,-
AMTL,BE,26-Nov-2012,19.30,19.05,19.05,19.05,19.05,19.05,19.05,1200,0.23,4,-,-
AMTL,BE,27-Nov-2012,19.05,19.05,19.10,19.00,19.05,19.05,19.02,6970,1.33,9,-,-
AMTL,BE,29-Nov-2012,19.05,18.10,19.05,18.10,19.05,19.05,19.02,6360,1.21,20,-,-
AMTL,BE,30-Nov-2012,19.05,19.05,19.50,18.25,19.50,18.60,18.69,25161,4.70,17,-,-
AMTL,EQ,03-Dec-2012,18.60,18.60,19.25,18.60,18.80,18.80,18.69,1700,0.32,10,1699,99.94
AMTL,EQ,04-Dec-2012,18.80,18.75,18.80,18.75,18.75,18.75,18.76,7725,1.45,13,7725,100.00
AMTL,EQ,05-Dec-2012,18.75,18.75,19.40,18.75,18.75,18.75,18.89,2390,0.45,6,2390,100.00
AMTL,EQ,06-Dec-2012,18.75,18.75,19.20,18.75,19.00,19.00,18.77,16211,3.04,6,16210,99.99
AMTL,EQ,07-Dec-2012,19.00,18.55,18.75,18.55,18.75,18.75,18.75,101,0.02,2,101,100.00
AMTL,EQ,11-Dec-2012,18.75,18.50,19.25,18.50,18.65,18.65,18.53,9803,1.82,16,9803,100.00
AMTL,EQ,12-Dec-2012,18.65,18.55,18.60,18.55,18.60,18.60,18.58,100,0.02,2,100,100.00
AMTL,EQ,13-Dec-2012,18.60,18.50,18.55,18.50,18.55,18.55,18.50,608,0.11,3,608,100.00
AMTL,EQ,14-Dec-2012,18.55,18.50,18.50,18.50,18.50,18.50,18.50,1686,0.31,5,1686,100.00
AMTL,EQ,17-Dec-2012,18.50,19.00,19.40,18.55,19.00,18.95,18.69,400,0.07,8,359,89.75
AMTL,EQ,18-Dec-2012,18.95,18.55,19.00,18.50,19.00,19.00,18.54,9533,1.77,8,9533,100.00
AMTL,EQ,19-Dec-2012,19.00,18.55,19.95,18.55,19.00,19.50,19.10,3555,0.68,21,3005,84.53
AMTL,EQ,20-Dec-2012,19.50,18.60,19.00,18.55,19.00,19.00,18.60,5605,1.04,6,5605,100.00
AMTL,EQ,21-Dec-2012,19.00,18.50,18.50,18.50,18.50,18.50,18.50,4672,0.86,7,4672,100.00
AMTL,EQ,24-Dec-2012,18.50,18.00,18.50,18.00,18.50,18.50,18.46,4013,0.74,11,4013,100.00
AMTL,EQ,26-Dec-2012,18.50,18.50,19.15,18.40,19.15,18.85,18.47,9334,1.72,9,9034,96.79
AMTL,EQ,27-Dec-2012,18.85,18.55,18.55,18.50,18.50,18.50,18.51,534,0.10,6,534,100.00
AMTL,EQ,28-Dec-2012,18.50,18.50,19.20,18.50,19.20,19.20,18.57,410,0.08,6,360,87.80
AMTL,EQ,31-Dec-2012,19.20,18.55,19.75,18.50,19.50,19.35,18.65,1583,0.30,13,1555,98.23
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMTL,EQ,01-Jan-2013,19.35,18.70,19.25,18.70,19.25,19.25,18.98,20,0.00,3,20,100.00
AMTL,EQ,02-Jan-2013,19.25,19.00,19.25,19.00,19.05,19.05,19.16,3801,0.73,13,3001,78.95
AMTL,EQ,03-Jan-2013,19.05,19.45,20.00,19.30,19.30,19.45,19.89,13704,2.73,40,12329,89.97
AMTL,EQ,04-Jan-2013,19.45,18.60,19.95,18.60,18.90,18.95,19.03,3000,0.57,20,2970,99.00
AMTL,EQ,07-Jan-2013,18.95,19.90,19.90,19.00,19.00,19.00,19.33,159,0.03,5,159,100.00
AMTL,EQ,08-Jan-2013,19.00,19.00,19.00,19.00,19.00,19.00,19.00,2296,0.44,7,2296,100.00
AMTL,EQ,09-Jan-2013,19.00,18.55,19.00,18.50,18.60,18.60,18.67,1052,0.20,10,1002,95.25
AMTL,EQ,10-Jan-2013,18.60,19.00,19.00,18.75,18.75,18.75,18.79,351,0.07,4,351,100.00
AMTL,EQ,11-Jan-2013,18.75,17.55,19.80,17.55,19.25,19.25,19.07,2700,0.51,8,2300,85.19
AMTL,EQ,14-Jan-2013,19.25,19.00,19.95,19.00,19.80,19.80,19.11,237,0.05,6,236,99.58
AMTL,EQ,15-Jan-2013,19.80,19.90,19.90,19.00,19.05,19.05,19.24,1975,0.38,9,1975,100.00
AMTL,EQ,16-Jan-2013,19.05,19.05,19.40,19.00,19.20,19.20,19.22,1565,0.30,12,1565,100.00
AMTL,EQ,17-Jan-2013,19.20,19.05,19.40,18.95,19.40,19.40,19.06,5020,0.96,14,4520,90.04
AMTL,EQ,18-Jan-2013,19.40,19.00,19.75,19.00,19.00,19.00,19.24,874,0.17,11,500,57.21
AMTL,EQ,21-Jan-2013,19.00,19.00,20.90,19.00,20.30,20.20,19.86,3155,0.63,14,2799,88.72
AMTL,EQ,22-Jan-2013,20.20,19.05,19.90,19.05,19.90,19.90,19.48,400,0.08,4,400,100.00
AMTL,EQ,23-Jan-2013,19.90,19.15,19.90,19.10,19.50,19.50,19.44,5959,1.16,30,5652,94.85
AMTL,EQ,24-Jan-2013,19.50,19.25,19.60,19.25,19.60,19.35,19.27,72509,13.97,86,71797,99.02
AMTL,EQ,25-Jan-2013,19.35,19.25,19.25,19.25,19.25,19.25,19.25,2830,0.54,10,2830,100.00
AMTL,EQ,28-Jan-2013,19.25,19.35,19.50,19.35,19.40,19.40,19.45,851,0.17,7,851,100.00
AMTL,EQ,29-Jan-2013,19.40,17.50,19.35,17.50,19.30,19.30,19.19,9778,1.88,13,9778,100.00
AMTL,EQ,30-Jan-2013,19.30,19.30,19.80,19.30,19.80,19.80,19.56,5512,1.08,11,5512,100.00
AMTL,EQ,31-Jan-2013,19.80,19.35,19.35,19.35,19.35,19.35,19.35,1750,0.34,8,1750,100.00
AMTL,EQ,01-Feb-2013,19.35,19.50,19.90,19.50,19.90,19.85,19.66,10052,1.98,29,9552,95.03
AMTL,EQ,04-Feb-2013,19.85,19.40,19.90,19.40,19.90,19.90,19.68,1311,0.26,14,1181,90.08
AMTL,EQ,05-Feb-2013,19.90,19.60,19.95,19.25,19.95,19.80,19.64,16004,3.14,42,15171,94.80
AMTL,EQ,06-Feb-2013,19.80,19.65,19.90,19.65,19.85,19.70,19.74,6744,1.33,30,4342,64.38
AMTL,EQ,07-Feb-2013,19.70,18.00,19.85,18.00,19.85,19.75,19.50,2956,0.58,14,2003,67.76
AMTL,EQ,08-Feb-2013,19.75,19.90,19.95,19.65,19.95,19.95,19.83,7417,1.47,20,6512,87.80
AMTL,EQ,11-Feb-2013,19.95,19.00,19.60,19.00,19.60,19.60,19.52,775,0.15,8,775,100.00
AMTL,EQ,12-Feb-2013,19.60,19.50,19.65,19.50,19.65,19.65,19.57,190,0.04,4,190,100.00
AMTL,EQ,13-Feb-2013,19.65,19.90,19.90,19.70,19.90,19.90,19.80,101,0.02,3,101,100.00
AMTL,EQ,14-Feb-2013,19.90,19.70,19.70,19.70,19.70,19.70,19.70,200,0.04,1,200,100.00
AMTL,EQ,15-Feb-2013,19.70,19.70,19.95,19.70,19.75,19.75,19.81,18114,3.59,36,18114,100.00
AMTL,EQ,18-Feb-2013,19.75,19.75,19.75,19.75,19.75,19.75,19.75,400,0.08,2,400,100.00
AMTL,EQ,19-Feb-2013,19.75,19.90,20.00,19.75,19.90,19.90,19.95,34168,6.81,15,33115,96.92
AMTL,EQ,20-Feb-2013,19.90,19.75,19.90,19.75,19.90,19.85,19.76,2292,0.45,7,2196,95.81
AMTL,EQ,21-Feb-2013,19.85,19.75,19.95,19.75,19.80,19.80,19.89,815,0.16,6,815,100.00
AMTL,EQ,22-Feb-2013,19.80,19.95,19.95,19.75,19.75,19.75,19.85,598,0.12,4,598,100.00
