Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ARROWTEX,EQ,11-May-2009,20.40,21.00,25.50,10.80,11.80,12.25,13.40,2236601,299.60,-,643111,28.75
ARROWTEX,EQ,12-May-2009,12.25,12.40,12.65,10.75,11.40,11.50,11.67,228837,26.71,-,114221,49.91
ARROWTEX,EQ,13-May-2009,11.50,11.50,11.50,9.25,10.30,10.30,10.66,149138,15.89,-,88285,59.20
ARROWTEX,EQ,14-May-2009,10.30,10.20,10.40,9.20,9.55,9.45,9.61,114206,10.97,-,62689,54.89
ARROWTEX,EQ,15-May-2009,9.45,9.10,9.95,9.10,9.35,9.30,9.54,111762,10.66,-,55061,49.27
ARROWTEX,EQ,19-May-2009,9.30,9.75,9.75,8.30,8.55,8.50,8.68,124169,10.77,-,100732,81.12
ARROWTEX,EQ,20-May-2009,8.50,8.55,9.45,8.50,8.65,8.65,8.76,130983,11.48,-,79195,60.46
ARROWTEX,EQ,21-May-2009,8.65,9.25,9.75,8.50,9.00,9.25,9.22,100446,9.26,-,77539,77.19
ARROWTEX,EQ,22-May-2009,9.25,9.25,10.00,9.20,9.70,9.75,9.75,62243,6.07,-,47393,76.14
ARROWTEX,EQ,25-May-2009,9.75,10.00,11.70,9.55,11.70,11.65,11.23,239801,26.94,-,168582,70.30
ARROWTEX,EQ,26-May-2009,11.65,12.40,14.00,12.35,13.30,13.10,13.25,339680,45.01,-,173003,50.93
ARROWTEX,EQ,27-May-2009,13.10,13.10,14.00,12.60,12.70,12.85,13.00,95418,12.40,-,61840,64.81
ARROWTEX,EQ,28-May-2009,12.85,13.50,13.50,11.75,12.00,11.90,12.10,114783,13.88,-,95926,83.57
ARROWTEX,EQ,29-May-2009,11.90,12.15,12.50,11.90,12.10,12.10,12.20,62505,7.63,-,46412,74.25
ARROWTEX,EQ,01-Jun-2009,12.10,11.15,12.60,11.15,12.30,12.35,12.26,48911,6.00,-,36251,74.12
ARROWTEX,EQ,02-Jun-2009,12.35,11.35,12.90,11.35,11.95,11.80,11.76,71075,8.36,-,49178,69.19
ARROWTEX,EQ,03-Jun-2009,11.80,11.75,12.10,11.45,11.85,11.85,11.88,64711,7.69,-,45338,70.06
ARROWTEX,EQ,04-Jun-2009,11.85,11.65,12.00,11.65,11.90,11.90,11.84,35829,4.24,-,28041,78.26
ARROWTEX,EQ,05-Jun-2009,11.90,12.40,12.50,11.55,11.80,11.75,11.93,89095,10.63,-,51777,58.11
ARROWTEX,EQ,08-Jun-2009,11.75,11.90,11.95,11.50,11.60,11.50,11.62,56351,6.55,-,52734,93.58
ARROWTEX,EQ,09-Jun-2009,11.50,11.45,11.45,10.50,11.10,11.25,11.09,29067,3.22,-,20820,71.63
ARROWTEX,EQ,10-Jun-2009,11.25,11.00,11.70,11.00,11.20,11.20,11.33,24789,2.81,-,17239,69.54
ARROWTEX,EQ,11-Jun-2009,11.20,10.90,11.20,10.75,11.00,11.05,10.95,13014,1.43,-,11086,85.19
ARROWTEX,EQ,12-Jun-2009,11.05,11.05,11.40,11.00,11.00,11.00,11.02,20091,2.21,-,19884,98.97
ARROWTEX,EQ,15-Jun-2009,11.00,11.10,11.30,10.10,10.55,10.60,10.70,29056,3.11,-,28432,97.85
ARROWTEX,EQ,16-Jun-2009,10.60,10.00,11.00,10.00,10.60,10.60,10.66,29852,3.18,-,22873,76.62
ARROWTEX,EQ,17-Jun-2009,10.60,10.80,10.90,10.25,10.25,10.35,10.55,14898,1.57,-,12577,84.42
