Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASHAPURMIN,EQ,02-Jan-2006,934.25,935.00,954.00,935.00,945.00,942.85,941.91,3025,28.49,-,1409,46.58
ASHAPURMIN,EQ,03-Jan-2006,942.85,947.90,954.00,935.00,940.00,940.75,946.11,1974,18.68,-,1531,77.56
ASHAPURMIN,EQ,04-Jan-2006,940.75,954.95,954.95,931.00,951.00,948.50,942.97,1754,16.54,-,1599,91.16
ASHAPURMIN,EQ,05-Jan-2006,948.50,948.10,951.00,936.00,951.00,946.75,943.68,2251,21.24,-,1223,54.33
ASHAPURMIN,EQ,06-Jan-2006,946.75,950.00,950.00,930.00,937.00,934.90,935.43,9141,85.51,-,8587,93.94
ASHAPURMIN,EQ,09-Jan-2006,934.90,1015.00,1015.00,921.35,931.05,936.00,936.01,10244,95.89,-,9997,97.59
ASHAPURMIN,EQ,10-Jan-2006,936.00,940.00,941.85,925.55,927.00,929.10,933.05,1183,11.04,-,942,79.63
ASHAPURMIN,EQ,12-Jan-2006,929.10,925.00,936.00,906.20,906.20,921.00,922.76,18308,168.94,-,17512,95.65
ASHAPURMIN,EQ,13-Jan-2006,921.00,915.00,975.00,915.00,954.10,960.30,956.28,2684,25.67,-,2348,87.48
ASHAPURMIN,EQ,16-Jan-2006,960.30,985.00,999.90,945.00,988.00,989.90,977.56,4034,39.43,-,1918,47.55
ASHAPURMIN,EQ,17-Jan-2006,989.90,1000.20,1000.20,960.20,975.00,968.90,979.44,1394,13.65,-,839,60.19
ASHAPURMIN,EQ,18-Jan-2006,968.90,970.00,979.95,950.05,961.20,966.45,965.48,1126,10.87,-,878,77.98
ASHAPURMIN,EQ,19-Jan-2006,966.45,997.00,997.00,961.00,978.55,981.05,979.11,1199,11.74,-,924,77.06
ASHAPURMIN,EQ,20-Jan-2006,981.05,992.00,1008.95,979.50,1000.00,1002.05,993.98,1974,19.62,-,1604,81.26
ASHAPURMIN,EQ,23-Jan-2006,1002.05,1010.00,1060.00,1010.00,1047.00,1053.25,1047.19,2978,31.19,-,2258,75.82
ASHAPURMIN,EQ,24-Jan-2006,1053.25,1060.00,1125.00,1053.25,1074.50,1066.20,1086.61,2909,31.61,-,1889,64.94
ASHAPURMIN,EQ,25-Jan-2006,1066.20,1100.00,1136.00,1090.00,1090.00,1096.95,1106.88,2252,24.93,-,1381,61.32
ASHAPURMIN,EQ,27-Jan-2006,1096.95,1130.00,1200.00,1100.00,1111.00,1114.80,1136.66,5280,60.02,-,3089,58.50
ASHAPURMIN,EQ,30-Jan-2006,1114.80,1134.00,1188.00,1081.00,1130.00,1136.90,1143.88,12832,146.78,-,4712,36.72
ASHAPURMIN,EQ,31-Jan-2006,1136.90,1136.90,1159.00,1075.00,1100.05,1104.20,1113.52,1579,17.58,-,1055,66.81
ASHAPURMIN,EQ,01-Feb-2006,1104.20,1050.00,1104.20,1050.00,1070.00,1073.20,1081.63,3660,39.59,-,2724,74.43
ASHAPURMIN,EQ,02-Feb-2006,1073.20,1085.00,1165.00,1068.00,1105.20,1122.35,1117.16,22917,256.02,-,10245,44.70
ASHAPURMIN,EQ,03-Feb-2006,1122.35,1105.00,1119.90,1085.00,1090.00,1090.15,1105.90,2627,29.05,-,2111,80.36
ASHAPURMIN,EQ,06-Feb-2006,1090.15,1090.00,1125.00,1075.20,1100.00,1092.15,1096.00,1474,16.15,-,1165,79.04
ASHAPURMIN,EQ,07-Feb-2006,1092.15,1077.00,1100.00,1042.00,1065.00,1056.65,1056.26,722,7.63,-,540,74.79
ASHAPURMIN,EQ,08-Feb-2006,1056.65,1037.60,1060.00,1019.00,1040.00,1025.00,1039.88,1815,18.87,-,1376,75.81
ASHAPURMIN,EQ,10-Feb-2006,1025.00,1079.95,1087.80,1050.00,1086.00,1079.35,1068.16,1482,15.83,-,870,58.70
ASHAPURMIN,EQ,13-Feb-2006,1079.35,1147.00,1147.00,1065.00,1072.00,1080.55,1087.13,846,9.20,-,493,58.27
ASHAPURMIN,EQ,14-Feb-2006,1080.55,1085.00,1085.00,1040.00,1041.00,1051.70,1059.53,485,5.14,-,317,65.36
ASHAPURMIN,EQ,15-Feb-2006,1051.70,1060.00,1069.90,1048.00,1050.00,1050.00,1051.79,265,2.79,-,257,96.98
ASHAPURMIN,EQ,16-Feb-2006,1050.00,1050.00,1070.00,1048.00,1070.00,1052.85,1051.31,486,5.11,-,455,93.62
