Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASTRAL,EQ,20-Mar-2007,115.00,103.00,113.65,100.00,105.75,105.35,106.19,4826203,5124.99,-,187345,3.88
ASTRAL,EQ,21-Mar-2007,105.35,105.00,107.55,97.70,100.00,98.90,102.75,1233419,1267.39,-,100412,8.14
ASTRAL,EQ,22-Mar-2007,98.90,102.00,104.00,97.30,98.40,98.25,99.63,439274,437.67,-,35737,8.14
ASTRAL,EQ,23-Mar-2007,98.25,99.95,99.95,90.15,92.00,92.90,94.49,200124,189.10,-,50480,25.22
ASTRAL,EQ,26-Mar-2007,92.90,92.00,92.05,86.10,87.00,86.90,88.88,119567,106.27,-,33643,28.14
ASTRAL,EQ,28-Mar-2007,86.90,88.50,88.50,79.00,79.50,80.25,81.74,60462,49.42,-,24681,40.82
ASTRAL,EQ,29-Mar-2007,80.25,80.00,81.00,76.15,77.25,77.60,77.79,87216,67.84,-,42017,48.18
ASTRAL,EQ,30-Mar-2007,77.60,81.00,85.00,76.05,83.00,82.90,81.41,138077,112.41,-,25528,18.49
ASTRAL,EQ,02-Apr-2007,82.90,78.50,84.90,78.15,80.00,80.20,81.62,35631,29.08,-,6064,17.02
ASTRAL,EQ,03-Apr-2007,80.20,80.25,83.00,79.10,80.10,80.25,81.18,18974,15.40,-,4656,24.54
ASTRAL,EQ,04-Apr-2007,80.25,81.40,81.40,77.25,77.60,77.80,79.35,16410,13.02,-,6551,39.92
ASTRAL,EQ,05-Apr-2007,77.80,77.50,83.50,77.25,79.50,78.60,80.22,27474,22.04,-,5951,21.66
ASTRAL,EQ,09-Apr-2007,78.60,79.45,82.50,78.75,79.45,79.35,80.29,21123,16.96,-,7433,35.19
ASTRAL,EQ,10-Apr-2007,79.35,78.20,80.60,76.10,79.50,79.75,79.74,12829,10.23,-,4489,34.99
ASTRAL,EQ,11-Apr-2007,79.75,79.50,81.75,79.30,79.55,79.75,80.18,15542,12.46,-,6209,39.95
ASTRAL,EQ,12-Apr-2007,79.75,78.50,80.35,78.00,78.80,78.35,78.85,3529,2.78,-,2035,57.67
ASTRAL,EQ,13-Apr-2007,78.35,76.50,79.75,76.05,77.95,77.85,78.37,6058,4.75,-,3142,51.87
ASTRAL,EQ,16-Apr-2007,77.85,78.65,85.30,78.15,83.35,83.85,82.14,53811,44.20,-,18521,34.42
ASTRAL,EQ,17-Apr-2007,83.85,83.20,87.80,82.00,85.00,84.75,85.62,27308,23.38,-,11533,42.23
ASTRAL,EQ,18-Apr-2007,84.75,85.00,97.40,85.00,93.10,93.05,93.79,246212,230.91,-,28028,11.38
ASTRAL,EQ,19-Apr-2007,93.05,94.00,94.70,88.00,90.35,91.40,92.58,35026,32.43,-,10611,30.29
ASTRAL,EQ,20-Apr-2007,91.40,91.65,93.60,87.50,87.50,88.05,90.20,18707,16.87,-,6572,35.13
ASTRAL,EQ,23-Apr-2007,88.05,90.20,91.45,87.25,87.90,87.95,89.08,12631,11.25,-,4776,37.81
ASTRAL,EQ,24-Apr-2007,87.95,87.00,97.70,86.50,93.00,92.70,94.46,101432,95.81,-,13666,13.47
ASTRAL,EQ,25-Apr-2007,92.70,92.50,105.50,92.30,98.50,98.45,100.94,249354,251.69,-,25693,10.30
ASTRAL,EQ,26-Apr-2007,98.45,101.25,105.00,95.10,96.00,96.00,100.90,92761,93.59,-,18887,20.36
ASTRAL,EQ,27-Apr-2007,96.00,97.20,100.00,95.55,100.00,97.85,97.61,32823,32.04,-,13445,40.96
ASTRAL,EQ,30-Apr-2007,97.85,96.20,103.85,96.20,103.00,102.15,101.44,33860,34.35,-,16842,49.74
ASTRAL,EQ,03-May-2007,102.15,102.90,105.10,99.25,102.50,100.75,102.08,23057,23.54,-,7034,30.51
ASTRAL,EQ,04-May-2007,100.75,101.00,108.55,101.00,104.25,104.25,105.79,101644,107.52,-,22006,21.65
ASTRAL,EQ,07-May-2007,104.25,110.00,112.00,106.25,107.00,107.25,109.42,59093,64.66,-,31195,52.79
ASTRAL,EQ,08-May-2007,107.25,105.00,108.00,103.50,105.00,105.40,105.75,26901,28.45,-,8694,32.32
ASTRAL,EQ,09-May-2007,105.40,103.50,106.80,101.50,103.25,103.60,104.42,17874,18.66,-,4247,23.76
ASTRAL,EQ,10-May-2007,103.60,102.05,109.90,102.05,107.25,108.05,106.59,30864,32.90,-,16772,54.34
ASTRAL,EQ,11-May-2007,108.05,114.00,114.00,102.00,108.00,108.40,109.44,34709,37.98,-,15423,44.44
ASTRAL,EQ,14-May-2007,108.40,109.10,112.40,108.80,110.00,110.10,110.28,19880,21.92,-,12051,60.62
ASTRAL,EQ,15-May-2007,110.10,112.40,117.45,109.10,112.70,114.00,115.06,131197,150.96,-,33133,25.25
ASTRAL,EQ,16-May-2007,114.00,115.50,117.40,111.00,112.00,112.10,113.97,26455,30.15,-,14155,53.51
ASTRAL,EQ,17-May-2007,112.10,113.00,113.90,108.10,108.25,108.95,109.86,18356,20.17,-,10840,59.05
ASTRAL,EQ,18-May-2007,108.95,108.15,112.50,108.00,110.00,109.55,110.12,14165,15.60,-,7140,50.41
ASTRAL,EQ,21-May-2007,109.55,110.00,115.00,110.00,112.50,112.20,113.06,20641,23.34,-,13037,63.16
ASTRAL,EQ,22-May-2007,112.20,111.15,116.90,111.15,114.00,114.65,115.42,85594,98.79,-,34994,40.88
ASTRAL,EQ,23-May-2007,114.65,115.50,118.10,112.10,113.85,113.05,115.69,44996,52.06,-,21875,48.62
ASTRAL,EQ,24-May-2007,113.05,110.35,114.00,110.35,111.35,112.25,112.49,7280,8.19,-,2557,35.12
ASTRAL,EQ,25-May-2007,112.25,112.50,115.85,111.00,113.15,114.25,114.02,18808,21.45,-,10717,56.98
ASTRAL,EQ,28-May-2007,114.25,114.70,115.25,113.00,115.10,114.50,114.50,12635,14.47,-,8761,69.34
ASTRAL,EQ,29-May-2007,114.50,114.50,114.50,112.10,114.50,113.80,113.41,8675,9.84,-,6807,78.47
ASTRAL,EQ,30-May-2007,113.80,113.80,114.00,112.00,113.00,112.55,113.11,10894,12.32,-,8033,73.74
ASTRAL,EQ,31-May-2007,112.55,108.00,112.50,108.00,108.25,109.40,110.48,16030,17.71,-,14805,92.36
ASTRAL,EQ,01-Jun-2007,109.40,110.90,115.25,110.90,114.50,114.75,114.18,25961,29.64,-,20681,79.66
ASTRAL,EQ,04-Jun-2007,114.75,115.00,115.55,113.05,113.05,113.65,114.89,11580,13.30,-,8589,74.17
ASTRAL,EQ,05-Jun-2007,113.65,113.50,114.90,111.00,111.10,111.40,112.24,4357,4.89,-,3923,90.04
ASTRAL,EQ,06-Jun-2007,111.40,114.00,114.30,108.10,108.35,108.35,110.67,7354,8.14,-,5932,80.66
ASTRAL,EQ,07-Jun-2007,108.35,109.70,109.95,105.10,108.00,107.20,107.14,5892,6.31,-,5042,85.57
ASTRAL,EQ,08-Jun-2007,107.20,105.10,110.00,105.00,109.30,109.25,108.07,5137,5.55,-,3924,76.39
ASTRAL,EQ,11-Jun-2007,109.25,108.00,111.00,106.10,106.25,107.35,108.93,3418,3.72,-,2907,85.05
ASTRAL,EQ,12-Jun-2007,107.35,103.00,105.50,103.00,105.45,103.90,104.63,4991,5.22,-,3184,63.79
ASTRAL,EQ,13-Jun-2007,103.90,102.30,105.60,100.55,100.55,101.30,102.52,2703,2.77,-,1909,70.63
ASTRAL,EQ,14-Jun-2007,101.30,104.90,104.90,100.60,103.50,102.55,102.62,1253,1.29,-,865,69.03
ASTRAL,EQ,15-Jun-2007,102.55,102.75,107.35,102.75,107.00,107.15,106.26,2343,2.49,-,1692,72.22
ASTRAL,EQ,18-Jun-2007,107.15,109.50,109.50,103.10,107.00,105.55,105.86,1833,1.94,-,1218,66.45
ASTRAL,EQ,19-Jun-2007,105.55,109.00,109.00,102.00,104.95,104.80,104.63,1769,1.85,-,1410,79.71
ASTRAL,EQ,20-Jun-2007,104.80,105.90,106.30,103.00,104.00,104.40,104.63,3260,3.41,-,2616,80.25
ASTRAL,EQ,21-Jun-2007,104.40,104.10,106.95,104.00,105.60,105.60,105.28,3178,3.35,-,2937,92.42
ASTRAL,EQ,22-Jun-2007,105.60,105.00,107.55,104.20,104.20,105.35,105.70,3338,3.53,-,2566,76.87
ASTRAL,EQ,25-Jun-2007,105.35,107.00,108.00,102.05,102.05,103.10,103.65,3554,3.68,-,3129,88.04
ASTRAL,EQ,26-Jun-2007,103.10,105.10,107.80,103.00,106.00,106.05,105.67,33540,35.44,-,32883,98.04
ASTRAL,EQ,27-Jun-2007,106.05,107.50,108.00,105.50,107.00,106.80,106.65,29681,31.65,-,28388,95.64
ASTRAL,EQ,28-Jun-2007,106.80,105.05,107.00,105.00,107.00,106.60,105.85,3693,3.91,-,3363,91.06
ASTRAL,EQ,29-Jun-2007,106.60,104.00,107.00,102.00,105.70,105.25,105.35,5286,5.57,-,4296,81.27
ASTRAL,EQ,02-Jul-2007,105.25,107.00,109.50,104.55,109.00,108.80,107.72,8359,9.00,-,7229,86.48
ASTRAL,EQ,03-Jul-2007,108.80,114.00,114.00,107.50,111.00,110.60,109.91,4387,4.82,-,3097,70.59
ASTRAL,EQ,04-Jul-2007,110.60,112.90,112.90,108.00,109.00,108.75,108.96,2634,2.87,-,2425,92.07
ASTRAL,EQ,05-Jul-2007,108.75,107.75,108.90,106.60,107.00,107.05,108.05,4365,4.72,-,3692,84.58
ASTRAL,EQ,06-Jul-2007,107.05,107.05,116.40,105.60,116.00,114.55,112.71,20644,23.27,-,17393,84.25
ASTRAL,EQ,09-Jul-2007,114.55,130.00,135.00,122.00,124.00,124.50,124.71,163009,203.29,-,124189,76.19
ASTRAL,EQ,10-Jul-2007,124.50,127.00,128.80,120.05,123.00,122.85,124.81,96114,119.96,-,49092,51.08
ASTRAL,EQ,11-Jul-2007,122.85,120.00,136.60,120.00,136.00,135.05,130.78,178637,233.62,-,86531,48.44
ASTRAL,EQ,12-Jul-2007,135.05,138.00,138.90,134.50,136.00,136.00,136.06,107734,146.59,-,65081,60.41
ASTRAL,EQ,13-Jul-2007,136.00,130.25,137.25,127.05,130.00,128.35,132.89,42339,56.26,-,31843,75.21
ASTRAL,EQ,16-Jul-2007,128.35,128.60,130.00,125.50,127.70,126.75,128.53,27445,35.28,-,16475,60.03
ASTRAL,EQ,17-Jul-2007,126.75,129.50,133.90,125.05,128.00,127.05,129.41,46779,60.54,-,24936,53.31
ASTRAL,EQ,18-Jul-2007,127.05,126.25,129.00,124.10,125.00,125.15,125.30,14650,18.36,-,11811,80.62
ASTRAL,EQ,19-Jul-2007,125.15,125.55,130.00,125.00,127.30,129.45,127.58,31668,40.40,-,23954,75.64
