Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAJELEC,EQ,02-Nov-2007,363.70,359.80,359.80,331.25,348.80,344.05,342.60,3657,12.53,-,1377,37.65
BAJAJELEC,EQ,05-Nov-2007,344.05,336.00,349.90,336.00,349.90,346.00,342.25,780,2.67,-,518,66.41
BAJAJELEC,EQ,06-Nov-2007,346.00,340.00,356.25,330.00,333.00,333.15,342.13,731,2.50,-,545,74.56
BAJAJELEC,EQ,07-Nov-2007,333.15,336.00,370.00,329.50,370.00,363.20,352.57,3340,11.78,-,1930,57.78
BAJAJELEC,EQ,08-Nov-2007,363.20,359.00,369.00,346.00,369.00,359.10,353.84,2599,9.20,-,2075,79.84
BAJAJELEC,EQ,09-Nov-2007,359.10,360.00,360.00,341.00,351.00,353.15,351.75,76,0.27,-,65,85.53
BAJAJELEC,EQ,12-Nov-2007,353.15,330.15,360.00,328.00,337.00,344.10,344.24,1149,3.96,-,1032,89.82
BAJAJELEC,EQ,13-Nov-2007,344.10,348.95,353.95,335.55,345.05,345.05,345.73,2160,7.47,-,1785,82.64
BAJAJELEC,EQ,14-Nov-2007,345.05,350.00,372.00,330.10,368.00,362.05,362.02,1957,7.08,-,1629,83.24
BAJAJELEC,EQ,15-Nov-2007,362.05,387.95,434.00,369.95,393.00,387.25,384.40,7802,29.99,-,4457,57.13
BAJAJELEC,EQ,16-Nov-2007,387.25,409.00,410.00,380.00,384.00,380.90,388.28,2174,8.44,-,2052,94.39
BAJAJELEC,EQ,19-Nov-2007,380.90,392.45,392.45,370.05,389.00,387.55,380.53,1391,5.29,-,954,68.58
BAJAJELEC,EQ,20-Nov-2007,387.55,387.00,395.00,380.00,381.00,383.75,386.28,3163,12.22,-,2925,92.48
BAJAJELEC,EQ,21-Nov-2007,383.75,382.65,390.00,379.55,390.00,384.65,381.06,2091,7.97,-,1601,76.57
BAJAJELEC,EQ,22-Nov-2007,384.65,385.00,399.00,375.00,375.00,375.25,382.58,2063,7.89,-,1698,82.31
BAJAJELEC,EQ,23-Nov-2007,375.25,397.00,397.00,375.00,379.90,376.95,376.21,2555,9.61,-,2453,96.01
BAJAJELEC,EQ,26-Nov-2007,376.95,384.95,402.00,384.95,395.00,394.15,394.47,1322,5.21,-,959,72.54
BAJAJELEC,EQ,27-Nov-2007,394.15,390.00,405.00,389.00,405.00,398.50,397.86,1592,6.33,-,1216,76.38
BAJAJELEC,EQ,28-Nov-2007,398.50,404.95,407.00,385.00,385.00,387.00,399.98,1897,7.59,-,1487,78.39
BAJAJELEC,EQ,29-Nov-2007,387.00,399.00,409.00,391.05,405.00,405.65,398.09,1240,4.94,-,1236,99.68
BAJAJELEC,EQ,30-Nov-2007,405.65,400.00,425.00,391.00,406.00,406.00,411.50,2521,10.37,-,1389,55.10
BAJAJELEC,EQ,03-Dec-2007,406.00,424.00,450.00,411.70,431.10,431.25,432.44,1674,7.24,-,1478,88.29
BAJAJELEC,EQ,04-Dec-2007,431.25,430.00,445.90,429.50,440.00,439.80,432.31,731,3.16,-,651,89.06
BAJAJELEC,EQ,05-Dec-2007,439.80,438.00,450.00,432.05,448.00,442.10,440.23,2287,10.07,-,1372,59.99
BAJAJELEC,EQ,06-Dec-2007,442.10,450.00,495.00,438.00,445.00,446.40,471.25,10264,48.37,-,4530,44.13
BAJAJELEC,EQ,07-Dec-2007,446.40,495.00,495.00,435.00,490.00,481.35,464.47,1756,8.16,-,799,45.50
BAJAJELEC,EQ,10-Dec-2007,481.35,490.00,495.00,437.25,450.05,449.65,451.73,2230,10.07,-,1456,65.29
BAJAJELEC,EQ,11-Dec-2007,449.65,485.00,493.00,437.00,440.00,440.30,456.63,1942,8.87,-,1067,54.94
BAJAJELEC,EQ,12-Dec-2007,440.30,440.00,465.00,430.10,459.85,449.95,444.69,699,3.11,-,464,66.38
BAJAJELEC,EQ,13-Dec-2007,449.95,435.10,460.00,435.00,457.00,458.20,445.25,1559,6.94,-,1248,80.05
BAJAJELEC,EQ,14-Dec-2007,458.20,460.00,478.00,455.00,465.00,465.85,466.21,2213,10.32,-,1774,80.16
BAJAJELEC,EQ,17-Dec-2007,465.85,474.85,475.00,448.00,456.00,456.20,465.78,2245,10.46,-,1915,85.30
BAJAJELEC,EQ,18-Dec-2007,456.20,474.95,474.95,440.00,462.00,460.80,456.39,2277,10.39,-,1637,71.89
BAJAJELEC,EQ,19-Dec-2007,460.80,458.00,475.00,456.20,462.50,467.90,468.26,422,1.98,-,319,75.59
BAJAJELEC,EQ,20-Dec-2007,467.90,463.00,480.00,438.00,455.00,448.05,458.90,6325,29.03,-,5327,84.22
BAJAJELEC,EQ,24-Dec-2007,448.05,456.30,476.00,456.30,470.00,469.60,470.03,541,2.54,-,511,94.45
BAJAJELEC,EQ,26-Dec-2007,469.60,453.10,520.00,415.05,503.90,505.20,486.45,5981,29.09,-,5395,90.20
BAJAJELEC,EQ,27-Dec-2007,505.20,509.95,530.00,509.95,520.00,522.95,514.04,1842,9.47,-,1743,94.63
BAJAJELEC,EQ,28-Dec-2007,522.95,530.00,620.00,530.00,608.00,603.20,557.56,31211,174.02,-,28113,90.07
BAJAJELEC,EQ,31-Dec-2007,603.20,644.20,723.85,644.20,696.00,703.75,714.58,60900,435.18,-,41175,67.61
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAJELEC,EQ,01-Jan-2008,703.75,750.00,750.00,686.00,691.50,694.70,714.06,17696,126.36,-,13023,73.59
BAJAJELEC,EQ,02-Jan-2008,694.70,729.00,729.00,685.00,693.00,696.45,697.81,8759,61.12,-,6049,69.06
BAJAJELEC,EQ,03-Jan-2008,696.45,685.05,696.00,650.00,671.00,675.90,685.68,4547,31.18,-,3372,74.16
BAJAJELEC,EQ,04-Jan-2008,675.90,679.00,690.00,655.00,655.00,662.85,675.33,2736,18.48,-,2047,74.82
BAJAJELEC,EQ,07-Jan-2008,662.85,674.95,674.95,625.00,632.80,637.10,647.09,8436,54.59,-,6076,72.02
BAJAJELEC,EQ,08-Jan-2008,637.10,659.90,659.90,615.00,615.50,619.85,629.65,2991,18.83,-,2584,86.39
BAJAJELEC,EQ,09-Jan-2008,619.85,630.00,640.00,600.00,600.00,619.40,623.86,9759,60.88,-,8736,89.52
BAJAJELEC,EQ,10-Jan-2008,619.40,625.00,650.35,618.10,635.00,629.60,636.59,4643,29.56,-,2627,56.58
BAJAJELEC,EQ,11-Jan-2008,629.60,615.00,643.00,601.10,633.95,626.00,626.23,4394,27.52,-,3030,68.96
BAJAJELEC,EQ,14-Jan-2008,626.00,635.00,645.00,615.00,623.00,620.95,630.10,6300,39.70,-,4856,77.08
BAJAJELEC,EQ,15-Jan-2008,620.95,640.00,643.50,610.00,615.00,613.40,615.75,3174,19.54,-,2750,86.64
BAJAJELEC,EQ,16-Jan-2008,613.40,629.00,629.95,591.00,615.00,613.15,609.61,5672,34.58,-,4456,78.56
BAJAJELEC,EQ,17-Jan-2008,613.15,628.00,628.00,602.05,605.00,608.75,609.43,1442,8.79,-,1153,79.96
BAJAJELEC,EQ,18-Jan-2008,608.75,630.00,630.00,601.00,610.25,610.30,609.64,2008,12.24,-,1509,75.15
BAJAJELEC,EQ,21-Jan-2008,610.30,580.00,600.00,549.45,557.45,557.45,572.13,2533,14.49,-,1607,63.44
BAJAJELEC,EQ,22-Jan-2008,557.45,555.00,555.00,501.70,501.70,501.70,507.05,539,2.73,-,539,100.00
BAJAJELEC,EQ,23-Jan-2008,501.70,481.10,505.50,451.65,492.00,480.90,470.82,4804,22.62,-,3688,76.77
