Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BALMLAWRIE,EQ,02-Jan-2006,556.55,557.00,563.00,555.00,555.00,556.30,557.65,4378,24.41,-,3901,89.10
BALMLAWRIE,EQ,03-Jan-2006,556.30,565.00,584.00,565.00,570.00,574.40,577.02,17285,99.74,-,15106,87.39
BALMLAWRIE,EQ,04-Jan-2006,574.40,579.95,580.00,570.00,575.00,575.00,575.91,1586,9.13,-,1328,83.73
BALMLAWRIE,EQ,05-Jan-2006,575.00,572.00,572.00,536.15,560.00,560.25,562.06,3997,22.47,-,3208,80.26
BALMLAWRIE,EQ,06-Jan-2006,560.25,555.05,560.00,550.00,560.00,559.90,554.42,4358,24.16,-,3682,84.49
BALMLAWRIE,EQ,09-Jan-2006,559.90,560.00,570.00,555.00,565.00,567.80,562.66,5536,31.15,-,4625,83.54
BALMLAWRIE,EQ,10-Jan-2006,567.80,570.00,570.00,556.00,565.05,566.65,565.26,6490,36.69,-,5398,83.17
BALMLAWRIE,EQ,12-Jan-2006,566.65,565.00,570.00,530.10,565.00,560.50,560.02,3162,17.71,-,2559,80.93
BALMLAWRIE,EQ,13-Jan-2006,560.50,557.10,597.50,557.10,578.10,579.90,581.01,13294,77.24,-,10941,82.30
BALMLAWRIE,EQ,16-Jan-2006,579.90,598.95,599.40,565.00,567.20,567.40,577.24,3649,21.06,-,2576,70.59
BALMLAWRIE,EQ,17-Jan-2006,567.40,580.00,580.00,545.00,545.00,550.05,562.43,3429,19.29,-,3161,92.18
BALMLAWRIE,EQ,18-Jan-2006,550.05,546.10,552.85,535.80,540.00,539.85,546.45,54516,297.90,-,38268,70.20
