Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BANARISUG,EQ,02-Jan-2006,1164.10,1184.00,1198.00,1171.95,1175.70,1177.15,1181.08,3830,45.24,-,2515,65.67
BANARISUG,EQ,03-Jan-2006,1177.15,1180.00,1199.00,1175.15,1178.15,1182.00,1187.20,1461,17.34,-,638,43.67
BANARISUG,EQ,04-Jan-2006,1182.00,1182.00,1200.00,1140.00,1141.00,1145.60,1162.39,2891,33.60,-,1942,67.17
BANARISUG,EQ,05-Jan-2006,1145.60,1176.90,1177.00,1116.00,1119.05,1125.80,1138.72,1835,20.90,-,1166,63.54
BANARISUG,EQ,06-Jan-2006,1125.80,1077.50,1160.00,1077.50,1125.00,1125.55,1141.22,2565,29.27,-,1696,66.12
BANARISUG,EQ,09-Jan-2006,1125.55,1153.80,1163.00,1100.00,1105.00,1108.15,1133.19,8122,92.04,-,4395,54.11
BANARISUG,EQ,10-Jan-2006,1108.15,1126.90,1155.00,1115.00,1130.00,1125.75,1133.66,2985,33.84,-,1987,66.57
BANARISUG,EQ,12-Jan-2006,1125.75,1130.00,1135.00,1085.10,1117.90,1114.30,1117.04,8736,97.58,-,5407,61.89
BANARISUG,EQ,13-Jan-2006,1114.30,1125.00,1155.00,1125.00,1140.00,1137.60,1140.80,4493,51.26,-,3666,81.59
BANARISUG,EQ,16-Jan-2006,1137.60,1149.50,1165.00,1106.30,1159.00,1146.05,1141.80,4711,53.79,-,3233,68.63
BANARISUG,EQ,17-Jan-2006,1146.05,1179.90,1179.90,1145.10,1166.85,1160.95,1158.56,2319,26.87,-,1937,83.53
BANARISUG,EQ,18-Jan-2006,1160.95,1138.00,1167.90,1116.10,1160.00,1162.75,1151.14,2207,25.41,-,1621,73.45
BANARISUG,EQ,19-Jan-2006,1162.75,1165.00,1275.00,1164.00,1221.10,1234.80,1229.16,16556,203.50,-,6635,40.08
BANARISUG,EQ,20-Jan-2006,1234.80,1250.00,1310.00,1250.00,1273.90,1266.60,1283.27,8575,110.04,-,3208,37.41
BANARISUG,EQ,23-Jan-2006,1266.60,1305.00,1325.00,1273.90,1290.00,1293.30,1292.54,6027,77.90,-,4040,67.03
BANARISUG,EQ,24-Jan-2006,1293.30,1310.00,1328.35,1310.00,1327.00,1321.60,1316.07,4282,56.35,-,2578,60.21
BANARISUG,EQ,25-Jan-2006,1321.60,1330.00,1399.00,1285.00,1356.50,1347.40,1346.57,12145,163.54,-,5619,46.27
BANARISUG,EQ,27-Jan-2006,1347.40,1405.00,1450.00,1357.00,1421.25,1421.35,1414.40,6290,88.97,-,3579,56.90
BANARISUG,EQ,30-Jan-2006,1421.35,1400.00,1479.00,1330.00,1330.00,1343.60,1377.35,4464,61.48,-,2842,63.66
BANARISUG,EQ,31-Jan-2006,1343.60,1340.00,1369.00,1270.35,1308.00,1305.25,1310.72,4416,57.88,-,2446,55.39
BANARISUG,EQ,01-Feb-2006,1305.25,1307.10,1330.05,1273.00,1300.00,1287.75,1304.20,5244,68.39,-,2014,38.41
BANARISUG,EQ,02-Feb-2006,1287.75,1358.00,1416.50,1270.00,1325.00,1372.45,1345.36,11217,150.91,-,4858,43.31
BANARISUG,EQ,03-Feb-2006,1372.45,1400.00,1405.00,1335.00,1337.05,1346.65,1373.24,10188,139.91,-,3825,37.54
BANARISUG,EQ,06-Feb-2006,1346.65,1368.95,1371.00,1320.00,1350.00,1353.65,1347.00,5325,71.73,-,2747,51.59
BANARISUG,EQ,07-Feb-2006,1353.65,1356.00,1385.00,1322.10,1371.30,1374.35,1354.27,4122,55.82,-,2305,55.92
BANARISUG,EQ,08-Feb-2006,1374.35,1384.00,1384.00,1337.00,1337.00,1344.05,1362.54,1665,22.69,-,851,51.11
BANARISUG,EQ,10-Feb-2006,1344.05,1364.90,1375.00,1350.00,1353.00,1353.75,1359.49,2049,27.86,-,895,43.68
BANARISUG,EQ,13-Feb-2006,1353.75,1355.00,1355.00,1330.00,1340.00,1341.35,1339.94,1010,13.53,-,623,61.68
BANARISUG,EQ,14-Feb-2006,1341.35,1345.00,1369.00,1330.00,1341.50,1332.55,1346.27,1575,21.20,-,946,60.06
BANARISUG,EQ,15-Feb-2006,1332.55,1343.00,1350.00,1288.10,1296.95,1295.80,1308.55,1824,23.87,-,1175,64.42
BANARISUG,EQ,16-Feb-2006,1295.80,1301.00,1338.80,1280.00,1280.00,1294.90,1296.66,2010,26.06,-,1420,70.65
BANARISUG,EQ,17-Feb-2006,1294.90,1295.00,1295.00,1265.00,1268.00,1270.05,1274.06,2117,26.97,-,1837,86.77
BANARISUG,EQ,20-Feb-2006,1270.05,1230.00,1268.80,1226.10,1257.00,1263.40,1249.60,737,9.21,-,446,60.52
BANARISUG,EQ,21-Feb-2006,1263.40,1260.00,1260.00,1240.00,1240.00,1245.35,1253.99,527,6.61,-,256,48.58
BANARISUG,EQ,22-Feb-2006,1245.35,1274.80,1285.00,1250.05,1276.00,1271.65,1267.23,1773,22.47,-,1053,59.39
BANARISUG,EQ,23-Feb-2006,1271.65,1319.00,1319.00,1260.00,1260.00,1264.80,1278.67,685,8.76,-,349,50.95
BANARISUG,EQ,24-Feb-2006,1264.80,1270.00,1283.65,1234.20,1274.00,1273.00,1266.98,2901,36.76,-,2258,77.84
BANARISUG,EQ,27-Feb-2006,1273.00,1269.80,1314.00,1253.25,1310.00,1301.35,1290.32,2204,28.44,-,1325,60.12
BANARISUG,EQ,28-Feb-2006,1301.35,1309.00,1310.00,1281.00,1308.00,1307.20,1294.19,989,12.80,-,709,71.69
