Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BEL,EQ,02-Jan-2006,993.15,998.00,1001.00,983.00,993.90,989.05,995.45,100973,1005.13,-,29066,28.79
BEL,EQ,03-Jan-2006,989.05,999.50,1000.00,989.90,993.05,994.35,996.79,45406,452.60,-,18693,41.17
BEL,EQ,04-Jan-2006,994.35,998.00,1014.00,986.15,990.20,991.75,1000.66,53553,535.88,-,22352,41.74
BEL,EQ,05-Jan-2006,991.75,990.00,997.00,970.00,983.15,986.40,986.86,31611,311.95,-,13948,44.12
BEL,EQ,06-Jan-2006,986.40,991.80,1012.00,983.00,989.00,989.25,998.55,131748,1315.57,-,60548,45.96
BEL,EQ,09-Jan-2006,989.25,990.00,1006.00,960.00,981.70,986.50,990.15,169998,1683.23,-,105978,62.34
BEL,EQ,10-Jan-2006,986.50,990.00,990.00,959.70,961.10,965.65,972.48,104089,1012.24,-,55608,53.42
BEL,EQ,12-Jan-2006,965.65,968.00,984.85,956.00,978.90,978.85,975.26,106197,1035.69,-,57907,54.53
BEL,EQ,13-Jan-2006,978.85,988.90,1050.00,983.00,1025.00,1024.50,1025.94,276666,2838.43,-,89236,32.25
BEL,EQ,16-Jan-2006,1024.50,1030.00,1043.00,1001.50,1003.50,1008.65,1027.02,72409,743.66,-,18566,25.64
BEL,EQ,17-Jan-2006,1008.65,1010.00,1030.00,985.10,993.75,989.95,1013.83,102589,1040.08,-,46290,45.12
BEL,EQ,18-Jan-2006,989.95,984.00,1006.80,963.60,1002.15,999.45,990.75,94266,933.94,-,33273,35.30
BEL,EQ,19-Jan-2006,999.45,1007.45,1044.45,1007.00,1033.00,1037.25,1023.80,109479,1120.85,-,43781,39.99
BEL,EQ,20-Jan-2006,1037.25,1060.00,1060.00,1038.00,1051.00,1054.30,1051.74,120911,1271.67,-,39474,32.65
BEL,EQ,23-Jan-2006,1054.30,1060.00,1098.00,1025.00,1087.00,1086.90,1075.40,156604,1684.13,-,54775,34.98
BEL,EQ,24-Jan-2006,1086.90,1091.90,1129.00,1091.90,1110.00,1112.15,1114.87,143566,1600.57,-,70015,48.77
BEL,EQ,25-Jan-2006,1112.15,1129.00,1206.00,1115.00,1199.00,1194.50,1162.18,191240,2222.54,-,76037,39.76
BEL,EQ,27-Jan-2006,1194.50,1201.00,1235.45,1150.00,1162.10,1161.15,1173.34,254506,2986.23,-,144354,56.72
BEL,EQ,30-Jan-2006,1161.15,1181.35,1192.00,1091.25,1104.90,1103.85,1115.72,177582,1981.31,-,77205,43.48
BEL,EQ,31-Jan-2006,1103.85,1129.95,1135.00,1100.00,1109.00,1108.35,1116.79,113775,1270.63,-,49805,43.77
BEL,EQ,01-Feb-2006,1108.35,1115.00,1145.00,1082.20,1102.00,1094.50,1125.24,669423,7532.63,-,400783,59.87
BEL,EQ,02-Feb-2006,1094.50,1072.00,1122.00,1072.00,1107.20,1107.45,1105.51,160288,1772.01,-,70970,44.28
BEL,EQ,03-Feb-2006,1107.45,1111.00,1114.80,1090.00,1095.00,1097.30,1103.58,109950,1213.38,-,49610,45.12
BEL,EQ,06-Feb-2006,1097.30,1104.00,1120.00,1093.00,1100.00,1099.70,1106.18,132341,1463.93,-,67109,50.71
BEL,EQ,07-Feb-2006,1099.70,1100.05,1135.00,1100.05,1120.00,1119.15,1119.55,297550,3331.22,-,204400,68.69
