Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BEML,EQ,02-Jan-2006,1078.90,1109.90,1138.65,1080.00,1123.00,1126.80,1113.66,102351,1139.85,-,33236,32.47
BEML,EQ,03-Jan-2006,1126.80,1131.00,1161.80,1115.00,1142.00,1146.55,1141.18,157738,1800.07,-,36977,23.44
BEML,EQ,04-Jan-2006,1146.55,1150.00,1169.00,1135.00,1148.00,1156.30,1154.38,99542,1149.09,-,32610,32.76
BEML,EQ,05-Jan-2006,1156.30,1125.00,1220.00,1125.00,1217.00,1209.15,1192.06,251734,3000.81,-,76066,30.22
BEML,EQ,06-Jan-2006,1209.15,1215.00,1310.05,1200.00,1288.00,1287.10,1261.96,364858,4604.38,-,112577,30.86
BEML,EQ,09-Jan-2006,1287.10,1300.10,1359.80,1300.10,1332.00,1325.85,1332.53,473692,6312.08,-,207552,43.82
BEML,EQ,10-Jan-2006,1325.85,1330.00,1350.00,1295.90,1321.00,1318.00,1320.56,283601,3745.13,-,105173,37.08
BEML,EQ,12-Jan-2006,1318.00,1324.90,1350.00,1281.00,1297.10,1302.50,1318.48,157134,2071.79,-,67317,42.84
BEML,EQ,13-Jan-2006,1302.50,1310.00,1317.00,1291.30,1292.00,1305.60,1303.28,126715,1651.45,-,83174,65.64
BEML,EQ,16-Jan-2006,1305.60,1304.00,1313.00,1250.05,1255.00,1259.85,1271.78,62655,796.83,-,30694,48.99
BEML,EQ,17-Jan-2006,1259.85,1283.85,1283.85,1225.20,1235.00,1236.55,1256.80,58498,735.20,-,28837,49.30
BEML,EQ,18-Jan-2006,1236.55,1220.00,1223.70,1168.60,1175.00,1180.20,1183.59,69855,826.80,-,28616,40.96
BEML,EQ,19-Jan-2006,1180.20,1198.35,1230.00,1190.10,1205.00,1210.70,1210.85,63645,770.64,-,18944,29.77
BEML,EQ,20-Jan-2006,1210.70,1225.00,1278.90,1220.10,1268.65,1263.55,1242.52,72647,902.65,-,48850,67.24
BEML,EQ,23-Jan-2006,1263.55,1263.00,1320.00,1250.00,1293.00,1290.25,1294.12,71118,920.35,-,17600,24.75
BEML,EQ,24-Jan-2006,1290.25,1314.50,1345.00,1294.00,1335.00,1333.25,1325.45,106084,1406.09,-,50521,47.62
BEML,EQ,25-Jan-2006,1333.25,1339.90,1351.90,1325.00,1335.00,1334.45,1338.13,57345,767.35,-,31959,55.73
BEML,EQ,27-Jan-2006,1334.45,1335.00,1378.00,1335.00,1355.00,1351.25,1355.05,95927,1299.86,-,48733,50.80
BEML,EQ,30-Jan-2006,1351.25,1375.60,1375.60,1294.00,1332.00,1336.35,1336.52,70654,944.31,-,37496,53.07
BEML,EQ,31-Jan-2006,1336.35,1341.00,1349.90,1311.50,1317.00,1321.10,1329.84,21905,291.30,-,8140,37.16
BEML,EQ,01-Feb-2006,1321.10,1321.50,1375.00,1280.00,1320.10,1320.50,1344.02,128029,1720.73,-,70962,55.43
BEML,EQ,02-Feb-2006,1320.50,1342.00,1342.00,1300.65,1317.00,1313.20,1319.38,33193,437.94,-,20304,61.17
BEML,EQ,03-Feb-2006,1313.20,1315.00,1319.00,1280.00,1287.00,1294.25,1298.28,22039,286.13,-,8165,37.05
BEML,EQ,06-Feb-2006,1294.25,1310.00,1310.00,1285.00,1285.00,1287.60,1297.16,43875,569.13,-,31717,72.29
BEML,EQ,07-Feb-2006,1287.60,1298.00,1340.00,1298.00,1329.00,1328.35,1324.48,57841,766.09,-,29747,51.43
BEML,EQ,08-Feb-2006,1328.35,1329.00,1348.60,1299.00,1341.00,1344.60,1340.45,115517,1548.44,-,69078,59.80
BEML,EQ,10-Feb-2006,1344.60,1350.00,1610.00,1350.00,1470.00,1446.90,1413.68,204584,2892.17,-,90313,44.14
BEML,EQ,13-Feb-2006,1446.90,1470.60,1572.00,1450.00,1522.95,1513.00,1526.35,177066,2702.65,-,50641,28.60
BEML,EQ,14-Feb-2006,1513.00,1535.60,1564.00,1470.00,1480.00,1483.55,1518.55,74404,1129.86,-,21509,28.91
