Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BIOCON,EQ,02-Jan-2006,495.15,499.00,499.00,492.25,493.00,492.95,495.32,21802,107.99,-,11603,53.22
BIOCON,EQ,03-Jan-2006,492.95,498.50,498.50,492.50,493.50,493.50,494.88,25810,127.73,-,13815,53.53
BIOCON,EQ,04-Jan-2006,493.50,494.00,497.75,489.00,492.90,490.80,492.19,52625,259.01,-,35752,67.94
BIOCON,EQ,05-Jan-2006,490.80,495.00,500.00,489.10,494.10,495.90,494.04,122169,603.56,-,77809,63.69
BIOCON,EQ,06-Jan-2006,495.90,488.15,498.00,488.15,492.00,491.85,493.65,32698,161.41,-,18786,57.45
BIOCON,EQ,09-Jan-2006,491.85,496.00,503.00,490.85,501.00,500.40,498.88,67033,334.41,-,39933,59.57
BIOCON,EQ,10-Jan-2006,500.40,504.00,504.90,490.00,491.00,491.20,494.94,30985,153.36,-,15582,50.29
BIOCON,EQ,12-Jan-2006,491.20,491.50,495.00,487.00,488.00,488.65,489.92,37209,182.29,-,22573,60.67
BIOCON,EQ,13-Jan-2006,488.65,491.00,495.00,490.05,490.05,492.50,492.71,26722,131.66,-,17152,64.19
BIOCON,EQ,16-Jan-2006,492.50,490.50,495.00,485.00,485.00,485.10,486.53,32162,156.48,-,18469,57.42
BIOCON,EQ,17-Jan-2006,485.10,486.00,491.00,480.10,481.00,482.25,485.56,30538,148.28,-,18214,59.64
BIOCON,EQ,18-Jan-2006,482.25,481.00,490.00,466.30,483.00,482.50,479.58,104304,500.22,-,39949,38.30
BIOCON,EQ,19-Jan-2006,482.50,484.60,492.00,477.70,478.95,479.55,485.30,90984,441.55,-,45277,49.76
BIOCON,EQ,20-Jan-2006,479.55,486.00,486.00,471.15,473.10,472.80,477.49,46199,220.60,-,26777,57.96
BIOCON,EQ,23-Jan-2006,472.80,474.00,474.00,463.00,464.55,464.50,468.40,52496,245.89,-,38241,72.85
BIOCON,EQ,24-Jan-2006,464.50,468.90,469.00,456.50,466.10,466.20,463.50,179105,830.15,-,144341,80.59
BIOCON,EQ,25-Jan-2006,466.20,468.00,475.00,468.00,469.15,469.90,470.76,44904,211.39,-,29479,65.65
BIOCON,EQ,27-Jan-2006,469.90,473.00,482.00,464.00,475.10,476.85,470.90,599563,2823.33,-,532997,88.90
BIOCON,EQ,30-Jan-2006,476.85,475.15,483.00,461.00,462.30,463.85,468.73,70921,332.43,-,38981,54.96
BIOCON,EQ,31-Jan-2006,463.85,468.00,471.00,462.25,463.50,462.85,466.10,30323,141.33,-,17733,58.48
BIOCON,EQ,01-Feb-2006,462.85,462.50,468.00,458.50,463.00,460.00,462.61,53087,245.59,-,30150,56.79
BIOCON,EQ,02-Feb-2006,460.00,465.00,465.00,455.00,456.00,456.75,458.87,28310,129.91,-,19527,68.98
BIOCON,EQ,03-Feb-2006,456.75,457.20,459.00,452.00,452.25,452.90,454.90,28067,127.68,-,18890,67.30
BIOCON,EQ,06-Feb-2006,452.90,455.00,455.00,450.00,454.50,454.45,453.32,28641,129.83,-,16113,56.26
