Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BLISSGVS,EQ,26-Jul-2010,40.95,41.95,42.45,34.00,40.60,40.80,40.90,63723,26.06,-,23812,37.37
BLISSGVS,EQ,27-Jul-2010,40.80,41.20,41.50,39.45,40.10,40.65,41.10,96875,39.82,-,43182,44.57
BLISSGVS,EQ,28-Jul-2010,40.65,40.95,41.95,39.50,40.50,40.80,41.31,70180,28.99,-,28554,40.69
BLISSGVS,EQ,29-Jul-2010,40.80,40.95,41.05,39.40,39.40,39.50,39.90,13723,5.48,-,11089,80.81
BLISSGVS,EQ,30-Jul-2010,39.50,39.50,40.50,39.00,40.50,39.85,39.69,45995,18.26,-,16826,36.58
BLISSGVS,EQ,02-Aug-2010,39.85,40.30,42.50,40.00,40.95,40.50,40.69,29391,11.96,-,19698,67.02
BLISSGVS,EQ,03-Aug-2010,40.50,41.70,41.70,40.15,40.85,40.25,40.61,8261,3.36,-,6062,73.38
BLISSGVS,EQ,04-Aug-2010,40.25,40.25,40.90,39.95,40.45,40.35,40.20,13891,5.58,-,12344,88.86
BLISSGVS,EQ,05-Aug-2010,40.35,40.15,41.50,40.05,40.10,40.10,40.65,54639,22.21,-,17898,32.76
BLISSGVS,EQ,06-Aug-2010,40.10,40.20,40.95,40.20,40.95,40.65,40.74,11311,4.61,-,9366,82.80
BLISSGVS,EQ,09-Aug-2010,40.65,41.60,41.60,40.15,41.25,40.70,40.81,11461,4.68,-,9416,82.16
BLISSGVS,EQ,10-Aug-2010,40.70,41.80,44.80,40.75,42.90,42.85,43.16,424427,183.19,-,153863,36.25
BLISSGVS,EQ,11-Aug-2010,42.85,43.90,43.90,40.80,41.05,41.55,42.15,29479,12.43,-,20603,69.89
BLISSGVS,EQ,12-Aug-2010,41.55,40.25,41.35,40.25,41.25,40.75,40.94,24858,10.18,-,17844,71.78
BLISSGVS,EQ,13-Aug-2010,40.75,40.20,41.50,40.00,40.50,40.25,40.39,22258,8.99,-,15512,69.69
BLISSGVS,EQ,16-Aug-2010,40.25,40.15,41.40,39.00,39.70,39.70,39.75,32085,12.75,-,25309,78.88
BLISSGVS,EQ,17-Aug-2010,39.70,39.55,40.35,39.30,39.65,39.70,39.63,8639,3.42,-,6049,70.02
BLISSGVS,EQ,18-Aug-2010,39.70,39.50,40.65,38.20,38.90,38.90,39.34,30913,12.16,-,18961,61.34
BLISSGVS,EQ,19-Aug-2010,38.90,39.00,39.70,38.30,38.65,38.55,38.96,20483,7.98,-,13433,65.58
BLISSGVS,EQ,20-Aug-2010,38.55,39.30,39.50,38.65,38.70,39.05,39.19,10477,4.11,-,7744,73.91
BLISSGVS,EQ,23-Aug-2010,39.05,38.70,39.80,38.60,39.15,39.25,39.33,26464,10.41,-,14267,53.91
