Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BURNPUR,EQ,03-Jan-2008,12.00,15.00,50.50,15.00,49.70,48.05,39.93,152748815,60994.76,-,8336994,5.46
BURNPUR,EQ,04-Jan-2008,48.05,55.05,57.65,49.00,53.60,54.15,54.42,49868652,27139.46,-,6166381,12.37
BURNPUR,EQ,07-Jan-2008,54.15,53.50,54.95,48.40,49.00,50.25,50.65,15807574,8006.92,-,2417046,15.29
BURNPUR,EQ,08-Jan-2008,50.25,50.25,51.50,42.55,43.25,43.65,45.10,9773688,4408.26,-,2153038,22.03
BURNPUR,EQ,09-Jan-2008,43.65,43.00,43.65,37.10,40.60,40.15,40.22,7855718,3159.59,-,1104770,14.06
BURNPUR,EQ,10-Jan-2008,40.15,41.80,42.70,37.40,37.50,37.90,40.34,4663813,1881.41,-,920915,19.75
BURNPUR,EQ,11-Jan-2008,37.90,39.50,39.80,33.15,36.85,36.00,35.09,4313440,1513.44,-,771181,17.88
BURNPUR,EQ,14-Jan-2008,36.00,36.00,43.20,33.10,43.20,42.00,39.63,15250357,6043.69,-,1468329,9.63
BURNPUR,EQ,15-Jan-2008,42.00,43.95,46.45,41.50,41.95,42.15,44.20,11133307,4921.47,-,1929021,17.33
BURNPUR,EQ,16-Jan-2008,42.15,42.25,42.25,38.05,40.00,39.80,40.02,5308754,2124.44,-,875776,16.50
BURNPUR,EQ,17-Jan-2008,39.80,40.85,43.50,39.30,41.10,41.30,41.73,6526869,2723.78,-,774034,11.86
BURNPUR,EQ,18-Jan-2008,41.30,40.00,41.40,35.20,36.65,37.75,39.77,2737560,1088.76,-,726713,26.55
BURNPUR,EQ,21-Jan-2008,37.75,38.70,38.70,30.20,31.50,31.30,34.03,2655782,903.63,-,827866,31.17
BURNPUR,EQ,22-Jan-2008,31.30,29.00,29.50,25.05,27.25,27.10,26.14,776312,202.92,-,410348,52.86
BURNPUR,EQ,23-Jan-2008,27.10,30.20,32.55,29.00,32.55,31.95,30.99,1388420,430.25,-,490747,35.35
BURNPUR,EQ,24-Jan-2008,31.95,34.00,35.00,30.10,31.80,31.15,32.62,1318793,430.20,-,415335,31.49
BURNPUR,EQ,25-Jan-2008,31.15,32.75,33.55,30.50,31.65,31.80,31.37,1043057,327.18,-,271356,26.02
BURNPUR,EQ,28-Jan-2008,31.80,31.00,31.00,25.45,30.60,30.40,29.92,818114,244.80,-,201506,24.63
BURNPUR,EQ,29-Jan-2008,30.40,32.50,32.80,30.30,31.00,31.00,31.30,753650,235.86,-,211183,28.02
BURNPUR,EQ,30-Jan-2008,31.00,30.70,31.00,29.15,29.90,29.60,30.07,633192,190.43,-,199947,31.58
BURNPUR,EQ,31-Jan-2008,29.60,29.00,29.80,28.00,28.90,28.95,28.98,850165,246.34,-,325114,38.24
BURNPUR,EQ,01-Feb-2008,28.95,29.20,29.50,28.00,28.15,28.20,28.54,489162,139.60,-,192041,39.26
BURNPUR,EQ,04-Feb-2008,28.20,29.40,32.50,29.20,29.70,29.85,29.84,921720,275.01,-,333959,36.23
BURNPUR,EQ,05-Feb-2008,29.85,28.40,31.20,28.40,30.05,29.95,30.11,1124596,338.59,-,240945,21.43
BURNPUR,EQ,06-Feb-2008,29.95,30.00,30.00,27.50,29.35,29.30,29.19,644916,188.27,-,219353,34.01
BURNPUR,EQ,07-Feb-2008,29.30,31.00,35.20,29.95,33.50,33.25,34.18,5942271,2031.30,-,1015476,17.09
BURNPUR,EQ,08-Feb-2008,33.25,33.90,35.75,31.95,32.15,32.40,33.75,4068429,1373.20,-,646479,15.89
BURNPUR,EQ,11-Feb-2008,32.40,33.00,33.00,29.00,29.60,29.25,30.10,1068719,321.66,-,316385,29.60
BURNPUR,EQ,12-Feb-2008,29.25,30.50,30.90,27.50,27.55,27.70,28.41,771407,219.14,-,219054,28.40
BURNPUR,EQ,13-Feb-2008,27.70,27.10,28.85,27.10,27.50,27.30,27.66,591887,163.72,-,185128,31.28
BURNPUR,EQ,14-Feb-2008,27.30,27.50,29.45,27.50,29.00,29.10,28.53,751358,214.37,-,256115,34.09
BURNPUR,EQ,15-Feb-2008,29.10,28.80,31.40,27.80,30.15,30.25,30.12,1794541,540.49,-,345392,19.25
BURNPUR,EQ,18-Feb-2008,30.25,30.90,31.45,30.05,30.30,30.40,30.72,799817,245.70,-,238054,29.76
BURNPUR,EQ,19-Feb-2008,30.40,31.00,31.25,29.90,29.90,30.10,30.61,723146,221.39,-,221158,30.58
