Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CASTROLIND,BE,14-Mar-2014,287.70,300.00,310.25,287.00,300.00,299.40,296.34,27208,80.63,334,-,-
CASTROLIND,BE,18-Mar-2014,299.40,301.00,302.95,291.55,293.50,295.75,294.46,52683,155.13,1168,-,-
CASTROLIND,BE,19-Mar-2014,295.75,295.90,295.90,288.10,291.90,290.90,291.02,43210,125.75,539,-,-
CASTROLIND,BE,20-Mar-2014,290.90,290.00,291.00,287.10,288.75,289.40,289.55,47574,137.75,555,-,-
CASTROLIND,BE,21-Mar-2014,289.40,288.00,291.00,285.80,287.15,287.15,287.88,77541,223.22,2455,-,-
CASTROLIND,BE,22-Mar-2014,287.15,289.00,290.00,286.50,290.00,289.15,287.96,4206,12.11,77,-,-
CASTROLIND,BE,24-Mar-2014,289.15,292.35,292.35,287.60,288.00,288.95,288.74,120240,347.18,534,-,-
CASTROLIND,BE,25-Mar-2014,288.95,288.50,292.95,285.00,288.00,287.25,287.36,47272,135.84,936,-,-
CASTROLIND,BE,26-Mar-2014,287.25,290.00,292.95,288.05,292.00,291.65,290.73,40337,117.27,856,-,-
CASTROLIND,BE,27-Mar-2014,291.65,292.00,298.25,290.30,297.95,297.70,295.21,54703,161.49,1244,-,-
CASTROLIND,EQ,28-Mar-2014,297.70,302.50,314.00,302.50,311.00,312.20,309.27,208665,645.34,7916,140622,67.39
CASTROLIND,EQ,31-Mar-2014,312.20,313.30,317.00,309.35,310.50,310.95,313.00,91514,286.44,3444,59589,65.11
CASTROLIND,EQ,01-Apr-2014,310.95,312.20,312.20,305.00,306.50,306.05,306.32,198453,607.91,6605,176391,88.88
CASTROLIND,EQ,02-Apr-2014,306.05,306.00,312.50,305.00,308.25,308.05,308.52,169167,521.92,6202,133473,78.90
CASTROLIND,EQ,03-Apr-2014,308.05,307.05,311.00,303.10,305.50,304.90,306.42,254728,780.54,3574,178558,70.10
CASTROLIND,EQ,04-Apr-2014,304.90,305.20,309.95,304.70,309.00,308.40,307.53,53319,163.97,1513,37768,70.83
CASTROLIND,EQ,07-Apr-2014,308.40,306.15,309.80,303.50,303.50,304.05,304.73,99437,303.01,1875,79099,79.55
CASTROLIND,EQ,09-Apr-2014,304.05,304.05,309.00,303.00,304.25,304.05,304.80,244701,745.85,5162,188775,77.15
CASTROLIND,EQ,10-Apr-2014,304.05,305.00,306.40,303.90,304.50,304.20,304.75,100456,306.14,2670,73700,73.37
CASTROLIND,EQ,11-Apr-2014,304.20,305.00,309.90,304.00,305.00,304.90,306.33,109339,334.94,2942,72200,66.03
CASTROLIND,EQ,15-Apr-2014,304.90,307.35,307.35,302.15,302.85,302.65,303.48,63611,193.04,1184,49031,77.08
CASTROLIND,EQ,16-Apr-2014,302.65,303.50,304.50,300.00,300.80,300.35,302.14,69455,209.85,1555,51571,74.25
CASTROLIND,EQ,17-Apr-2014,300.35,300.00,304.00,300.00,301.35,301.40,302.27,26470,80.01,3021,18276,69.04
CASTROLIND,EQ,21-Apr-2014,301.40,302.00,305.00,300.00,300.85,300.20,301.10,108739,327.41,2093,83005,76.33
CASTROLIND,EQ,22-Apr-2014,300.20,300.85,303.00,300.15,302.55,302.30,302.15,48618,146.90,949,36532,75.14
CASTROLIND,EQ,23-Apr-2014,302.30,304.50,304.50,301.25,302.75,302.25,302.27,54131,163.62,1374,36329,67.11
CASTROLIND,EQ,25-Apr-2014,302.25,301.00,302.00,297.00,297.00,297.45,299.43,67660,202.60,1236,56632,83.70
CASTROLIND,EQ,28-Apr-2014,297.45,297.15,298.90,296.00,297.70,297.45,297.59,51164,152.26,1146,42243,82.56
CASTROLIND,EQ,29-Apr-2014,297.45,306.75,306.75,293.05,294.95,294.20,296.19,99784,295.55,2574,80963,81.14
CASTROLIND,EQ,30-Apr-2014,294.20,294.95,304.50,293.00,296.60,296.10,298.54,103453,308.85,8934,49536,47.88
CASTROLIND,EQ,02-May-2014,296.10,298.00,299.00,293.60,296.30,296.30,296.24,50070,148.33,1006,37359,74.61
CASTROLIND,EQ,05-May-2014,296.30,296.30,297.00,291.50,293.00,293.00,294.06,56645,166.57,1712,41463,73.20
CASTROLIND,EQ,06-May-2014,293.00,294.00,294.50,291.00,291.70,291.95,292.41,50415,147.42,2122,40414,80.16
CASTROLIND,EQ,07-May-2014,291.95,291.25,292.90,289.40,290.50,290.30,291.24,151320,440.71,5262,131411,86.84
