Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CELESTIAL,EQ,17-Jul-2007,60.00,75.00,104.90,65.50,66.65,67.55,71.01,10437211,7411.17,-,1982743,19.00
CELESTIAL,EQ,18-Jul-2007,67.55,66.50,67.50,62.50,65.10,64.55,65.09,2184003,1421.46,-,356406,16.32
CELESTIAL,EQ,19-Jul-2007,64.55,65.00,70.25,63.40,69.30,69.10,68.15,2429276,1655.47,-,333278,13.72
CELESTIAL,EQ,20-Jul-2007,69.10,70.00,72.70,68.00,68.10,68.35,70.47,1901233,1339.79,-,479164,25.20
CELESTIAL,EQ,23-Jul-2007,68.35,67.80,68.00,65.65,66.30,66.55,66.70,248588,165.81,-,94652,38.08
CELESTIAL,EQ,24-Jul-2007,66.55,67.20,67.20,63.25,63.30,63.80,64.48,224927,145.03,-,98054,43.59
CELESTIAL,EQ,25-Jul-2007,63.80,63.00,63.00,60.10,61.10,60.70,61.58,132871,81.82,-,72629,54.66
CELESTIAL,EQ,26-Jul-2007,60.70,61.60,62.45,61.00,61.20,61.35,61.74,98814,61.01,-,47823,48.40
CELESTIAL,EQ,27-Jul-2007,61.35,60.05,60.70,56.55,58.85,57.90,58.57,110413,64.66,-,45644,41.34
CELESTIAL,EQ,30-Jul-2007,57.90,57.00,57.50,54.90,56.00,55.95,55.98,132723,74.30,-,62371,46.99
CELESTIAL,EQ,31-Jul-2007,55.95,56.00,58.80,56.00,58.20,58.30,57.74,144940,83.69,-,40992,28.28
CELESTIAL,EQ,01-Aug-2007,58.30,57.05,57.50,53.00,53.00,53.35,55.16,95397,52.62,-,64702,67.82
CELESTIAL,EQ,02-Aug-2007,53.35,53.65,55.85,52.05,52.05,52.30,53.72,73799,39.65,-,37288,50.53
CELESTIAL,EQ,03-Aug-2007,52.30,52.50,54.00,52.30,53.00,52.90,53.20,44307,23.57,-,25357,57.23
CELESTIAL,EQ,06-Aug-2007,52.90,51.45,53.55,49.10,53.50,52.10,51.50,70727,36.43,-,40147,56.76
CELESTIAL,EQ,07-Aug-2007,52.10,55.40,57.00,52.30,52.55,52.60,53.13,37189,19.76,-,23653,63.60
CELESTIAL,EQ,08-Aug-2007,52.60,52.95,57.00,52.30,56.55,56.15,55.19,182727,100.85,-,45183,24.73
CELESTIAL,EQ,09-Aug-2007,56.15,56.70,57.10,53.00,53.25,53.35,54.64,79878,43.65,-,40547,50.76
CELESTIAL,EQ,10-Aug-2007,53.35,52.00,53.10,50.45,53.10,52.85,52.18,29963,15.63,-,13968,46.62
CELESTIAL,EQ,13-Aug-2007,52.85,54.85,55.00,52.10,53.30,54.00,54.25,63458,34.42,-,26813,42.25
CELESTIAL,EQ,14-Aug-2007,54.00,53.00,55.20,52.30,52.35,53.10,54.02,53237,28.76,-,30605,57.49
CELESTIAL,EQ,16-Aug-2007,53.10,46.55,51.90,45.10,49.50,49.75,50.30,45582,22.93,-,35349,77.55
CELESTIAL,EQ,17-Aug-2007,49.75,49.70,50.35,46.00,48.15,47.60,48.19,45665,22.00,-,24725,54.14
CELESTIAL,EQ,20-Aug-2007,47.60,50.90,51.75,47.85,50.65,50.15,50.07,85482,42.80,-,36746,42.99
CELESTIAL,EQ,21-Aug-2007,50.15,49.25,49.90,45.00,45.40,45.40,47.26,34556,16.33,-,22610,65.43
CELESTIAL,EQ,22-Aug-2007,45.40,47.70,49.00,44.00,44.30,44.60,44.74,28467,12.74,-,16038,56.34
CELESTIAL,EQ,23-Aug-2007,44.60,45.90,46.50,42.00,43.00,42.40,44.13,29300,12.93,-,16258,55.49
CELESTIAL,EQ,24-Aug-2007,42.40,42.15,44.75,42.00,44.20,44.25,43.34,26504,11.49,-,16625,62.73
CELESTIAL,EQ,27-Aug-2007,44.25,42.20,46.85,42.20,46.50,46.25,45.90,35221,16.17,-,23684,67.24
CELESTIAL,EQ,28-Aug-2007,46.25,44.70,49.90,44.60,47.00,47.45,48.05,54283,26.08,-,13709,25.25
CELESTIAL,EQ,29-Aug-2007,47.45,46.30,47.40,46.10,46.70,46.90,46.68,17430,8.14,-,10937,62.75
CELESTIAL,EQ,30-Aug-2007,46.90,47.20,48.40,46.60,47.00,46.75,47.13,8931,4.21,-,5058,56.63
CELESTIAL,EQ,31-Aug-2007,46.75,47.00,47.70,46.40,46.80,46.80,46.86,17767,8.33,-,13390,75.36
CELESTIAL,EQ,03-Sep-2007,46.80,51.95,51.95,46.80,47.50,47.25,47.58,28408,13.52,-,13631,47.98
CELESTIAL,EQ,04-Sep-2007,47.25,47.95,48.25,46.65,47.00,47.10,47.21,22186,10.48,-,13850,62.43
CELESTIAL,EQ,05-Sep-2007,47.10,47.75,47.90,45.10,45.40,45.70,46.58,21224,9.89,-,12835,60.47
CELESTIAL,EQ,06-Sep-2007,45.70,45.20,46.00,45.00,46.00,45.80,45.69,32768,14.97,-,18880,57.62
CELESTIAL,EQ,07-Sep-2007,45.80,48.00,48.00,45.30,47.00,46.20,46.49,55608,25.85,-,21478,38.62
CELESTIAL,EQ,10-Sep-2007,46.20,45.90,47.10,45.75,46.80,46.80,46.56,28062,13.07,-,12540,44.69
CELESTIAL,EQ,11-Sep-2007,46.80,46.80,47.00,45.10,45.15,46.00,46.35,16025,7.43,-,8853,55.24
CELESTIAL,EQ,12-Sep-2007,46.00,45.90,46.90,45.70,46.80,46.10,46.31,14323,6.63,-,9466,66.09
CELESTIAL,EQ,13-Sep-2007,46.10,49.75,49.75,45.50,45.70,45.95,46.64,23598,11.01,-,7233,30.65
CELESTIAL,EQ,14-Sep-2007,45.95,45.60,50.90,45.50,47.65,48.15,49.14,111312,54.70,-,38032,34.17
CELESTIAL,EQ,17-Sep-2007,48.15,50.60,50.60,47.50,48.15,48.45,48.32,33062,15.98,-,16834,50.92
CELESTIAL,EQ,18-Sep-2007,48.45,49.00,49.70,48.00,48.40,48.25,48.77,31443,15.33,-,19250,61.22
CELESTIAL,EQ,19-Sep-2007,48.25,50.90,50.90,47.20,47.95,48.00,48.55,21118,10.25,-,14693,69.58
CELESTIAL,EQ,20-Sep-2007,48.00,47.55,48.50,46.10,46.95,46.60,47.46,90839,43.11,-,85615,94.25
CELESTIAL,EQ,21-Sep-2007,46.60,48.95,48.95,46.00,46.75,46.45,46.85,14946,7.00,-,8742,58.49
CELESTIAL,EQ,24-Sep-2007,46.45,46.50,49.40,38.55,47.35,47.75,46.46,50137,23.30,-,24236,48.34
CELESTIAL,EQ,25-Sep-2007,47.75,47.95,48.40,45.40,45.50,45.50,46.20,22314,10.31,-,13845,62.05
CELESTIAL,EQ,26-Sep-2007,45.50,45.20,52.90,44.80,48.70,48.45,49.45,172600,85.35,-,63772,36.95
CELESTIAL,EQ,27-Sep-2007,48.45,49.30,49.40,47.00,47.00,47.35,48.12,17513,8.43,-,12199,69.66
CELESTIAL,EQ,28-Sep-2007,47.35,47.15,47.85,46.00,47.00,47.25,46.87,19085,8.94,-,12049,63.13
CELESTIAL,EQ,01-Oct-2007,47.25,46.30,48.00,46.00,46.80,47.20,46.93,25323,11.88,-,10633,41.99
CELESTIAL,EQ,03-Oct-2007,47.20,47.00,49.95,46.35,47.05,47.15,47.76,45933,21.94,-,19711,42.91
CELESTIAL,EQ,04-Oct-2007,47.15,47.45,47.75,46.00,46.00,46.30,46.55,22086,10.28,-,15184,68.75
CELESTIAL,EQ,05-Oct-2007,46.30,47.00,47.35,45.05,45.25,45.30,45.53,62619,28.51,-,52751,84.24
CELESTIAL,EQ,08-Oct-2007,45.30,46.05,46.60,42.00,42.80,42.75,43.81,19595,8.59,-,14153,72.23
CELESTIAL,EQ,09-Oct-2007,42.75,42.10,46.50,41.00,45.25,45.15,43.72,43594,19.06,-,30796,70.64
CELESTIAL,EQ,10-Oct-2007,45.15,42.50,49.85,42.50,46.00,45.90,45.95,47543,21.85,-,19751,41.54
CELESTIAL,EQ,11-Oct-2007,45.90,45.15,47.20,45.10,46.10,46.30,46.18,18418,8.51,-,13354,72.51
CELESTIAL,EQ,12-Oct-2007,46.30,47.00,47.00,45.20,46.00,46.10,46.16,18657,8.61,-,14383,77.09
