Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CENTENKA,EQ,02-Jan-2006,230.25,228.50,238.00,228.50,230.10,230.90,233.38,153617,358.51,-,77874,50.69
CENTENKA,EQ,03-Jan-2006,230.90,232.00,235.80,230.05,232.00,231.55,233.44,71651,167.26,-,47192,65.86
CENTENKA,EQ,04-Jan-2006,231.55,233.00,234.90,227.25,230.65,229.70,230.54,34316,79.11,-,26151,76.21
CENTENKA,EQ,05-Jan-2006,229.70,230.00,231.80,224.00,227.50,226.30,226.16,33819,76.48,-,17700,52.34
CENTENKA,EQ,06-Jan-2006,226.30,227.90,228.15,222.00,222.00,222.90,224.18,36103,80.94,-,29630,82.07
CENTENKA,EQ,09-Jan-2006,222.90,225.60,227.00,220.60,221.50,221.95,222.58,42472,94.54,-,38012,89.50
CENTENKA,EQ,10-Jan-2006,221.95,222.00,222.00,216.00,216.95,216.55,218.30,25885,56.51,-,18219,70.38
CENTENKA,EQ,12-Jan-2006,216.55,212.00,220.00,211.05,219.00,216.95,215.19,29915,64.37,-,21461,71.74
CENTENKA,EQ,13-Jan-2006,216.95,218.00,221.00,217.05,220.10,219.95,219.23,38009,83.33,-,27331,71.91
CENTENKA,EQ,16-Jan-2006,219.95,219.95,228.65,216.35,227.60,226.15,223.53,42543,95.09,-,31601,74.28
CENTENKA,EQ,17-Jan-2006,226.15,227.50,228.90,219.10,220.00,220.70,223.60,22369,50.02,-,14542,65.01
CENTENKA,EQ,18-Jan-2006,220.70,218.05,221.00,217.00,217.65,217.95,218.55,26673,58.29,-,21925,82.20
CENTENKA,EQ,19-Jan-2006,217.95,219.00,224.30,219.00,221.10,221.00,221.48,23685,52.46,-,16292,68.79
CENTENKA,EQ,20-Jan-2006,221.00,222.15,224.00,221.05,222.90,221.80,222.38,14533,32.32,-,10284,70.76
CENTENKA,EQ,23-Jan-2006,221.80,219.00,219.00,212.10,212.50,212.65,214.02,83392,178.47,-,58571,70.24
CENTENKA,EQ,24-Jan-2006,212.65,215.50,230.00,211.00,211.00,211.60,212.51,51569,109.59,-,32758,63.52
CENTENKA,EQ,25-Jan-2006,211.60,205.00,205.00,184.10,185.70,185.80,192.71,298532,575.30,-,215002,72.02
CENTENKA,EQ,27-Jan-2006,185.80,190.00,192.55,186.00,187.00,187.60,189.09,78876,149.15,-,43877,55.63
CENTENKA,EQ,30-Jan-2006,187.60,193.00,193.25,180.20,181.95,181.20,184.13,64808,119.33,-,37476,57.83
CENTENKA,EQ,31-Jan-2006,181.20,182.10,186.95,181.00,184.00,184.25,184.63,77930,143.88,-,57156,73.34
CENTENKA,EQ,01-Feb-2006,184.25,188.40,189.00,175.15,176.75,176.00,179.00,43255,77.43,-,30133,69.66
CENTENKA,EQ,02-Feb-2006,176.00,173.00,177.80,172.00,172.45,172.25,174.42,38808,67.69,-,24098,62.10
CENTENKA,EQ,03-Feb-2006,172.25,174.20,174.50,170.85,171.30,171.70,172.38,52153,89.90,-,35700,68.45
CENTENKA,EQ,06-Feb-2006,171.70,171.10,184.00,171.10,179.40,178.55,178.80,165055,295.11,-,85139,51.58
CENTENKA,EQ,07-Feb-2006,178.55,213.95,213.95,178.10,179.50,179.25,180.63,54749,98.89,-,28174,51.46
CENTENKA,EQ,08-Feb-2006,179.25,179.90,180.00,176.20,176.35,176.75,177.60,42171,74.90,-,29348,69.59
CENTENKA,EQ,10-Feb-2006,176.75,176.10,184.60,176.00,181.90,181.05,180.31,41372,74.60,-,23415,56.60
CENTENKA,EQ,13-Feb-2006,181.05,181.20,203.80,180.25,197.50,200.15,193.22,174297,336.78,-,125036,71.74
CENTENKA,EQ,14-Feb-2006,200.15,201.00,202.95,192.10,194.70,194.55,197.41,116546,230.07,-,53512,45.91
CENTENKA,EQ,15-Feb-2006,194.55,196.00,198.00,190.50,190.65,192.45,194.80,56927,110.89,-,39093,68.67
CENTENKA,EQ,16-Feb-2006,192.45,192.10,195.10,190.00,190.80,191.00,192.62,40643,78.29,-,25393,62.48
CENTENKA,EQ,17-Feb-2006,191.00,194.70,195.90,185.05,188.00,187.95,191.78,57312,109.92,-,26406,46.07
CENTENKA,EQ,20-Feb-2006,187.95,190.45,190.45,182.10,185.40,184.85,184.30,18950,34.92,-,10550,55.67
CENTENKA,EQ,21-Feb-2006,184.85,182.00,189.00,182.00,183.00,183.85,185.54,24801,46.02,-,15909,64.15
CENTENKA,EQ,22-Feb-2006,183.85,185.00,185.00,177.10,178.00,177.95,179.47,31316,56.20,-,20201,64.51
CENTENKA,EQ,23-Feb-2006,177.95,176.15,182.95,175.50,175.50,177.05,178.60,19359,34.57,-,10452,53.99
CENTENKA,EQ,24-Feb-2006,177.05,178.90,179.80,176.65,177.10,177.50,178.30,17092,30.47,-,9300,54.41
