Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CERA,EQ,02-Nov-2007,147.30,157.00,158.95,140.15,141.50,146.00,153.42,7570,11.61,-,1744,23.04
CERA,EQ,05-Nov-2007,146.00,148.90,155.00,133.60,141.00,141.55,140.04,788,1.10,-,575,72.97
CERA,EQ,06-Nov-2007,141.55,138.00,142.00,136.10,142.00,137.55,137.04,180,0.25,-,120,66.67
CERA,EQ,07-Nov-2007,137.55,136.25,150.00,136.00,150.00,146.50,144.93,312,0.45,-,312,100.00
CERA,EQ,08-Nov-2007,146.50,139.00,150.00,139.00,148.70,148.70,139.60,69,0.10,-,67,97.10
CERA,EQ,12-Nov-2007,148.70,149.70,149.70,122.75,147.50,147.50,148.09,212,0.31,-,205,96.70
CERA,EQ,13-Nov-2007,147.50,131.50,149.70,131.50,149.70,141.40,139.05,137,0.19,-,132,96.35
CERA,EQ,14-Nov-2007,141.40,150.00,150.00,141.00,141.00,141.00,143.13,63,0.09,-,61,96.83
CERA,EQ,15-Nov-2007,141.00,135.00,150.00,135.00,150.00,143.35,140.02,266,0.37,-,116,43.61
CERA,EQ,16-Nov-2007,143.35,143.90,143.90,135.25,135.25,136.55,139.56,349,0.49,-,347,99.43
CERA,EQ,19-Nov-2007,136.55,140.00,140.00,136.50,140.00,140.00,138.98,178,0.25,-,178,100.00
CERA,EQ,20-Nov-2007,140.00,149.00,155.00,140.10,152.00,152.00,147.55,5751,8.49,-,5468,95.08
CERA,EQ,21-Nov-2007,152.00,140.25,148.00,140.25,148.00,148.00,147.63,1050,1.55,-,1050,100.00
CERA,EQ,22-Nov-2007,148.00,125.10,150.00,125.10,150.00,150.00,140.03,902,1.26,-,801,88.80
