Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COLORCHEM,EQ,02-Jan-2006,330.20,330.75,335.00,330.15,332.30,332.30,331.47,2620,8.68,-,2570,98.09
COLORCHEM,EQ,03-Jan-2006,332.30,331.10,340.00,330.00,337.00,337.70,332.50,3241,10.78,-,2966,91.51
COLORCHEM,EQ,04-Jan-2006,337.70,335.00,355.00,335.00,344.95,345.20,343.54,3700,12.71,-,3051,82.46
COLORCHEM,EQ,05-Jan-2006,345.20,340.00,342.95,336.00,340.00,339.65,338.57,1396,4.73,-,1235,88.47
COLORCHEM,EQ,06-Jan-2006,339.65,338.10,342.00,337.10,342.00,341.15,338.81,1735,5.88,-,1535,88.47
COLORCHEM,EQ,09-Jan-2006,341.15,348.00,348.00,336.25,340.00,340.40,340.94,661,2.25,-,590,89.26
COLORCHEM,EQ,10-Jan-2006,340.40,343.00,343.00,338.60,338.60,339.00,340.91,183,0.62,-,127,69.40
COLORCHEM,EQ,12-Jan-2006,339.00,338.00,371.00,337.50,368.05,368.55,355.86,12109,43.09,-,8056,66.53
COLORCHEM,EQ,13-Jan-2006,368.55,376.30,395.00,368.00,381.90,379.25,385.51,11240,43.33,-,8086,71.94
COLORCHEM,EQ,16-Jan-2006,379.25,355.00,393.00,355.00,382.00,382.00,381.61,2720,10.38,-,2470,90.81
COLORCHEM,EQ,17-Jan-2006,382.00,380.00,380.00,361.30,364.90,365.35,368.40,944,3.48,-,801,84.85
COLORCHEM,EQ,18-Jan-2006,365.35,374.00,376.00,362.50,364.20,364.75,366.88,742,2.72,-,430,57.95
COLORCHEM,EQ,19-Jan-2006,364.75,384.00,384.00,370.00,371.00,371.00,370.83,427,1.58,-,425,99.53
COLORCHEM,EQ,20-Jan-2006,371.00,384.40,384.40,366.20,367.00,368.15,371.04,235,0.87,-,111,47.23
COLORCHEM,EQ,23-Jan-2006,368.15,375.00,375.00,370.00,371.50,371.35,370.51,471,1.75,-,446,94.69
COLORCHEM,EQ,24-Jan-2006,371.35,380.00,380.00,365.00,365.00,365.50,367.19,963,3.54,-,785,81.52
COLORCHEM,EQ,25-Jan-2006,365.50,355.20,365.00,355.20,360.05,361.90,360.80,1048,3.78,-,993,94.75
COLORCHEM,EQ,27-Jan-2006,361.90,337.00,370.00,337.00,360.50,362.60,367.75,3937,14.48,-,3486,88.54
COLORCHEM,EQ,30-Jan-2006,362.60,361.00,361.00,345.25,348.95,346.00,350.33,3231,11.32,-,3110,96.26
COLORCHEM,EQ,31-Jan-2006,346.00,350.00,350.00,346.00,346.55,346.55,348.79,790,2.76,-,774,97.97
COLORCHEM,EQ,01-Feb-2006,346.55,346.05,351.00,330.00,335.00,335.35,338.25,2166,7.33,-,1775,81.95
COLORCHEM,EQ,02-Feb-2006,335.35,349.95,350.00,337.50,337.50,338.25,339.33,62,0.21,-,55,88.71
