Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CNOVAPETRO,EQ,03-Feb-2014,20.00,18.00,18.50,18.00,18.50,18.50,18.25,200,0.04,2,200,100.00
CNOVAPETRO,EQ,04-Feb-2014,18.50,18.00,18.00,18.00,18.00,18.00,18.00,150,0.03,1,150,100.00
CNOVAPETRO,EQ,05-Feb-2014,18.00,18.00,18.00,18.00,18.00,18.00,18.00,100,0.02,1,100,100.00
CNOVAPETRO,EQ,06-Feb-2014,18.00,18.00,18.00,18.00,18.00,18.00,18.00,100,0.02,2,100,100.00
CNOVAPETRO,EQ,12-Feb-2014,18.00,18.00,18.00,18.00,18.00,18.00,18.00,100,0.02,1,100,100.00
CNOVAPETRO,EQ,18-Feb-2014,18.00,18.00,18.00,18.00,18.00,18.00,18.00,500,0.09,1,500,100.00
CNOVAPETRO,EQ,19-Feb-2014,18.00,18.00,18.00,18.00,18.00,18.00,18.00,75,0.01,1,75,100.00
CNOVAPETRO,EQ,20-Feb-2014,18.00,18.00,18.00,18.00,18.00,18.00,18.00,150,0.03,1,150,100.00
CNOVAPETRO,EQ,21-Feb-2014,18.00,18.00,18.00,18.00,18.00,18.00,18.00,542,0.10,2,542,100.00
CNOVAPETRO,EQ,26-Feb-2014,18.00,18.00,18.00,18.00,18.00,18.00,18.00,150,0.03,2,150,100.00
CNOVAPETRO,BL,28-Feb-2014,10.00,18.00,18.00,18.00,18.00,18.00,18.00,547749,98.59,1,547749,100.00
CNOVAPETRO,EQ,04-Mar-2014,18.00,18.00,18.00,18.00,18.00,18.00,18.00,1,0.00,1,1,100.00
CNOVAPETRO,EQ,06-Mar-2014,18.00,19.00,19.50,19.00,19.50,19.50,19.25,200,0.04,2,200,100.00
CNOVAPETRO,EQ,07-Mar-2014,19.50,19.00,19.00,19.00,19.00,19.00,19.00,150,0.03,2,150,100.00
CNOVAPETRO,EQ,10-Mar-2014,19.00,19.00,19.00,19.00,19.00,19.00,19.00,900,0.17,2,900,100.00
CNOVAPETRO,EQ,12-Mar-2014,19.00,19.80,19.80,19.80,19.80,19.80,19.80,400,0.08,1,400,100.00
CNOVAPETRO,EQ,13-Mar-2014,19.80,20.75,20.75,20.75,20.75,20.75,20.75,75,0.02,1,75,100.00
CNOVAPETRO,EQ,14-Mar-2014,20.75,20.75,21.20,20.75,21.00,21.00,21.01,845,0.18,4,845,100.00
CNOVAPETRO,EQ,19-Mar-2014,21.00,21.05,21.05,21.00,21.00,21.00,21.03,200,0.04,2,200,100.00
