Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COMPUSOFT,EQ,02-Mar-2012,13.30,13.65,13.95,12.85,13.35,13.00,13.21,39357,5.20,159,24037,61.07
COMPUSOFT,EQ,03-Mar-2012,13.00,13.70,13.70,12.55,12.55,12.65,12.84,2560,0.33,13,2255,88.09
COMPUSOFT,EQ,05-Mar-2012,12.65,13.05,13.40,12.50,12.75,12.60,12.84,31174,4.00,52,17751,56.94
COMPUSOFT,EQ,06-Mar-2012,12.60,13.40,13.40,12.35,12.40,12.45,12.77,54535,6.97,47,33489,61.41
COMPUSOFT,EQ,07-Mar-2012,12.45,12.85,12.85,12.25,12.60,12.60,12.52,37146,4.65,39,33705,90.74
COMPUSOFT,EQ,09-Mar-2012,12.60,12.00,13.20,12.00,12.60,12.60,12.65,20112,2.54,35,17541,87.22
COMPUSOFT,EQ,12-Mar-2012,12.60,13.45,13.45,12.30,12.60,12.45,12.50,67208,8.40,53,54926,81.73
COMPUSOFT,EQ,13-Mar-2012,12.45,12.50,13.15,12.20,12.30,12.30,12.70,26437,3.36,95,6815,25.78
COMPUSOFT,EQ,14-Mar-2012,12.30,12.95,12.95,12.50,12.55,12.55,12.68,32429,4.11,42,30501,94.05
COMPUSOFT,EQ,15-Mar-2012,12.55,12.00,12.90,12.00,12.90,12.75,12.67,10783,1.37,37,10293,95.46
COMPUSOFT,EQ,16-Mar-2012,12.75,12.00,12.95,12.00,12.70,12.50,12.58,12523,1.57,33,9696,77.43
COMPUSOFT,EQ,19-Mar-2012,12.50,12.05,12.80,12.05,12.55,12.40,12.36,17760,2.19,40,11880,66.89
COMPUSOFT,EQ,20-Mar-2012,12.40,12.25,12.55,12.00,12.35,12.35,12.26,8149,1.00,36,6968,85.51
COMPUSOFT,EQ,21-Mar-2012,12.35,12.35,12.60,12.35,12.35,12.45,12.50,50995,6.37,25,50879,99.77
COMPUSOFT,EQ,22-Mar-2012,12.45,12.15,13.00,12.15,12.35,12.25,12.54,64508,8.09,38,62008,96.12
COMPUSOFT,EQ,23-Mar-2012,12.25,12.85,12.85,12.05,12.15,12.10,12.11,14045,1.70,26,10418,74.18
COMPUSOFT,EQ,26-Mar-2012,12.10,12.00,12.15,11.70,11.95,11.95,11.97,10310,1.23,26,10160,98.55
COMPUSOFT,EQ,27-Mar-2012,11.95,12.00,12.00,11.85,11.85,11.85,11.93,11400,1.36,32,11150,97.81
COMPUSOFT,EQ,28-Mar-2012,11.85,12.40,12.40,11.15,11.20,11.20,11.60,63228,7.34,81,15475,24.47
COMPUSOFT,EQ,29-Mar-2012,11.20,11.95,11.95,9.20,11.20,11.20,11.20,10312,1.15,52,8549,82.90
COMPUSOFT,EQ,30-Mar-2012,11.20,10.95,11.85,10.95,11.80,11.60,11.56,4362,0.50,29,3602,82.58
COMPUSOFT,EQ,02-Apr-2012,11.60,11.90,11.95,11.50,11.95,11.95,11.82,2937,0.35,12,2937,100.00
COMPUSOFT,EQ,03-Apr-2012,11.95,11.55,12.30,11.00,11.85,11.85,11.81,6266,0.74,33,4967,79.27
COMPUSOFT,EQ,04-Apr-2012,11.85,12.35,12.95,12.30,12.30,12.30,12.42,3404,0.42,19,2154,63.28
COMPUSOFT,EQ,09-Apr-2012,12.30,13.35,13.35,11.95,12.00,12.20,12.29,25810,3.17,27,13790,53.43
COMPUSOFT,EQ,10-Apr-2012,12.20,12.05,12.50,10.00,11.90,11.95,11.96,41879,5.01,83,21832,52.13
COMPUSOFT,EQ,11-Apr-2012,11.95,12.25,12.25,11.60,11.80,11.90,12.04,50210,6.04,81,27724,55.22
COMPUSOFT,EQ,12-Apr-2012,11.90,12.40,12.40,11.70,12.00,11.80,12.09,17776,2.15,24,6533,36.75
COMPUSOFT,EQ,13-Apr-2012,11.80,11.90,12.20,11.90,11.90,11.90,11.99,6636,0.80,20,6536,98.49
COMPUSOFT,EQ,16-Apr-2012,11.90,12.40,12.40,11.65,11.80,12.05,12.03,5608,0.67,17,4258,75.93
COMPUSOFT,EQ,17-Apr-2012,12.05,12.25,12.25,11.65,11.80,11.75,11.85,9506,1.13,21,8855,93.15
COMPUSOFT,EQ,18-Apr-2012,11.75,11.80,11.95,11.55,11.95,11.90,11.80,73517,8.68,20,72249,98.28
COMPUSOFT,EQ,19-Apr-2012,11.90,12.25,12.25,10.15,11.40,11.45,11.78,157356,18.53,47,111510,70.86
COMPUSOFT,EQ,20-Apr-2012,11.45,11.40,11.60,11.20,11.20,11.55,11.48,9157,1.05,24,7910,86.38
COMPUSOFT,EQ,23-Apr-2012,11.55,11.90,11.90,11.15,11.35,11.45,11.47,200394,22.98,138,150301,75.00
COMPUSOFT,EQ,24-Apr-2012,11.45,12.45,12.45,11.20,11.40,11.40,11.41,112246,12.80,200,89368,79.62
COMPUSOFT,EQ,25-Apr-2012,11.40,11.50,11.80,10.75,11.80,11.70,11.63,59547,6.93,24,58200,97.74
COMPUSOFT,EQ,26-Apr-2012,11.70,11.90,11.90,11.10,11.85,11.80,11.73,164255,19.27,50,61695,37.56
COMPUSOFT,EQ,27-Apr-2012,11.80,11.70,11.90,11.10,11.45,11.40,11.26,75841,8.54,31,72934,96.17
COMPUSOFT,EQ,28-Apr-2012,11.40,11.30,11.30,11.30,11.30,11.30,11.30,13,0.00,1,13,100.00
COMPUSOFT,EQ,30-Apr-2012,11.30,11.75,11.85,11.10,11.75,11.75,11.51,4150,0.48,18,2800,67.47
COMPUSOFT,EQ,02-May-2012,11.75,11.75,11.75,11.25,11.50,11.50,11.55,3341,0.39,18,2590,77.52
COMPUSOFT,EQ,03-May-2012,11.50,11.70,11.70,11.30,11.50,11.50,11.44,7202,0.82,9,7100,98.58
COMPUSOFT,EQ,04-May-2012,11.50,11.10,11.70,11.00,11.05,11.15,11.29,33937,3.83,81,27280,80.38
COMPUSOFT,EQ,07-May-2012,11.15,10.75,11.35,10.75,10.75,10.90,10.83,21726,2.35,43,20188,92.92
COMPUSOFT,EQ,08-May-2012,10.90,10.95,11.20,10.70,10.90,11.20,11.18,53910,6.02,20,53409,99.07
COMPUSOFT,EQ,09-May-2012,11.20,9.50,11.00,9.15,10.45,10.55,10.58,28819,3.05,56,25580,88.76
COMPUSOFT,EQ,10-May-2012,10.55,10.00,10.95,9.70,10.55,10.55,10.64,26478,2.82,50,5436,20.53
COMPUSOFT,EQ,11-May-2012,10.55,10.50,10.70,10.25,10.30,10.30,10.46,10207,1.07,21,9205,90.18
COMPUSOFT,EQ,14-May-2012,10.30,10.85,10.85,10.10,10.20,10.20,10.27,12113,1.24,23,10711,88.43
COMPUSOFT,EQ,15-May-2012,10.20,10.10,10.75,10.10,10.50,10.25,10.27,58611,6.02,37,57703,98.45
COMPUSOFT,EQ,16-May-2012,10.25,10.05,10.70,10.05,10.70,10.65,10.52,9990,1.05,50,6800,68.07
COMPUSOFT,EQ,17-May-2012,10.65,10.75,10.75,10.30,10.35,10.30,10.31,3489,0.36,8,3345,95.87
COMPUSOFT,EQ,18-May-2012,10.30,10.50,10.70,9.55,10.15,10.10,10.09,12296,1.24,34,10616,86.34
COMPUSOFT,EQ,21-May-2012,10.10,10.70,10.70,10.05,10.70,10.70,10.56,6337,0.67,45,3009,47.48
COMPUSOFT,EQ,22-May-2012,10.70,10.95,10.95,10.25,10.25,10.25,10.31,7150,0.74,11,5977,83.59
COMPUSOFT,EQ,23-May-2012,10.25,10.60,10.60,9.60,10.05,10.10,10.03,2234,0.22,10,1884,84.33
COMPUSOFT,EQ,24-May-2012,10.10,10.65,10.65,10.25,10.25,10.25,10.45,100,0.01,2,50,50.00
COMPUSOFT,EQ,25-May-2012,10.25,10.05,10.25,9.70,9.95,9.95,10.08,133848,13.49,36,82229,61.43
COMPUSOFT,EQ,28-May-2012,9.95,10.20,10.30,9.70,10.00,10.25,10.03,185098,18.57,261,101185,54.67
COMPUSOFT,EQ,29-May-2012,10.25,10.25,10.40,10.00,10.40,10.25,10.24,4797,0.49,24,4251,88.62
COMPUSOFT,EQ,30-May-2012,10.25,9.80,10.70,9.80,10.40,10.30,10.36,17063,1.77,50,12528,73.42
COMPUSOFT,EQ,31-May-2012,10.30,10.35,10.35,9.60,10.15,10.20,10.21,35751,3.65,20,34951,97.76
COMPUSOFT,EQ,01-Jun-2012,10.20,9.95,10.45,9.95,10.00,10.00,10.09,7400,0.75,15,5935,80.20
COMPUSOFT,EQ,04-Jun-2012,10.00,8.55,11.00,8.55,10.15,10.15,10.16,27224,2.76,62,18901,69.43
COMPUSOFT,EQ,05-Jun-2012,10.15,10.40,10.40,10.30,10.30,10.30,10.35,4156,0.43,17,4154,99.95
COMPUSOFT,EQ,06-Jun-2012,10.30,10.90,10.90,10.15,10.20,10.35,10.45,16281,1.70,36,6650,40.85
COMPUSOFT,EQ,07-Jun-2012,10.35,10.60,10.60,10.20,10.20,10.20,10.23,1200,0.12,4,1180,98.33
COMPUSOFT,EQ,08-Jun-2012,10.20,10.75,10.95,9.90,10.10,10.10,10.17,44060,4.48,78,28710,65.16
COMPUSOFT,EQ,11-Jun-2012,10.10,10.60,10.60,10.00,10.10,10.10,10.22,28144,2.88,55,20146,71.58
COMPUSOFT,EQ,12-Jun-2012,10.10,10.30,10.60,9.80,10.25,10.00,10.10,33564,3.39,66,22306,66.46
COMPUSOFT,EQ,13-Jun-2012,10.00,10.45,10.45,9.90,10.40,10.40,10.17,7801,0.79,14,5300,67.94
COMPUSOFT,EQ,14-Jun-2012,10.40,10.40,10.40,10.05,10.30,10.10,10.12,14920,1.51,51,7469,50.06
COMPUSOFT,EQ,15-Jun-2012,10.10,10.30,10.40,9.90,10.00,9.95,10.07,7440,0.75,32,3910,52.55
COMPUSOFT,EQ,18-Jun-2012,9.95,10.20,10.20,9.95,10.00,10.00,10.00,9402,0.94,23,9151,97.33
COMPUSOFT,EQ,19-Jun-2012,10.00,10.15,10.30,9.95,10.25,10.25,10.19,10927,1.11,32,6870,62.87
COMPUSOFT,EQ,20-Jun-2012,10.25,10.75,10.75,9.90,10.05,10.05,10.06,156353,15.72,57,123663,79.09
COMPUSOFT,EQ,21-Jun-2012,10.05,10.15,10.35,10.00,10.05,10.10,10.12,13553,1.37,23,12100,89.28
COMPUSOFT,EQ,22-Jun-2012,10.10,10.40,10.40,9.85,9.85,9.85,10.00,47563,4.76,31,30101,63.29
