Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COX&KINGS,EQ,11-Dec-2009,330.00,343.20,433.90,343.20,430.00,425.40,407.91,29896728,121951.07,-,5225384,17.48
COX&KINGS,EQ,14-Dec-2009,425.40,435.00,462.90,415.70,420.40,421.75,442.58,12257868,54251.06,-,1215926,9.92
COX&KINGS,EQ,15-Dec-2009,421.75,420.00,438.90,408.65,431.15,426.85,426.51,11916147,50823.72,-,618685,5.19
COX&KINGS,EQ,16-Dec-2009,426.85,431.00,437.60,422.55,425.00,427.00,428.80,3763344,16137.05,-,207018,5.50
COX&KINGS,EQ,17-Dec-2009,427.00,424.00,433.70,410.60,414.75,413.95,419.55,1760273,7385.27,-,246509,14.00
COX&KINGS,EQ,18-Dec-2009,413.95,380.00,426.50,380.00,423.30,420.45,419.40,2742657,11502.65,-,410280,14.96
COX&KINGS,EQ,21-Dec-2009,420.45,422.45,425.90,416.00,417.00,419.45,420.15,894083,3756.47,-,145276,16.25
COX&KINGS,EQ,22-Dec-2009,419.45,419.95,435.65,418.50,433.20,432.05,427.63,1599870,6841.52,-,328772,20.55
COX&KINGS,EQ,23-Dec-2009,432.05,433.90,439.90,428.15,437.90,436.40,434.53,1387375,6028.59,-,303674,21.89
COX&KINGS,EQ,24-Dec-2009,436.40,439.40,448.70,435.00,435.05,438.30,441.90,1185872,5240.41,-,154531,13.03
COX&KINGS,EQ,29-Dec-2009,438.30,438.65,439.70,426.30,427.00,430.20,434.92,444081,1931.41,-,75805,17.07
COX&KINGS,EQ,30-Dec-2009,430.20,430.50,456.00,428.05,454.80,451.70,446.21,1706561,7614.81,-,271631,15.92
COX&KINGS,EQ,31-Dec-2009,451.70,455.30,469.70,446.20,448.15,451.45,458.21,2593202,11882.42,-,375475,14.48
