Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DECCANCE,EQ,02-Aug-2007,171.50,170.00,189.40,151.50,180.00,168.75,164.03,48148,78.98,-,3472,7.21
DECCANCE,EQ,03-Aug-2007,168.75,169.00,177.00,168.45,170.65,169.65,171.51,5973,10.24,-,3336,55.85
DECCANCE,EQ,06-Aug-2007,169.65,168.00,170.95,165.30,170.00,170.00,169.37,1323,2.24,-,715,54.04
DECCANCE,EQ,07-Aug-2007,170.00,170.00,174.55,170.00,171.50,173.65,172.20,1682,2.90,-,969,57.61
DECCANCE,EQ,08-Aug-2007,173.65,173.00,174.55,165.20,171.70,171.85,170.57,1544,2.63,-,900,58.29
DECCANCE,EQ,09-Aug-2007,171.85,173.60,176.80,172.55,172.55,176.25,174.58,1366,2.38,-,965,70.64
DECCANCE,EQ,10-Aug-2007,176.25,169.95,170.45,165.55,168.45,168.45,167.35,1516,2.54,-,1145,75.53
DECCANCE,EQ,13-Aug-2007,168.45,174.45,180.00,171.60,175.90,177.80,177.29,1325,2.35,-,1235,93.21
DECCANCE,EQ,14-Aug-2007,177.80,176.00,179.50,176.00,178.50,177.50,176.70,751,1.33,-,751,100.00
DECCANCE,EQ,16-Aug-2007,177.50,165.20,178.00,165.20,175.10,175.95,174.40,1365,2.38,-,723,52.97
DECCANCE,EQ,17-Aug-2007,175.95,177.60,179.30,167.00,170.00,170.00,171.72,4463,7.66,-,3377,75.67
DECCANCE,EQ,20-Aug-2007,170.00,172.00,183.90,172.00,179.00,180.50,176.63,452,0.80,-,336,74.34
DECCANCE,EQ,21-Aug-2007,180.50,184.00,184.00,171.00,171.25,171.10,173.33,1225,2.12,-,785,64.08
DECCANCE,EQ,22-Aug-2007,171.10,177.00,181.75,172.50,178.00,179.70,179.14,8623,15.45,-,8578,99.48
DECCANCE,EQ,23-Aug-2007,179.70,179.00,185.00,176.05,180.50,180.35,181.77,3333,6.06,-,2959,88.78
DECCANCE,EQ,24-Aug-2007,180.35,178.00,178.00,176.00,176.00,176.00,176.02,153,0.27,-,150,98.04
DECCANCE,EQ,27-Aug-2007,176.00,181.00,198.90,178.00,183.00,190.45,185.02,1590,2.94,-,1372,86.29
DECCANCE,EQ,28-Aug-2007,190.45,190.90,195.90,190.00,195.90,195.10,193.53,2764,5.35,-,2528,91.46
DECCANCE,EQ,29-Aug-2007,195.10,190.50,195.90,190.50,195.50,193.90,193.82,1763,3.42,-,1755,99.55
DECCANCE,EQ,30-Aug-2007,193.90,187.15,204.00,187.15,197.00,197.40,196.78,2504,4.93,-,2429,97.00
DECCANCE,EQ,31-Aug-2007,197.40,195.00,198.00,194.00,198.00,197.70,196.20,949,1.86,-,949,100.00
DECCANCE,EQ,03-Sep-2007,197.70,188.00,205.00,188.00,198.10,197.75,198.38,2042,4.05,-,1837,89.96
