Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DIVISLAB,EQ,02-Jan-2006,1523.45,1535.00,1548.00,1522.05,1535.00,1533.35,1533.82,12298,188.63,-,5525,44.93
DIVISLAB,EQ,03-Jan-2006,1533.35,1536.00,1576.00,1535.00,1567.00,1571.50,1568.44,42935,673.41,-,31398,73.13
DIVISLAB,EQ,04-Jan-2006,1571.50,1590.00,1590.00,1547.00,1576.00,1573.05,1567.22,29873,468.17,-,16086,53.85
DIVISLAB,EQ,05-Jan-2006,1573.05,1570.00,1631.00,1551.25,1622.00,1624.30,1606.41,46242,742.84,-,18628,40.28
DIVISLAB,EQ,06-Jan-2006,1624.30,1647.95,1650.00,1595.00,1612.00,1615.15,1619.65,16263,263.40,-,5808,35.71
DIVISLAB,EQ,09-Jan-2006,1615.15,1572.20,1647.00,1572.20,1608.45,1616.45,1623.76,24581,399.14,-,12628,51.37
DIVISLAB,EQ,10-Jan-2006,1616.45,1617.00,1629.50,1591.55,1594.00,1596.85,1608.66,13193,212.23,-,6563,49.75
DIVISLAB,EQ,12-Jan-2006,1596.85,1600.00,1619.80,1578.00,1593.00,1600.55,1599.22,14010,224.05,-,7854,56.06
DIVISLAB,EQ,13-Jan-2006,1600.55,1600.00,1640.00,1590.10,1614.40,1611.00,1615.74,17356,280.43,-,5420,31.23
DIVISLAB,EQ,16-Jan-2006,1611.00,1624.70,1624.70,1580.05,1581.15,1587.80,1599.17,7068,113.03,-,2167,30.66
DIVISLAB,EQ,17-Jan-2006,1587.80,1595.00,1608.00,1550.05,1570.00,1561.35,1583.16,10259,162.42,-,4590,44.74
DIVISLAB,EQ,18-Jan-2006,1561.35,1565.00,1595.00,1525.00,1560.00,1561.65,1548.44,28799,445.94,-,18778,65.20
DIVISLAB,EQ,19-Jan-2006,1561.65,1594.90,1619.85,1556.00,1603.90,1593.35,1595.51,17579,280.48,-,9878,56.19
DIVISLAB,EQ,20-Jan-2006,1593.35,1614.00,1614.00,1553.00,1581.40,1594.80,1595.22,7737,123.42,-,4858,62.79
DIVISLAB,EQ,23-Jan-2006,1594.80,1618.00,1628.00,1581.00,1612.00,1609.25,1607.41,13686,219.99,-,7507,54.85
DIVISLAB,EQ,24-Jan-2006,1609.25,1609.25,1635.00,1601.05,1608.00,1606.70,1618.05,12912,208.92,-,8610,66.68
DIVISLAB,EQ,25-Jan-2006,1606.70,1611.30,1630.00,1591.10,1610.00,1608.00,1610.73,44067,709.80,-,30237,68.62
DIVISLAB,EQ,27-Jan-2006,1608.00,1613.70,1739.90,1611.00,1686.30,1697.20,1697.92,80983,1375.02,-,40135,49.56
DIVISLAB,EQ,30-Jan-2006,1697.20,1695.00,1719.90,1660.00,1670.35,1674.25,1691.57,28158,476.31,-,15065,53.50
DIVISLAB,EQ,31-Jan-2006,1674.25,1699.80,1699.80,1675.05,1682.25,1684.05,1685.33,8980,151.34,-,4326,48.17
DIVISLAB,EQ,01-Feb-2006,1684.05,1693.90,1749.00,1675.00,1691.30,1694.20,1704.22,46812,797.78,-,26947,57.56
DIVISLAB,EQ,02-Feb-2006,1694.20,1710.00,1750.00,1690.25,1747.00,1737.25,1727.30,31646,546.62,-,8548,27.01
DIVISLAB,EQ,03-Feb-2006,1737.25,1749.95,1775.00,1720.05,1730.00,1729.10,1749.81,90086,1576.33,-,47638,52.88
DIVISLAB,EQ,06-Feb-2006,1729.10,1720.00,1769.15,1720.00,1746.50,1750.10,1747.81,32073,560.57,-,16888,52.65
DIVISLAB,EQ,07-Feb-2006,1750.10,1749.00,1798.80,1749.00,1775.00,1773.45,1778.19,26925,478.78,-,7320,27.19
DIVISLAB,EQ,08-Feb-2006,1773.45,1723.10,1795.00,1723.10,1784.90,1772.95,1778.39,41657,740.82,-,14841,35.63
DIVISLAB,EQ,10-Feb-2006,1772.95,1781.10,1809.90,1770.00,1785.00,1790.25,1793.60,32302,579.37,-,12324,38.15
DIVISLAB,EQ,13-Feb-2006,1790.25,1775.00,1829.00,1775.00,1828.00,1817.10,1811.07,32110,581.53,-,18173,56.60
DIVISLAB,EQ,14-Feb-2006,1817.10,1830.00,1865.00,1813.00,1837.00,1834.00,1841.63,40603,747.76,-,13198,32.50
DIVISLAB,EQ,15-Feb-2006,1834.00,1825.00,1860.00,1786.10,1787.10,1792.40,1804.74,31847,574.76,-,17925,56.28
DIVISLAB,EQ,16-Feb-2006,1792.40,1793.00,1822.00,1765.05,1808.00,1810.30,1803.71,54653,985.78,-,20089,36.76
DIVISLAB,EQ,17-Feb-2006,1810.30,1829.90,1842.00,1786.00,1791.00,1792.65,1817.00,47089,855.61,-,19255,40.89
DIVISLAB,EQ,20-Feb-2006,1792.65,1814.00,1814.00,1701.00,1707.00,1717.20,1731.82,99827,1728.82,-,72828,72.95
DIVISLAB,EQ,21-Feb-2006,1717.20,1720.00,1752.00,1710.00,1723.90,1725.10,1733.97,80325,1392.81,-,47960,59.71
DIVISLAB,EQ,22-Feb-2006,1725.10,1726.00,1744.00,1716.15,1725.00,1727.65,1731.78,39280,680.24,-,13258,33.75
DIVISLAB,EQ,23-Feb-2006,1727.65,1734.80,1735.00,1686.40,1710.00,1701.90,1703.98,86433,1472.80,-,63979,74.02
DIVISLAB,EQ,24-Feb-2006,1701.90,1710.00,1725.00,1695.00,1714.80,1699.75,1705.09,60454,1030.79,-,25508,42.19
DIVISLAB,EQ,27-Feb-2006,1699.75,1716.00,1730.00,1706.00,1718.45,1713.80,1714.33,54007,925.86,-,21360,39.55
DIVISLAB,EQ,28-Feb-2006,1713.80,1715.00,1787.00,1686.30,1715.80,1711.80,1714.85,20127,345.15,-,9732,48.35
DIVISLAB,EQ,01-Mar-2006,1711.80,1700.00,1751.85,1700.00,1746.00,1743.00,1732.16,22325,386.71,-,13521,60.56
DIVISLAB,EQ,02-Mar-2006,1743.00,1746.00,1802.00,1737.00,1795.00,1793.35,1774.90,33372,592.32,-,16661,49.93
DIVISLAB,EQ,03-Mar-2006,1793.35,1800.00,1842.60,1756.00,1789.00,1781.15,1793.99,91922,1649.07,-,64796,70.49
DIVISLAB,EQ,06-Mar-2006,1781.15,1789.00,1849.00,1789.00,1839.00,1821.90,1825.90,52788,963.86,-,25807,48.89
DIVISLAB,EQ,07-Mar-2006,1821.90,1855.00,1855.00,1758.00,1777.95,1780.35,1791.99,73496,1317.04,-,54030,73.51
DIVISLAB,EQ,08-Mar-2006,1780.35,1780.00,1780.00,1705.00,1710.00,1712.80,1737.24,73106,1270.03,-,48901,66.89
DIVISLAB,EQ,09-Mar-2006,1712.80,1709.00,1709.00,1598.00,1655.65,1662.65,1649.89,78806,1300.21,-,26917,34.16
DIVISLAB,EQ,10-Mar-2006,1662.65,1691.00,1720.10,1641.05,1703.90,1703.55,1689.36,74787,1263.42,-,47153,63.05
DIVISLAB,EQ,13-Mar-2006,1703.55,1719.00,1755.00,1681.00,1716.15,1722.30,1731.08,26821,464.29,-,12686,47.30
DIVISLAB,EQ,14-Mar-2006,1722.30,1730.00,1745.00,1676.00,1680.00,1682.40,1701.16,21165,360.05,-,10822,51.13
DIVISLAB,EQ,16-Mar-2006,1682.40,1702.00,1722.80,1694.00,1714.00,1711.75,1704.93,21765,371.08,-,15090,69.33
DIVISLAB,EQ,17-Mar-2006,1711.75,1719.70,1729.50,1692.05,1694.95,1699.15,1712.86,18332,314.00,-,9805,53.49
