Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DLF,EQ,05-Jul-2007,525.00,526.60,583.95,526.60,568.00,569.80,557.08,78025942,434669.79,-,31570720,40.46
DLF,EQ,06-Jul-2007,569.80,568.00,586.45,568.00,570.40,573.60,576.40,13724278,79106.96,-,5426391,39.54
DLF,EQ,09-Jul-2007,573.60,574.10,581.00,571.50,572.10,574.70,577.50,4829804,27892.24,-,2659081,55.06
DLF,EQ,10-Jul-2007,574.70,575.00,580.00,568.60,570.30,571.75,575.36,5321889,30620.04,-,2356818,44.29
DLF,EQ,11-Jul-2007,571.75,570.00,594.40,567.00,592.00,590.75,580.13,8859610,51397.00,-,3625871,40.93
DLF,EQ,12-Jul-2007,590.75,595.00,616.50,595.00,610.00,610.75,609.70,10548513,64314.76,-,4596660,43.58
DLF,EQ,13-Jul-2007,610.75,616.00,625.00,597.20,600.00,601.05,612.91,6964521,42686.27,-,2504473,35.96
DLF,EQ,16-Jul-2007,601.05,605.70,614.50,602.20,610.55,610.90,609.75,3647160,22238.57,-,1404290,38.50
DLF,EQ,17-Jul-2007,610.90,614.90,619.90,605.15,616.00,612.65,613.44,4930170,30243.81,-,2005866,40.69
DLF,EQ,18-Jul-2007,612.65,615.00,649.00,615.00,648.10,643.40,633.17,11272734,71375.09,-,3457494,30.67
DLF,EQ,19-Jul-2007,643.40,657.30,664.70,631.25,646.00,646.15,649.61,14333158,93109.25,-,3718203,25.94
DLF,EQ,20-Jul-2007,646.15,646.00,658.00,643.00,648.00,646.80,649.95,5862319,38101.88,-,2027645,34.59
DLF,EQ,23-Jul-2007,646.80,648.00,679.00,642.00,675.00,672.40,661.88,5850767,38724.93,-,1845532,31.54
DLF,EQ,24-Jul-2007,672.40,677.00,678.85,653.15,654.00,656.90,661.76,6809825,45064.51,-,2899299,42.58
DLF,EQ,25-Jul-2007,656.90,654.00,654.00,629.35,637.40,637.15,639.86,4897509,31337.32,-,1830263,37.37
DLF,EQ,26-Jul-2007,637.15,601.55,649.90,601.55,633.00,633.30,639.09,6939654,44350.61,-,2644462,38.11
DLF,EQ,27-Jul-2007,633.30,628.60,628.60,578.00,603.50,599.70,601.31,9518445,57235.25,-,3047351,32.02
DLF,EQ,30-Jul-2007,599.70,604.90,617.00,590.00,604.60,603.60,605.41,4793278,29018.75,-,1074585,22.42
DLF,EQ,31-Jul-2007,603.60,607.50,616.85,595.60,613.60,612.20,609.03,4414624,26886.41,-,1117415,25.31
DLF,EQ,01-Aug-2007,612.20,609.95,609.95,581.00,585.95,585.15,595.06,5785919,34429.52,-,2298859,39.73
DLF,EQ,02-Aug-2007,585.15,579.80,600.00,579.80,587.80,586.95,593.23,3052788,18110.12,-,684728,22.43
DLF,EQ,03-Aug-2007,586.95,593.50,605.50,593.00,598.35,601.85,600.40,3310944,19878.96,-,897233,27.10
DLF,EQ,06-Aug-2007,601.85,560.00,589.90,560.00,582.00,580.65,578.88,3153730,18256.31,-,1121332,35.56
DLF,EQ,07-Aug-2007,580.65,590.00,599.85,587.15,588.50,588.70,594.07,2475707,14707.55,-,886029,35.79
DLF,EQ,08-Aug-2007,588.70,592.40,606.90,591.50,601.80,600.85,600.39,3651211,21921.55,-,1350465,36.99
DLF,EQ,09-Aug-2007,600.85,609.80,614.95,592.10,597.70,595.50,603.71,3705892,22372.75,-,1708532,46.10
DLF,EQ,10-Aug-2007,595.50,575.10,592.80,490.00,585.00,581.90,581.02,8480468,49273.52,-,5985704,70.58
DLF,EQ,13-Aug-2007,581.90,594.00,599.00,587.00,598.50,596.80,592.71,2394623,14193.23,-,1352418,56.48
DLF,EQ,14-Aug-2007,596.80,598.00,607.10,594.85,604.05,603.20,602.09,3558981,21428.19,-,1885821,52.99
