Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DYNATECH,BE,09-Oct-2012,0.95,4.20,4.20,4.00,4.00,4.00,4.05,11097,0.45,29,-,-
DYNATECH,BE,10-Oct-2012,4.00,3.80,3.80,3.80,3.80,3.80,3.80,6046,0.23,7,-,-
DYNATECH,BE,11-Oct-2012,3.80,3.65,3.65,3.65,3.65,3.65,3.65,9505,0.35,11,-,-
DYNATECH,BE,12-Oct-2012,3.65,3.50,3.50,3.50,3.50,3.50,3.50,4605,0.16,11,-,-
DYNATECH,BE,16-Oct-2012,3.50,3.35,3.35,3.35,3.35,3.35,3.35,1207,0.04,5,-,-
DYNATECH,BE,17-Oct-2012,3.35,3.20,3.20,3.20,3.20,3.20,3.20,615,0.02,4,-,-
DYNATECH,BE,18-Oct-2012,3.20,3.05,3.05,3.05,3.05,3.05,3.05,1005,0.03,2,-,-
DYNATECH,BE,22-Oct-2012,3.05,2.90,2.90,2.90,2.90,2.90,2.90,1260,0.04,10,-,-
DYNATECH,EQ,23-Oct-2012,2.90,2.35,2.35,2.35,2.35,2.35,2.35,4942,0.12,17,4930,99.76
DYNATECH,EQ,25-Oct-2012,2.35,1.90,1.90,1.90,1.90,1.90,1.90,14886,0.28,27,14886,100.00
DYNATECH,EQ,26-Oct-2012,1.90,1.75,2.05,1.75,2.05,2.05,1.79,625820,11.20,337,569706,91.03
DYNATECH,EQ,29-Oct-2012,2.05,1.85,2.25,1.85,2.25,2.25,2.17,80586,1.75,75,65386,81.14
DYNATECH,EQ,30-Oct-2012,2.25,2.25,2.45,2.10,2.45,2.40,2.38,92883,2.21,92,73872,79.53
DYNATECH,EQ,31-Oct-2012,2.40,2.45,2.50,2.30,2.50,2.50,2.42,89613,2.17,66,68817,76.79
DYNATECH,EQ,01-Nov-2012,2.50,2.45,2.50,2.40,2.45,2.45,2.45,7989,0.20,23,5944,74.40
DYNATECH,EQ,02-Nov-2012,2.45,2.45,2.55,2.40,2.50,2.50,2.47,29342,0.72,45,25182,85.82
DYNATECH,EQ,05-Nov-2012,2.50,2.60,2.60,2.45,2.60,2.55,2.56,21739,0.56,46,20259,93.19
DYNATECH,EQ,06-Nov-2012,2.55,2.60,2.60,2.45,2.45,2.45,2.46,165844,4.08,58,143065,86.26
DYNATECH,EQ,07-Nov-2012,2.45,2.35,2.50,2.35,2.35,2.35,2.38,13956,0.33,26,10603,75.97
DYNATECH,EQ,08-Nov-2012,2.35,2.30,2.30,2.25,2.25,2.25,2.25,12021,0.27,18,12021,100.00
DYNATECH,EQ,09-Nov-2012,2.25,2.20,2.20,2.20,2.20,2.20,2.20,1000,0.02,2,1000,100.00
DYNATECH,EQ,12-Nov-2012,2.20,2.10,2.10,2.10,2.10,2.10,2.10,5900,0.12,10,5900,100.00
DYNATECH,EQ,15-Nov-2012,2.10,2.05,2.20,2.05,2.10,2.10,2.10,34011,0.71,50,32317,95.02
