Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EDUCOMP,EQ,13-Jan-2006,125.00,155.00,300.00,155.00,300.00,284.05,253.54,18150013,46018.01,-,1262794,6.96
EDUCOMP,EQ,16-Jan-2006,284.05,315.10,338.30,302.00,309.35,308.10,319.82,10751355,34385.49,-,581755,5.41
EDUCOMP,EQ,17-Jan-2006,308.10,311.70,317.80,273.10,296.20,287.90,296.84,8028797,23832.34,-,381998,4.76
EDUCOMP,EQ,18-Jan-2006,287.90,298.00,307.90,288.15,302.00,300.90,299.01,7965073,23816.03,-,271060,3.40
EDUCOMP,EQ,19-Jan-2006,300.90,302.00,307.40,294.75,298.00,298.95,300.64,2458105,7390.07,-,165516,6.73
EDUCOMP,EQ,20-Jan-2006,298.95,297.00,316.40,293.25,307.00,307.35,305.44,2696965,8237.66,-,239013,8.86
EDUCOMP,EQ,23-Jan-2006,307.35,305.80,310.70,297.00,297.05,298.75,304.23,1496665,4553.36,-,115265,7.70
EDUCOMP,EQ,24-Jan-2006,298.75,299.00,311.40,299.00,300.50,301.00,304.82,1584808,4830.75,-,133407,8.42
EDUCOMP,EQ,25-Jan-2006,301.00,302.00,305.60,289.10,291.05,291.70,300.00,1007829,3023.45,-,114564,11.37
EDUCOMP,EQ,27-Jan-2006,291.70,293.80,304.85,290.30,292.10,293.40,298.01,1399314,4170.04,-,99293,7.10
EDUCOMP,EQ,30-Jan-2006,293.40,293.00,297.00,281.00,282.00,282.20,286.34,364836,1044.69,-,77947,21.36
EDUCOMP,EQ,31-Jan-2006,282.20,283.00,290.90,279.20,280.15,280.85,284.96,430973,1228.08,-,54453,12.63
EDUCOMP,EQ,01-Feb-2006,280.85,281.90,287.60,265.00,272.00,271.45,280.59,468238,1313.82,-,58530,12.50
EDUCOMP,EQ,02-Feb-2006,271.45,274.00,275.95,264.25,268.35,267.15,269.59,270293,728.67,-,62415,23.09
EDUCOMP,EQ,03-Feb-2006,267.15,269.40,269.90,254.00,269.50,261.20,261.46,299033,781.85,-,134682,45.04
EDUCOMP,EQ,06-Feb-2006,261.20,267.00,275.40,264.00,273.00,271.30,270.43,227766,615.95,-,44676,19.61
EDUCOMP,EQ,07-Feb-2006,271.30,273.00,273.90,266.65,268.70,269.20,268.99,174892,470.43,-,72970,41.72
EDUCOMP,EQ,08-Feb-2006,269.20,267.00,269.80,256.25,257.10,259.25,261.92,101431,265.67,-,32361,31.90
EDUCOMP,EQ,10-Feb-2006,259.25,258.00,293.00,255.05,281.00,281.25,280.61,801631,2249.43,-,111731,13.94
EDUCOMP,EQ,13-Feb-2006,281.25,283.00,309.50,274.85,308.60,307.25,298.28,1976827,5896.56,-,245499,12.42
EDUCOMP,EQ,14-Feb-2006,307.25,306.00,311.85,285.25,291.15,290.30,301.58,668158,2015.02,-,102675,15.37
EDUCOMP,EQ,15-Feb-2006,290.30,292.25,297.00,282.85,295.10,291.80,290.96,354776,1032.26,-,73998,20.86
EDUCOMP,EQ,16-Feb-2006,291.80,294.50,305.60,292.60,301.00,301.20,300.24,423001,1270.03,-,139833,33.06
EDUCOMP,EQ,17-Feb-2006,301.20,297.55,304.05,285.00,288.00,289.25,292.50,188937,552.63,-,75733,40.08
EDUCOMP,EQ,20-Feb-2006,289.25,290.00,290.00,277.20,280.90,281.70,281.49,76559,215.51,-,17813,23.27
EDUCOMP,EQ,21-Feb-2006,281.70,281.00,299.25,281.00,293.10,293.95,293.54,260215,763.83,-,40070,15.40
EDUCOMP,EQ,22-Feb-2006,293.95,294.00,296.00,284.00,296.00,289.10,288.82,237282,685.31,-,178609,75.27
EDUCOMP,EQ,23-Feb-2006,289.10,291.00,298.40,277.10,282.00,280.70,285.99,54485,155.82,-,15479,28.41
EDUCOMP,EQ,24-Feb-2006,280.70,283.00,285.50,275.60,278.00,279.75,280.42,67356,188.88,-,28496,42.31
EDUCOMP,EQ,27-Feb-2006,279.75,278.00,282.00,275.60,280.00,278.30,278.28,32804,91.29,-,12277,37.43
EDUCOMP,EQ,28-Feb-2006,278.30,281.00,292.90,271.00,283.90,284.00,284.07,441332,1253.69,-,59119,13.40
EDUCOMP,EQ,01-Mar-2006,284.00,286.00,324.90,279.15,323.35,319.50,310.13,1027077,3185.27,-,222006,21.62
EDUCOMP,EQ,02-Mar-2006,319.50,324.00,383.40,317.50,357.00,359.80,363.55,3414231,12412.57,-,263177,7.71
EDUCOMP,EQ,03-Mar-2006,359.80,356.60,407.80,343.10,387.50,386.20,381.04,3844415,14648.73,-,195259,5.08
EDUCOMP,EQ,06-Mar-2006,386.20,389.30,432.00,377.00,403.25,407.05,413.85,3102018,12837.58,-,203946,6.57
EDUCOMP,EQ,07-Mar-2006,407.05,405.00,412.90,396.05,402.70,401.55,404.81,1256807,5087.72,-,89650,7.13
EDUCOMP,EQ,08-Mar-2006,401.55,404.90,408.90,384.10,388.00,387.50,396.56,493890,1958.55,-,95880,19.41
EDUCOMP,EQ,09-Mar-2006,387.50,383.10,427.00,375.00,417.50,418.55,407.44,1811347,7380.22,-,113249,6.25
EDUCOMP,EQ,10-Mar-2006,418.55,417.00,442.00,411.05,422.60,426.30,429.75,1788161,7684.57,-,75801,4.24
EDUCOMP,EQ,13-Mar-2006,426.30,421.10,466.70,421.10,446.00,445.50,446.16,2826233,12609.52,-,167499,5.93
EDUCOMP,EQ,14-Mar-2006,445.50,448.00,457.00,425.35,425.35,427.90,444.96,1690148,7520.44,-,217304,12.86
EDUCOMP,EQ,16-Mar-2006,427.90,426.00,432.80,410.00,412.50,412.10,421.17,548910,2311.82,-,95288,17.36
EDUCOMP,EQ,17-Mar-2006,412.10,413.00,420.75,397.60,399.00,401.55,410.68,449590,1846.37,-,67091,14.92
EDUCOMP,EQ,20-Mar-2006,401.55,401.00,426.40,401.00,417.00,417.65,418.57,835619,3497.63,-,53019,6.34
EDUCOMP,EQ,21-Mar-2006,417.65,411.35,426.95,402.00,404.75,405.10,417.10,403961,1684.93,-,43392,10.74
EDUCOMP,EQ,22-Mar-2006,405.10,406.00,414.50,396.10,401.00,400.15,405.36,293251,1188.73,-,22204,7.57
EDUCOMP,EQ,23-Mar-2006,400.15,399.00,412.25,396.10,397.00,399.10,404.89,185403,750.68,-,25252,13.62
EDUCOMP,EQ,24-Mar-2006,399.10,400.00,405.90,392.00,392.50,393.40,398.43,111994,446.22,-,18534,16.55
EDUCOMP,EQ,27-Mar-2006,393.40,386.35,412.00,386.35,401.10,406.30,400.53,284769,1140.58,-,32798,11.52
EDUCOMP,EQ,28-Mar-2006,406.30,407.00,407.00,385.00,386.80,388.20,396.18,96276,381.43,-,26006,27.01
EDUCOMP,EQ,29-Mar-2006,388.20,392.60,399.00,386.05,386.10,388.80,391.65,120367,471.42,-,13440,11.17
EDUCOMP,EQ,30-Mar-2006,388.80,392.00,406.00,390.15,395.00,394.80,398.25,188953,752.50,-,23253,12.31
EDUCOMP,EQ,31-Mar-2006,394.80,395.00,399.00,381.00,381.10,383.65,390.04,81409,317.53,-,21390,26.27
EDUCOMP,EQ,03-Apr-2006,383.65,390.00,398.85,387.05,396.00,395.30,392.86,84163,330.64,-,26361,31.32
EDUCOMP,EQ,04-Apr-2006,395.30,398.35,410.75,392.90,395.95,397.05,402.63,165478,666.26,-,21132,12.77
EDUCOMP,EQ,05-Apr-2006,397.05,399.90,403.00,392.60,392.60,395.10,397.92,46955,186.84,-,13159,28.02
EDUCOMP,EQ,07-Apr-2006,395.10,400.00,400.45,370.00,373.10,374.70,385.69,102890,396.84,-,42601,41.40
EDUCOMP,EQ,10-Apr-2006,374.70,375.00,390.00,373.00,379.00,378.75,381.79,66538,254.04,-,11744,17.65
EDUCOMP,EQ,12-Apr-2006,378.75,379.80,387.00,355.10,357.15,359.05,373.07,64535,240.76,-,21230,32.90
EDUCOMP,EQ,13-Apr-2006,359.05,361.40,373.00,342.20,347.70,348.30,353.75,44920,158.91,-,12971,28.88
EDUCOMP,EQ,17-Apr-2006,348.30,320.00,365.80,320.00,354.05,354.85,357.45,84593,302.38,-,10967,12.96
EDUCOMP,EQ,18-Apr-2006,354.85,356.40,375.80,356.40,372.20,370.50,365.83,102255,374.08,-,20538,20.09
EDUCOMP,EQ,19-Apr-2006,370.50,360.10,382.00,360.10,371.05,372.10,375.70,49309,185.25,-,17045,34.57
EDUCOMP,EQ,20-Apr-2006,372.10,374.95,378.00,363.05,366.00,364.45,367.81,32949,121.19,-,17906,54.34
EDUCOMP,EQ,21-Apr-2006,364.45,368.95,369.90,355.00,357.15,357.25,361.74,20566,74.39,-,7275,35.37
EDUCOMP,EQ,24-Apr-2006,357.25,360.00,371.85,356.65,358.00,359.25,363.47,18902,68.70,-,6549,34.65
EDUCOMP,EQ,25-Apr-2006,359.25,369.00,374.65,348.10,348.90,351.45,362.40,57186,207.24,-,13296,23.25
EDUCOMP,EQ,26-Apr-2006,351.45,356.00,356.00,345.60,345.60,348.35,350.94,30087,105.59,-,12044,40.03
EDUCOMP,EQ,27-Apr-2006,348.35,350.00,383.40,350.00,378.00,375.15,372.55,118552,441.67,-,33964,28.65
EDUCOMP,EQ,28-Apr-2006,375.15,360.00,396.00,340.10,382.80,383.80,382.95,245007,938.25,-,72941,29.77
EDUCOMP,EQ,29-Apr-2006,383.80,388.90,396.00,386.10,388.85,388.90,390.23,32546,127.00,-,9680,29.74
EDUCOMP,EQ,02-May-2006,388.90,393.00,394.80,379.15,381.80,381.35,386.99,29709,114.97,-,8056,27.12
EDUCOMP,EQ,03-May-2006,381.35,387.80,392.90,365.00,378.50,379.65,383.59,48736,186.95,-,6546,13.43
EDUCOMP,EQ,04-May-2006,379.65,382.50,415.75,379.50,410.10,407.70,400.25,251529,1006.73,-,54604,21.71
EDUCOMP,EQ,05-May-2006,407.70,415.00,419.00,387.00,402.00,400.05,403.95,110443,446.14,-,34324,31.08
EDUCOMP,EQ,08-May-2006,400.05,404.00,419.00,401.10,411.10,415.00,412.70,152550,629.58,-,30350,19.90
EDUCOMP,EQ,09-May-2006,415.00,416.00,417.80,405.00,410.50,409.85,409.89,55930,229.25,-,28181,50.39
EDUCOMP,EQ,10-May-2006,409.85,413.00,415.00,401.00,411.00,410.30,410.71,27907,114.62,-,13785,49.40
EDUCOMP,EQ,11-May-2006,410.30,415.00,415.00,406.00,410.00,409.25,409.57,35133,143.89,-,26664,75.89
EDUCOMP,EQ,12-May-2006,409.25,410.00,412.00,401.00,410.00,407.20,408.66,34307,140.20,-,22223,64.78
EDUCOMP,EQ,15-May-2006,407.20,402.00,406.50,353.00,385.00,380.20,386.49,35544,137.37,-,22660,63.75
EDUCOMP,EQ,16-May-2006,380.20,420.00,420.00,371.00,396.05,395.80,386.00,27415,105.82,-,21252,77.52
EDUCOMP,EQ,17-May-2006,395.80,408.00,409.00,396.25,408.00,405.30,404.17,16646,67.28,-,9616,57.77
EDUCOMP,EQ,18-May-2006,405.30,406.00,406.00,345.00,360.00,358.90,375.63,10018,37.63,-,5255,52.46
EDUCOMP,EQ,19-May-2006,358.90,395.00,395.00,365.00,380.00,371.55,375.84,65228,245.15,-,47022,72.09
EDUCOMP,EQ,22-May-2006,371.55,390.00,390.00,320.00,357.95,349.05,331.53,18820,62.39,-,14552,77.32
EDUCOMP,EQ,23-May-2006,349.05,357.00,377.30,332.00,365.20,367.85,353.81,5688,20.12,-,2381,41.86
EDUCOMP,EQ,24-May-2006,367.85,360.00,371.00,344.15,354.00,351.50,364.91,5420,19.78,-,3190,58.86
