Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ELGIEQUIP,EQ,02-Jan-2006,61.75,61.60,63.50,61.50,62.70,62.35,62.55,131359,82.17,-,72463,55.16
ELGIEQUIP,EQ,03-Jan-2006,62.35,63.00,65.40,62.50,65.25,65.05,64.17,318884,204.63,-,254451,79.79
ELGIEQUIP,EQ,04-Jan-2006,65.05,66.00,73.10,65.70,68.00,67.80,69.53,738296,513.34,-,403913,54.71
ELGIEQUIP,EQ,05-Jan-2006,67.80,68.45,70.20,66.40,67.30,67.70,68.68,463604,318.39,-,225984,48.75
ELGIEQUIP,EQ,06-Jan-2006,67.70,68.40,70.00,67.50,67.50,67.80,68.34,192138,131.31,-,96885,50.42
ELGIEQUIP,EQ,09-Jan-2006,67.80,68.70,69.50,67.10,67.35,67.65,68.27,178667,121.98,-,114772,64.24
ELGIEQUIP,EQ,10-Jan-2006,67.65,67.55,67.95,65.25,65.50,65.85,66.47,166054,110.38,-,113056,68.08
ELGIEQUIP,EQ,12-Jan-2006,65.85,63.20,67.95,63.20,66.30,66.20,66.35,118813,78.84,-,80322,67.60
ELGIEQUIP,EQ,13-Jan-2006,66.20,67.90,71.00,66.10,68.70,69.20,69.64,288813,201.12,-,118907,41.17
ELGIEQUIP,EQ,16-Jan-2006,69.20,70.20,70.20,66.30,66.75,66.70,67.69,98616,66.75,-,51419,52.14
ELGIEQUIP,EQ,17-Jan-2006,66.70,67.05,69.85,66.60,66.60,67.20,68.25,198187,135.27,-,85905,43.35
ELGIEQUIP,EQ,18-Jan-2006,67.20,67.90,71.95,67.00,71.60,71.05,70.04,386141,270.46,-,238854,61.86
ELGIEQUIP,EQ,19-Jan-2006,71.05,72.75,72.75,70.00,70.00,70.05,71.32,210093,149.84,-,100053,47.62
ELGIEQUIP,EQ,20-Jan-2006,70.05,71.20,73.90,70.50,71.25,71.45,72.44,281217,203.72,-,107103,38.09
ELGIEQUIP,EQ,23-Jan-2006,71.45,70.30,71.90,69.75,70.50,70.10,70.54,125350,88.42,-,78676,62.77
ELGIEQUIP,EQ,24-Jan-2006,70.10,71.00,72.45,70.00,70.50,70.45,71.31,113907,81.23,-,66721,58.57
ELGIEQUIP,EQ,25-Jan-2006,70.45,72.40,72.40,70.00,70.75,70.10,70.91,106144,75.26,-,59073,55.65
ELGIEQUIP,EQ,27-Jan-2006,70.10,71.50,71.80,70.00,70.25,70.45,70.51,101431,71.52,-,68553,67.59
ELGIEQUIP,EQ,30-Jan-2006,70.45,73.00,73.90,70.00,71.80,71.45,71.82,235085,168.83,-,146686,62.40
ELGIEQUIP,EQ,31-Jan-2006,71.45,72.20,72.20,70.00,70.00,70.25,70.40,102710,72.31,-,69021,67.20
ELGIEQUIP,EQ,01-Feb-2006,70.25,70.95,71.50,69.75,70.00,69.95,70.12,181195,127.06,-,140846,77.73
ELGIEQUIP,EQ,02-Feb-2006,69.95,70.60,70.60,67.10,69.50,69.00,68.85,102693,70.71,-,75589,73.61
ELGIEQUIP,EQ,03-Feb-2006,69.00,69.00,69.00,66.60,68.25,68.15,67.97,81432,55.35,-,59597,73.19
ELGIEQUIP,EQ,06-Feb-2006,68.15,68.05,73.85,67.30,72.90,72.90,72.18,222138,160.35,-,124030,55.83
ELGIEQUIP,EQ,07-Feb-2006,72.90,73.55,73.55,70.30,71.60,72.05,71.99,147875,106.45,-,89864,60.77
ELGIEQUIP,EQ,08-Feb-2006,72.05,72.10,72.80,68.65,72.00,71.75,71.06,263395,187.17,-,176818,67.13
ELGIEQUIP,EQ,10-Feb-2006,71.75,72.00,72.50,71.10,71.45,71.80,71.90,64018,46.03,-,45903,71.70
ELGIEQUIP,EQ,13-Feb-2006,71.80,71.50,72.35,69.25,69.35,69.75,70.85,63602,45.06,-,51998,81.76
ELGIEQUIP,EQ,14-Feb-2006,69.75,70.80,73.50,70.25,71.80,72.25,72.10,125571,90.53,-,65253,51.97
ELGIEQUIP,EQ,15-Feb-2006,72.25,73.50,73.50,69.50,70.05,70.35,70.92,75042,53.22,-,39482,52.61
ELGIEQUIP,EQ,16-Feb-2006,70.35,70.50,72.40,70.00,72.00,71.40,71.20,73407,52.27,-,39922,54.38
ELGIEQUIP,EQ,17-Feb-2006,71.40,71.10,71.90,68.50,68.85,69.05,70.44,52211,36.78,-,35919,68.80
ELGIEQUIP,EQ,20-Feb-2006,69.05,68.90,69.45,67.60,69.05,69.05,68.43,33807,23.14,-,28007,82.84
ELGIEQUIP,EQ,21-Feb-2006,69.05,68.15,71.00,68.15,70.70,70.10,70.05,40885,28.64,-,23155,56.63
ELGIEQUIP,EQ,22-Feb-2006,70.10,71.00,71.00,68.10,68.25,68.45,69.03,18084,12.48,-,11856,65.56
ELGIEQUIP,EQ,23-Feb-2006,68.45,69.30,69.30,66.00,66.25,66.45,67.41,45003,30.34,-,29452,65.44
ELGIEQUIP,EQ,24-Feb-2006,66.45,67.05,67.95,65.00,65.75,66.05,66.05,36805,24.31,-,25288,68.71
