Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ELGIRUBCO,BE,10-Aug-2011,18.75,25.25,42.20,25.25,32.00,34.00,36.03,47594,17.15,361,-,-
ELGIRUBCO,BE,11-Aug-2011,34.00,32.30,34.70,32.30,32.30,32.30,32.71,8715,2.85,83,-,-
ELGIRUBCO,BE,12-Aug-2011,32.30,30.70,33.25,30.70,32.80,31.95,31.69,6033,1.91,50,-,-
ELGIRUBCO,BE,16-Aug-2011,31.95,31.00,31.00,30.35,30.35,30.35,30.38,4656,1.41,49,-,-
ELGIRUBCO,BE,17-Aug-2011,30.35,28.85,30.45,28.85,28.85,28.85,29.17,7675,2.24,71,-,-
ELGIRUBCO,BE,18-Aug-2011,28.85,27.50,27.50,27.45,27.45,27.45,27.45,5028,1.38,31,-,-
ELGIRUBCO,BE,19-Aug-2011,27.45,26.10,26.10,26.10,26.10,26.10,26.10,2277,0.59,28,-,-
ELGIRUBCO,BE,22-Aug-2011,26.10,24.80,27.45,24.80,27.45,27.45,26.42,9923,2.62,64,-,-
ELGIRUBCO,BE,23-Aug-2011,27.45,27.45,28.85,27.40,28.85,28.85,28.12,4332,1.22,40,-,-
ELGIRUBCO,BE,24-Aug-2011,28.85,29.10,30.30,27.45,27.50,27.50,28.23,17056,4.81,79,-,-
ELGIRUBCO,EQ,25-Aug-2011,27.50,29.75,29.75,26.30,26.55,26.55,26.89,819,0.22,14,818,99.88
ELGIRUBCO,EQ,26-Aug-2011,26.55,25.00,27.00,23.50,23.75,24.90,25.07,7557,1.89,56,6890,91.17
ELGIRUBCO,EQ,29-Aug-2011,24.90,21.00,25.55,21.00,24.00,24.05,23.12,6525,1.51,62,3962,60.72
ELGIRUBCO,EQ,30-Aug-2011,24.05,24.00,27.00,23.25,27.00,26.80,25.36,15310,3.88,62,12978,84.77
ELGIRUBCO,EQ,02-Sep-2011,26.80,25.40,26.90,25.35,26.00,26.00,25.53,1722,0.44,13,1552,90.13
ELGIRUBCO,EQ,05-Sep-2011,26.00,25.25,27.00,25.25,26.80,26.80,26.62,2890,0.77,24,2790,96.54
ELGIRUBCO,EQ,06-Sep-2011,26.80,27.50,30.80,25.70,26.50,26.50,26.95,10778,2.90,77,9266,85.97
ELGIRUBCO,EQ,07-Sep-2011,26.50,27.00,27.55,26.55,27.40,27.45,27.23,2401,0.65,24,2122,88.38
ELGIRUBCO,EQ,08-Sep-2011,27.45,30.90,30.90,27.00,27.10,27.50,27.45,3280,0.90,51,2675,81.55
ELGIRUBCO,EQ,09-Sep-2011,27.50,26.50,28.50,26.20,26.20,26.60,26.95,9057,2.44,63,7053,77.87
ELGIRUBCO,EQ,12-Sep-2011,26.60,25.35,26.90,25.35,25.80,25.75,25.70,9383,2.41,27,9102,97.01
ELGIRUBCO,EQ,13-Sep-2011,25.75,25.70,26.50,25.70,26.00,26.00,25.97,5305,1.38,57,4388,82.71
ELGIRUBCO,EQ,14-Sep-2011,26.00,25.80,26.05,25.75,25.90,25.90,25.83,6859,1.77,15,6859,100.00
ELGIRUBCO,EQ,15-Sep-2011,25.90,25.00,26.80,23.60,25.70,25.70,25.88,3280,0.85,31,2999,91.43
ELGIRUBCO,EQ,16-Sep-2011,25.70,25.30,26.50,25.30,26.40,26.40,25.66,938,0.24,13,932,99.36
ELGIRUBCO,EQ,19-Sep-2011,26.40,25.65,26.30,25.65,26.30,26.30,25.91,3421,0.89,21,3421,100.00
ELGIRUBCO,EQ,20-Sep-2011,26.30,25.85,26.25,25.80,25.80,25.95,25.95,2412,0.63,16,2412,100.00
ELGIRUBCO,EQ,21-Sep-2011,25.95,25.80,29.00,25.80,27.60,27.60,27.58,65914,18.18,90,62987,95.56
ELGIRUBCO,EQ,22-Sep-2011,27.60,26.65,27.40,24.65,26.20,25.15,25.44,26348,6.70,145,24218,91.92
ELGIRUBCO,EQ,23-Sep-2011,25.15,24.00,26.50,24.00,25.70,25.70,25.49,3549,0.90,32,3280,92.42
ELGIRUBCO,EQ,26-Sep-2011,25.70,25.35,25.55,25.20,25.20,25.20,25.30,1336,0.34,27,1306,97.75
ELGIRUBCO,EQ,27-Sep-2011,25.20,26.90,26.90,25.35,25.50,25.55,25.49,3803,0.97,22,3783,99.47
ELGIRUBCO,EQ,28-Sep-2011,25.55,25.20,26.05,25.20,25.90,25.65,25.47,3462,0.88,13,3272,94.51
ELGIRUBCO,EQ,29-Sep-2011,25.65,25.50,26.00,25.20,25.50,25.50,25.48,5286,1.35,25,5236,99.05
ELGIRUBCO,EQ,30-Sep-2011,25.50,26.35,26.35,26.10,26.10,26.10,26.23,820,0.22,11,820,100.00
ELGIRUBCO,EQ,03-Oct-2011,26.10,25.00,25.10,23.60,25.00,24.85,24.78,10272,2.55,49,6950,67.66
ELGIRUBCO,EQ,04-Oct-2011,24.85,24.75,25.10,24.70,24.85,24.85,24.87,1367,0.34,12,1366,99.93
ELGIRUBCO,EQ,05-Oct-2011,24.85,24.00,27.00,24.00,25.40,25.40,25.34,484,0.12,15,404,83.47
ELGIRUBCO,EQ,07-Oct-2011,25.40,24.20,26.20,24.10,26.00,25.95,25.92,4075,1.06,22,3174,77.89
ELGIRUBCO,EQ,10-Oct-2011,25.95,25.00,26.25,24.45,25.90,25.90,25.98,3267,0.85,25,3080,94.28
ELGIRUBCO,EQ,11-Oct-2011,25.90,26.90,27.00,24.50,24.80,24.75,25.21,22329,5.63,82,20921,93.69
ELGIRUBCO,EQ,12-Oct-2011,24.75,25.00,25.00,23.80,23.80,24.00,24.31,25173,6.12,109,24900,98.92
ELGIRUBCO,EQ,13-Oct-2011,24.00,24.00,24.00,23.10,23.60,23.60,23.75,15487,3.68,65,14648,94.58
ELGIRUBCO,EQ,14-Oct-2011,23.60,23.25,24.50,23.25,24.50,24.40,23.84,2530,0.60,20,1917,75.77
ELGIRUBCO,EQ,17-Oct-2011,24.40,25.00,25.00,23.10,23.20,23.40,23.62,11007,2.60,67,9990,90.76
ELGIRUBCO,EQ,18-Oct-2011,23.40,23.70,24.10,23.00,23.70,23.70,23.64,4352,1.03,26,4197,96.44
ELGIRUBCO,EQ,19-Oct-2011,23.70,24.80,24.80,24.00,24.45,24.30,24.15,463968,112.06,20,463967,100.00
ELGIRUBCO,EQ,20-Oct-2011,24.30,23.75,25.50,23.75,25.00,24.90,23.92,204839,48.99,42,203694,99.44
ELGIRUBCO,EQ,21-Oct-2011,24.90,24.00,25.80,23.70,23.95,23.90,24.03,200745,48.23,57,197707,98.49
ELGIRUBCO,EQ,24-Oct-2011,23.90,25.00,25.00,23.60,23.75,24.40,24.22,1180,0.29,14,1120,94.92
ELGIRUBCO,EQ,24-Oct-2011,23.90,25.00,25.00,23.60,23.75,24.40,24.22,1180,0.29,14,1120,94.92
ELGIRUBCO,EQ,25-Oct-2011,24.40,23.20,24.50,23.20,23.50,24.45,24.37,3381,0.82,10,3379,99.94
ELGIRUBCO,EQ,26-Oct-2011,24.45,22.35,24.75,22.35,24.00,24.10,24.15,1668,0.40,22,1667,99.94
ELGIRUBCO,EQ,28-Oct-2011,24.10,23.50,24.90,23.00,23.55,23.55,23.83,4259,1.01,26,4218,99.04
ELGIRUBCO,EQ,31-Oct-2011,23.55,23.30,24.75,23.30,24.00,24.00,24.03,4607,1.11,10,4507,97.83
ELGIRUBCO,EQ,01-Nov-2011,24.00,24.10,24.25,22.15,23.00,23.00,23.02,24854,5.72,96,22134,89.06
ELGIRUBCO,EQ,02-Nov-2011,23.00,24.00,24.00,22.10,22.25,22.25,22.45,7522,1.69,35,7482,99.47
ELGIRUBCO,EQ,03-Nov-2011,22.25,21.10,23.40,21.10,22.30,22.30,22.75,21427,4.87,29,19102,89.15
ELGIRUBCO,EQ,04-Nov-2011,22.30,22.95,23.50,22.25,22.45,22.50,22.72,63998,14.54,113,62343,97.41
ELGIRUBCO,EQ,08-Nov-2011,22.50,23.00,23.15,22.50,23.00,23.00,23.01,7989,1.84,26,7987,99.97
ELGIRUBCO,EQ,09-Nov-2011,23.00,23.45,23.45,22.65,23.00,22.95,23.09,10467,2.42,24,10466,99.99
ELGIRUBCO,EQ,11-Nov-2011,22.95,22.95,23.50,22.05,23.00,23.00,22.87,6443,1.47,31,6390,99.18
ELGIRUBCO,EQ,14-Nov-2011,23.00,22.60,24.55,21.00,22.00,21.85,22.44,22025,4.94,65,18721,85.00
ELGIRUBCO,EQ,15-Nov-2011,21.85,21.65,22.10,21.15,21.15,21.15,21.75,5510,1.20,40,5500,99.82
ELGIRUBCO,EQ,16-Nov-2011,21.15,21.25,21.25,20.50,20.75,20.75,21.07,7287,1.54,43,6763,92.81
ELGIRUBCO,EQ,17-Nov-2011,20.75,21.10,21.50,21.10,21.35,21.40,21.40,7350,1.57,14,7350,100.00
ELGIRUBCO,EQ,18-Nov-2011,21.40,20.50,21.00,20.50,20.60,20.60,20.61,9464,1.95,24,9464,100.00
ELGIRUBCO,EQ,21-Nov-2011,20.60,20.00,21.95,20.00,20.50,20.50,21.05,2713,0.57,19,2409,88.79
ELGIRUBCO,EQ,22-Nov-2011,20.50,20.00,20.55,20.00,20.55,20.55,20.40,5649,1.15,22,5649,100.00
ELGIRUBCO,EQ,23-Nov-2011,20.55,22.35,22.35,20.00,20.20,20.20,20.20,4912,0.99,9,4912,100.00
ELGIRUBCO,EQ,24-Nov-2011,20.20,20.20,21.00,20.10,21.00,21.00,20.88,4141,0.86,12,4141,100.00
ELGIRUBCO,EQ,25-Nov-2011,21.00,22.55,22.55,20.05,20.25,20.25,20.65,5499,1.14,23,5399,98.18
ELGIRUBCO,EQ,28-Nov-2011,20.25,20.60,20.90,20.10,20.90,20.90,20.41,1205,0.25,9,855,70.95
ELGIRUBCO,EQ,29-Nov-2011,20.90,20.85,21.00,20.40,20.60,20.85,20.73,2281,0.47,21,2230,97.76
ELGIRUBCO,EQ,30-Nov-2011,20.85,20.35,21.40,20.35,20.35,20.35,20.65,3180,0.66,15,2130,66.98
ELGIRUBCO,EQ,01-Dec-2011,20.35,20.05,21.50,20.05,21.25,21.25,20.68,3825,0.79,27,3475,90.85
ELGIRUBCO,EQ,02-Dec-2011,21.25,21.60,21.60,20.55,20.95,20.75,20.66,2601,0.54,31,2312,88.89
ELGIRUBCO,EQ,05-Dec-2011,20.75,20.55,21.00,20.55,21.00,20.95,20.86,1674,0.35,15,1674,100.00
ELGIRUBCO,EQ,07-Dec-2011,20.95,20.60,20.90,20.55,20.90,20.90,20.68,1307,0.27,16,1307,100.00
ELGIRUBCO,EQ,08-Dec-2011,20.90,20.70,21.50,20.70,21.45,21.45,21.33,3605,0.77,15,3605,100.00
ELGIRUBCO,EQ,09-Dec-2011,21.45,21.50,22.00,21.50,21.85,21.85,21.73,3964,0.86,21,3939,99.37
ELGIRUBCO,EQ,12-Dec-2011,21.85,22.00,22.00,21.75,21.80,21.80,21.86,900,0.20,9,900,100.00
ELGIRUBCO,EQ,13-Dec-2011,21.80,23.00,23.00,21.70,21.80,21.80,21.88,4707,1.03,27,4680,99.43
ELGIRUBCO,EQ,14-Dec-2011,21.80,21.70,22.30,18.75,19.20,19.05,19.16,52574,10.07,220,44366,84.39
ELGIRUBCO,EQ,15-Dec-2011,19.05,18.25,19.50,18.25,18.45,18.45,18.97,4095,0.78,24,4095,100.00
ELGIRUBCO,EQ,16-Dec-2011,18.45,18.00,19.00,17.65,18.35,18.65,18.23,44426,8.10,56,42450,95.55
ELGIRUBCO,EQ,19-Dec-2011,18.65,18.00,18.50,17.50,17.85,17.85,17.88,30922,5.53,41,30921,100.00
ELGIRUBCO,EQ,20-Dec-2011,17.85,17.30,18.45,17.30,18.45,18.45,18.19,1359,0.25,12,1329,97.79
ELGIRUBCO,EQ,21-Dec-2011,18.45,18.15,19.00,18.00,18.20,18.50,18.48,10288,1.90,28,10282,99.94
ELGIRUBCO,EQ,22-Dec-2011,18.50,18.55,19.50,18.05,19.50,19.45,18.99,6249,1.19,16,5049,80.80
ELGIRUBCO,EQ,23-Dec-2011,19.45,19.00,20.20,19.00,20.00,20.00,19.91,2701,0.54,16,2701,100.00
ELGIRUBCO,EQ,26-Dec-2011,20.00,19.00,19.95,19.00,19.70,19.70,19.77,1016,0.20,10,766,75.39
ELGIRUBCO,EQ,27-Dec-2011,19.70,19.75,20.00,19.50,20.00,19.95,19.82,2692,0.53,46,2592,96.29
ELGIRUBCO,EQ,28-Dec-2011,19.95,20.00,20.00,19.00,19.00,19.00,19.50,636,0.12,13,535,84.12
ELGIRUBCO,EQ,29-Dec-2011,19.00,19.00,19.00,19.00,19.00,19.00,19.00,200,0.04,1,200,100.00
ELGIRUBCO,EQ,30-Dec-2011,19.00,18.10,20.00,18.10,18.85,18.85,19.85,1804,0.36,10,1801,99.83
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ELGIRUBCO,EQ,02-Jan-2012,18.85,18.55,19.00,18.55,19.00,19.00,18.96,3850,0.73,6,3850,100.00
ELGIRUBCO,EQ,03-Jan-2012,19.00,18.85,19.05,18.85,19.05,19.05,18.93,4141,0.78,5,4141,100.00
ELGIRUBCO,EQ,04-Jan-2012,19.05,18.00,20.00,18.00,19.10,19.10,19.18,1722,0.33,16,1621,94.13
ELGIRUBCO,EQ,05-Jan-2012,19.10,18.55,19.10,18.50,19.05,19.05,18.75,960,0.18,8,860,89.58
ELGIRUBCO,EQ,06-Jan-2012,19.05,20.00,20.00,18.95,18.95,18.95,19.36,130,0.03,3,80,61.54
ELGIRUBCO,EQ,07-Jan-2012,18.95,19.10,19.10,19.05,19.05,19.05,19.06,998,0.19,3,998,100.00
ELGIRUBCO,EQ,09-Jan-2012,19.05,19.05,20.00,19.05,19.95,19.95,19.15,989,0.19,6,939,94.94
ELGIRUBCO,EQ,10-Jan-2012,19.95,20.50,20.60,19.75,20.60,20.55,20.01,3803,0.76,14,3803,100.00
ELGIRUBCO,EQ,11-Jan-2012,20.55,21.00,21.50,19.75,21.40,21.35,20.82,6932,1.44,37,5704,82.29
ELGIRUBCO,EQ,12-Jan-2012,21.35,21.50,21.50,19.00,19.20,19.20,19.75,5022,0.99,34,4740,94.38
ELGIRUBCO,EQ,13-Jan-2012,19.20,19.25,21.00,19.25,19.65,20.00,20.21,3622,0.73,21,2895,79.93
ELGIRUBCO,EQ,16-Jan-2012,20.00,19.20,21.45,19.20,21.10,21.10,21.00,4850,1.02,19,4850,100.00
ELGIRUBCO,EQ,17-Jan-2012,21.10,20.00,25.00,20.00,21.05,21.15,21.36,1556,0.33,21,1424,91.52
ELGIRUBCO,EQ,18-Jan-2012,21.15,24.00,24.00,21.15,21.20,21.15,22.36,962,0.22,14,857,89.09
ELGIRUBCO,EQ,19-Jan-2012,21.15,22.00,22.00,21.25,21.60,21.60,21.74,176,0.04,5,151,85.80
ELGIRUBCO,EQ,20-Jan-2012,21.60,21.70,23.05,21.70,22.05,22.05,21.85,1400,0.31,12,1400,100.00
ELGIRUBCO,EQ,23-Jan-2012,22.05,22.00,22.50,21.85,22.00,22.05,22.03,3465,0.76,36,3430,98.99
ELGIRUBCO,EQ,24-Jan-2012,22.05,22.05,22.05,21.60,21.65,21.65,21.63,1237,0.27,14,1237,100.00
ELGIRUBCO,EQ,25-Jan-2012,21.65,22.00,22.70,21.50,21.50,21.95,22.06,7130,1.57,92,6470,90.74
ELGIRUBCO,EQ,27-Jan-2012,21.95,21.15,23.55,21.15,22.00,22.00,22.20,22783,5.06,85,18648,81.85
ELGIRUBCO,EQ,30-Jan-2012,22.00,21.65,21.65,21.65,21.65,21.65,21.65,336,0.07,2,336,100.00
ELGIRUBCO,EQ,31-Jan-2012,21.65,22.00,23.80,21.25,21.50,21.50,21.91,2631,0.58,14,2431,92.40
ELGIRUBCO,EQ,01-Feb-2012,21.50,21.55,21.95,21.25,21.80,21.80,21.47,2688,0.58,20,2588,96.28
ELGIRUBCO,EQ,02-Feb-2012,21.80,21.80,22.90,21.80,22.85,22.70,22.47,17246,3.88,42,12169,70.56
ELGIRUBCO,EQ,03-Feb-2012,22.70,22.00,22.65,21.70,22.45,22.45,22.11,34087,7.54,88,27082,79.45
ELGIRUBCO,EQ,06-Feb-2012,22.45,22.00,22.75,22.00,22.75,22.50,22.42,25543,5.73,63,25000,97.87
ELGIRUBCO,EQ,07-Feb-2012,22.50,22.95,22.95,22.25,22.35,22.35,22.34,5817,1.30,20,5457,93.81
ELGIRUBCO,EQ,08-Feb-2012,22.35,22.00,23.40,22.00,22.05,22.20,22.48,16208,3.64,85,15757,97.22
ELGIRUBCO,EQ,09-Feb-2012,22.20,22.10,22.60,22.00,22.15,22.05,22.08,10939,2.42,62,9733,88.98
ELGIRUBCO,EQ,10-Feb-2012,22.05,22.95,22.95,21.75,22.45,22.00,22.07,21471,4.74,52,17231,80.25
ELGIRUBCO,EQ,13-Feb-2012,22.00,22.25,22.50,22.05,22.15,22.25,22.24,3852,0.86,15,3609,93.69
