Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EMAMILTD,EQ,03-Aug-2006,240.05,279.00,279.00,260.00,263.05,268.60,267.98,47217,126.53,-,10606,22.46
EMAMILTD,EQ,04-Aug-2006,268.60,270.00,270.00,255.00,255.00,257.75,261.35,2540,6.64,-,1312,51.65
EMAMILTD,EQ,07-Aug-2006,257.75,258.00,258.00,248.00,249.05,255.05,254.76,1653,4.21,-,1312,79.37
EMAMILTD,EQ,08-Aug-2006,255.05,249.40,257.85,249.40,250.00,253.30,254.19,6492,16.50,-,391,6.02
EMAMILTD,EQ,09-Aug-2006,253.30,253.00,259.00,251.00,258.00,258.50,257.14,1681,4.32,-,1681,100.00
EMAMILTD,EQ,10-Aug-2006,258.50,264.90,264.90,254.10,254.10,255.00,256.58,192,0.49,-,166,86.46
EMAMILTD,EQ,11-Aug-2006,255.00,267.00,268.00,255.50,260.15,260.30,262.73,3903,10.25,-,1251,32.05
EMAMILTD,EQ,14-Aug-2006,260.30,263.00,263.00,254.10,256.50,255.60,257.23,774,1.99,-,474,61.24
EMAMILTD,EQ,16-Aug-2006,255.60,256.00,267.90,256.00,260.00,264.25,262.22,17580,46.10,-,13831,78.67
EMAMILTD,EQ,17-Aug-2006,264.25,270.00,270.00,251.00,266.10,265.10,264.27,4715,12.46,-,4288,90.94
EMAMILTD,EQ,18-Aug-2006,265.10,259.80,268.30,259.80,263.00,264.45,264.11,883,2.33,-,810,91.73
EMAMILTD,EQ,21-Aug-2006,264.45,259.00,268.00,259.00,267.00,267.00,265.08,120,0.32,-,115,95.83
EMAMILTD,EQ,22-Aug-2006,267.00,263.00,263.00,258.90,262.90,261.00,261.09,220,0.57,-,120,54.55
EMAMILTD,EQ,23-Aug-2006,261.00,244.00,265.50,244.00,260.00,260.00,260.06,25685,66.80,-,25550,99.47
EMAMILTD,EQ,24-Aug-2006,260.00,253.00,261.90,253.00,255.00,255.00,255.65,956,2.44,-,556,58.16
EMAMILTD,EQ,25-Aug-2006,255.00,256.00,259.95,245.50,252.00,253.45,253.67,1562,3.96,-,823,52.69
EMAMILTD,EQ,28-Aug-2006,253.45,257.00,264.80,252.50,258.00,258.15,259.20,1429,3.70,-,916,64.10
EMAMILTD,EQ,29-Aug-2006,258.15,262.00,262.00,250.50,256.95,254.10,253.49,477,1.21,-,377,79.04
EMAMILTD,EQ,30-Aug-2006,254.10,255.85,274.00,255.85,263.00,265.20,268.43,6050,16.24,-,3145,51.98
EMAMILTD,EQ,31-Aug-2006,265.20,252.00,266.00,251.10,266.00,265.10,263.71,2700,7.12,-,2310,85.56
EMAMILTD,EQ,01-Sep-2006,265.10,257.00,273.25,255.55,272.00,271.25,268.68,20414,54.85,-,10084,49.40
EMAMILTD,EQ,04-Sep-2006,271.25,274.00,274.00,263.00,267.00,267.00,270.52,269,0.73,-,225,83.64
