Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EMKAY,EQ,28-Apr-2006,120.00,130.00,143.00,111.00,140.00,136.75,133.20,6678169,8895.12,-,1064322,15.94
EMKAY,EQ,29-Apr-2006,136.75,141.00,164.10,141.00,153.10,153.25,156.35,1768717,2765.35,-,292316,16.53
EMKAY,EQ,02-May-2006,153.25,157.00,158.00,143.60,145.00,146.45,149.77,1112178,1665.75,-,246762,22.19
EMKAY,EQ,03-May-2006,146.45,145.55,149.30,138.05,138.45,139.40,144.00,383205,551.82,-,106105,27.69
EMKAY,EQ,04-May-2006,139.40,139.05,142.75,131.50,132.05,132.95,136.47,320967,438.03,-,95659,29.80
EMKAY,EQ,05-May-2006,132.95,137.00,137.00,124.55,125.00,126.25,128.98,314377,405.49,-,127644,40.60
EMKAY,EQ,08-May-2006,126.25,127.00,134.90,124.20,130.50,131.15,130.63,258174,337.24,-,74874,29.00
EMKAY,EQ,09-May-2006,131.15,131.75,132.50,129.90,130.90,130.20,130.50,173772,226.78,-,98316,56.58
EMKAY,EQ,10-May-2006,130.20,130.00,136.50,130.00,132.00,131.00,132.82,128259,170.35,-,36722,28.63
EMKAY,EQ,11-May-2006,131.00,125.00,134.00,125.00,130.00,130.05,130.88,80532,105.40,-,43033,53.44
EMKAY,EQ,12-May-2006,130.05,130.10,132.30,128.00,128.00,129.45,129.95,140154,182.13,-,111702,79.70
EMKAY,EQ,15-May-2006,129.45,131.85,132.00,127.00,129.00,127.75,128.11,75405,96.60,-,54795,72.67
EMKAY,EQ,16-May-2006,127.75,129.00,129.45,114.00,128.50,128.15,124.39,91652,114.00,-,53433,58.30
EMKAY,EQ,17-May-2006,128.15,129.95,130.90,127.00,127.00,127.75,128.40,28950,37.17,-,10514,36.32
EMKAY,EQ,18-May-2006,127.75,128.40,129.95,124.00,125.50,125.85,126.38,104391,131.93,-,69235,66.32
EMKAY,EQ,19-May-2006,125.85,125.85,125.85,115.00,119.00,117.50,119.10,79146,94.26,-,63979,80.84
EMKAY,EQ,22-May-2006,117.50,117.00,119.75,95.00,115.00,115.15,112.10,73575,82.48,-,51106,69.46
EMKAY,EQ,23-May-2006,115.15,106.00,111.90,102.15,109.50,110.20,108.84,20142,21.92,-,6648,33.01
EMKAY,EQ,24-May-2006,110.20,107.10,112.00,107.10,111.50,110.25,110.17,17420,19.19,-,9796,56.23
EMKAY,EQ,25-May-2006,110.25,109.00,109.00,105.10,106.00,105.90,106.34,10378,11.04,-,4797,46.22
EMKAY,EQ,26-May-2006,105.90,108.20,112.00,105.00,109.70,110.15,109.29,27949,30.55,-,13614,48.71
EMKAY,EQ,29-May-2006,110.15,112.00,112.00,105.25,108.00,106.80,108.15,9451,10.22,-,4430,46.87
EMKAY,EQ,30-May-2006,106.80,106.00,115.00,106.00,109.00,110.20,111.64,30527,34.08,-,12800,41.93
EMKAY,EQ,31-May-2006,110.20,106.50,106.95,95.00,104.00,104.00,102.69,33113,34.00,-,17575,53.08
EMKAY,EQ,01-Jun-2006,104.00,105.00,106.70,98.25,101.00,100.75,101.80,14003,14.26,-,6653,47.51
EMKAY,EQ,02-Jun-2006,100.75,99.00,101.00,88.00,93.50,93.55,94.45,25089,23.70,-,10942,43.61
EMKAY,EQ,05-Jun-2006,93.55,94.20,95.00,92.00,93.00,93.10,93.12,11685,10.88,-,6226,53.28
EMKAY,EQ,06-Jun-2006,93.10,96.00,96.00,85.00,85.25,85.75,87.40,11652,10.18,-,7184,61.65
EMKAY,EQ,07-Jun-2006,85.75,81.10,87.80,71.55,73.50,72.75,78.41,23670,18.56,-,11769,49.72
EMKAY,EQ,08-Jun-2006,72.75,65.00,69.00,58.60,61.05,60.65,61.04,48643,29.69,-,23418,48.14
EMKAY,EQ,09-Jun-2006,60.65,60.00,72.40,59.90,68.20,69.10,66.68,20755,13.84,-,10591,51.03
EMKAY,EQ,12-Jun-2006,69.10,70.00,72.00,64.00,64.00,65.25,67.65,12530,8.48,-,7174,57.25
EMKAY,EQ,13-Jun-2006,65.25,64.00,64.00,54.15,61.00,59.90,57.98,45403,26.32,-,20897,46.03
EMKAY,EQ,14-Jun-2006,59.90,63.00,66.00,54.10,60.00,58.25,57.82,39589,22.89,-,18987,47.96
EMKAY,EQ,15-Jun-2006,58.25,59.00,68.50,58.00,63.50,64.40,63.25,43396,27.45,-,20863,48.08
EMKAY,EQ,16-Jun-2006,64.40,68.00,68.00,63.00,64.50,64.55,65.00,100340,65.22,-,64172,63.95
EMKAY,EQ,19-Jun-2006,64.55,60.05,67.00,60.05,66.00,65.90,65.26,26497,17.29,-,20176,76.14
EMKAY,EQ,20-Jun-2006,65.90,66.00,66.75,63.10,64.70,65.30,65.03,17242,11.21,-,10218,59.26
EMKAY,EQ,21-Jun-2006,65.30,65.00,69.90,65.00,69.20,68.95,68.51,19719,13.51,-,7951,40.32
EMKAY,EQ,22-Jun-2006,68.95,69.50,75.00,69.45,69.50,69.60,71.82,23048,16.55,-,11040,47.90
EMKAY,EQ,23-Jun-2006,69.60,67.00,69.80,67.00,69.00,69.05,68.85,7584,5.22,-,3189,42.05
EMKAY,EQ,25-Jun-2006,69.05,69.85,69.85,68.00,68.00,68.25,68.52,694,0.48,-,518,74.64
EMKAY,EQ,26-Jun-2006,68.25,64.00,69.00,63.15,63.95,63.50,65.46,16931,11.08,-,10822,63.92
EMKAY,EQ,27-Jun-2006,63.50,65.00,65.00,61.60,63.65,63.35,63.12,3516,2.22,-,2300,65.42
EMKAY,EQ,28-Jun-2006,63.35,61.40,64.00,61.40,63.65,62.65,62.47,6134,3.83,-,2315,37.74
EMKAY,EQ,29-Jun-2006,62.65,64.00,64.50,62.60,63.00,63.10,63.67,5558,3.54,-,3658,65.82
EMKAY,EQ,30-Jun-2006,63.10,65.85,67.95,63.60,67.00,67.10,66.21,16004,10.60,-,9101,56.87
EMKAY,EQ,03-Jul-2006,67.10,65.70,67.60,65.70,66.15,66.55,66.70,2844,1.90,-,1838,64.63
EMKAY,EQ,04-Jul-2006,66.55,64.20,67.35,64.20,66.25,66.40,66.34,2441,1.62,-,1680,68.82
EMKAY,EQ,05-Jul-2006,66.40,67.00,68.00,64.80,65.55,65.55,65.86,5019,3.31,-,3059,60.95
EMKAY,EQ,06-Jul-2006,65.55,60.20,66.85,60.20,65.00,65.10,65.46,2244,1.47,-,729,32.49
EMKAY,EQ,07-Jul-2006,65.10,63.00,66.20,63.00,63.00,64.10,64.80,5002,3.24,-,2438,48.74
EMKAY,EQ,10-Jul-2006,64.10,64.80,64.80,61.05,61.85,62.05,62.20,8096,5.04,-,5535,68.37
EMKAY,EQ,11-Jul-2006,62.05,62.95,62.95,61.15,62.00,61.95,62.14,2043,1.27,-,1548,75.77
EMKAY,EQ,12-Jul-2006,61.95,60.50,72.00,60.50,68.50,69.15,68.23,19627,13.39,-,11081,56.46
EMKAY,EQ,13-Jul-2006,69.15,70.90,70.90,67.00,67.55,68.40,67.90,11986,8.14,-,3916,32.67
EMKAY,EQ,14-Jul-2006,68.40,64.25,69.50,64.25,69.35,68.85,67.65,6926,4.69,-,4292,61.97
EMKAY,EQ,17-Jul-2006,68.85,68.60,75.40,68.60,71.55,72.40,72.79,32556,23.70,-,13488,41.43
EMKAY,EQ,18-Jul-2006,72.40,72.65,74.85,68.15,74.70,74.00,71.85,23131,16.62,-,11629,50.27
EMKAY,EQ,19-Jul-2006,74.00,74.70,75.00,65.60,65.60,67.35,70.72,25980,18.37,-,14821,57.05
EMKAY,EQ,20-Jul-2006,67.35,70.50,72.00,67.50,68.30,69.55,69.92,30767,21.51,-,18784,61.05
EMKAY,EQ,21-Jul-2006,69.55,68.70,69.65,66.00,67.00,67.60,67.65,15813,10.70,-,8266,52.27
EMKAY,EQ,24-Jul-2006,67.60,65.20,65.20,62.00,63.00,63.20,63.43,4920,3.12,-,2741,55.71
EMKAY,EQ,25-Jul-2006,63.20,62.25,64.25,62.25,62.50,63.35,63.25,4928,3.12,-,3294,66.84
EMKAY,EQ,26-Jul-2006,63.35,63.25,65.00,62.30,62.60,63.15,63.46,6648,4.22,-,3396,51.08
EMKAY,EQ,27-Jul-2006,63.15,65.00,65.00,58.00,64.15,64.05,63.25,7093,4.49,-,4816,67.90
EMKAY,EQ,28-Jul-2006,64.05,63.00,63.75,61.00,61.50,61.90,62.41,10600,6.61,-,6306,59.49
EMKAY,EQ,31-Jul-2006,61.90,63.00,65.00,61.10,61.10,61.35,62.10,18147,11.27,-,13944,76.84
EMKAY,EQ,01-Aug-2006,61.35,61.35,62.25,60.25,60.50,60.95,60.30,269262,162.37,-,264371,98.18
EMKAY,EQ,02-Aug-2006,60.95,63.00,64.00,60.50,60.55,60.60,61.66,19477,12.01,-,10062,51.66
EMKAY,EQ,03-Aug-2006,60.60,62.70,62.70,60.30,60.30,60.55,61.30,17395,10.66,-,8806,50.62
EMKAY,EQ,04-Aug-2006,60.55,60.55,61.00,58.05,59.70,58.90,59.74,13605,8.13,-,9843,72.35
EMKAY,EQ,07-Aug-2006,58.90,58.60,61.00,58.60,61.00,59.85,59.73,4871,2.91,-,3207,65.84
EMKAY,EQ,08-Aug-2006,59.85,59.30,61.00,59.15,59.15,59.70,59.96,7936,4.76,-,4654,58.64
EMKAY,EQ,09-Aug-2006,59.70,59.90,60.25,59.20,59.55,59.80,59.83,18638,11.15,-,14721,78.98
EMKAY,EQ,10-Aug-2006,59.80,60.00,66.00,59.15,61.50,63.25,62.69,63945,40.09,-,24272,37.96
EMKAY,EQ,11-Aug-2006,63.25,64.70,67.00,63.00,63.05,63.90,65.05,30520,19.85,-,13677,44.81
EMKAY,EQ,14-Aug-2006,63.90,64.50,71.70,64.10,68.00,69.15,68.48,81377,55.73,-,26581,32.66
EMKAY,EQ,16-Aug-2006,69.15,70.00,82.40,70.00,74.50,73.75,73.02,70230,51.28,-,29621,42.18
EMKAY,EQ,17-Aug-2006,73.75,74.30,76.50,70.25,70.70,71.20,72.92,40792,29.75,-,18946,46.45
EMKAY,EQ,18-Aug-2006,71.20,71.75,74.50,70.30,72.60,72.30,72.69,37441,27.21,-,14794,39.51
EMKAY,EQ,21-Aug-2006,72.30,73.00,74.90,72.30,73.50,73.95,73.68,13408,9.88,-,6639,49.52
EMKAY,EQ,22-Aug-2006,73.95,73.30,76.05,72.20,72.50,73.70,74.84,25416,19.02,-,11013,43.33
EMKAY,EQ,23-Aug-2006,73.70,74.00,74.50,69.80,70.45,70.10,71.54,15317,10.96,-,10169,66.39
EMKAY,EQ,24-Aug-2006,70.10,74.00,74.00,69.10,69.65,70.25,70.21,13320,9.35,-,7589,56.97
EMKAY,EQ,25-Aug-2006,70.25,72.00,72.45,69.75,69.75,70.50,70.77,7970,5.64,-,5240,65.75
EMKAY,EQ,28-Aug-2006,70.50,73.80,73.80,70.05,70.05,70.90,71.47,6065,4.33,-,4236,69.84
EMKAY,EQ,29-Aug-2006,70.90,73.00,73.00,70.10,70.30,70.45,71.10,6522,4.64,-,4445,68.15
EMKAY,EQ,30-Aug-2006,70.45,70.00,70.85,68.10,68.25,68.65,69.16,10780,7.46,-,8738,81.06
EMKAY,EQ,31-Aug-2006,68.65,68.15,70.50,67.25,67.75,67.80,68.23,4723,3.22,-,3075,65.11
EMKAY,EQ,01-Sep-2006,67.80,68.20,70.00,66.80,67.00,67.90,67.95,15143,10.29,-,10859,71.71
EMKAY,EQ,04-Sep-2006,67.90,69.65,70.00,68.00,68.05,68.25,68.89,8528,5.88,-,3747,43.94
EMKAY,EQ,05-Sep-2006,68.25,68.95,69.50,68.00,68.90,68.65,68.51,52197,35.76,-,49578,94.98
EMKAY,EQ,06-Sep-2006,68.65,69.65,77.50,69.65,74.00,74.05,74.94,115051,86.22,-,48193,41.89
EMKAY,EQ,07-Sep-2006,74.05,75.00,75.00,70.20,71.00,71.05,72.31,23735,17.16,-,16806,70.81
EMKAY,EQ,08-Sep-2006,71.05,72.25,72.60,69.55,70.40,70.10,70.87,87895,62.29,-,82336,93.68
EMKAY,EQ,11-Sep-2006,70.10,76.40,76.45,66.35,67.45,68.00,70.51,36263,25.57,-,22084,60.90
EMKAY,EQ,12-Sep-2006,68.00,68.00,72.90,66.10,70.90,71.50,70.85,50396,35.71,-,11885,23.58
EMKAY,EQ,13-Sep-2006,71.50,73.00,73.00,70.50,70.75,71.30,71.86,22425,16.12,-,13819,61.62
EMKAY,EQ,14-Sep-2006,71.30,72.20,72.80,70.15,70.20,70.85,71.34,10637,7.59,-,6505,61.15
EMKAY,EQ,15-Sep-2006,70.85,71.00,71.50,68.75,69.00,69.45,70.34,9732,6.85,-,5492,56.43
EMKAY,EQ,18-Sep-2006,69.45,72.50,72.50,68.05,69.50,69.00,70.12,10745,7.53,-,5019,46.71
EMKAY,EQ,19-Sep-2006,69.00,69.20,69.80,67.00,67.35,68.00,68.19,20427,13.93,-,14637,71.66
EMKAY,EQ,20-Sep-2006,68.00,66.65,68.75,66.50,67.65,67.65,67.72,11823,8.01,-,6206,52.49
EMKAY,EQ,21-Sep-2006,67.65,69.90,71.80,68.15,69.60,69.60,70.10,51220,35.91,-,27064,52.84
EMKAY,EQ,22-Sep-2006,69.60,70.00,70.00,67.20,67.35,67.55,68.29,13283,9.07,-,8815,66.36
EMKAY,EQ,25-Sep-2006,67.55,68.20,68.90,66.70,66.70,67.35,67.75,11215,7.60,-,8639,77.03
EMKAY,EQ,26-Sep-2006,67.35,67.75,68.50,66.50,66.60,66.95,67.09,20407,13.69,-,14736,72.21
EMKAY,EQ,27-Sep-2006,66.95,67.35,67.50,65.35,65.50,65.75,66.66,23610,15.74,-,19991,84.67
EMKAY,EQ,28-Sep-2006,65.75,66.10,66.75,63.00,63.00,63.65,64.30,38377,24.68,-,32166,83.82
EMKAY,EQ,29-Sep-2006,63.65,65.00,65.95,64.00,64.10,64.40,64.78,37397,24.22,-,30005,80.23
EMKAY,EQ,03-Oct-2006,64.40,65.05,65.85,63.95,64.55,64.35,64.76,17734,11.48,-,8947,50.45
