Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ESSELPACK,EQ,02-Jan-2006,358.30,360.00,375.00,357.25,375.00,369.85,365.77,5059,18.50,-,4128,81.60
ESSELPACK,EQ,03-Jan-2006,369.85,368.00,372.60,365.00,367.00,367.00,369.72,19247,71.16,-,17706,91.99
ESSELPACK,EQ,04-Jan-2006,367.00,365.00,372.00,362.05,362.50,362.45,364.62,2022,7.37,-,1286,63.60
ESSELPACK,EQ,05-Jan-2006,362.45,361.35,365.75,360.30,360.30,361.45,361.94,1751,6.34,-,1199,68.48
ESSELPACK,EQ,06-Jan-2006,361.45,362.00,366.95,355.00,359.00,358.30,360.09,7116,25.62,-,5920,83.19
ESSELPACK,EQ,09-Jan-2006,358.30,360.00,360.00,347.60,351.00,351.15,352.64,17561,61.93,-,15412,87.76
ESSELPACK,EQ,10-Jan-2006,351.15,363.75,365.50,350.00,350.00,352.15,353.41,4171,14.74,-,2806,67.27
ESSELPACK,EQ,12-Jan-2006,352.15,353.00,356.00,350.00,350.00,350.35,351.55,3442,12.10,-,2842,82.57
ESSELPACK,EQ,13-Jan-2006,350.35,355.00,370.70,351.20,355.90,353.65,358.98,11516,41.34,-,6246,54.24
ESSELPACK,EQ,16-Jan-2006,353.65,363.50,363.50,346.10,347.50,347.95,349.57,8905,31.13,-,6753,75.83
ESSELPACK,EQ,17-Jan-2006,347.95,350.00,355.00,342.15,344.00,342.75,346.83,6263,21.72,-,5089,81.25
ESSELPACK,EQ,18-Jan-2006,342.75,342.00,343.00,338.50,338.65,339.60,339.94,5159,17.54,-,4752,92.11
ESSELPACK,EQ,19-Jan-2006,339.60,345.00,354.90,340.00,340.00,340.25,344.25,10011,34.46,-,7289,72.81
ESSELPACK,EQ,20-Jan-2006,340.25,348.00,350.95,340.00,343.75,343.25,344.41,6142,21.15,-,5059,82.37
ESSELPACK,EQ,23-Jan-2006,343.25,350.00,351.70,341.00,343.00,345.40,344.23,3311,11.40,-,2341,70.70
ESSELPACK,EQ,24-Jan-2006,345.40,349.65,349.90,336.55,337.70,337.75,340.02,4470,15.20,-,3537,79.13
ESSELPACK,EQ,25-Jan-2006,337.75,335.00,359.90,335.00,355.00,354.05,350.25,15202,53.25,-,10534,69.29
ESSELPACK,EQ,27-Jan-2006,354.05,364.50,370.00,345.05,347.40,346.35,348.49,9297,32.40,-,7621,81.97
ESSELPACK,EQ,30-Jan-2006,346.35,350.00,350.00,339.35,343.95,343.60,343.35,5232,17.96,-,4140,79.13
ESSELPACK,EQ,31-Jan-2006,343.60,350.00,356.00,342.00,348.00,346.40,348.84,7898,27.55,-,4376,55.41
ESSELPACK,EQ,01-Feb-2006,346.40,356.00,357.95,345.00,346.00,346.75,349.89,19950,69.80,-,14911,74.74
