Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EUROTEXIND,EQ,02-Jan-2006,43.15,43.05,47.50,43.05,46.65,46.40,45.70,18772,8.58,-,9315,49.62
EUROTEXIND,EQ,03-Jan-2006,46.40,49.00,53.00,46.15,46.75,46.55,47.00,18082,8.50,-,10254,56.71
EUROTEXIND,EQ,04-Jan-2006,46.55,46.10,47.40,46.00,46.20,46.00,46.68,5362,2.50,-,3839,71.60
EUROTEXIND,EQ,05-Jan-2006,46.00,46.05,46.85,45.00,45.75,45.20,45.45,5686,2.58,-,2997,52.71
EUROTEXIND,EQ,06-Jan-2006,45.20,44.75,45.85,44.50,44.60,44.70,44.83,6292,2.82,-,5342,84.90
EUROTEXIND,EQ,09-Jan-2006,44.70,45.50,46.40,44.15,44.30,44.30,44.85,2856,1.28,-,2290,80.18
EUROTEXIND,EQ,10-Jan-2006,44.30,45.00,47.50,44.65,44.80,44.95,45.52,12935,5.89,-,7547,58.35
EUROTEXIND,EQ,12-Jan-2006,44.95,44.80,46.20,44.30,44.75,44.80,44.79,6444,2.89,-,3808,59.09
EUROTEXIND,EQ,13-Jan-2006,44.80,44.60,46.00,44.60,44.70,45.05,45.38,7515,3.41,-,3799,50.55
EUROTEXIND,EQ,16-Jan-2006,45.05,46.25,46.25,44.50,45.00,44.70,44.97,2891,1.30,-,2436,84.26
EUROTEXIND,EQ,17-Jan-2006,44.70,45.00,45.45,43.50,44.80,43.85,44.38,4857,2.16,-,3309,68.13
EUROTEXIND,EQ,18-Jan-2006,43.85,43.10,45.15,43.10,44.70,44.05,44.16,3678,1.62,-,2601,70.72
EUROTEXIND,EQ,19-Jan-2006,44.05,45.20,45.20,44.20,44.80,44.60,44.62,3848,1.72,-,2735,71.08
