Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EXCELINFO,EQ,03-Aug-2009,85.00,86.00,110.00,86.00,95.10,95.85,97.99,13820975,13542.98,-,1485125,10.75
EXCELINFO,EQ,04-Aug-2009,95.85,95.50,110.50,95.25,105.50,106.50,104.17,6177244,6435.04,-,539253,8.73
EXCELINFO,EQ,05-Aug-2009,106.50,105.00,115.30,105.00,108.20,107.60,110.35,4047884,4466.90,-,628712,15.53
EXCELINFO,EQ,06-Aug-2009,107.60,101.10,107.40,98.20,100.55,99.80,101.91,2143254,2184.17,-,465578,21.72
EXCELINFO,EQ,07-Aug-2009,99.80,95.10,102.50,95.10,101.90,100.65,100.34,1111332,1115.09,-,247855,22.30
EXCELINFO,EQ,10-Aug-2009,100.65,103.00,120.80,102.20,118.45,119.30,114.74,4722884,5418.84,-,584001,12.37
EXCELINFO,EQ,11-Aug-2009,119.30,122.95,128.50,113.30,122.00,121.30,121.71,7569851,9213.44,-,437356,5.78
EXCELINFO,EQ,12-Aug-2009,121.30,119.70,125.50,101.55,103.90,103.60,112.21,3832015,4299.94,-,846537,22.09
EXCELINFO,EQ,13-Aug-2009,103.60,103.90,108.80,98.50,99.85,100.15,102.72,3523902,3619.87,-,643499,18.26
EXCELINFO,EQ,14-Aug-2009,100.15,101.40,108.00,101.40,103.20,103.15,103.89,2017788,2096.26,-,410019,20.32
EXCELINFO,EQ,17-Aug-2009,103.15,101.90,107.80,101.00,102.95,102.20,104.58,1933517,2021.99,-,485929,25.13
EXCELINFO,EQ,18-Aug-2009,102.20,103.80,106.25,102.00,105.70,105.65,104.86,1200733,1259.13,-,316814,26.39
EXCELINFO,EQ,19-Aug-2009,105.65,106.90,108.00,97.10,99.00,99.00,101.56,1476845,1499.88,-,380281,25.75
EXCELINFO,EQ,20-Aug-2009,99.00,101.80,101.85,90.70,91.00,92.15,95.16,2734084,2601.86,-,737237,26.96
EXCELINFO,EQ,21-Aug-2009,92.15,92.00,94.35,87.35,91.95,91.50,91.33,1852810,1692.16,-,294234,15.88
EXCELINFO,EQ,24-Aug-2009,91.50,93.00,96.00,91.60,91.75,92.45,92.99,677977,630.43,-,149565,22.06
EXCELINFO,EQ,25-Aug-2009,92.45,92.50,92.50,89.10,90.15,90.20,90.65,549277,497.90,-,176856,32.20
EXCELINFO,EQ,26-Aug-2009,90.20,90.50,91.70,89.20,90.00,90.00,90.54,472096,427.44,-,168041,35.59
EXCELINFO,EQ,27-Aug-2009,90.00,90.00,91.50,89.40,90.10,90.00,90.47,311185,281.52,-,131584,42.28
EXCELINFO,EQ,28-Aug-2009,90.00,90.10,90.90,89.10,90.10,89.95,89.98,242213,217.93,-,101377,41.85
EXCELINFO,EQ,31-Aug-2009,89.95,89.50,95.00,89.50,90.85,90.80,91.77,472204,433.35,-,172282,36.48
EXCELINFO,EQ,01-Sep-2009,90.80,100.00,100.00,89.30,90.00,90.00,90.94,538509,489.73,-,150220,27.90
EXCELINFO,EQ,02-Sep-2009,90.00,93.70,97.20,89.00,90.50,90.35,90.79,276351,250.89,-,73677,26.66
EXCELINFO,EQ,03-Sep-2009,90.35,93.00,93.00,89.50,90.10,90.05,90.46,182069,164.70,-,66967,36.78
EXCELINFO,EQ,04-Sep-2009,90.05,93.35,94.80,87.00,88.00,88.05,88.93,202113,179.74,-,80595,39.88
EXCELINFO,EQ,07-Sep-2009,88.05,92.00,92.00,82.25,82.90,83.05,86.61,1118964,969.15,-,551190,49.26
EXCELINFO,EQ,08-Sep-2009,83.05,85.50,91.90,76.55,77.00,77.85,82.57,2303156,1901.67,-,776917,33.73
EXCELINFO,EQ,09-Sep-2009,77.85,77.50,78.60,72.80,75.50,75.20,75.12,1069666,803.55,-,253975,23.74
EXCELINFO,EQ,10-Sep-2009,75.20,77.00,77.00,74.00,74.40,74.45,75.05,506870,380.41,-,146416,28.89
EXCELINFO,EQ,11-Sep-2009,74.45,75.20,81.40,60.25,79.10,78.60,71.00,6721114,4771.98,-,419719,6.24
EXCELINFO,EQ,14-Sep-2009,78.60,79.95,84.25,76.20,80.90,82.30,81.56,2947963,2404.32,-,398739,13.53
EXCELINFO,EQ,15-Sep-2009,82.30,82.30,85.60,79.10,80.00,80.15,81.42,1087383,885.35,-,210227,19.33
EXCELINFO,EQ,16-Sep-2009,80.15,80.80,81.20,77.00,77.80,78.00,79.20,518747,410.83,-,153774,29.64
EXCELINFO,EQ,17-Sep-2009,78.00,81.00,81.00,71.10,75.45,75.15,76.04,460738,350.34,-,128105,27.80
EXCELINFO,EQ,18-Sep-2009,75.15,71.10,77.95,71.10,73.50,73.30,73.70,397363,292.86,-,103910,26.15
EXCELINFO,EQ,22-Sep-2009,73.30,75.45,75.45,70.10,72.50,72.70,73.21,259673,190.11,-,69260,26.67
EXCELINFO,EQ,23-Sep-2009,72.70,71.00,77.70,71.00,72.90,73.35,74.88,597828,447.67,-,109937,18.39
EXCELINFO,EQ,24-Sep-2009,73.35,73.35,73.75,71.00,72.00,72.05,72.43,235806,170.80,-,65869,27.93
EXCELINFO,EQ,25-Sep-2009,72.05,71.10,73.00,70.75,71.60,71.75,72.16,199150,143.71,-,63648,31.96
EXCELINFO,EQ,29-Sep-2009,71.75,71.75,76.90,71.75,75.00,75.55,74.97,675347,506.31,-,198658,29.42
EXCELINFO,EQ,30-Sep-2009,75.55,75.00,80.30,74.30,79.40,79.50,78.21,1188278,929.34,-,324213,27.28
EXCELINFO,EQ,01-Oct-2009,79.50,78.10,80.00,76.80,77.05,77.65,77.84,309959,241.28,-,91585,29.55
EXCELINFO,EQ,05-Oct-2009,77.65,77.30,80.70,75.50,76.40,76.10,77.57,808077,626.79,-,132215,16.36
