Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EXCELINDUS,EQ,02-Jan-2006,68.50,68.10,72.85,68.10,71.50,70.80,71.02,21897,15.55,-,14670,67.00
EXCELINDUS,EQ,03-Jan-2006,70.80,72.90,73.10,71.10,71.70,71.90,72.10,6432,4.64,-,4310,67.01
EXCELINDUS,EQ,04-Jan-2006,71.90,71.10,72.50,70.40,71.40,71.75,71.90,6020,4.33,-,4940,82.06
EXCELINDUS,EQ,05-Jan-2006,71.75,70.55,71.85,70.00,71.85,71.05,70.84,5530,3.92,-,2855,51.63
EXCELINDUS,EQ,06-Jan-2006,71.05,71.05,73.00,68.80,69.00,69.20,70.48,50073,35.29,-,38074,76.04
EXCELINDUS,EQ,09-Jan-2006,69.20,71.90,76.15,71.80,76.15,74.95,74.27,36755,27.30,-,20919,56.91
EXCELINDUS,EQ,10-Jan-2006,74.95,78.45,78.45,74.00,74.70,74.60,76.21,28765,21.92,-,11445,39.79
EXCELINDUS,EQ,12-Jan-2006,74.60,74.00,79.10,73.20,79.00,78.45,77.44,29570,22.90,-,15900,53.77
EXCELINDUS,EQ,13-Jan-2006,78.45,80.00,80.90,77.20,77.20,78.30,79.25,29346,23.26,-,18143,61.82
EXCELINDUS,EQ,16-Jan-2006,78.30,78.90,80.00,76.55,79.50,79.40,78.51,29307,23.01,-,25380,86.60
EXCELINDUS,EQ,17-Jan-2006,79.40,80.90,87.35,80.60,87.35,87.20,85.97,368709,316.97,-,143923,39.03
EXCELINDUS,EQ,18-Jan-2006,87.20,90.75,90.75,81.05,81.80,82.30,85.10,121149,103.09,-,71698,59.18
EXCELINDUS,EQ,19-Jan-2006,82.30,82.85,86.90,82.85,85.55,85.50,85.01,61805,52.54,-,31477,50.93
EXCELINDUS,EQ,20-Jan-2006,85.50,87.90,92.00,87.00,87.50,87.90,89.36,111284,99.45,-,47152,42.37
EXCELINDUS,EQ,23-Jan-2006,87.90,88.00,91.70,86.25,89.00,88.70,89.60,50041,44.84,-,17240,34.45
EXCELINDUS,EQ,24-Jan-2006,88.70,89.00,93.65,87.50,87.50,88.35,90.88,72489,65.88,-,23148,31.93
EXCELINDUS,EQ,25-Jan-2006,88.35,89.90,90.00,82.20,84.25,83.50,85.88,26720,22.95,-,17495,65.48
EXCELINDUS,EQ,27-Jan-2006,83.50,85.00,85.60,82.00,82.00,82.55,83.99,13856,11.64,-,8014,57.84
EXCELINDUS,EQ,30-Jan-2006,82.55,80.10,80.10,74.30,74.30,74.40,75.59,28291,21.39,-,17532,61.97
EXCELINDUS,EQ,31-Jan-2006,74.40,75.00,75.00,70.60,71.35,71.55,72.07,25497,18.38,-,12069,47.33
EXCELINDUS,EQ,01-Feb-2006,71.55,71.00,71.00,68.50,68.55,68.65,69.60,15896,11.06,-,12432,78.21
EXCELINDUS,EQ,02-Feb-2006,68.65,68.70,70.75,67.65,68.05,68.30,68.79,12679,8.72,-,9100,71.77
EXCELINDUS,EQ,03-Feb-2006,68.30,70.00,71.50,67.10,70.30,70.80,69.30,11639,8.07,-,6174,53.05
EXCELINDUS,EQ,06-Feb-2006,70.80,71.00,71.00,68.55,69.80,69.50,69.63,11196,7.80,-,9042,80.76
EXCELINDUS,EQ,07-Feb-2006,69.50,69.15,69.75,68.25,68.90,68.55,68.90,3579,2.47,-,3276,91.53
EXCELINDUS,EQ,08-Feb-2006,68.55,68.00,70.90,68.00,68.75,69.45,69.30,7967,5.52,-,5525,69.35
EXCELINDUS,EQ,10-Feb-2006,69.45,69.70,70.35,68.00,68.00,68.30,68.90,6266,4.32,-,4250,67.83
EXCELINDUS,EQ,13-Feb-2006,68.30,68.50,70.00,68.05,69.50,69.40,69.03,7312,5.05,-,5362,73.33
EXCELINDUS,EQ,14-Feb-2006,69.40,70.00,71.00,68.60,69.20,69.70,69.92,7498,5.24,-,3732,49.77
EXCELINDUS,EQ,15-Feb-2006,69.70,69.90,70.00,68.00,68.00,68.15,68.73,5629,3.87,-,4789,85.08
EXCELINDUS,EQ,16-Feb-2006,68.15,68.50,69.50,68.50,68.50,69.00,69.06,4175,2.88,-,3245,77.72
EXCELINDUS,EQ,17-Feb-2006,69.00,68.50,70.20,67.30,67.40,67.60,68.10,3217,2.19,-,2524,78.46
EXCELINDUS,EQ,20-Feb-2006,67.60,70.00,70.00,66.00,67.50,67.20,67.02,4034,2.70,-,2590,64.20
EXCELINDUS,EQ,21-Feb-2006,67.20,67.50,67.50,66.50,66.80,66.80,67.17,2038,1.37,-,1726,84.69
EXCELINDUS,EQ,22-Feb-2006,66.80,67.60,68.00,66.50,67.00,66.70,67.30,4476,3.01,-,2623,58.60
EXCELINDUS,EQ,23-Feb-2006,66.70,67.40,67.50,66.60,66.60,66.60,67.13,2560,1.72,-,1880,73.44
EXCELINDUS,EQ,24-Feb-2006,66.60,67.00,67.00,64.80,65.45,65.25,65.54,5497,3.60,-,3867,70.35
EXCELINDUS,EQ,27-Feb-2006,65.25,66.00,67.50,65.00,65.50,65.80,66.18,2970,1.97,-,2338,78.72
EXCELINDUS,EQ,28-Feb-2006,65.80,66.00,66.50,64.05,64.05,64.20,64.82,3411,2.21,-,2966,86.95
EXCELINDUS,EQ,01-Mar-2006,64.20,64.00,67.45,64.00,67.45,67.45,66.69,8992,6.00,-,7290,81.07
EXCELINDUS,EQ,02-Mar-2006,67.45,68.00,70.85,68.00,69.90,69.30,69.96,27812,19.46,-,19443,69.91
EXCELINDUS,EQ,03-Mar-2006,69.30,70.50,70.80,67.60,68.40,68.75,69.08,11641,8.04,-,7121,61.17
EXCELINDUS,EQ,06-Mar-2006,68.75,66.00,69.00,66.00,67.15,67.90,67.83,4320,2.93,-,2705,62.62
EXCELINDUS,EQ,07-Mar-2006,67.90,66.30,67.80,65.50,65.50,65.60,66.33,3812,2.53,-,2515,65.98
EXCELINDUS,EQ,08-Mar-2006,65.60,67.00,67.00,65.00,65.00,65.05,65.91,9706,6.40,-,8530,87.88
EXCELINDUS,EQ,09-Mar-2006,65.05,64.65,64.65,63.60,64.40,63.95,64.20,5166,3.32,-,4600,89.04
EXCELINDUS,EQ,10-Mar-2006,63.95,63.60,64.00,62.90,63.60,63.70,63.55,6672,4.24,-,4276,64.09
EXCELINDUS,EQ,13-Mar-2006,63.70,66.45,66.90,63.15,63.15,63.95,64.71,3091,2.00,-,2320,75.06
EXCELINDUS,EQ,14-Mar-2006,63.95,63.65,63.85,62.50,62.50,62.75,63.26,4259,2.69,-,3827,89.86
EXCELINDUS,EQ,16-Mar-2006,62.75,62.25,63.50,61.80,62.70,62.20,62.56,5058,3.16,-,3760,74.34
EXCELINDUS,EQ,17-Mar-2006,62.20,62.50,62.80,59.80,60.35,60.30,61.31,7225,4.43,-,5326,73.72
EXCELINDUS,EQ,20-Mar-2006,60.30,61.50,62.00,57.80,58.00,58.25,59.90,8904,5.33,-,5582,62.69
EXCELINDUS,EQ,21-Mar-2006,58.25,57.05,59.95,57.05,57.50,57.75,58.65,16647,9.76,-,13993,84.06
EXCELINDUS,EQ,22-Mar-2006,57.75,57.00,57.35,55.70,56.00,56.70,56.40,7344,4.14,-,6454,87.88
