Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FAGBEARING,EQ,02-Jan-2006,400.25,399.00,401.20,397.70,397.70,398.95,399.61,1145,4.58,-,655,57.21
FAGBEARING,EQ,03-Jan-2006,398.95,400.10,406.85,400.00,402.70,403.05,402.40,12300,49.49,-,11225,91.26
FAGBEARING,EQ,04-Jan-2006,403.05,409.00,415.00,402.00,414.00,412.90,404.69,32407,131.15,-,28526,88.02
FAGBEARING,EQ,05-Jan-2006,412.90,415.00,417.00,411.80,414.50,413.80,412.46,8173,33.71,-,7595,92.93
FAGBEARING,EQ,06-Jan-2006,413.80,413.00,417.90,411.85,413.00,415.60,412.66,18233,75.24,-,16656,91.35
FAGBEARING,EQ,09-Jan-2006,415.60,417.00,429.60,410.55,420.00,419.85,415.97,29582,123.05,-,23094,78.07
FAGBEARING,EQ,10-Jan-2006,419.85,429.50,440.00,403.40,412.50,411.15,421.87,41155,173.62,-,14930,36.28
FAGBEARING,EQ,12-Jan-2006,411.15,413.95,421.00,410.00,414.00,416.35,414.99,8329,34.56,-,6021,72.29
FAGBEARING,EQ,13-Jan-2006,416.35,403.00,438.40,403.00,420.00,423.10,424.91,19681,83.63,-,10737,54.56
FAGBEARING,EQ,16-Jan-2006,423.10,425.00,435.00,422.15,430.00,431.75,429.58,6781,29.13,-,4718,69.58
FAGBEARING,EQ,17-Jan-2006,431.75,433.80,433.80,414.00,417.10,424.60,424.81,4134,17.56,-,3016,72.96
FAGBEARING,EQ,18-Jan-2006,424.60,429.95,430.00,405.55,406.00,409.35,411.99,8556,35.25,-,6950,81.23
FAGBEARING,EQ,19-Jan-2006,409.35,418.00,423.00,408.00,409.80,409.60,413.57,9808,40.56,-,5740,58.52
FAGBEARING,EQ,20-Jan-2006,409.60,409.00,410.00,402.00,402.75,404.35,408.43,8025,32.78,-,6788,84.59
FAGBEARING,EQ,23-Jan-2006,404.35,403.00,409.90,400.10,404.45,401.55,404.01,6554,26.48,-,6109,93.21
FAGBEARING,EQ,24-Jan-2006,401.55,410.00,410.00,398.00,404.85,402.20,403.27,3389,13.67,-,2602,76.78
FAGBEARING,EQ,25-Jan-2006,402.20,398.25,404.95,396.00,401.50,402.60,402.63,2866,11.54,-,2423,84.54
FAGBEARING,EQ,27-Jan-2006,402.60,408.00,414.00,402.50,405.00,405.15,405.59,12589,51.06,-,11682,92.80
FAGBEARING,EQ,30-Jan-2006,405.15,405.20,405.20,390.00,395.00,395.10,397.58,9237,36.72,-,8563,92.70
FAGBEARING,EQ,31-Jan-2006,395.10,395.10,399.70,382.00,390.00,386.10,389.96,4045,15.77,-,3058,75.60
FAGBEARING,EQ,01-Feb-2006,386.10,394.00,398.50,384.00,388.40,390.50,391.29,5049,19.76,-,3298,65.32
FAGBEARING,EQ,02-Feb-2006,390.50,391.00,398.50,376.00,380.00,389.35,390.91,7374,28.83,-,6643,90.09
FAGBEARING,EQ,03-Feb-2006,389.35,385.00,390.00,380.10,388.00,385.30,384.88,3458,13.31,-,3083,89.16
