Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FDC,EQ,02-Jan-2006,52.05,52.45,53.75,51.95,52.05,52.05,52.66,313294,164.98,-,190873,60.92
FDC,EQ,03-Jan-2006,52.05,52.60,53.50,52.00,52.45,52.70,52.62,332791,175.10,-,201715,60.61
FDC,EQ,04-Jan-2006,52.70,53.00,53.40,52.00,52.75,52.55,52.54,191605,100.68,-,150784,78.70
FDC,EQ,05-Jan-2006,52.55,53.00,57.50,52.05,57.15,57.00,56.31,2902514,1634.49,-,1545646,53.25
FDC,EQ,06-Jan-2006,57.00,60.00,60.00,56.35,58.50,58.25,57.78,1524273,880.78,-,788672,51.74
FDC,EQ,09-Jan-2006,58.25,57.00,58.90,56.55,56.55,56.80,57.59,421180,242.57,-,255585,60.68
FDC,EQ,10-Jan-2006,56.80,56.05,56.75,54.85,55.95,55.60,55.82,248087,138.47,-,156270,62.99
FDC,EQ,12-Jan-2006,55.60,55.60,56.15,54.10,55.25,55.05,55.26,188074,103.94,-,110501,58.75
FDC,EQ,13-Jan-2006,55.05,55.05,57.40,55.00,55.85,55.85,56.33,382049,215.20,-,194019,50.78
FDC,EQ,16-Jan-2006,55.85,56.65,56.65,54.30,55.80,55.70,55.26,215944,119.33,-,126998,58.81
FDC,EQ,17-Jan-2006,55.70,56.00,56.30,53.35,54.30,54.15,54.53,140529,76.63,-,87117,61.99
FDC,EQ,18-Jan-2006,54.15,53.90,55.45,53.00,54.75,54.65,53.87,214051,115.31,-,131134,61.26
FDC,EQ,19-Jan-2006,54.65,55.00,56.00,54.35,55.05,55.15,55.22,147592,81.50,-,91996,62.33
FDC,EQ,20-Jan-2006,55.15,55.80,56.10,54.70,55.50,55.25,55.23,135925,75.08,-,84462,62.14
FDC,EQ,23-Jan-2006,55.25,55.00,55.60,55.00,55.25,55.30,55.18,148300,81.82,-,124570,84.00
FDC,EQ,24-Jan-2006,55.30,56.25,59.00,55.20,56.00,55.95,55.71,115759,64.49,-,91602,79.13
FDC,EQ,25-Jan-2006,55.95,56.00,56.60,55.05,55.65,55.65,55.70,189121,105.35,-,141503,74.82
FDC,EQ,27-Jan-2006,55.65,55.40,56.40,55.25,55.75,55.90,55.78,151768,84.65,-,102771,67.72
FDC,EQ,30-Jan-2006,55.90,55.00,55.50,52.50,52.80,52.95,53.28,615365,327.87,-,517492,84.10
FDC,EQ,31-Jan-2006,52.95,48.30,53.40,48.30,52.25,52.40,52.54,141699,74.45,-,110084,77.69
FDC,EQ,01-Feb-2006,52.40,52.10,52.10,50.40,50.80,51.05,50.93,134050,68.27,-,100739,75.15
FDC,EQ,02-Feb-2006,51.05,50.65,51.70,50.20,51.10,51.00,51.03,96178,49.08,-,66418,69.06
FDC,EQ,03-Feb-2006,51.00,51.00,51.75,50.50,51.10,51.10,51.11,72759,37.19,-,57169,78.57
FDC,EQ,06-Feb-2006,51.10,51.30,51.50,50.20,50.25,50.40,50.77,44929,22.81,-,26730,59.49
FDC,EQ,07-Feb-2006,50.40,50.35,51.25,49.75,49.80,49.95,50.23,53475,26.86,-,40184,75.15
FDC,EQ,08-Feb-2006,49.95,50.00,52.65,49.70,52.15,52.30,51.80,158571,82.15,-,82554,52.06
FDC,EQ,10-Feb-2006,52.30,52.40,53.50,51.60,53.05,53.05,52.75,169732,89.54,-,103591,61.03
FDC,EQ,13-Feb-2006,53.05,53.35,53.80,53.00,53.25,53.30,53.36,92788,49.51,-,66390,71.55
FDC,EQ,14-Feb-2006,53.30,54.50,54.50,53.00,53.50,53.45,53.62,161973,86.85,-,89620,55.33
FDC,EQ,15-Feb-2006,53.45,53.95,53.95,53.00,53.35,53.10,53.18,105348,56.03,-,92108,87.43
FDC,EQ,16-Feb-2006,53.10,53.70,53.90,53.05,53.10,53.45,53.40,70659,37.73,-,54798,77.55
FDC,EQ,17-Feb-2006,53.45,53.25,53.85,53.00,53.55,53.30,53.43,136489,72.92,-,117936,86.41
FDC,EQ,20-Feb-2006,53.30,53.50,53.50,50.50,51.95,51.75,51.92,38202,19.83,-,23642,61.89
FDC,EQ,21-Feb-2006,51.75,51.60,52.20,51.45,51.75,51.90,51.74,59988,31.04,-,40590,67.66
FDC,EQ,22-Feb-2006,51.90,51.80,51.80,50.10,50.50,50.30,50.83,55974,28.45,-,37458,66.92
FDC,EQ,23-Feb-2006,50.30,50.80,50.80,50.00,50.00,50.10,50.33,30639,15.42,-,22290,72.75
FDC,EQ,24-Feb-2006,50.10,50.35,50.80,49.40,50.70,50.55,50.23,67119,33.72,-,41715,62.15
FDC,EQ,27-Feb-2006,50.55,52.50,52.50,50.75,50.90,50.95,51.46,58746,30.23,-,29243,49.78
FDC,EQ,28-Feb-2006,50.95,51.35,52.40,50.00,50.70,50.55,50.82,84077,42.73,-,42129,50.11
FDC,EQ,01-Mar-2006,50.55,50.00,50.75,50.00,50.10,50.05,50.23,78454,39.41,-,50932,64.92
FDC,EQ,02-Mar-2006,50.05,50.30,51.45,49.55,49.75,49.70,50.01,46433,23.22,-,34827,75.00
FDC,EQ,03-Mar-2006,49.70,50.00,51.25,49.60,50.10,50.15,50.37,56406,28.41,-,29969,53.13
FDC,EQ,06-Mar-2006,50.15,51.70,51.70,49.85,50.15,50.25,50.16,81593,40.93,-,58948,72.25
FDC,EQ,07-Mar-2006,50.25,50.80,50.80,49.60,50.05,50.00,49.88,106472,53.11,-,88603,83.22
FDC,EQ,08-Mar-2006,50.00,50.00,51.80,49.70,50.20,50.00,50.45,103309,52.12,-,54858,53.10
FDC,EQ,09-Mar-2006,50.00,49.65,50.75,49.55,50.00,50.05,49.98,69089,34.53,-,59158,85.63
FDC,EQ,10-Mar-2006,50.05,49.75,50.60,49.75,49.80,49.95,50.03,48949,24.49,-,37499,76.61
FDC,EQ,13-Mar-2006,49.95,49.95,50.30,48.55,48.90,48.70,49.21,64744,31.86,-,38059,58.78
FDC,EQ,14-Mar-2006,48.70,48.50,49.80,48.50,49.35,49.00,48.97,100110,49.02,-,81274,81.18
FDC,EQ,16-Mar-2006,49.00,50.00,50.00,47.70,47.70,47.95,48.49,69923,33.91,-,48322,69.11
FDC,EQ,17-Mar-2006,47.95,47.00,49.70,47.00,48.30,48.50,48.33,93216,45.05,-,51000,54.71
FDC,EQ,20-Mar-2006,48.50,48.50,49.45,46.90,47.25,47.35,47.38,73979,35.05,-,48583,65.67
FDC,EQ,21-Mar-2006,47.35,47.65,47.95,46.65,46.85,46.85,47.22,75617,35.71,-,44354,58.66
FDC,EQ,22-Mar-2006,46.85,47.05,47.70,46.20,47.70,47.40,47.15,76443,36.04,-,51148,66.91
FDC,EQ,23-Mar-2006,47.40,47.80,48.95,47.75,48.75,48.65,48.30,55394,26.75,-,46203,83.41
FDC,EQ,24-Mar-2006,48.65,49.00,50.20,48.50,49.50,48.95,48.86,50129,24.49,-,39912,79.62
FDC,EQ,27-Mar-2006,48.95,48.90,49.70,48.65,49.00,49.00,49.05,88166,43.24,-,72973,82.77
FDC,EQ,28-Mar-2006,49.00,47.50,49.35,47.50,49.15,48.90,48.76,113387,55.29,-,80737,71.20
FDC,EQ,29-Mar-2006,48.90,48.55,49.30,47.80,49.00,48.90,48.63,53805,26.16,-,42126,78.29
FDC,EQ,30-Mar-2006,48.90,49.00,49.75,48.55,49.00,48.85,49.12,68477,33.64,-,47737,69.71
FDC,EQ,31-Mar-2006,48.85,48.55,49.30,48.00,49.00,49.05,48.95,39612,19.39,-,24723,62.41
FDC,EQ,03-Apr-2006,49.05,49.50,51.75,49.50,51.35,51.35,50.96,117872,60.07,-,75819,64.32
FDC,EQ,04-Apr-2006,51.35,52.75,52.95,50.60,51.20,51.05,51.48,69588,35.82,-,39297,56.47
FDC,EQ,05-Apr-2006,51.05,51.30,52.30,50.20,51.40,51.20,51.26,113524,58.19,-,61156,53.87
FDC,EQ,07-Apr-2006,51.20,52.00,52.90,50.40,50.50,50.90,51.75,175711,90.92,-,116465,66.28
FDC,EQ,10-Apr-2006,50.90,51.40,51.70,50.60,51.00,51.35,51.30,83191,42.68,-,63801,76.69
FDC,EQ,12-Apr-2006,51.35,51.00,54.25,50.70,51.45,51.45,52.40,188142,98.59,-,90132,47.91
FDC,EQ,13-Apr-2006,51.45,51.90,51.90,49.00,49.35,49.10,49.89,82055,40.94,-,50413,61.44
FDC,EQ,17-Apr-2006,49.10,51.45,56.00,49.25,50.90,50.60,50.50,86787,43.83,-,64224,74.00
FDC,EQ,18-Apr-2006,50.60,45.55,51.40,45.55,51.20,51.00,50.56,83251,42.09,-,53860,64.70
