Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AGRE,BE,31-Dec-2010,464.90,150.00,190.00,57.40,100.00,104.10,84.18,133879,112.71,-,-,-
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AGRE,BE,03-Jan-2011,104.10,108.00,109.35,98.90,98.90,98.90,103.43,18535,19.17,-,-,-
AGRE,BE,04-Jan-2011,98.90,93.95,93.95,93.95,93.95,93.95,93.95,903,0.85,-,-,-
AGRE,BE,05-Jan-2011,93.95,89.25,89.25,89.25,89.25,89.25,89.25,319,0.28,-,-,-
AGRE,BE,06-Jan-2011,89.25,84.80,84.80,84.80,84.80,84.80,84.80,457,0.39,-,-,-
AGRE,BE,07-Jan-2011,84.80,80.60,80.60,80.60,80.60,80.60,80.60,627,0.51,-,-,-
AGRE,BE,10-Jan-2011,80.60,76.60,76.60,76.60,76.60,76.60,76.60,445,0.34,-,-,-
AGRE,BE,11-Jan-2011,76.60,72.80,72.80,72.80,72.80,72.80,72.80,1698,1.24,-,-,-
AGRE,BE,12-Jan-2011,72.80,69.20,69.20,69.20,69.20,69.20,69.20,1789,1.24,-,-,-
AGRE,BE,13-Jan-2011,69.20,65.75,65.75,65.75,65.75,65.75,65.75,10045,6.60,-,-,-
AGRE,EQ,14-Jan-2011,65.75,59.20,59.20,59.20,59.20,59.20,59.20,16323,9.66,-,16322,99.99
AGRE,EQ,17-Jan-2011,59.20,53.30,53.30,53.30,53.30,53.30,53.30,4844,2.58,-,4841,99.94
AGRE,EQ,18-Jan-2011,53.30,48.00,53.00,48.00,48.00,48.00,49.09,780154,383.00,-,353144,45.27
AGRE,EQ,19-Jan-2011,48.00,45.60,47.50,45.60,46.50,45.65,45.67,312247,142.60,-,245363,78.58
AGRE,EQ,20-Jan-2011,45.65,43.40,47.95,43.40,47.95,47.90,47.52,151932,72.20,-,95465,62.83
AGRE,EQ,21-Jan-2011,47.90,47.50,48.65,45.60,46.50,46.55,46.85,58134,27.23,-,49308,84.82
AGRE,EQ,24-Jan-2011,46.55,45.50,48.90,45.50,48.90,48.90,48.69,64652,31.48,-,47980,74.21
AGRE,EQ,25-Jan-2011,48.90,51.35,51.35,50.90,51.35,51.35,51.24,11328,5.80,-,11328,100.00
AGRE,EQ,27-Jan-2011,51.35,53.95,53.95,53.95,53.95,53.95,53.95,12350,6.66,-,12350,100.00
AGRE,EQ,28-Jan-2011,53.95,56.65,56.65,53.00,56.65,56.65,56.53,395110,223.35,-,104089,26.34
AGRE,EQ,31-Jan-2011,56.65,57.15,59.50,56.10,59.50,59.50,58.22,55720,32.44,-,43748,78.51
AGRE,EQ,01-Feb-2011,59.50,62.50,62.50,62.50,62.50,62.50,62.50,19559,12.22,-,19556,99.98
AGRE,EQ,02-Feb-2011,62.50,65.65,65.65,61.00,65.65,65.65,65.22,160874,104.92,-,93885,58.36
AGRE,EQ,03-Feb-2011,65.65,68.95,68.95,62.40,62.40,62.40,64.29,123212,79.21,-,81075,65.80
AGRE,EQ,04-Feb-2011,62.40,59.30,62.95,59.30,59.30,59.30,59.73,127766,76.31,-,95354,74.63
AGRE,EQ,07-Feb-2011,59.30,57.20,59.00,56.35,56.40,56.45,56.72,40471,22.95,-,26980,66.67
AGRE,EQ,08-Feb-2011,56.45,56.50,56.50,53.65,53.65,53.65,54.11,21559,11.67,-,18636,86.44
AGRE,EQ,09-Feb-2011,53.65,51.60,52.50,51.00,51.00,51.00,51.08,35336,18.05,-,26454,74.86
AGRE,EQ,10-Feb-2011,51.00,48.50,50.80,48.45,48.45,48.45,48.52,14870,7.21,-,11797,79.33
AGRE,EQ,11-Feb-2011,48.45,46.05,50.90,46.05,50.90,50.25,47.54,38775,18.43,-,23754,61.26
AGRE,EQ,14-Feb-2011,50.25,52.00,52.80,49.50,50.70,50.35,51.13,50853,26.00,-,45451,89.38
AGRE,EQ,15-Feb-2011,50.35,51.00,52.90,48.30,52.90,52.25,51.87,84710,43.94,-,64782,76.48
AGRE,EQ,16-Feb-2011,52.25,53.90,53.90,50.20,52.00,51.85,51.88,113530,58.89,-,91442,80.54
AGRE,EQ,17-Feb-2011,51.85,51.80,53.00,50.10,50.10,50.85,52.43,32640,17.11,-,29081,89.10
AGRE,EQ,18-Feb-2011,50.85,50.85,51.80,49.15,49.15,49.85,50.26,12488,6.28,-,10312,82.58
AGRE,EQ,21-Feb-2011,49.85,49.20,50.90,48.60,49.35,48.75,49.27,3237,1.59,-,2419,74.73
AGRE,EQ,22-Feb-2011,48.75,47.55,51.20,47.05,48.50,48.50,49.18,5301,2.61,-,3891,73.40
AGRE,EQ,23-Feb-2011,48.50,47.55,49.70,47.05,49.00,49.00,48.86,6213,3.04,-,5135,82.65
AGRE,EQ,24-Feb-2011,49.00,48.05,49.50,47.80,48.00,48.05,48.17,26448,12.74,-,25753,97.37
AGRE,EQ,25-Feb-2011,48.05,46.60,49.70,46.60,47.95,47.60,47.96,4277,2.05,-,3867,90.41
AGRE,EQ,28-Feb-2011,47.60,47.25,48.80,45.30,45.50,46.25,47.11,27717,13.06,-,24943,89.99
AGRE,EQ,01-Mar-2011,46.25,46.00,47.25,44.25,45.95,45.35,45.64,14508,6.62,-,9341,64.39
AGRE,EQ,03-Mar-2011,45.35,45.25,47.30,43.25,47.00,46.95,43.31,374161,162.06,-,371355,99.25
AGRE,EQ,04-Mar-2011,46.95,47.80,49.30,46.20,48.40,47.90,48.74,148211,72.24,-,130622,88.13
AGRE,EQ,07-Mar-2011,47.90,46.00,48.85,45.50,46.00,45.70,45.91,17056,7.83,-,8328,48.83
AGRE,EQ,08-Mar-2011,45.70,44.10,46.50,44.05,45.30,45.75,45.78,2294,1.05,-,1963,85.57
AGRE,EQ,09-Mar-2011,45.75,45.30,46.40,43.15,44.10,44.20,45.88,78653,36.09,-,58284,74.10
AGRE,EQ,10-Mar-2011,44.20,44.15,46.50,44.05,45.55,46.30,45.69,8979,4.10,-,8230,91.66
AGRE,EQ,11-Mar-2011,46.30,44.75,47.00,44.75,45.00,45.60,45.41,9640,4.38,-,6900,71.58
AGRE,EQ,14-Mar-2011,45.60,45.00,47.95,44.50,44.55,44.50,45.10,5684,2.56,-,4984,87.68
AGRE,EQ,15-Mar-2011,44.50,43.55,44.50,42.50,44.00,44.25,43.82,24410,10.70,-,23323,95.55
AGRE,EQ,16-Mar-2011,44.25,44.50,45.90,44.50,45.10,45.45,45.17,5530,2.50,-,5098,92.19
AGRE,EQ,17-Mar-2011,45.45,45.50,46.00,45.00,45.30,45.00,45.12,4051,1.83,-,3491,86.18
