Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GAIL,EQ,02-Jan-2006,266.00,266.00,269.50,263.55,265.40,264.95,265.56,648669,1722.62,-,343078,52.89
GAIL,EQ,03-Jan-2006,264.95,266.00,268.45,264.60,265.80,266.00,266.24,2352222,6262.58,-,2067696,87.90
GAIL,EQ,04-Jan-2006,266.00,268.00,271.60,266.55,270.00,269.95,269.79,2990856,8069.02,-,2234362,74.71
GAIL,EQ,05-Jan-2006,269.95,270.00,281.90,270.00,281.35,280.45,276.87,1752617,4852.55,-,847020,48.33
GAIL,EQ,06-Jan-2006,280.45,280.00,283.90,275.10,283.15,282.50,280.25,1857561,5205.91,-,961932,51.78
GAIL,EQ,09-Jan-2006,282.50,283.00,285.00,280.00,280.00,281.25,282.53,731620,2067.06,-,255568,34.93
GAIL,EQ,10-Jan-2006,281.25,281.95,284.40,277.10,283.00,282.85,280.27,1033199,2895.74,-,499058,48.30
GAIL,EQ,12-Jan-2006,282.85,281.00,284.75,277.10,281.00,282.75,282.32,754587,2130.35,-,282704,37.46
GAIL,EQ,13-Jan-2006,282.75,283.10,288.50,281.55,285.20,285.75,286.15,1409393,4032.92,-,638473,45.30
GAIL,EQ,16-Jan-2006,285.75,280.00,280.00,275.00,276.00,276.25,277.28,689222,1911.07,-,373789,54.23
GAIL,EQ,17-Jan-2006,276.25,274.00,277.90,268.00,275.00,271.20,272.92,786943,2147.69,-,445833,56.65
GAIL,EQ,18-Jan-2006,271.20,270.90,276.80,266.15,275.60,276.00,271.14,809332,2194.45,-,476296,58.85
GAIL,EQ,19-Jan-2006,276.00,277.00,280.00,270.00,279.00,279.05,277.12,519203,1438.80,-,306903,59.11
GAIL,EQ,20-Jan-2006,279.05,280.00,282.50,277.15,281.00,280.95,279.97,615161,1722.27,-,383266,62.30
GAIL,EQ,23-Jan-2006,280.95,282.50,282.50,271.00,276.50,273.85,274.67,365267,1003.29,-,172253,47.16
GAIL,EQ,24-Jan-2006,273.85,276.40,277.90,271.50,272.25,273.65,273.96,648375,1776.31,-,401970,62.00
GAIL,EQ,25-Jan-2006,273.65,273.65,276.90,268.00,270.00,272.85,273.14,616951,1685.16,-,332651,53.92
GAIL,EQ,27-Jan-2006,272.85,278.70,278.70,274.00,276.10,276.60,276.36,803261,2219.92,-,512535,63.81
GAIL,EQ,30-Jan-2006,276.60,277.60,287.25,276.15,286.00,286.00,283.85,1116317,3168.62,-,502738,45.04
GAIL,EQ,31-Jan-2006,286.00,285.00,293.50,285.00,292.00,292.45,290.74,1173481,3411.78,-,439941,37.49
GAIL,EQ,01-Feb-2006,292.45,293.00,293.95,283.00,287.00,285.60,289.87,1030028,2985.72,-,499036,48.45
GAIL,EQ,02-Feb-2006,285.60,285.05,290.90,282.00,282.50,283.10,286.13,594860,1702.06,-,193742,32.57
GAIL,EQ,03-Feb-2006,283.10,280.00,294.90,280.00,290.55,291.75,289.70,1921654,5567.09,-,1133566,58.99
GAIL,EQ,06-Feb-2006,291.75,291.00,292.90,288.30,291.20,291.00,290.71,298495,867.74,-,112630,37.73
GAIL,EQ,07-Feb-2006,291.00,292.00,296.50,285.30,287.35,288.30,290.87,1280083,3723.37,-,843739,65.91
GAIL,EQ,08-Feb-2006,288.30,289.00,289.30,281.30,282.00,282.05,284.35,684608,1946.67,-,442203,64.59
GAIL,EQ,10-Feb-2006,282.05,280.00,286.35,280.00,282.00,282.50,283.35,647888,1835.76,-,458166,70.72
GAIL,EQ,13-Feb-2006,282.50,282.00,285.90,279.00,282.00,282.05,281.37,831189,2338.72,-,624946,75.19
GAIL,EQ,14-Feb-2006,282.05,283.10,287.50,281.10,287.30,285.10,284.75,1060448,3019.64,-,752108,70.92
GAIL,EQ,15-Feb-2006,285.10,299.00,299.00,285.15,286.00,286.60,287.90,1341909,3863.34,-,715952,53.35
GAIL,EQ,16-Feb-2006,286.60,285.50,286.00,280.00,281.00,282.15,282.80,924934,2615.73,-,692988,74.92
GAIL,EQ,17-Feb-2006,282.15,282.50,283.85,277.15,278.00,278.25,279.38,750227,2095.96,-,573353,76.42
GAIL,EQ,20-Feb-2006,278.25,277.00,278.35,269.15,277.10,275.65,273.38,355802,972.69,-,142164,39.96
GAIL,EQ,21-Feb-2006,275.65,279.30,280.50,276.10,279.50,278.20,277.95,245573,682.56,-,114359,46.57
GAIL,EQ,22-Feb-2006,278.20,278.25,281.40,276.05,276.10,277.20,278.69,412528,1149.69,-,206941,50.16
GAIL,EQ,23-Feb-2006,277.20,269.60,279.00,269.60,274.90,273.75,275.01,1128831,3104.41,-,803492,71.18
GAIL,EQ,24-Feb-2006,273.75,274.20,277.85,273.25,274.50,274.20,275.20,792210,2180.14,-,598106,75.50
GAIL,EQ,27-Feb-2006,274.20,274.10,278.15,274.00,275.50,275.15,275.88,565483,1560.05,-,374600,66.24
GAIL,EQ,28-Feb-2006,275.15,276.75,281.90,269.15,272.50,272.80,275.77,580800,1601.68,-,197292,33.97
GAIL,EQ,01-Mar-2006,272.80,272.00,276.00,269.15,275.15,274.65,272.23,517459,1408.67,-,274341,53.02
GAIL,EQ,02-Mar-2006,274.65,275.25,291.00,274.60,281.00,281.30,276.00,23059122,63642.29,-,21029050,91.20
GAIL,EQ,03-Mar-2006,281.30,287.00,287.00,275.65,277.10,277.40,279.48,614548,1717.55,-,235603,38.34
GAIL,EQ,06-Mar-2006,277.40,278.00,281.65,277.00,278.90,279.25,279.57,550151,1538.03,-,279425,50.79
GAIL,EQ,07-Mar-2006,279.25,279.60,285.65,277.60,280.00,279.65,280.88,951686,2673.08,-,489533,51.44
GAIL,EQ,08-Mar-2006,279.65,275.65,285.50,269.50,271.50,273.00,277.46,2516267,6981.66,-,1268277,50.40
GAIL,EQ,09-Mar-2006,273.00,269.10,276.40,267.00,273.00,272.70,271.34,767035,2081.25,-,287512,37.48
GAIL,EQ,10-Mar-2006,272.70,274.50,276.70,271.00,272.50,272.35,273.73,807408,2210.08,-,491173,60.83
GAIL,EQ,13-Mar-2006,272.35,272.90,276.50,271.75,272.60,273.95,274.21,402022,1102.38,-,184650,45.93
GAIL,EQ,14-Mar-2006,273.95,275.00,275.00,269.50,271.65,271.40,271.28,761050,2064.57,-,432313,56.80
GAIL,EQ,16-Mar-2006,271.40,272.80,275.00,270.00,273.20,273.85,273.43,554753,1516.88,-,344130,62.03
GAIL,EQ,17-Mar-2006,273.85,271.00,281.00,271.00,280.50,279.80,279.09,1131333,3157.39,-,850540,75.18
GAIL,EQ,20-Mar-2006,279.80,281.00,291.00,281.00,285.25,285.55,286.77,1906365,5466.80,-,865962,45.42
GAIL,EQ,21-Mar-2006,285.55,286.25,293.90,285.70,289.75,290.05,290.47,2140493,6217.51,-,1170260,54.67
GAIL,EQ,22-Mar-2006,290.05,290.50,290.80,281.60,282.30,283.75,284.04,2179924,6191.77,-,1558010,71.47
GAIL,EQ,23-Mar-2006,283.75,282.00,289.25,279.00,285.00,286.70,284.85,1539178,4384.31,-,940895,61.13
GAIL,EQ,24-Mar-2006,286.70,288.00,292.75,285.00,292.15,291.05,289.26,1096933,3173.02,-,604854,55.14
GAIL,EQ,27-Mar-2006,291.05,292.50,307.45,292.50,307.25,305.15,301.95,2581448,7794.64,-,1354782,52.48
GAIL,EQ,28-Mar-2006,305.15,310.00,313.50,307.00,308.15,309.00,310.93,2183586,6789.45,-,996749,45.65
GAIL,EQ,29-Mar-2006,309.00,309.25,314.25,306.15,311.25,311.60,311.16,1169448,3638.84,-,515261,44.06
GAIL,EQ,30-Mar-2006,311.60,315.00,320.50,307.25,319.00,316.25,312.11,2541508,7932.34,-,1426455,56.13
GAIL,EQ,31-Mar-2006,316.25,320.00,325.70,316.00,318.35,318.50,320.63,1965403,6301.65,-,703237,35.78
GAIL,EQ,03-Apr-2006,318.50,319.10,324.80,314.60,317.55,317.65,320.20,946216,3029.74,-,415013,43.86
GAIL,EQ,04-Apr-2006,317.65,318.10,324.40,315.00,318.70,319.00,319.65,1222350,3907.19,-,597440,48.88
GAIL,EQ,05-Apr-2006,319.00,321.75,323.50,318.25,319.90,320.10,320.47,1014030,3249.63,-,508565,50.15
GAIL,EQ,07-Apr-2006,320.10,321.50,324.00,303.05,306.80,306.50,311.31,1044186,3250.66,-,413254,39.58
GAIL,EQ,10-Apr-2006,306.50,314.00,324.95,301.65,311.75,311.55,307.14,711040,2183.91,-,300039,42.20
GAIL,EQ,12-Apr-2006,311.55,310.15,319.85,303.50,303.60,305.00,310.45,996799,3094.53,-,499571,50.12
GAIL,EQ,13-Apr-2006,305.00,305.00,311.60,296.50,309.50,309.55,304.62,1057674,3221.88,-,472256,44.65
GAIL,EQ,17-Apr-2006,309.55,319.95,319.95,309.10,318.00,314.35,313.07,1222438,3827.05,-,736163,60.22
GAIL,EQ,18-Apr-2006,314.35,316.00,321.50,314.65,315.50,316.75,317.52,620776,1971.07,-,327817,52.81
