Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GAMMNINFRA,EQ,03-Apr-2008,167.00,170.00,185.00,147.00,161.00,158.15,158.86,12726928,20218.56,-,775717,6.10
GAMMNINFRA,EQ,04-Apr-2008,158.15,160.00,168.50,156.10,168.25,163.90,163.04,4029128,6569.07,-,208180,5.17
GAMMNINFRA,EQ,07-Apr-2008,163.90,166.50,170.95,162.10,166.25,168.35,167.10,1784242,2981.47,-,237862,13.33
GAMMNINFRA,EQ,08-Apr-2008,168.35,167.30,171.60,165.00,167.90,168.60,169.76,1230856,2089.46,-,287734,23.38
GAMMNINFRA,EQ,09-Apr-2008,168.60,167.05,171.90,163.50,167.10,169.10,168.67,535722,903.58,-,139397,26.02
GAMMNINFRA,EQ,10-Apr-2008,169.10,168.10,175.60,167.10,168.00,169.00,171.88,780058,1340.73,-,191287,24.52
GAMMNINFRA,EQ,11-Apr-2008,169.00,170.35,173.90,162.10,162.30,163.80,168.69,192794,325.23,-,65469,33.96
GAMMNINFRA,EQ,15-Apr-2008,163.80,162.50,171.00,155.25,165.05,165.90,166.26,213002,354.14,-,91337,42.88
GAMMNINFRA,EQ,16-Apr-2008,165.90,166.70,169.00,162.30,162.80,163.40,166.31,93101,154.84,-,26826,28.81
GAMMNINFRA,EQ,17-Apr-2008,163.40,165.00,167.00,162.50,163.55,163.50,164.78,44708,73.67,-,15313,34.25
GAMMNINFRA,EQ,21-Apr-2008,163.50,164.50,169.00,163.75,168.00,167.75,166.08,103207,171.41,-,68762,66.63
GAMMNINFRA,EQ,22-Apr-2008,167.75,164.50,169.50,164.00,165.00,165.55,166.66,37896,63.16,-,11792,31.12
GAMMNINFRA,EQ,23-Apr-2008,165.55,165.00,169.00,162.50,163.00,163.50,165.02,30000,49.50,-,13572,45.24
GAMMNINFRA,EQ,24-Apr-2008,163.50,166.45,166.45,162.20,162.20,163.00,164.03,21223,34.81,-,10736,50.59
GAMMNINFRA,EQ,25-Apr-2008,163.00,165.95,165.95,161.20,163.00,162.25,163.16,9852,16.07,-,5653,57.38
GAMMNINFRA,EQ,28-Apr-2008,162.25,162.05,172.50,161.10,168.35,168.65,168.28,104195,175.34,-,51513,49.44
GAMMNINFRA,EQ,29-Apr-2008,168.65,168.00,168.80,164.60,168.00,167.50,166.83,22012,36.72,-,10718,48.69
GAMMNINFRA,EQ,30-Apr-2008,167.50,166.15,177.00,165.10,171.35,171.25,171.89,172193,295.99,-,75786,44.01
GAMMNINFRA,EQ,02-May-2008,171.25,175.00,175.00,166.00,166.00,167.60,170.56,28955,49.39,-,14583,50.36
GAMMNINFRA,EQ,05-May-2008,167.60,169.80,175.95,168.00,173.85,173.40,173.23,215424,373.18,-,135006,62.67
GAMMNINFRA,EQ,06-May-2008,173.40,174.95,174.95,167.30,169.95,169.70,170.09,38833,66.05,-,17329,44.62
GAMMNINFRA,EQ,07-May-2008,169.70,167.95,176.80,167.15,174.90,174.20,172.87,155724,269.20,-,108269,69.53
GAMMNINFRA,EQ,08-May-2008,174.20,170.60,176.90,170.00,174.60,174.95,174.08,95570,166.37,-,62252,65.14
GAMMNINFRA,EQ,09-May-2008,174.95,175.00,175.00,169.00,174.00,173.80,173.21,73369,127.08,-,40001,54.52
GAMMNINFRA,EQ,12-May-2008,173.80,170.15,174.50,166.00,173.20,172.85,169.88,64259,109.17,-,41471,64.54
GAMMNINFRA,EQ,13-May-2008,172.85,170.05,177.95,167.20,174.55,175.75,174.04,120405,209.55,-,66325,55.08
GAMMNINFRA,EQ,14-May-2008,175.75,170.55,175.00,168.00,169.20,168.95,170.76,38972,66.55,-,22000,56.45
GAMMNINFRA,EQ,15-May-2008,168.95,171.00,175.00,168.10,174.05,173.90,172.13,580748,999.62,-,537443,92.54
GAMMNINFRA,EQ,16-May-2008,173.90,173.90,176.00,170.00,170.05,170.50,172.69,28208,48.71,-,15559,55.16
GAMMNINFRA,EQ,20-May-2008,170.50,167.00,172.80,165.10,168.10,168.70,169.90,23799,40.43,-,15279,64.20
GAMMNINFRA,EQ,21-May-2008,168.70,169.95,171.00,167.50,167.60,168.30,169.68,31487,53.43,-,11886,37.75
GAMMNINFRA,EQ,22-May-2008,168.30,165.00,172.70,164.95,165.90,166.30,169.01,105319,178.00,-,19559,18.57
GAMMNINFRA,EQ,23-May-2008,166.30,167.00,169.00,163.50,165.50,164.90,165.54,27271,45.15,-,12436,45.60
GAMMNINFRA,EQ,26-May-2008,164.90,165.00,165.00,159.50,160.75,160.35,161.54,13013,21.02,-,8226,63.21
GAMMNINFRA,EQ,27-May-2008,160.35,162.00,162.00,157.25,158.00,157.85,159.58,11552,18.44,-,6151,53.25
GAMMNINFRA,EQ,28-May-2008,157.85,152.20,161.00,152.20,159.00,158.60,157.41,13280,20.90,-,8526,64.20
GAMMNINFRA,EQ,29-May-2008,158.60,159.00,161.50,154.50,154.75,156.00,157.51,5133,8.08,-,2246,43.76
GAMMNINFRA,EQ,30-May-2008,156.00,157.00,168.00,150.25,164.00,162.25,157.87,31596,49.88,-,18658,59.05
GAMMNINFRA,EQ,02-Jun-2008,162.25,159.05,161.00,155.00,156.50,155.70,158.29,8532,13.50,-,3772,44.21
GAMMNINFRA,EQ,03-Jun-2008,155.70,151.50,153.50,150.30,150.50,150.95,151.30,8780,13.28,-,5029,57.28
GAMMNINFRA,EQ,04-Jun-2008,150.95,149.00,152.90,146.05,147.00,147.25,149.61,8677,12.98,-,7128,82.15
GAMMNINFRA,EQ,05-Jun-2008,147.25,147.00,156.00,142.00,153.50,152.70,148.84,29351,43.68,-,20907,71.23
